PID	SYMBOL	TITLE	CYTOBAND	ENTREZ GENE ID	REFSEQ ACCESSION NUMBER	Location	Type(s)	t-test (t)	t-test (p)	FDR	Status
208504_x_at	PCDHB11	protocadherin beta 11	5q31	56125	NM_018931	unknown	other	-4.79	1.02048E-05	0.000314661	down High vs Low
219410_at	TMEM45A	transmembrane protein 45A	3q12.2	55076	NM_018004	Cytoplasm	enzyme	-4.8	1.13089E-05	0.000343256	down High vs Low
200827_at	PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	1p36.22	5351	NM_000302	Plasma Membrane	other	-4.81	1.40348E-05	0.000409539	down High vs Low
218898_at	FAM57A	family with sequence similarity 57, member A	17p13.3	79850	NM_024792	Plasma Membrane	other	-4.81	2.03914E-05	0.000565883	down High vs Low
223249_at	CLDN12	claudin 12	7q21	9069	AL136770	Plasma Membrane	other	-4.88	1.781E-05	0.000505595	down High vs Low
204669_s_at	RNF24	ring finger protein 24	20p13-p12.1	11237	NM_007219	Cytoplasm	kinase	-4.92	8.40905E-06	0.000266541	down High vs Low
202887_s_at	DDIT4	DNA-damage-inducible transcript 4	10pter-q26.12	54541	NM_019058	Cytoplasm	other	-4.92	1.0295E-05	0.000316007	down High vs Low
203282_at	GBE1	glucan (1,4-alpha-), branching enzyme 1	3p12.3	2632	NM_000158	Cytoplasm	enzyme	-4.93	8.86218E-06	0.000278954	down High vs Low
201849_at	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	10q26.3	664	NM_004052	Plasma Membrane	phosphatase	-5.04	1.21667E-05	0.000366835	down High vs Low
212340_at	YIPF6	Yip1 domain family, member 6	Xq12	286451	BE673723	unknown	other	-5.05	7.68038E-06	0.000246898	down High vs Low
202912_at	ADM	adrenomedullin	11p15.4	133	NM_001124	unknown	other	-5.07	3.34394E-06	0.000120818	down High vs Low
223278_at	GJB2	gap junction protein, beta 2, 26kDa	13q11-q12	2706	M86849	Plasma Membrane	enzyme	-5.13	2.77929E-06	0.000103259	down High vs Low
214436_at	FBXL2	F-box and leucine-rich repeat protein 2	3p22.3	25827	AF176518	Extracellular Space	growth factor	-5.29	1.28805E-06	5.35622E-05	down High vs Low
228499_at	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	3p22-p21	5210	AL038787	Plasma Membrane	transporter	-5.4	1.28381E-06	5.355E-05	down High vs Low
207543_s_at	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	10q21.3-q23.1	5033	NM_000917	unknown	other	-5.64	7.96238E-07	3.50396E-05	down High vs Low
214978_s_at	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	1q32.1	8497	AK023365	Cytoplasm	other	-6.45	1.36347E-08	9.08847E-07	down High vs Low
