Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
238462_at	AI418293	Cbl-interacting protein Sts-1	STS-1	113.9	129.5	0.5	57.2	119.1	1.2
215299_x_at	U37025	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	SULT1A1	71.2	126.5	1	89.5	154.5	0.7
205691_at	NM_004209	synaptogyrin 3	SYNGR3	21.5	294.3	2.6	34.1	192.9	1.8
229991_s_at	AI167292	Synaptotagmin-like 4 (granuphilin-a)	SYTL4	25.9	71.3	1.4	85.7	392.3	2.2
226658_at	AW590196	lung type-I cell membrane-associated glycoprotein	T1A-2	605.6	1320.7	1.1	592.6	1050.7	0.9
210053_at	AW138827	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	TAF5	44.6	74.5	0.8	37.9	108.7	1.4
205547_s_at	NM_003186	transgelin	TAGLN	78.7	275.3	1.7	501.6	1284.5	1.4
202307_s_at	NM_000593	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	TAP1	233.3	624.5	1.4	386.8	887.8	1.1
225973_at	AA573502	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	TAP2	123	333.5	1.6	184.9	580.2	1.7
222173_s_at	AK026105	TBC1 domain family, member 2	TBC1D2	16.6	70.4	1.5	9.7	122.5	2.5
336_at	D38081	thromboxane A2 receptor	TBXA2R	32.2	73.1	0.8	35.4	131.8	2.2
227705_at	BF591534	transcription elongation factor A (SII)-like 7	TCEAL7	24.7	237.4	2.7	9	216	3.9
215260_s_at	X52078	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	TCF3	53.9	112.6	0.9	55.9	118.4	1
238323_at	AA337048	TEA domain family member 2	TEAD2	119.5	261.6	0.9	146	250.1	0.8
206649_s_at	NM_006521	transcription factor binding to IGHM enhancer 3	TFE3	62.9	137.5	0.9	83.6	163.9	0.8
209277_at	AL574096	tissue factor pathway inhibitor 2	TFPI2	277.5	733.1	1.3	163.8	1026.2	2.4
203085_s_at	BC000125	transforming growth factor, beta 1 (Camurati-Engelmann disease)	TGFB1	378.4	926	1.3	377.3	727.2	0.8
228121_at	AU145950	Transforming growth factor, beta 2	TGFB2	121.2	414	2	81.2	170.6	0.9
201506_at	NM_000358	transforming growth factor, beta-induced, 68kDa	TGFBI	167.5	744.2	2.1	308.6	2430.6	2.9
224793_s_at	AA604375	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	TGFBR1	112	267.5	1.4	48.9	304.5	2.3
226567_at	BG283995	THO complex 1	THOC1	146.4	304.7	0.9	108.7	284.8	1.5
219248_at	NM_025264	THUMP domain containing 2	THUMPD2	85.3	122.5	0.5	56.7	127.6	1.2
228234_at	AI423165	toll-like receptor adaptor molecule 2	TICAM2	64	115.6	0.7	92.1	164.6	1.3
204276_at	BE895437	thymidine kinase 2, mitochondrial	TK2	22.1	108.6	2.4	15.7	113.2	2
40837_at	M99436	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	TLE2	140.5	210.1	1.1	122	177	0.6
206271_at	NM_003265	toll-like receptor 3	TLR3	10.9	87.5	2.5	32.7	134	2
1558102_at	AK055438	Transmembrane 6 superfamily member 1	TM6SF1	108.2	202.5	1	48.4	139.5	1.7
217974_at	NM_016551	transmembrane 7 superfamily member 3	TM7SF3	56.2	115.9	1.1	92.8	164	1
209150_s_at	U94831	transmembrane 9 superfamily member 1	TM9SF1	362.3	595.1	0.7	342	738.8	1
219685_at	NM_021637	transmembrane protein 35	TMEM35	33.1	77.1	1.1	45.9	163.9	2
222450_at	AL035541	transmembrane, prostate androgen induced RNA	TMEPAI	22.5	96.1	1.9	100.2	326.8	1.6
227685_at	AI767750	TATA element modulatory factor 1	TMF1	53.4	93.6	0.8	34.1	72.6	1.2
218368_s_at	NM_016639	tumor necrosis factor receptor superfamily, member 12A	TNFRSF12A	215.2	707.7	1.7	460.3	779.5	1
204781_s_at	NM_000043	tumor necrosis factor receptor superfamily, member 6	TNFRSF6	143	285.1	0.8	262.8	610.8	1.1
206467_x_at	NM_003823	tumor necrosis factor receptor superfamily, member 6b, decoy /// regulator of telomere elongation helicase 1	TNFRSF6B /// RTEL1	46.2	114.2	1.6	63.2	133.3	0.8
221085_at	NM_005118	tumor necrosis factor (ligand) superfamily, member 15	TNFSF15	8.8	70.9	3.2	141.7	210.6	0.5
209593_s_at	AF317129	torsin family 1, member B (torsin B)	TOR1B	141.8	270.8	1.1	163.5	432.8	1.5
225912_at	AW341649	tumor protein p53 inducible nuclear protein 1	TP53INP1	266.4	1272.6	2.2	226.4	1459	2.6
206117_at	NM_000366	tropomyosin 1 (alpha)	TPM1	41.7	132.8	1.2	70.9	135.7	1
204140_at	NM_003596	tyrosylprotein sulfotransferase 1	TPST1	61.6	113.3	1.1	63.5	137.8	1
226839_at	N25631	TR4 orphan receptor associated protein TRA16	TRA16	48.4	88.6	1	41.6	115	0.9
205599_at	NM_005658	TNF receptor-associated factor 1	TRAF1	15.8	131.5	2.9	76.5	139.8	0.9
211899_s_at	AF082185	TNF receptor-associated factor 4	TRAF4	63.5	125.3	1.1	76.5	151	1.1
202241_at	NM_025195	tribbles homolog 1 (Drosophila)	TRIB1	389.4	669.9	0.7	750.2	1316.9	1
202478_at	NM_021643	tribbles homolog 2 (Drosophila)	TRIB2	188.5	767.3	1.6	167.1	258.2	0.5
1555788_a_at	AF250311	tribbles homolog 3 (Drosophila)	TRIB3	85	221.8	1.1	88.2	318.2	1.7
227102_at	AA115933	tripartite motif-containing 35	TRIM35	32.2	97.4	1.1	71.3	115.7	0.9
218424_s_at	NM_018234	dudulin 2	TSAP6	60.3	124.3	1	118.5	200.8	0.9
218245_at	NM_015516	likely ortholog of chicken tsukushi	TSK	92.1	133.2	0.6	61	175	1.5
205652_s_at	NM_012263	tubulin tyrosine ligase-like family, member 1	TTLL1	76.2	144.6	0.8	74.1	135.2	0.9
1554696_s_at	AB077208	thymidylate synthetase	TYMS	451.9	964.5	1	266.4	906.4	1.8
211432_s_at	U05682	TYRO3 protein tyrosine kinase	TYRO3	55.5	80.9	0.7	45	126	2
205890_s_at	NM_006398	ubiquitin D	UBD	166.3	2274	3.7	2887.6	1504.5	-1
201899_s_at	NM_003336	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	UBE2A	641.6	816.1	0.5	390.5	816.4	1.2
203109_at	NM_003969	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	UBE2M	332.2	603.4	0.8	395.3	766.7	0.9
209825_s_at	BC002906	uridine-cytidine kinase 2	UCK2	226.6	379.1	0.7	311.5	1131	2
221765_at	AI378044	UDP-glucose ceramide glucosyltransferase	UGCG	243.9	548.4	1.3	253.5	744.1	1.4
221291_at	NM_025217	UL16 binding protein 2	ULBP2	67.7	83.8	0.4	55.6	170.1	1.5
223303_at	BC004347	UNC-112 related protein 2	URP2	137.9	311.4	0.7	207.2	571.1	1.1
201671_x_at	BC003556	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	USP14	244.4	454.1	0.7	128.9	455	1.2
209475_at	AF106069	ubiquitin specific protease 15	USP15	68	89.4	0.4	51.2	127.4	1.3
219211_at	NM_017414	ubiquitin specific protease 18	USP18	76.8	207.1	1.3	85.6	247.9	1.5
203869_at	AK024318	ubiquitin specific protease 46	USP46	109.6	185.2	0.8	109.6	314.4	1.5
203868_s_at	NM_001078	vascular cell adhesion molecule 1	VCAM1	25.6	385.9	3.9	305.9	115.3	-1.5
210512_s_at	AF022375	vascular endothelial growth factor	VEGF	22.1	76.7	2	15.8	216.6	2.7
203683_s_at	NM_003377	vascular endothelial growth factor B	VEGFB	67.2	128.4	0.9	47.9	125.8	0.9
218731_s_at	NM_022834	von Willebrand factor A domain-related protein	WARP	5.7	94.7	3.6	89.3	72.1	0
233559_s_at	AK023415	WD repeat and FYVE domain containing 1	WDFY1	152	349.6	1.1	249.1	470.7	0.7
224715_at	BG338983	WD repeat domain 34	WDR34	101.4	224	1	79.3	293.6	1.7
225170_at	BE740137	WD repeat domain 5	WDR5	110.6	151.4	0.8	88.7	194.1	1
222649_at	BF968638	exportin 4	XPO4	125.6	190.1	0.5	122.5	317.4	1.3
225091_at	AL034548	zinc finger, CCHC domain containing 3	ZCCHC3	184.1	337.1	0.9	181.1	291.6	0.8
219038_at	NM_024657	zinc finger, CW-type with coiled-coil domain 2	ZCWCC2	60.3	121.7	0.8	63	170.5	1.6
201369_s_at	NM_006887	zinc finger protein 36, C3H type-like 2	ZFP36L2	91.9	201.8	1.1	84.7	155	0.9
219123_at	NM_014519	zinc finger protein 232	ZNF232	59.5	100.9	0.7	68	144.7	1
210336_x_at	AF055078	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	ZNF42	41.6	66.9	0.7	46.5	118.5	1.4
224518_s_at	BC006436	zinc finger protein 559 /// zinc finger protein 559	ZNF559	75.3	135.3	0.9	66.9	149.7	1.2
216486_x_at	X65232	zinc finger protein 79 (pT7)	ZNF79	41.6	81.8	1.2	72.9	90.3	0.5
226360_at	AK022809	zinc and ring finger 3	ZNRF3	30.5	129.9	2.2	39.4	132.8	1.5
204072_s_at	NM_023037	hypothetical protein CG003	13CDNA73	166.9	123.9	-0.7	173.7	78.2	-1.2
205434_s_at	AW451954	AP2 associated kinase 1	AAK1	154.8	92.1	-0.7	204.5	95.4	-0.9
227463_at	AW057540	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ACE	330.1	110.8	-1.5	143.2	18.7	-2.7
200793_s_at	NM_001098	aconitase 2, mitochondrial	ACO2	987.1	313.9	-1.1	970.5	218.9	-2.1
222495_at	AV712912	protein x 013	AD-020	396.1	261.5	-0.7	572.3	172.2	-1.6
204639_at	NM_000022	adenosine deaminase	ADA	185.9	60.5	-1.1	154.3	70	-1.3
230040_at	AI733120	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 18	ADAMTS18	536.7	192.1	-1.3	818.6	165.1	-2.2
203865_s_at	NM_015833	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADARB1	199.2	102.2	-0.8	130.9	74.4	-0.9
204497_at	AB011092	adenylate cyclase 9	ADCY9	201.5	128.6	-0.7	114	72.6	-0.8
229309_at	AI625747	Adrenergic, beta-1-, receptor	ADRB1	728.9	760.7	0.1	461.6	92.6	-2.2
32837_at	U56418	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	AGPAT2	244.9	184.5	-0.5	388.9	158.4	-1
225440_at	BE737251	1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	277.8	105.7	-1.4	397.1	87	-1.4
211986_at	BG287862	AHNAK nucleoprotein (desmoyokin)	AHNAK	1687.8	827.5	-1	1609.7	465.3	-1.5
202820_at	NM_001621	aryl hydrocarbon receptor	AHR	458.4	217.5	-1.1	273.1	129.4	-1.1
227530_at	BF511276	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	1295.9	943.8	-0.5	1694.3	814.9	-1
212224_at	NM_000689	aldehyde dehydrogenase 1 family, member A1	ALDH1A1	3204.9	3702.3	0.3	3239.5	535.7	-2.5
204290_s_at	NM_005589	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	207.8	98.6	-1	178.6	83.9	-0.9
202125_s_at	NM_015049	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	ALS2CR3	498.6	253.2	-1	409	204.1	-1.2
212747_at	AI990523	ankyrin repeat and sterile alpha motif domain containing 1	ANKS1	717.7	578.9	-0.6	276.5	84.9	-1.7
209369_at	M63310	annexin A3	ANXA3	848.2	500.6	-0.8	1108.6	514.8	-1.1
225771_at	AW673972	adaptor-related protein complex 1, gamma 1 subunit	AP1G1	340.1	230.2	-0.8	288.9	173.2	-0.9
206592_s_at	NM_003938	adaptor-related protein complex 3, delta 1 subunit	AP3D1	798.8	478.6	-1.2	772.7	267.8	-1.6
213419_at	U62325	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	203.2	144	-0.7	298.2	169.6	-0.8
203525_s_at	AI375486	adenomatosis polyposis coli	APC	231.2	132.1	-1	127.6	71.7	-0.8
210027_s_at	M80261	APEX nuclease (multifunctional DNA repair enzyme) 1	APEX1	1646.6	805.9	-1	1605.9	488.4	-1.8
213115_at	AL031177	APG4 autophagy 4 homolog A (S. cerevisiae)	APG4A	215.1	95.9	-1.1	273.5	121	-0.8
222856_at	AK001855	apelin, AGTRL1 ligand	APLN	2787.5	530.6	-1.7	3301.7	1212.9	-1
201895_at	NM_001654	v-raf murine sarcoma 3611 viral oncogene homolog 1	ARAF1	153.6	133.2	-0.7	209.1	113	-1.1
201176_s_at	NM_001655	archain 1	ARCN1	875.9	494.5	-0.9	684.4	514.3	-0.6
204288_s_at	NM_021069	Arg/Abl-interacting protein ArgBP2	ARGBP2	2118	1666.4	-0.4	2644.4	1309	-1.1
225171_at	BE644830	Rho GTPase activating protein 18	ARHGAP18	1584.4	335.8	-2.2	1038.1	230.8	-2.1
205507_at	NM_014958	Rho guanine nucleotide exchange factor (GEF) 15	ARHGEF15	180	158	-0.8	159.6	92.5	-0.7
218501_at	NM_019555	Rho guanine nucleotide exchange factor (GEF) 3	ARHGEF3	422.4	218.8	-1.5	296.3	127.7	-1.7
212152_x_at	AI679080	AT rich interactive domain 1A (SWI- like)	ARID1A	573.4	349.9	-0.4	570.5	251.7	-1.1
201880_at	AL040708	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ARIH1	443.6	250.9	-0.9	454.3	187.2	-1.3
202564_x_at	NM_001667	ADP-ribosylation factor-like 2	ARL2	621.5	222.9	-1.4	492.8	98.3	-2
211935_at	D31885	ADP-ribosylation factor-like 6 interacting protein	ARL6IP	2031.8	728.5	-1.4	1607.4	675.4	-1.2
208679_s_at	AF279893	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	5631.8	3026.6	-0.8	6568.8	3553.3	-0.9
222667_s_at	AI806500	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L	170.6	108	-0.8	235.3	81.6	-1.3
213106_at	AI769688	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	ATP8A1	165.7	148.9	0	116	28.5	-2
203232_s_at	NM_000332	ataxin 1	ATXN1	153.9	57.4	-1.7	109	30.6	-1.8
224969_at	AL390158	Ataxin 7-like 3	ATXN7L3	216.3	84.6	-1	129.6	99.7	-1.4
202686_s_at	NM_021913	AXL receptor tyrosine kinase	AXL	308.6	48.4	-3.4	666.2	122.5	-2.9
222870_s_at	AF288208	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	B3GNT1	188.1	109.8	-0.8	116	72.3	-0.8
222446_s_at	AF178532	beta-site APP-cleaving enzyme 2	BACE2	1816.1	1132.6	-0.6	2224	939.5	-1.3
202391_at	NM_006317	brain abundant, membrane attached signal protein 1	BASP1	316.6	97.5	-1.6	549.5	270	-1.3
225776_at	AW205585	Bromodomain adjacent to zinc finger domain, 2A	BAZ2A	472.4	181.9	-1.5	454.7	94.1	-2.2
218471_s_at	NM_024649	Bardet-Biedl syndrome 1	BBS1	174.1	116.2	-0.8	118.1	90.3	-1
213016_at	AA573805	Bobby sox homolog (Drosophila)	BBX	378.7	302.1	-0.8	656.2	272.2	-1.1
227322_s_at	BE464077	BRCA2 and CDKN1A interacting protein	BCCIP	363.1	171	-1.1	341.5	120.5	-1.8
225745_at	AV725248	BCL2-like 14 (apoptosis facilitator)	BCL2L14	231.9	129.8	-0.8	201.8	73.5	-1.1
222761_at	AI862694	basic, immunoglobulin-like variable motif containing	BIVM	135.7	125.2	-0.8	138.8	47.7	-1.9
59644_at	AI735391	BMP2 inducible kinase	BMP2K	379	167.3	-1	291.9	135.4	-0.9
211518_s_at	D30751	bone morphogenetic protein 4	BMP4	269.2	395.6	0.2	210.6	35.8	-2.4
201849_at	NM_004052	BCL2/adenovirus E1B 19kDa interacting protein 3	BNIP3	886.1	446.6	-1	795.5	483.8	-0.6
218775_s_at	NM_024949	BH3-only member B protein	BOMB	222.8	111.6	-1.3	178.6	42.5	-2.1
224471_s_at	BC006204	beta-transducin repeat containing /// beta-transducin repeat containing	BTRC	179.7	79.3	-1.1	162.8	94.5	-1.2
209183_s_at	AL136653	chromosome 10 open reading frame 10	C10orf10	1713.1	949.6	-1.2	1067.4	608.5	-1.2
203571_s_at	NM_006829	chromosome 10 open reading frame 116	C10orf116	178.5	59.6	-1.5	164.5	57.5	-1.1
226398_s_at	AI804930	chromosome 10 open reading frame 4	C10orf4	196.4	130.9	-1	204.9	89.2	-1.2
223058_at	AL136885	chromosome 10 open reading frame 45	C10orf45	618.4	193	-1.7	713.5	210.1	-1.8
212423_at	AK024784	chromosome 10 open reading frame 56	C10orf56	129.5	58.9	-1	103.1	46.1	-1.1
203481_at	AI655902	chromosome 10 open reading frame 6	C10orf6	175.7	71.5	-1.3	166.2	53.5	-1
211376_s_at	BC005212	chromosome 10 open reading frame 86	C10orf86	377.4	219.2	-0.6	284.3	109.2	-1.6
222467_s_at	AK023950	chromosome 11 open reading frame 23	C11orf23	585.7	240.4	-1.3	551.2	188.1	-1.5
225946_at	BG484552	Chromosome 12 open reading frame 2	C12orf2	265.8	98.6	-1.3	286.1	146.5	-0.7
222478_at	AL576924	chromosome 13 open reading frame 9	C13orf9	498.3	259.8	-1	372.1	210.9	-0.6
202562_s_at	AL136658	chromosome 14 open reading frame 1	C14orf1	632	363.4	-0.8	399.2	155.8	-1.3
218571_s_at	NM_014169	chromosome 14 open reading frame 123	C14orf123	435.9	294.2	-0.2	348.9	138.5	-1.3
213398_s_at	AI347090	chromosome 14 open reading frame 124	C14orf124	260.2	171.3	-0.7	212.9	125.8	-0.9
210532_s_at	AF116639	chromosome 14 open reading frame 2	C14orf2	2776.4	1287.4	-1	3276.4	1377.7	-1.2
226244_at	BF059395	chromosome 14 open reading frame 27	C14orf27	754.4	185.1	-2	674.3	88.2	-2.8
225679_at	AA534210	Chromosome 14 open reading frame 35	C14orf35	519.2	254.5	-1.2	626.8	260.7	-1.1
212165_at	AF070537	chromosome 1 open reading frame 37	C1orf37	673.8	166.8	-2	685.4	111.1	-2.4
215017_s_at	AW270932	chromosome 1 open reading frame 39	C1orf39	1018.6	664.1	-0.6	848.1	402.5	-1
228737_at	AA211909	chromosome 20 open reading frame 100	C20orf100	357.9	205.2	-0.7	236.8	105.1	-1.1
225687_at	BC001068	chromosome 20 open reading frame 129	C20orf129	421.3	118.1	-1.8	170.9	35.8	-2.1
226607_at	AI498144	chromosome 20 open reading frame 194	C20orf194	474.7	208.1	-1	391.6	185.8	-0.7
218089_at	NM_015511	chromosome 20 open reading frame 4	C20orf4	188.7	66.6	-1.4	161.9	61.4	-1.2
222441_x_at	BF032213	chromosome 20 open reading frame 45	C20orf45	485.1	315.6	-0.9	562.2	258.6	-1
212875_s_at	AP_001745	chromosome 21 open reading frame 25	C21orf25	493.4	240.2	-1	517.3	293.8	-0.8
224932_at	AI814909	chromosome 22 open reading frame 16	C22orf16	439.2	323.9	-0.9	387.7	233.4	-1.2
221984_s_at	AL040896	chromosome 2 open reading frame 17	C2orf17	455.1	275.9	-0.8	344.4	173.1	-0.8
225579_at	AL516202	chromosome 2 open reading frame 22	C2orf22	348.1	151.8	-1	339.4	110.4	-1.8
204364_s_at	BE535746	chromosome 2 open reading frame 23	C2orf23	208.6	168.7	-0.2	127.8	41.5	-1.4
223157_at	BC004894	chromosome 4 open reading frame 14	C4orf14	538.9	170.8	-1.7	569.4	134.3	-2.1
201310_s_at	NM_004772	chromosome 5 open reading frame 13	C5orf13	1162.7	666.9	-0.9	877.1	567.8	-0.6
203024_s_at	NM_020199	chromosome 5 open reading frame 15	C5orf15	622.3	436.1	-0.6	741.9	434.3	-0.9
222682_s_at	AI307615	chromosome 5 open reading frame 3	C5orf3	257	117.1	-1.2	262.2	98.8	-1.8
218023_s_at	NM_016605	chromosome 5 open reading frame 6	C5orf6	364.7	222.8	-0.7	400.8	173.1	-1.3
212176_at	AA902326	chromosome 6 open reading frame 111	C6orf111	215.5	112.9	-0.8	223.8	74.9	-1
227456_s_at	BF224092	chromosome 6 open reading frame 136	C6orf136	107.3	75	-0.6	122.6	69.9	-1
226490_at	AA503387	Chromosome 6 open reading frame 63	C6orf63	451.5	331.2	-0.4	467.6	224.2	-1.2
225576_at	AI948460	chromosome 6 open reading frame 72	C6orf72	391.9	331.3	-0.5	568.9	316.4	-1
1554414_a_at	BC031054	chromosome 8 open reading frame 1	C8orf1	190	229	0.3	366.5	82.7	-2.1
218541_s_at	NM_020130	chromosome 8 open reading frame 4	C8orf4	835	271.2	-1.1	908.3	89.3	-3
224458_at	BC006115	chromosome 9 open reading frame 125 /// chromosome 9 open reading frame 125	C9orf125	465.3	330.7	-0.5	382.1	154.5	-1.1
223006_s_at	AL567431	chromosome 9 open reading frame 5	C9orf5	936.7	468.1	-0.9	792	371.8	-0.9
223075_s_at	AL136566	chromosome 9 open reading frame 58	C9orf58	391.1	243	-1	200.9	33.6	-2.4
223559_s_at	AF161411	chromosome 9 open reading frame 80	C9orf80	512.8	307.7	-0.8	428.3	212.6	-1
219147_s_at	NM_017881	chromosome 9 open reading frame 95	C9orf95	453.5	265.8	-1	483.6	172.6	-1.7
212586_at	AA195244	calpastatin	CAST	1788.6	1023.5	-0.8	1594.7	680.5	-1
212097_at	AU147399	caveolin 1, caveolae protein, 22kDa	CAV1	7928	5584	-0.5	9225.3	3891.9	-1.3
228827_at	AI217416	Core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related	CBFA2T1	177.4	58.7	-1.8	120.7	17.8	-2.7
225231_at	AI828967	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	431.4	176.6	-1.3	353.3	133.7	-1.4
217988_at	NM_021178	cyclin B1 interacting protein 1	CCNB1IP1	454.8	264.5	-1	567.6	237.3	-1.1
201955_at	AL137784	cyclin C	CCNC	1139.4	801.2	-0.8	1007.8	571.4	-0.9
223084_s_at	AF246144	cyclin D-type binding-protein 1	CCNDBP1	985.5	551.6	-0.8	1025.4	416	-1.2
206488_s_at	NM_000072	CD36 antigen (collagen type I receptor, thrombospondin receptor)	CD36	405.1	358	-0.2	313.4	69.2	-2.4
217879_at	AL566824	cell division cycle 27	CDC27	490	262.2	-1	507	197.9	-1.4
226056_at	AB033030	KIAA1204 protein	CDGAP	250.9	100.3	-1.3	196.2	70.7	-1.6
212899_at	AB028951	cyclin-dependent kinase (CDC2-like) 11	CDK11	225.4	158.4	-0.7	194.4	106.5	-1
224847_at	AW051349	cyclin-dependent kinase 6	CDK6	250	137.9	-0.8	419.7	101.8	-2.1
204831_at	R59697	Cyclin-dependent kinase 8	CDK8	303	69	-2	367.9	49	-2.5
209112_at	BC001971	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	1225.6	662.1	-0.8	767.2	508.5	-0.9
213348_at	N33167	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	961.6	1015.2	0	639.4	132.5	-2.2
206210_s_at	NM_000078	cholesteryl ester transfer protein, plasma	CETP	215.8	112.2	-0.9	215.3	93.9	-1.4
218628_at	NM_016053	CGI-116 protein	CGI-116	236.1	80.6	-1.4	228.4	72.1	-1.7
223649_s_at	AF317711	CGI-69 protein	CGI-69	321.6	179.1	-0.9	392.6	143	-1.4
208807_s_at	U91543	chromodomain helicase DNA binding protein 3	CHD3	165.1	122.4	-0.5	192.5	76.9	-1.2
201184_s_at	NM_001273	chromodomain helicase DNA binding protein 4	CHD4	338.4	220.7	-0.8	339.9	128.8	-1.6
226123_at	AI870918	chromodomain helicase DNA binding protein 7	CHD7	360.1	174.5	-1.1	460.7	148.4	-1.7
212624_s_at	BF339445	chimerin (chimaerin) 1	CHN1	444.5	263.2	-0.7	370.5	200.1	-0.9
206633_at	NM_000079	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	CHRNA1	502.5	257	-1.1	528.5	85	-2.9
218252_at	NM_018204	cytoskeleton associated protein 2	CKAP2	254.6	150.6	-1.1	185.8	120.2	-0.6
224733_at	AL574900	chemokine-like factor super family 3	CKLFSF3	571.7	295.2	-1.2	735.6	313.8	-1.2
201897_s_at	NM_001826	CDC28 protein kinase regulatory subunit 1B	CKS1B	465.6	229.2	-1.1	218.6	96.7	-1.1
219761_at	NM_016511	C-type lectin-like receptor-1	CLEC1	731.2	304	-1.1	1016.9	468.2	-1.5
226169_at	AW276572	Charcot-Marie-Tooth neuropathy 4B2 (autosomal recessive, with myelin outfolding)	CMT4B2	286.6	170.6	-0.9	229.5	97	-1.4
217752_s_at	NM_018235	CNDP dipeptidase 2 (metallopeptidase M20 family)	CNDP2	877.7	503.4	-0.7	625.2	252.3	-1.7
1552344_s_at	NM_054026	CCR4-NOT transcription complex, subunit 7	CNOT7	261.9	165.1	-0.8	222.8	110.6	-0.7
203654_s_at	NM_004645	coilin	COIL	217.6	149.3	-0.7	163	113.9	-1
213110_s_at	AW052179	collagen, type IV, alpha 5 (Alport syndrome)	COL4A5	443.1	159.6	-1.6	375.3	219.5	-1
221729_at	AL575735	collagen, type V, alpha 2	COL5A2	966	384.3	-1.3	1730.9	274.1	-2.5
226237_at	AL359062	Collagen, type VIII, alpha 1	COL8A1	1922.9	921.9	-1.2	1963.8	530.6	-2
221676_s_at	BC002342	coronin, actin binding protein, 1C	CORO1C	1775.2	902.2	-0.8	1855.9	1154	-0.7
211727_s_at	BC005895	COX11 homolog, cytochrome c oxidase assembly protein (yeast) /// COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11	575.6	292	-0.9	468.1	204.6	-1.2
201943_s_at	NM_001304	carboxypeptidase D	CPD	752	553.7	-0.5	926.6	374.3	-1.2
202160_at	NM_004380	CREB binding protein (Rubinstein-Taybi syndrome)	CREBBP	458.3	309.5	-0.5	355.5	175.1	-1
208669_s_at	AF109873	CREBBP/EP300 inhibitor 1	CRI1	1429.8	394.7	-1.6	1004.5	158.6	-2.9
202329_at	NM_004383	c-src tyrosine kinase	CSK	409.6	287.3	-0.6	426.4	187.7	-1.2
203575_at	NM_001896	casein kinase 2, alpha prime polypeptide	CSNK2A2	604.4	343.4	-0.8	573.8	295.4	-1.1
201906_s_at	NM_005808	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	CTDSPL	668.7	238.1	-1.4	234.2	108.2	-1.1
210844_x_at	D14705	catenin (cadherin-associated protein), alpha 1, 102kDa	CTNNA1	2463.9	603.8	-1.9	2368.1	409.4	-2.5
208407_s_at	NM_001331	catenin (cadherin-associated protein), delta 1	CTNND1	1110.5	689.7	-0.7	847.7	415.1	-0.9
222819_at	AK025654	CTP synthase II	CTPS2	141	64.5	-1	110.3	51.8	-1
221743_at	AI472139	CUG triplet repeat, RNA binding protein 1	CUGBP1	1232.5	538.3	-1.3	1096.8	438.7	-1.2
204470_at	NM_001511	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	252.1	164.7	-0.5	1161.5	296.4	-1.8
222911_s_at	AI796127	chromosome X open reading frame 36	CXorf36	609.5	296.5	-1.1	757.4	156.8	-2.6
235044_at	H06649	cysteine and tyrosine-rich 1	CYYR1	392.9	209.9	-0.9	230.7	68.2	-1.8
210320_s_at	AF077033	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	DDX52	142.9	100.3	-0.9	120	82.1	-0.6
207431_s_at	NM_003676	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	DEGS	1524	1069.5	-0.5	1169.5	693.3	-1.1
223286_at	BC002762	S-phase 2 protein	DERP6	272.2	146.1	-1	260	70.8	-1.8
