Probe Set ID	In final signature?	Gene Symbol	Orientation	Description
ADXCRPD.5200.C1_at	No		No Genome match
ADXCRPD.5221.C2_at	No	N/A	Sense (includes Intronic)	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRPD.5236.C1_at	No	MBD3	Sense (Fully Exonic)	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:6918]
ADXCRPD.5239.C1_s_at	No	FAM104A	AntiSense	family with sequence similarity 104_ member A [Source:HGNC Symbol;Acc:25918]
ADXCRPD.5267.C1_at	No	PHF16	Sense (Fully Exonic)	PHD finger protein 16 [Source:HGNC Symbol;Acc:22982]
ADXCRPD.5273.C2_s_at	No	CARM1	Sense (Fully Exonic)	coactivator-associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:23393]
ADXCRPD.5298.C1_s_at	No	RTF1	Sense (Fully Exonic)	Rtf1_ Paf1/RNA polymerase II complex component_ homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:28996]
ADXCRPD.5313.C1_at	No		No Genome match
ADXCRPD.5343.C1_at	No		No Genome match
ADXCRPD.5347.C1_x_at	No	SIRT6	Sense (Fully Exonic)	sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae) [Source:HGNC Symbol;Acc:14934]
ADXCRPD.5354.C1_s_at	No	SCARNA2	AntiSense	Small nucleolar RNA U2-25  [Source:RFAM;Acc:RF01268]
ADXCRPD.536.C1_x_at	No	LETM1	Sense (Fully Exonic)	leucine zipper-EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:6556]
ADXCRPD.5383.C1_s_at	No	KPNA3	Sense (Fully Exonic)	karyopherin alpha 3 (importin alpha 4) [Source:HGNC Symbol;Acc:6396]
ADXCRPD.5384.C1_at	No	C17orf84 /// MPRIP	AntiSense /// AntiSense	Uncharacterized protein C17orf84. Fragment  [Source:UniProtKB/TrEMBL;Acc:Q9H656] /// myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:30321]
ADXCRPD.5393.C1_at	No		No Transcript match
ADXCRPD.5395.C1_s_at	No	CLN6	Sense (Fully Exonic)	ceroid-lipofuscinosis_ neuronal 6_ late infantile_ variant [Source:HGNC Symbol;Acc:2077]
ADXCRPD.5417.C1_s_at	No	UPF2	Sense (Fully Exonic)	UPF2 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:17854]
ADXCRPD.5428.C1_at	No	TMEM186	Sense (Fully Exonic)	transmembrane protein 186 [Source:HGNC Symbol;Acc:24530]
ADXCRPD.5447.C1_at	No	IVNS1ABP	AntiSense	influenza virus NS1A binding protein [Source:HGNC Symbol;Acc:16951]
ADXCRPD.5486.C1_at	No	SOX4	AntiSense	SRY (sex determining region Y)-box 4 [Source:HGNC Symbol;Acc:11200]
ADXCRPD.5486.C1_x_at	No	SOX4	AntiSense	SRY (sex determining region Y)-box 4 [Source:HGNC Symbol;Acc:11200]
ADXCRPD.5497.C1_s_at	No	RAB8A	Sense (Fully Exonic)	RAB8A_ member RAS oncogene family [Source:HGNC Symbol;Acc:7007]
ADXCRPD.5509.C1_x_at	No	GCHFR	Sense (Fully Exonic)	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:4194]
ADXCRPD.5518.C1_s_at	No	CBX5	Sense (Fully Exonic)	chromobox homolog 5 (HP1 alpha homolog_ Drosophila) [Source:HGNC Symbol;Acc:1555]
ADXCRPD.552.C1_at	No	SMARCC2	AntiSense	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily c_ member 2 [Source:HGNC Symbol;Acc:11105]
ADXCRPD.552.C1_x_at	No	SMARCC2	AntiSense	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily c_ member 2 [Source:HGNC Symbol;Acc:11105]
ADXCRPD.5540.C1_at	No	TMEM30A /// COX7A2	AntiSense /// AntiSense	transmembrane protein 30A [Source:HGNC Symbol;Acc:16667] /// cytochrome c oxidase subunit VIIa polypeptide 2 (liver) [Source:HGNC Symbol;Acc:2288]
ADXCRPD.5552.C1_at	No	PPP1R14BP3 /// PPP1R14B	Sense (Fully Exonic) /// Sense (Fully Exonic)	protein phosphatase 1_ regulatory (inhibitor) subunit 14B pseudogene 3 [Source:HGNC Symbol;Acc:16330] /// protein phosphatase 1_ regulatory (inhibitor) subunit 14B [Source:HGNC Symbol;Acc:9057]
ADXCRPD.5552.C1_x_at	No	PPP1R14B	Sense (Fully Exonic)	protein phosphatase 1_ regulatory (inhibitor) subunit 14B [Source:HGNC Symbol;Acc:9057]
ADXCRPD.5576.C2_at	No		No Transcript match
ADXCRPD.5647.C2_s_at	No	N/A	Sense (Fully Exonic)	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRPD.567.C1_at	No		No Transcript match
ADXCRPD.5726.C1_s_at	No	KTN1	Sense (Fully Exonic)	kinectin 1 (kinesin receptor) [Source:HGNC Symbol;Acc:6467]
ADXCRPD.5743.C1_s_at	No	STX4	Sense (Fully Exonic)	syntaxin 4 [Source:HGNC Symbol;Acc:11439]
ADXCRPD.5749.C1_x_at	No	DBP	AntiSense	D site of albumin promoter (albumin D-box) binding protein [Source:HGNC Symbol;Acc:2697]
ADXCRPD.5761.C1_x_at	No	SMARCD1	Sense (Fully Exonic)	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily d_ member 1 [Source:HGNC Symbol;Acc:11106]
ADXCRPD.5831.C1_x_at	No	HIST2H4A /// HIST2H4B	Sense (Fully Exonic) /// Sense (Fully Exonic)	histone cluster 2_ H4a [Source:HGNC Symbol;Acc:4794] /// histone cluster 2_ H4b [Source:HGNC Symbol;Acc:29607]
ADXCRPD.5919.C1_at	No	NMB	Sense (Fully Exonic)	neuromedin B [Source:HGNC Symbol;Acc:7842]
ADXCRPD.592.C1_x_at	No	MTDH	Sense (Fully Exonic)	metadherin [Source:HGNC Symbol;Acc:29608]
ADXCRPD.5946.C1_at	No	ALKBH6	Sense (Fully Exonic)	alkB_ alkylation repair homolog 6 (E. coli) [Source:HGNC Symbol;Acc:28243]
ADXCRPD.5947.C1_s_at	No	WDR26	Sense (Fully Exonic)	WD repeat domain 26 [Source:HGNC Symbol;Acc:21208]
ADXCRPD.5957.C1_at	No	SNRPD3	Sense (Fully Exonic)	small nuclear ribonucleoprotein D3 polypeptide 18kDa [Source:HGNC Symbol;Acc:11160]
ADXCRPD.5985.C1_at	No	SH3D19	Sense (Fully Exonic)	SH3 domain containing 19 [Source:HGNC Symbol;Acc:30418]
ADXCRPD.599.C1_at	No	CD52	Sense (Fully Exonic)	CD52 molecule [Source:HGNC Symbol;Acc:1804]
ADXCRPD.6002.C2_s_at	No	CHD4	Sense (Fully Exonic)	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:1919]
ADXCRPD.6030.C1_at	No	CALCOCO2	Sense (Fully Exonic)	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:29912]
ADXCRPD.6045.C1_at	No	SCAMP2	Sense (Fully Exonic)	secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:10564]
ADXCRPD.6054.C1_at	No		No Transcript match
ADXCRPD.6070.C1_s_at	No	TSC1	Sense (Fully Exonic)	tuberous sclerosis 1 [Source:HGNC Symbol;Acc:12362]
ADXCRPD.6083.C1_s_at	No	CALM1	AntiSense	calmodulin 1 (phosphorylase kinase_ delta) [Source:HGNC Symbol;Acc:1442]
ADXCRPD.6085.C1_at	No	NRAS	AntiSense	neuroblastoma RAS viral (v-ras) oncogene homolog [Source:HGNC Symbol;Acc:7989]
ADXCRPD.6096.C1_at	No	NUP133	Sense (Fully Exonic)	nucleoporin 133kDa [Source:HGNC Symbol;Acc:18016]
ADXCRPD.6101.C1_s_at	No	AP1G1	Sense (Fully Exonic)	adaptor-related protein complex 1_ gamma 1 subunit [Source:HGNC Symbol;Acc:555]
ADXCRPD.6145.C1_s_at	No	ACBD4	Sense (Fully Exonic)	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:23337]
ADXCRPD.617.C1_x_at	No	PSMD4	Sense (Fully Exonic)	proteasome (prosome_ macropain) 26S subunit_ non-ATPase_ 4 [Source:HGNC Symbol;Acc:9561]
ADXCRPD.6176.C1_at	No	PMPCA	Sense (Fully Exonic)	peptidase (mitochondrial processing) alpha [Source:HGNC Symbol;Acc:18667]
ADXCRPD.6218.C3_at	No	PAPSS2	Sense (Fully Exonic)	3-phosphoadenosine 5-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:8604]
ADXCRPD.6237.C1_at	No	CHST3	AntiSense	carbohydrate (chondroitin 6) sulfotransferase 3 [Source:HGNC Symbol;Acc:1971]
ADXCRPD.6260.C3_x_at	No	TRIO	AntiSense	triple functional domain (PTPRF interacting) [Source:HGNC Symbol;Acc:12303]
ADXCRPD.6275.C1_s_at	No	ARHGAP26	AntiSense	Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:17073]
ADXCRPD.6285.C1_at	No	PITPNC1	AntiSense	phosphatidylinositol transfer protein_ cytoplasmic 1 [Source:HGNC Symbol;Acc:21045]
ADXCRPD.6300.C1_x_at	No	CDK5	Sense (Fully Exonic)	cyclin-dependent kinase 5 [Source:HGNC Symbol;Acc:1774]
ADXCRPD.6315.C1_s_at	No	TPM4	Sense (Fully Exonic)	tropomyosin 4 [Source:HGNC Symbol;Acc:12013]
ADXCRPD.6337.C1_s_at	No	HK1	Sense (Fully Exonic)	hexokinase 1 [Source:HGNC Symbol;Acc:4922]
ADXCRPD.6356.C1_s_at	No	ZFAND2A	Sense (Fully Exonic)	zinc finger_ AN1-type domain 2A [Source:HGNC Symbol;Acc:28073]
ADXCRPD.6365.C1_s_at	No	N/A	Sense (Fully Exonic)	Prolow-density lipoprotein receptor-related protein 1 Precursor (LRP-1)(Alpha-2-macroglobulin receptor)(A2MR)(Apolipoprotein E receptor)(APOER)(CD91 antigen) [Contains Low-density lipoprotein receptor-related protein 1 85 kDa subunit(LRP-85);Low-den /.../
ADXCRPD.6370.C1_at	No	FAM50A	Sense (Fully Exonic)	family with sequence similarity 50_ member A [Source:HGNC Symbol;Acc:18786]
ADXCRPD.639.C1_s_at	No	ROCK2	Sense (Fully Exonic)	Rho-associated_ coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:10252]
ADXCRPD.6409.C1_s_at	No	EPS8L2	Sense (Fully Exonic)	EPS8-like 2 [Source:HGNC Symbol;Acc:21296]
ADXCRPD.6421.C1_at	No		No Genome match
ADXCRPD.644.C1_s_at	No	ACAA1	Sense (Fully Exonic)	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:82]
ADXCRPD.6443.C1_at	No	WDR74	Sense (Fully Exonic)	WD repeat domain 74 [Source:HGNC Symbol;Acc:25529]
ADXCRPD.6449.C2_at	No	YLPM1	AntiSense	YLP motif containing 1 [Source:HGNC Symbol;Acc:17798]
ADXCRPD.6453.C1_s_at	No	COL1A1	Sense (Fully Exonic)	collagen_ type I_ alpha 1 [Source:HGNC Symbol;Acc:2197]
ADXCRPD.6459.C1_at	No	ASNA1	Sense (Fully Exonic)	arsA arsenite transporter_ ATP-binding_ homolog 1 (bacterial) [Source:HGNC Symbol;Acc:752]
ADXCRPD.6459.C1_x_at	No	ASNA1	Sense (Fully Exonic)	arsA arsenite transporter_ ATP-binding_ homolog 1 (bacterial) [Source:HGNC Symbol;Acc:752]
ADXCRPD.6460.C1_s_at	No	N/A	Sense (Fully Exonic)	KNOWN pseudogene (Clone_based_vega_gene)
ADXCRPD.6463.C1_at	No	SBNO1	AntiSense	strawberry notch homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:22973]
ADXCRPD.6470.C1_at	No	CCDC57	Sense (Fully Exonic)	coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:27564]
ADXCRPD.6502.C1_at	No	GEMIN7	Sense (Fully Exonic)	gem (nuclear organelle) associated protein 7 [Source:HGNC Symbol;Acc:20045]
ADXCRPD.6510.C1_at	No		No Genome match
ADXCRPD.6549.C1_at	No	S100A1	Sense (Fully Exonic)	S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:10486]
ADXCRPD.6552.C1_s_at	No	VAC14	Sense (Fully Exonic)	Vac14 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25507]
ADXCRPD.6558.C3_s_at	No	C9orf16	Sense (Fully Exonic)	UPF0184 protein C9orf16  [Source:UniProtKB/Swiss-Prot;Acc:Q9BUW7]
ADXCRPD.6561.C1_at	No	SASS6	Sense (Fully Exonic)	spindle assembly 6 homolog (C. elegans) [Source:HGNC Symbol;Acc:25403]
ADXCRPD.6567.C1_at	No	DRG2 /// MYO15A	Sense (Fully Exonic) /// Sense (Fully Exonic)	developmentally regulated GTP binding protein 2 [Source:HGNC Symbol;Acc:3030] /// myosin XVA [Source:HGNC Symbol;Acc:7594]
ADXCRPD.6567.C1_x_at	No	DRG2 /// MYO15A	Sense (Fully Exonic) /// Sense (Fully Exonic)	developmentally regulated GTP binding protein 2 [Source:HGNC Symbol;Acc:3030] /// myosin XVA [Source:HGNC Symbol;Acc:7594]
ADXCRPD.6573.C1_s_at	No	BRPF3	Sense (Fully Exonic)	bromodomain and PHD finger containing_ 3 [Source:HGNC Symbol;Acc:14256]
ADXCRPD.6577.C1_at	No	HNRPDL	AntiSense	heterogeneous nuclear ribonucleoprotein D-like [Source:HGNC Symbol;Acc:5037]
ADXCRPD.6578.C1_s_at	No		No Genome match
ADXCRPD.6619.C2_s_at	No	ANKRD30BL	Sense (Fully Exonic)	ankyrin repeat domain 30B-like [Source:HGNC Symbol;Acc:35167]
ADXCRPD.6645.C1_at	No	SPG7	Sense (Fully Exonic)	spastic paraplegia 7 (pure and complicated autosomal recessive) [Source:HGNC Symbol;Acc:11237]
ADXCRPD.6692.C1_s_at	No	CNOT6	Sense (includes Intronic)	CCR4-NOT transcription complex_ subunit 6 [Source:HGNC Symbol;Acc:14099]
ADXCRPD.6696.C1_at	No	TATDN1	Sense (includes Intronic)	TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:24220]
ADXCRPD.6696.C1_x_at	No	TATDN1	Sense (includes Intronic)	TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:24220]
ADXCRPD.6740.C1_s_at	No	ATP5C1	Sense (includes Intronic)	ATP synthase_ H+ transporting_ mitochondrial F1 complex_ gamma polypeptide 1 [Source:HGNC Symbol;Acc:833]
ADXCRPD.6765.CB1_at	No	MT-CYB	Sense (Fully Exonic)	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:7427]
ADXCRPD.6765.CB1_x_at	No	MT-CYB	Sense (Fully Exonic)	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:7427]
ADXCRPD.677.C1_s_at	No	DDX3X	AntiSense	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3_ X-linked [Source:HGNC Symbol;Acc:2745]
ADXCRPD.6773.C1_at	No		No Transcript match
ADXCRPD.6816.C1_s_at	No	TEAD4	Sense (Fully Exonic)	TEA domain family member 4 [Source:HGNC Symbol;Acc:11717]
ADXCRPD.6818.C1_x_at	No	TMEM63A	Sense (Fully Exonic)	transmembrane protein 63A [Source:HGNC Symbol;Acc:29118]
ADXCRPD.6819.C1_s_at	No	CSNK1G2	Sense (Fully Exonic)	casein kinase 1_ gamma 2 [Source:HGNC Symbol;Acc:2455]
ADXCRPD.6849.C1_s_at	No	TAPBPL	Sense (Fully Exonic)	TAP binding protein-like [Source:HGNC Symbol;Acc:30683]
ADXCRPD.6852.C1_s_at	No	HOXB6	Sense (Fully Exonic)	homeobox B6 [Source:HGNC Symbol;Acc:5117]
ADXCRPD.6854.C1_x_at	No	N/A	Sense (Fully Exonic)	Hepatoma-derived growth factor-related protein 2 (HRP-2)(Hepatoma-derived growth factor 2)(HDGF-2) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z4V5]
ADXCRPD.6875.C1_at	No	MGEA5	Sense (Fully Exonic)	meningioma expressed antigen 5 (hyaluronidase) [Source:HGNC Symbol;Acc:7056]
ADXCRPD.6879.C1_s_at	No	TNFRSF21	Sense (Fully Exonic)	tumor necrosis factor receptor superfamily_ member 21 [Source:HGNC Symbol;Acc:13469]
ADXCRPD.6915.C1_at	No	GALM	Sense (Fully Exonic)	galactose mutarotase (aldose 1-epimerase) [Source:HGNC Symbol;Acc:24063]
ADXCRPD.6915.C1_x_at	No	GALM	Sense (Fully Exonic)	galactose mutarotase (aldose 1-epimerase) [Source:HGNC Symbol;Acc:24063]
ADXCRPD.6919.C1_at	No	SURF6	Sense (Fully Exonic)	surfeit 6 [Source:HGNC Symbol;Acc:11478]
ADXCRPD.6919.C1_s_at	No	SURF6	Sense (Fully Exonic)	surfeit 6 [Source:HGNC Symbol;Acc:11478]
ADXCRPD.6958.C1_s_at	No	TMEM55B	Sense (Fully Exonic)	transmembrane protein 55B [Source:HGNC Symbol;Acc:19299]
ADXCRPD.6967.C1_x_at	No	SLC25A37	AntiSense	solute carrier family 25_ member 37 [Source:HGNC Symbol;Acc:29786]
ADXCRPD.7014.C1_at	No	SNX27	Sense (Fully Exonic)	sorting nexin family member 27 [Source:HGNC Symbol;Acc:20073]
ADXCRPD.7014.C1_x_at	No	SNX27	Sense (Fully Exonic)	sorting nexin family member 27 [Source:HGNC Symbol;Acc:20073]
ADXCRPD.7028.C3_at	No		No Genome match
ADXCRPD.7040.C1_s_at	No	INPPL1	Sense (Fully Exonic)	inositol polyphosphate phosphatase-like 1 [Source:HGNC Symbol;Acc:6080]
ADXCRPD.7043.C1_s_at	No	ZDHHC14	Sense (Fully Exonic)	zinc finger_ DHHC-type containing 14 [Source:HGNC Symbol;Acc:20341]
ADXCRPD.7078.C1_at	No	MUC5B	Sense (Fully Exonic)	mucin 5B_ oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:7516]
ADXCRPD.7078.C1_x_at	No	MUC5B	Sense (Fully Exonic)	mucin 5B_ oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:7516]
ADXCRPD.7098.C1_at	No	UIMC1	Sense (Fully Exonic)	ubiquitin interaction motif containing 1 [Source:HGNC Symbol;Acc:30298]
ADXCRPD.7107.C1_at	No	SLC12A2	Sense (Fully Exonic)	solute carrier family 12 (sodium/potassium/chloride transporters)_ member 2 [Source:HGNC Symbol;Acc:10911]
ADXCRPD.7107.C1_x_at	No	SLC12A2	Sense (Fully Exonic)	solute carrier family 12 (sodium/potassium/chloride transporters)_ member 2 [Source:HGNC Symbol;Acc:10911]
ADXCRPD.7115.C1_at	No	N/A	Sense (includes Intronic)	PUTATIVE processed_transcript (Clone_based_vega_gene)
ADXCRPD.7147.C1_at	No	RECQL4	Sense (Fully Exonic)	RecQ protein-like 4 [Source:HGNC Symbol;Acc:9949]
ADXCRPD.7174.C1_x_at	No	LRRC37B	AntiSense	leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:29070]
ADXCRPD.7185.C1_s_at	No	RCN3	Sense (Fully Exonic)	reticulocalbin 3_ EF-hand calcium binding domain [Source:HGNC Symbol;Acc:21145]
ADXCRPD.7196.C1_at	No	WHAMM	Sense (Fully Exonic)	WAS protein homolog associated with actin_ golgi membranes and microtubules [Source:HGNC Symbol;Acc:30493]
ADXCRPD.7196.C1_x_at	No	WHAMM	Sense (Fully Exonic)	WAS protein homolog associated with actin_ golgi membranes and microtubules [Source:HGNC Symbol;Acc:30493]
ADXCRPD.7200.C1_at	No	TRIP10	Sense (Fully Exonic)	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:12304]
ADXCRPD.7228.C1_at	No	LMBR1L	Sense (Fully Exonic)	limb region 1 homolog (mouse)-like [Source:HGNC Symbol;Acc:18268]
ADXCRPD.7249.C1_s_at	No	AMAC1L1	AntiSense	acyl-malonyl condensing enzyme 1-like 1 [Source:HGNC Symbol;Acc:31043]
ADXCRPD.7260.C1_s_at	No	SP1	Sense (Fully Exonic)	Sp1 transcription factor [Source:HGNC Symbol;Acc:11205]
ADXCRPD.7270.C1_at	No	MLLT4	AntiSense	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog_ Drosophila); translocated to_ 4 [Source:HGNC Symbol;Acc:7137]
ADXCRPD.7284.C1_at	No	TCF12	AntiSense	transcription factor 12 [Source:HGNC Symbol;Acc:11623]
ADXCRPD.7295.C1_s_at	No	RNF34	Sense (includes Intronic)	ring finger protein 34 [Source:HGNC Symbol;Acc:17297]
ADXCRPD.7296.C1_at	No	PLEKHA6	AntiSense	pleckstrin homology domain containing_ family A member 6 [Source:HGNC Symbol;Acc:17053]
ADXCRPD.7302.C1_x_at	No	SPRYD3	AntiSense	SPRY domain containing 3 [Source:HGNC Symbol;Acc:25920]
ADXCRPD.7324.C1_s_at	No	PUM1	Sense (Fully Exonic)	pumilio homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:14957]
ADXCRPD.7337.C1_s_at	No	RCOR3	Sense (Fully Exonic)	REST corepressor 3 [Source:HGNC Symbol;Acc:25594]
ADXCRPD.7340.C1_at	No	MCF2L2	Sense (Fully Exonic)	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:30319]
ADXCRPD.7342.C1_at	No	JHDM1D	AntiSense	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:22224]
ADXCRPD.7351.C1_s_at	No	ATP2C2	Sense (Fully Exonic)	ATPase_ Ca++ transporting_ type 2C_ member 2 [Source:HGNC Symbol;Acc:29103]
ADXCRPD.7359.C1_at	No	MMP14	AntiSense	matrix metallopeptidase 14 (membrane-inserted) [Source:HGNC Symbol;Acc:7160]
ADXCRPD.7373.C1_at	No		No Genome match
ADXCRPD.7391.C1_at	No	UBE4A	AntiSense	ubiquitination factor E4A (UFD2 homolog_ yeast) [Source:HGNC Symbol;Acc:12499]
ADXCRPD.7397.C1_s_at	No	TBC1D3C /// TBC1D3H /// N/A /// TBC1D3	Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic)	TBC1 domain family_ member 3C [Source:HGNC Symbol;Acc:24889] /// TBC1 domain family_ member 3H [Source:HGNC Symbol;Acc:30708] /// TBC1 domain family_ member 3  [Source:RefSeq peptide;Acc:NP_001116863] /// TBC1 domain family_ member 3 [Source:HGNC Symbol;Acc:19031]
ADXCRPD.7399.C1_at	No	DNPEP	Sense (includes Intronic)	aspartyl aminopeptidase [Source:HGNC Symbol;Acc:2981]
ADXCRPD.7401.C1_at	No	EIF4G3	AntiSense	eukaryotic translation initiation factor 4 gamma_ 3 [Source:HGNC Symbol;Acc:3298]
ADXCRPD.7401.C1_x_at	No	EIF4G3	AntiSense	eukaryotic translation initiation factor 4 gamma_ 3 [Source:HGNC Symbol;Acc:3298]
ADXCRPD.7412.C1_at	No	ECSIT	Sense (Fully Exonic)	ECSIT homolog (Drosophila) [Source:HGNC Symbol;Acc:29548]
ADXCRPD.7485.C1_s_at	No	MIR1182 /// FAM89A	Sense (Fully Exonic) /// Sense (Fully Exonic)	hsa-mir-1182 [Source:miRBase;Acc:MI0006275] /// family with sequence similarity 89_ member A [Source:HGNC Symbol;Acc:25057]
ADXCRPD.7507.C1_at	No	PARD3	Sense (Fully Exonic)	par-3 partitioning defective 3 homolog (C. elegans) [Source:HGNC Symbol;Acc:16051]
ADXCRPD.7531.C3_s_at	No	CNOT3	Sense (Fully Exonic)	CCR4-NOT transcription complex_ subunit 3 [Source:HGNC Symbol;Acc:7879]
ADXCRPD.7540.C1_at	No	ABLIM1	AntiSense	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:78]
ADXCRPD.7563.C1_at	No	ITPR2	Sense (Fully Exonic)	inositol 1_4_5-triphosphate receptor_ type 2 [Source:HGNC Symbol;Acc:6181]
ADXCRPD.7597.C1_at	No	RHOT2	Sense (Fully Exonic)	ras homolog gene family_ member T2 [Source:HGNC Symbol;Acc:21169]
ADXCRPD.7597.C1_x_at	No	RHOT2	Sense (Fully Exonic)	ras homolog gene family_ member T2 [Source:HGNC Symbol;Acc:21169]
ADXCRPD.7635.C1_s_at	No	COMT	Sense (Fully Exonic)	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:2228]
ADXCRPD.7646.C1_at	No	C16orf46	Sense (includes Intronic)	Uncharacterized protein C16orf46  [Source:UniProtKB/Swiss-Prot;Acc:Q6P387]
ADXCRPD.7680.C1_x_at	No	RN5-8S1 /// RN5-8S1	Sense (Fully Exonic) /// Sense (Fully Exonic)	5.8S ribosomal RNA  [Source:RFAM;Acc:RF00002] /// 5.8S ribosomal RNA  [Source:RFAM;Acc:RF00002]
ADXCRPD.7685.C1_s_at	No	MCL1	Sense (Fully Exonic)	myeloid cell leukemia sequence 1 (BCL2-related) [Source:HGNC Symbol;Acc:6943]
ADXCRPD.7698.C1_at	No	PLEKHA3	AntiSense	pleckstrin homology domain containing_ family A (phosphoinositide binding specific) member 3 [Source:HGNC Symbol;Acc:14338]
ADXCRPD.7733.C1_at	No	BCAN	AntiSense	brevican [Source:HGNC Symbol;Acc:23059]
ADXCRPD.7761.C1_at	No	DCPS	Sense (Fully Exonic)	decapping enzyme_ scavenger [Source:HGNC Symbol;Acc:29812]
ADXCRPD.779.C1_at	No	IP6K2 /// N/A	AntiSense /// AntiSense	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:17313] /// KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRPD.7800.C1_s_at	No	RBM33	Sense (Fully Exonic)	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:27223]
ADXCRPD.7804.C2_at	No	TMC5	Sense (includes Intronic)	transmembrane channel-like 5 [Source:HGNC Symbol;Acc:22999]
ADXCRPD.7812.C1_x_at	No	WDR73	Sense (Fully Exonic)	WD repeat domain 73 [Source:HGNC Symbol;Acc:25928]
ADXCRPD.7816.C1_at	No	TRIM2	AntiSense	tripartite motif-containing 2 [Source:HGNC Symbol;Acc:15974]
ADXCRPD.7825.C1_x_at	No	PCYT1A	Sense (Fully Exonic)	phosphate cytidylyltransferase 1_ choline_ alpha [Source:HGNC Symbol;Acc:8754]
ADXCRPD.7842.C1_s_at	No	PDS5A	Sense (Fully Exonic)	PDS5_ regulator of cohesion maintenance_ homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:29088]
ADXCRPD.7844.C1_at	No	SLC25A10	Sense (Fully Exonic)	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter)_ member 10 [Source:HGNC Symbol;Acc:10980]
ADXCRPD.7844.C1_x_at	No	SLC25A10	Sense (Fully Exonic)	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter)_ member 10 [Source:HGNC Symbol;Acc:10980]
ADXCRPD.7867.C1_s_at	No	B3GNTL1	Sense (Fully Exonic)	UDP-GlcNAc:betaGal beta-1_3-N-acetylglucosaminyltransferase-like 1 [Source:HGNC Symbol;Acc:21727]
ADXCRPD.7880.C1_at	No	ZNF747	Sense (Fully Exonic)	zinc finger protein 747 [Source:HGNC Symbol;Acc:28350]
ADXCRPD.7881.C1_at	No	RAB20	Sense (Fully Exonic)	RAB20_ member RAS oncogene family [Source:HGNC Symbol;Acc:18260]
ADXCRPD.7896.C1_s_at	No	SSH3	Sense (Fully Exonic)	slingshot homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:30581]
ADXCRPD.7919.C2_at	No	IRF7	Sense (Fully Exonic)	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:6122]
ADXCRPD.792.C3_x_at	No	BHLHE40	Sense (Fully Exonic)	basic helix-loop-helix family_ member e40 [Source:HGNC Symbol;Acc:1046]
