Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
BCAT1	A_24_P935986	chr12:24964452-24964511	BCAT1	NM_005504	Branched chain aminotransferase 1, cytosolic	molecular function|branched-chain-amino-acid transaminase activity|IEA|GO:0004084|GOA|na//molecular function|identical protein binding|IEA|GO:0042802|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|G1/S transition of mitotic cell cycle|TAS|GO:0000082|GOA|8692959//biological process|branched chain family amino acid biosynthetic process|IEA|GO:0009082|GOA|na//biological process|branched chain family amino acid catabolic process|IEA|GO:0009083|GOA|na//biological process|cell proliferation|TAS|GO:0008283|GOA|6933702//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|IEA|GO:0005829|GOA|na	M	1.2095	1.2095	0.0046	351.8698	430.9843	12
	A_24_P936376	chr1:207627639-207627698		X68990			F	0.6997	-1.4291	9.41E-10	230.1012	157.5166	12
CAND1	A_24_P93656	chr12:67704775-67704834	CAND1	AK027783	Cullin-associated and neddylation-dissociated 1	molecular function|TATA-binding protein binding|IEA|GO:0017025|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x43160f4)//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//biological process|cell differentiation|IDA|GO:0030154|GOA|10581176//biological process|negative regulation of catalytic activity|IDA|GO:0043086|GOA|12609982//biological process|positive regulation of RNA polymerase II transcriptional preinitiation complex assembly|IEA|GO:0045899|GOA|na//biological process|protein ubiquitination|IDA|GO:0016567|GOA|12609982//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|10581176//cellular component|ubiquitin ligase complex|IDA|GO:0000151|GOA|12609982	F	0.8197	-1.22	0.000071036	524.1014	429.6107	12
ACSL6	A_24_P941526	chr5:131288437-131288496	ACSL6	AB020644	Acyl-CoA synthetase long-chain family member 6	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|long-chain-fatty-acid-CoA ligase activity|NAS|GO:0004467|GOA|10548543//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|acyl-CoA metabolic process|NAS|GO:0006637|GOA|10548543//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|neuroblast proliferation|IEA|GO:0007405|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|microsome|NAS|GO:0005792|GOA|na//cellular component|mitochondrial outer membrane|NAS|GO:0005741|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|peroxisomal membrane|NAS|GO:0005778|GOA|na//cellular component|peroxisome|IEA|GO:0005777|GOA|na//cellular component|plasma membrane|NAS|GO:0005886|GOA|10548543	F	0.8208	-1.2183	0.0001	37.8667	30.9456	13
PLCB1	A_24_P941643	chr20:8864945-8865004	PLCB1	NM_182734	Phospholipase C, beta 1 (phosphoinositide-specific)	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|enzyme binding|IPI|GO:0019899|GOA|12799190//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phosphoinositide phospholipase C activity|NAS|GO:0004435|GOA|11118617//molecular function|signal transducer activity|IEA|GO:0004871|GOA|na//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|learning|IEA|GO:0007612|GOA|na//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|memory|IEA|GO:0007613|GOA|na//biological process|oxygen and reactive oxygen species metabolic process|IEA|GO:0006800|GOA|na//biological process|phosphoinositide metabolic process|IEA|GO:0030384|GOA|na//biological process|signal transduction|NAS|GO:0007165|GOA|11118617//cellular component|cytoplasm|IDA|GO:0005737|GOA|11118617//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0xf892c8)//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|10760467	M	1.236	1.236	7.21E-18	465.6589	576.7587	13
ALDH1L1	A_24_P941870	chr3:125870303-125870362	ALDH1L1	AL133015	Aldehyde dehydrogenase 1 family, member L1	molecular function|acyl carrier activity|IEA|GO:0000036|GOA|na//molecular function|catalytic activity|TAS|GO:0003824|GOA|10204077//molecular function|cofactor binding|IEA|GO:0048037|GOA|na//molecular function|formyltetrahydrofolate dehydrogenase activity|IEA|GO:0016155|GOA|na//molecular function|hydroxymethyl-, formyl- and related transferase activity|IEA|GO:0016742|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|10-formyltetrahydrofolate catabolic process|IEA|GO:0009258|GOA|na//biological process|biosynthetic process|IEA|GO:0009058|GOA|na//biological process|one-carbon metabolic process|IEA|GO:0006730|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	0.813	-1.23	0.0005	115.7924	93.5701	13
	A_24_P942374	chr1:222906810-222906869		AK098136	CDNA FLJ40817 fis, clone TRACH2010639		M	1.2281	1.2281	0.0003	767.6293	950.5845	13
MCTP2	A_24_P944154	chr15:94887180-94887239	MCTP2	AL832717	Multiple C2 domains, transmembrane 2	molecular function|calcium ion binding|IDA|GO:0005509|GOA|15528213//molecular function|calcium-dependent phospholipid binding|IDA|GO:0005544|GOA|15528213//biological process|calcium-mediated signaling|NAS|GO:0019722|GOA|15528213//cellular component|integral to membrane|IDA|GO:0016021|GOA|15528213//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|IDA|GO:0005624|GOA|15528213	F	0.7419	-1.3479	3.77E-12	193.4374	143.1768	13
	A_24_P944677	chr8:104085525-104085584					M	1.299	1.299	0.000039319	63.2878	82.5394	12
	A_24_P9883	chr11:65544040-65544099	DKFZp761E198	NM_138368	DKFZp761E198 protein		F	0.8412	-1.1888	0.0036	22.3951	18.5108	13
	A_32_P100475	chr9:46145248-46145307					M	1.1566	1.1566	0.0008	46.6897	53.7953	12
	A_32_P101019	chr17_ctg5_hap1:476674-476733					F	0.8059	-1.2409	0.0048	75.667	60.6981	12
	A_32_P102627	chr11:96009313-96009372					M	1.509	1.509	2.36E-18	77.848	117.276	13
	A_32_P105073	chr16:10567913-10567972					M	1.1708	1.1708	0.0001	272.0384	318.2288	12
	A_32_P106807	chr8:67116341-67116400					M	1.2021	1.2021	7.67E-12	137.1686	164.6892	12
ZNF516	A_32_P106864	chr18:74072405-74072464	ZNF516	NM_014643	Zinc finger protein 516	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	M	1.2888	1.2888	0.0007	352.735	458.2803	13
TRPS1	A_32_P106980	chr8:116421155-116421214	TRPS1	NM_014112	Trichorhinophalangeal syndrome I	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|19389374//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription repressor activity|IEA|GO:0016564|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|NLS-bearing substrate import into nucleus|TAS|GO:0006607|GOA|10615131//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|skeletal system development|TAS|GO:0001501|GOA|10615131//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10615131//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.3864	1.3864	1.90E-09	22.5583	31.0367	13
POM121L8P	A_32_P107983	chr22:18847141-18847200	POM121L8P	NR_024583			M	1.2943	1.2943	0.001	9.2561	12.0228	13
	A_32_P108203	chr3:50099098-50099157		BX648535			M	1.2727	1.2727	0.0002	2225.2019	2872.6077	12
	A_32_P108516	chr12:98943586-98943645		AJ293393	MRNA differentially expressed in malignant melanoma, clone MM D3		M	1.2744	1.2744	1.09E-13	27.5565	35.1087	13
	A_32_P112223	chr8:12426278-12426337					F	0.7489	-1.3354	0.000023136	14.6386	10.983	13
	A_32_P112623	chr9:46118595-46118654					M	1.1574	1.1574	0.0002	100.1886	116.5315	12
	A_32_P113190	chr8:110548568-110548627					M	1.4254	1.4254	0.000041622	37.9663	54.4126	13
	A_32_P114615	chr6:20855126-20855185					M	1.2352	1.2352	5.93E-07	141.9509	175.9288	12
RBM43	A_32_P116660	chr2:152105143-152105202	RBM43	NM_198557	RNA binding motif protein 43	molecular function|RNA binding|IEA|GO:0003723|GOA|na	F	0.8614	-1.161	0.0002	969.9302	831.2999	12
	A_32_P116685	chr6:42317094-42317153					F	0.7394	-1.3525	0.0008	11.0324	8.1679	12
	A_32_P11764	chr3:50051142-50051201					F	0.6957	-1.4373	3.90E-07	359.2111	258.3114	12
FH	A_32_P117957	chr1:241675395-241675445	FH	NM_000143	Fumarate hydratase	molecular function|fumarate hydratase activity|EXP|GO:0004333|GOA|8200987//molecular function|lyase activity|IEA|GO:0016829|GOA|na//biological process|fumarate metabolic process|IEA|GO:0006106|GOA|na//biological process|homeostasis of number of cells within a tissue|IEA|GO:0048873|GOA|na//biological process|malate metabolic process|IEA|GO:0006108|GOA|na//biological process|tricarboxylic acid cycle|IEA|GO:0006099|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|mitochondrial matrix|EXP|GO:0005759|GOA|8200987//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|tricarboxylic acid cycle enzyme complex|IEA|GO:0045239|GOA|na	M	1.1954	1.1954	0.0023	8.9573	10.6357	13
	A_32_P118657	chr3:61791138-61791197		AK022044	CDNA FLJ11982 fis, clone HEMBB1001335		M	1.2785	1.2785	2.12E-10	1622.681	2089.636	13
	A_32_P119604	chr3:16393507-16393566					M	1.265	1.265	4.13E-06	34.1137	43.4269	13
MDFIC	A_32_P120567	chr7:114619719-114619778	MDFIC	NM_199072	MyoD family inhibitor domain containing	molecular function|Tat protein binding|IDA|GO:0030957|GOA|ARRAY(0x286f190)//molecular function|cyclin binding|IPI|GO:0030332|GOA|12944466//molecular function|protein binding|IPI|GO:0005515|GOA|12192039//molecular function|transcription factor binding|IPI|GO:0008134|GOA|12192039//biological process|activation of JUN kinase activity|IPI|GO:0007257|GOA|12192039//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|12944466//biological process|positive regulation of viral transcription|IDA|GO:0050434|GOA|10671520//biological process|regulation of Wnt receptor signaling pathway|IPI|GO:0030111|GOA|12192039//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleolus|IEA|GO:0005730|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8572	-1.1666	0.000013816	359.2053	307.5196	13
	A_32_P12065	chr21:9747488-9747547	LOC284232	NR_027995			F	0.8511	-1.175	0.0015	234.9347	199.3798	13
	A_32_P121704	chr8:12434631-12434690					F	0.7483	-1.3363	0.0001	12.4842	9.4481	13
	A_32_P121978	chr2:40588701-40588760					F	0.819	-1.221	0.0032	156.7822	127.7617	12
BNC2	A_32_P12232	chr9:16413457-16413516	BNC2	NM_017637	Basonuclin 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	0.7667	-1.3042	0.0001	46.7316	34.9101	12
	A_32_P123293	chrUn_gl000221:4454-4498		BC029473			F	0.8272	-1.2089	3.53E-08	122.4514	101.1866	13
	A_32_P124493	chr10:48238616-48238675	LOC642826	AK096908	Hypothetical LOC642826		F	0.8683	-1.1517	0.001	635.7626	552.5306	13
	A_32_P124728	chr13:67796444-67796503					F	0.7179	-1.393	3.26E-10	187.601	135.7203	12
	A_32_P124773	chr3:156257997-156258056					M	1.1882	1.1882	0.0001	381.2772	453.1767	13
	A_32_P125542	chr13:92417842-92417901					M	1.1652	1.1652	0.000064389	72.1556	84.3404	12
	A_32_P125803	chr13:79998320-79998379		BC034812	CDNA clone IMAGE:4825606		F	0.8075	-1.2383	0.000053406	177.6859	144.2792	12
SMC5	A_32_P126609	chr9:72968897-72968956	SMC5	NM_015110	Structural maintenance of chromosomes 5	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|DNA recombination|IEA|GO:0006310|GOA|na//biological process|DNA repair|IEA|GO:0006281|GOA|na//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1595	1.1595	0.0003	1383.9335	1594.7552	13
IER3IP1	A_32_P126928	chr18:44681861-44681920	IER3IP1	NM_016097	Immediate early response 3 interacting protein 1	cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|ARRAY(0x17c2e6c)//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.2237	1.2237	0.000049673	17.0843	20.9182	13
	A_32_P127583	chr10:114594701-114594760					F	0.8646	-1.1566	0.0005	60.1312	51.6126	13
	A_32_P127599	chr10:119040486-119040545					M	1.2734	1.2734	0.000014073	172.1051	217.9758	13
	A_32_P127997	chr11:9481688-9481747	LOC644656	BC036621	Hypothetical protein LOC644656		M	1.158	1.158	0.0001	108.2616	125.4261	12
HIATL1	A_32_P129772	chr9:97222200-97222259	HIATL1	NM_032558	Hippocampus abundant transcript-like 1	molecular function|protein binding|IPI|GO:0005515|GOA|15231747//molecular function|tetracycline:hydrogen antiporter activity|IEA|GO:0015520|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|response to antibiotic|IEA|GO:0046677|GOA|na//biological process|tetracycline transport|IEA|GO:0015904|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7618	-1.3126	0.000044156	336.3029	254.8133	13
	A_32_P13202	chr1:10419287-10419345					F	0.8439	-1.185	0.0039	57.2971	48.191	13
	A_32_P132393	chr3:170114240-170114299		BC041913	CDNA clone IMAGE:5299642		M	1.2865	1.2865	1.90E-07	156.0416	202.4235	13
ZYG11A	A_32_P132589	chr1:53360071-53360130	ZYG11A	NM_001004339	Zyg-11 homolog A (C. elegans)	molecular function|binding|IEA|GO:0005488|GOA|na	F	0.8642	-1.1571	0.001	105.8103	91.3807	12
DYNC1H1	A_32_P132959	chr14:102516795-102516854	DYNC1H1	NM_001376	Dynein, cytoplasmic 1, heavy chain 1	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity, coupled|NAS|GO:0042623|GOA|na//molecular function|microtubule motor activity|NAS|GO:0003777|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1a6e4a4)//biological process|microtubule-based movement|NAS|GO:0007018|GOA|na//biological process|mitotic spindle organization|NAS|GO:0007052|GOA|8227145//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoplasmic dynein complex|NAS|GO:0005868|GOA|8666668//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x1d54b70)//cellular component|microtubule|IEA|GO:0005874|GOA|na	F	0.79	-1.2658	0.0009	14.9174	11.8867	12
	A_32_P133564	chr17:39077650-39077709					M	1.9461	1.9461	0.000033941	9.4827	17.8949	12
NSUN7	A_32_P136269	chr4:40763188-40763233	NSUN7	NM_024677	NOP2/Sun domain family, member 7	molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na	M	1.1901	1.1901	0.004	13.9097	16.5016	13
SERBP1	A_32_P139079	chrX:68004680-68004739	SERBP1	NM_015640	SERPINE1 mRNA binding protein 1	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|mRNA 3-UTR binding|IDA|GO:0003730|GOA|11001948//molecular function|protein binding|IPI|GO:0005515|GOA|12505151//biological process|regulation of anti-apoptosis|IEA|GO:0045767|GOA|na//biological process|regulation of mRNA stability|NAS|GO:0043488|GOA|11001948//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8609	-1.1616	1.81E-08	14101.0371	12119.2705	13
MIR17HG	A_32_P139196	chr13:92005000-92005059	MIR17HG	NR_027350			M	1.1964	1.1964	5.05E-11	747.6104	901.4553	13
	A_32_P139420	chr11:116644739-116644798		BC035670	Homo sapiens, clone IMAGE:5730164, mRNA		M	1.3789	1.3789	0.0012	8.1541	11.2662	12
	A_32_P139505	chr1:15394444-15394503	KAZ	NM_015209	Kazrin	biological process|keratinization|IEA|GO:0031424|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cornified envelope|IDA|GO:0001533|GOA|15337775//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|desmosome|IDA|GO:0030057|GOA|15337775//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8622	-1.1598	4.18E-08	315.4924	272.0369	13
	A_32_P140153	chr10:93806839-93806898					M	1.2616	1.2616	4.01E-07	336.1533	421.1362	13
AXL	A_32_P140501	chr19:41766715-41766774	AXL	NM_021913	AXL receptor tyrosine kinase	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transmembrane receptor protein tyrosine kinase activity|IEA|GO:0004714|GOA|na//biological process|cellular response to extracellular stimulus|IEA|GO:0031668|GOA|na//biological process|organ regeneration|IEA|GO:0031100|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1656220//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|IEA|GO:0007169|GOA|na//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.2192	1.2192	1.94E-09	699.7856	854.2252	13
PCSK9	A_32_P142440	chr1:55530453-55530512	PCSK9	NM_174936	Proprotein convertase subtilisin/kexin type 9	molecular function|apolipoprotein receptor binding|IDA|GO:0034190|GOA|18039658//molecular function|identical protein binding|IEA|GO:0042802|GOA|na//molecular function|low-density lipoprotein receptor binding|IDA|GO:0050750|GOA|17080197//molecular function|low-density lipoprotein receptor binding|IPI|GO:0050750|GOA|17452316//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|serine-type endopeptidase activity|IDA|GO:0004252|GOA|12552133//molecular function|serine-type endopeptidase activity|NAS|GO:0004252|GOA|12730697//molecular function|serine-type endopeptidase activity|TAS|GO:0004252|GOA|17170371//molecular function|very-low-density lipoprotein receptor binding|IDA|GO:0070326|GOA|18039658//biological process|cellular response to insulin stimulus|ISS|GO:0032869|GOA|12552133//biological process|cellular response to starvation|ISS|GO:0009267|GOA|16407292//biological process|cholesterol homeostasis|IMP|GO:0042632|GOA|17170371//biological process|cholesterol metabolic process|IEA|GO:0008203|GOA|na//biological process|induction of apoptosis|IEA|GO:0006917|GOA|na//biological process|kidney development|ISS|GO:0001822|GOA|12552133//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|liver development|ISS|GO:0001889|GOA|12552133//biological process|low-density lipoprotein receptor catabolic process|IDA|GO:0032802|GOA|16912035//biological process|lysosomal transport|IDA|GO:0007041|GOA|17452316//biological process|negative regulation of catalytic activity|IEA|GO:0043086|GOA|na//biological process|negative regulation of low-density lipoprotein particle clearance|IDA|GO:0010989|GOA|17328821//biological process|negative regulation of receptor recycling|IDA|GO:0001920|GOA|17452316//biological process|neurogenesis|ISS|GO:0022008|GOA|12552133//biological process|neuron differentiation|ISS|GO:0030182|GOA|12552133//biological process|phospholipid metabolic process|IEA|GO:0006644|GOA|na//biological process|positive regulation of neuron apoptosis|IMP|GO:0043525|GOA|17051583//biological process|positive regulation of receptor internalization|IDA|GO:0002092|GOA|17328821//biological process|protein autoprocessing|IDA|GO:0016540|GOA|14622975//biological process|protein maturation by peptide bond cleavage|IEA|GO:0051605|GOA|na//biological process|regulation of low-density lipoprotein receptor catabolic process|IEA|GO:0032803|GOA|na//biological process|regulation of receptor activity|IDA|GO:0010469|GOA|17328821//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//biological process|triglyceride metabolic process|IEA|GO:0006641|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|ARRAY(0x2ecbf80)//cellular component|extrinsic to external side of plasma membrane|IC|GO:0031232|GOA|17328821//cellular component|late endosome|IDA|GO:0005770|GOA|18039658//cellular component|lysosome|IDA|GO:0005764|GOA|18039658//cellular component|perinuclear region of cytoplasm|IDA|GO:0048471|GOA|18039658//cellular component|rough endoplasmic reticulum|IEA|GO:0005791|GOA|na	F	0.8327	-1.2009	3.35E-06	3777.4565	3046.752	13
	A_32_P145515	chr7:111760619-111760678					F	0.7983	-1.2527	0.0004	86.0717	68.1419	13
	A_32_P147658	chr6:37976553-37976612					F	0.7429	-1.3461	0.0001	141.2476	103.0331	13
	A_32_P149461	chr12:10399038-10399097					M	1.1798	1.1798	0.0014	54.5569	64.9255	12
