Accession No.	Gene Symbol	Exon.ID	P.Value	adj.P.Val	Transcript.ID	gene_assignment
NM_001992	F2R	2816462	0.010481396	0.95938015	2816459	NM_001992 // F2R // coagulation factor II (thrombin) receptor // 5q13 // 2149 /// ENST00000319211 // F2R // coagulation factor II (thrombin) receptor // 5q13 // 2149 /// BC002464 // F2R // coagulation factor II (thrombin) receptor // 5q13 // 2149 /// ENST00000396233 // F2R // coagulation factor II (thrombin) receptor // 5q13 // 2149
NM_001104554	PAQR5	3599759	0.010482232	0.95938015	3599758	NM_001104554 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852 /// NM_017705 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852 /// ENST00000395407 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852 /// ENST00000395410 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852 /// ENST00000340965 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852 /// BC039234 // PAQR5 // progestin and adipoQ receptor family member V // 15q23 // 54852
NM_206933	USH2A	2455757	0.010495244	0.95938015	2455699	NM_206933 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// NM_007123 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// ENST00000307340 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// ENST00000366942 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// ENST00000391891 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// AY481573 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399 /// ENST00000366943 // USH2A // Usher syndrome 2A (autosomal recessive, mild) // 1q41 // 7399
NM_006910	RBBP6	3653363	0.010500325	0.95938015	3653317	NM_006910 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// NM_018703 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// NM_032626 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// ENST00000319715 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// ENST00000348022 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// AB112074 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930 /// ENST00000381039 // RBBP6 // retinoblastoma binding protein 6 // 16p12.2 // 5930
NM_000359	TGM1	3558058	0.010504143	0.95938015	3558043	NM_000359 // TGM1 // transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) // 14q11.2 // 7051 /// ENST00000206765 // TGM1 // transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) // 14q11.2 // 7051 /// BC034699 // TGM1 // transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) // 14q11.2 // 7051
NM_018561	USP49	2953814	0.010510737	0.95938015	2953798	NM_018561 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000373006 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000297229 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// BC014176 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000394255 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000394253 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000373009 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862 /// ENST00000373010 // USP49 // ubiquitin specific peptidase 49 // 6p21 // 25862
NM_138290	RUNDC3B	3011423	0.010511153	0.95938015	3011409	NM_138290 // RUNDC3B // RUN domain containing 3B // 7q21.12 // 154661 /// ENST00000338056 // RUNDC3B // RUN domain containing 3B // 7q21.12 // 154661 /// BC022520 // RUNDC3B // RUN domain containing 3B // 7q21.12 // 154661 /// ENST00000394654 // RUNDC3B // RUN domain containing 3B // 7q21.12 // 154661 /// ENST00000312373 // RUNDC3B // RUN domain containing 3B // 7q21.12 // 154661
NM_203307	ZNF321	3869959	0.010512054	0.95938015	3869954	NM_203307 // ZNF321 // zinc finger protein 321 // 19q13.41 // 399669 /// ENST00000313956 // ZNF321 // zinc finger protein 321 // 19q13.41 // 399669 /// BC046449 // ZNF321 // zinc finger protein 321 // 19q13.41 // 399669 /// ENST00000391779 // ZNF321 // zinc finger protein 321 // 19q13.41 // 399669
NM_006011	ST8SIA2	3608958	0.01051213	0.95938015	3608952	NM_006011 // ST8SIA2 // ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 // 15q26 // 8128 /// ENST00000268164 // ST8SIA2 // ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 // 15q26 // 8128 /// BC096202 // ST8SIA2 // ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 // 15q26 // 8128 /// ENST00000378973 // ST8SIA2 // ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 // 15q26 // 8128
NM_023039	ANKRA2	2862406	0.010513281	0.95938015	2862380	NM_023039 // ANKRA2 // ankyrin repeat, family A (RFXANK-like), 2 // 5q12-q13 // 57763 /// ENST00000296785 // ANKRA2 // ankyrin repeat, family A (RFXANK-like), 2 // 5q12-q13 // 57763 /// AF251051 // ANKRA2 // ankyrin repeat, family A (RFXANK-like), 2 // 5q12-q13 // 57763
NM_130852	PLUNC	3882404	0.010514173	0.95938015	3882387	NM_130852 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297 /// NM_016583 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297 /// ENST00000375422 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297 /// ENST00000354297 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297 /// ENST00000375413 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297 /// AF158745 // PLUNC // palate, lung and nasal epithelium associated // 20q11.2 // 51297
NM_001114759	ZNF683	2402693	0.010517665	0.95938015	2402691	NM_001114759 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// NM_173574 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// ENST00000374204 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// ENST00000349618 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// BC029505 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// ENST00000329206 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// ENST00000374203 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101
NM_006343	MERTK	2500593	0.01052035	0.95938015	2500550	NM_006343 // MERTK // c-mer proto-oncogene tyrosine kinase // 2q14.1 // 10461 /// ENST00000295408 // MERTK // c-mer proto-oncogene tyrosine kinase // 2q14.1 // 10461 /// U08023 // MERTK // c-mer proto-oncogene tyrosine kinase // 2q14.1 // 10461
NM_001606	ABCA2	3230628	0.010526759	0.95938015	3230610	NM_001606 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// NM_212533 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000371605 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000341511 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000355090 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// AF178941 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000265662 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000398210 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20 /// ENST00000398207 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q34 // 20
NM_014875	KIF14	2450395	0.010530157	0.95938015	2450345	NM_014875 // KIF14 // kinesin family member 14 // 1q32.1 // 9928 /// ENST00000367350 // KIF14 // kinesin family member 14 // 1q32.1 // 9928 /// BC113742 // KIF14 // kinesin family member 14 // 1q32.1 // 9928
NM_002670	PLS1	2645943	0.010537603	0.95938015	2645906	NM_002670 // PLS1 // plastin 1 (I isoform) // 3q23 // 5357 /// ENST00000337777 // PLS1 // plastin 1 (I isoform) // 3q23 // 5357 /// BC031083 // PLS1 // plastin 1 (I isoform) // 3q23 // 5357
NM_001004688	OR2M2	2390337	0.010539669	0.95938015	2390335	NM_001004688 // OR2M2 // olfactory receptor, family 2, subfamily M, member 2 // 1q44 // 391194 /// NM_001004689 // OR2M3 // olfactory receptor, family 2, subfamily M, member 3 // 1q44 // 127062 /// NM_001004690 // OR2M5 // olfactory receptor, family 2, subfamily M, member 5 // 1q44 // 127059 /// ENST00000359682 // OR2M2 // olfactory receptor, family 2, subfamily M, member 2 // 1q44 // 391194 /// ENST00000318104 // OR2M3 // olfactory receptor, family 2, subfamily M, member 3 // 1q44 // 127062 /// ENST00000366476 // OR2M5 // olfactory receptor, family 2, subfamily M, member 5 // 1q44 // 127059
NM_201384	PLEC1	3157925	0.010541439	0.95938015	3157901	NM_201384 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201380 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201379 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201378 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201383 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_000445 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201381 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// NM_201382 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000345136 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000322810 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000354958 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000356346 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000357649 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000357316 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000398774 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// ENST00000354589 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339 /// AY480051 // PLEC1 // plectin 1, intermediate filament binding protein 500kDa // 8q24 // 5339
NM_001097591	XAGE1	4008803	0.010541504	0.95938015	4008802	NM_001097591 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// NM_001097595 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// NM_001097602 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// NM_133431 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// NM_001097603 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// NM_001097592 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// NM_001097594 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// NM_001097597 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// NM_020411 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// NM_001097604 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// NM_133430 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// NM_001097593 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// NM_001097596 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// NM_001097598 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// NM_001097605 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375563 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375563 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375563 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375563 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375563 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000399805 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000399805 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000399805 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000399805 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000399805 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000399795 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000399795 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000399795 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000399795 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000399795 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375589 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375589 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375589 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375589 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375589 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375570 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375570 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375570 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375570 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375570 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375578 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375578 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375578 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375578 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375578 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000396497 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000396497 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000396497 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000396497 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000396497 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375602 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375602 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375602 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375602 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375602 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000399800 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000399800 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000399800 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000399800 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000399800 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375616 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375616 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375616 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375616 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375616 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000338266 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000338266 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000338266 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000338266 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000338266 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375572 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375572 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375572 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375572 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375572 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375595 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375595 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375595 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375595 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375595 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375588 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375588 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375588 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375588 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375588 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375567 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375567 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375567 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375567 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375567 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375600 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375600 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375600 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375600 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375600 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000375613 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375613 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375613 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375613 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375613 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// ENST00000374959 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000374959 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000374959 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000374959 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000374959 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// AF251237 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503 /// AF251237 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// AF251237 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// AF251237 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// AF251237 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375612 // XAGE1C // X antigen family, member 1C // Xp11.22 // 653048 /// ENST00000375612 // XAGE1E // X antigen family, member 1E // Xp11.22 // 653067 /// ENST00000375612 // XAGE1 // X antigen family, member 1 // Xp11.22 // 653219 /// ENST00000375612 // XAGE1B // X antigen family, member 1B // Xp11.22 // 653220 /// ENST00000375612 // XAGE1D // X antigen family, member 1D // Xp11.22 // 9503
NM_015651	PHF19	3223711	0.010541707	0.95938015	3223687	NM_015651 // PHF19 // PHD finger protein 19 // 9q33.2 // 26147 /// NM_001009936 // PHF19 // PHD finger protein 19 // 9q33.2 // 26147 /// ENST00000373896 // PHF19 // PHD finger protein 19 // 9q33.2 // 26147 /// ENST00000312189 // PHF19 // PHD finger protein 19 // 9q33.2 // 26147 /// BX640713 // PHF19 // PHD finger protein 19 // 9q33.2 // 26147
NM_052952	DIRC1	2591619	0.010550375	0.95938015	2591614	NM_052952 // DIRC1 // disrupted in renal carcinoma 1 // 2q33 // 116093 /// ENST00000308100 // DIRC1 // disrupted in renal carcinoma 1 // 2q33 // 116093 /// AY039011 // DIRC1 // disrupted in renal carcinoma 1 // 2q33 // 116093
NM_004672	MAP3K6	2403050	0.010553771	0.95938015	2403027	NM_004672 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064 /// ENST00000357582 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064 /// ENST00000374040 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064 /// AF100318 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064 /// ENST00000374041 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064 /// ENST00000374036 // MAP3K6 // mitogen-activated protein kinase kinase kinase 6 // 1p36.11 // 9064
NM_001105206	LAMA4	2970095	0.010558883	0.95938015	2970086	NM_001105206 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// NM_002290 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// NM_001105207 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// NM_001105208 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// NM_001105209 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000230538 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000389463 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000368638 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// BC066552 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000368639 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000368640 // LAMA4 // laminin, alpha 4 // 6q21 // 3910 /// ENST00000243219 // LAMA4 // laminin, alpha 4 // 6q21 // 3910
NM_033450	ABCC10	2907996	0.010560418	0.95938015	2907943	NM_033450 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845 /// ENST00000244533 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845 /// AY032599 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845 /// ENST00000372530 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845 /// ENST00000372512 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845 /// ENST00000372515 // ABCC10 // ATP-binding cassette, sub-family C (CFTR/MRP), member 10 // 6p21.1 // 89845
NM_000868	HTR2C	3987894	0.010565777	0.95938015	3987876	NM_000868 // HTR2C // 5-hydroxytryptamine (serotonin) receptor 2C // Xq24 // 3358 /// NR_002993 // SNORA35 // small nucleolar RNA, H/ACA box 35 // Xq23 // 677816 /// ENST00000371951 // HTR2C // 5-hydroxytryptamine (serotonin) receptor 2C // Xq24 // 3358 /// ENST00000276198 // HTR2C // 5-hydroxytryptamine (serotonin) receptor 2C // Xq24 // 3358 /// M81778 // HTR2C // 5-hydroxytryptamine (serotonin) receptor 2C // Xq24 // 3358 /// ENST00000371950 // HTR2C // 5-hydroxytryptamine (serotonin) receptor 2C // Xq24 // 3358
NM_016343	CENPF	2379889	0.010569399	0.95938015	2379863	NM_016343 // CENPF // centromere protein F, 350/400ka (mitosin) // 1q32-q41 // 1063 /// ENST00000366955 // CENPF // centromere protein F, 350/400ka (mitosin) // 1q32-q41 // 1063 /// U19769 // CENPF // centromere protein F, 350/400ka (mitosin) // 1q32-q41 // 1063 /// ENST00000391896 // CENPF // centromere protein F, 350/400ka (mitosin) // 1q32-q41 // 1063
NM_024627	C22orf29	3952864	0.010571625	0.95938015	3952825	NM_024627 // C22orf29 // chromosome 22 open reading frame 29 // 22q11.21 // 79680 /// NM_053004 // GNB1L // guanine nucleotide binding protein (G protein), beta polypeptide 1-like // 22q11.2 // 54584 /// ENST00000328554 // C22orf29 // chromosome 22 open reading frame 29 // 22q11.21 // 79680 /// ENST00000329517 // GNB1L // guanine nucleotide binding protein (G protein), beta polypeptide 1-like // 22q11.2 // 54584 /// AK291262 // C22orf29 // chromosome 22 open reading frame 29 // 22q11.21 // 79680 /// AB051432 // GNB1L // guanine nucleotide binding protein (G protein), beta polypeptide 1-like // 22q11.2 // 54584
NM_030764	FCRL2	2439080	0.010573967	0.95938015	2439052	NM_030764 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// NM_138738 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// ENST00000361516 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// ENST00000255041 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// ENST00000368181 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// ENST00000368179 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// ENST00000368178 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368 /// AL833194 // FCRL2 // Fc receptor-like 2 // 1q21 // 79368
NM_032873	UBASH3B	3353397	0.010574135	0.95938015	3353335	NM_032873 // UBASH3B // ubiquitin associated and SH3 domain containing, B // 11q24.1 // 84959 /// ENST00000284273 // UBASH3B // ubiquitin associated and SH3 domain containing, B // 11q24.1 // 84959 /// BC007541 // UBASH3B // ubiquitin associated and SH3 domain containing, B // 11q24.1 // 84959
ENST00000303645	MRAP	3918092	0.010578583	0.95938015	3918071	ENST00000303645 // MRAP // melanocortin 2 receptor accessory protein // 21q22.1 // 56246 /// ENST00000339944 // MRAP // melanocortin 2 receptor accessory protein // 21q22.1 // 56246 /// AY079152 // MRAP // melanocortin 2 receptor accessory protein // 21q22.1 // 56246 /// AF483549 // MRAP // melanocortin 2 receptor accessory protein // 21q22.1 // 56246 /// BC062721 // MRAP // melanocortin 2 receptor accessory protein // 21q22.1 // 56246
NM_020879	CCDC146	3009901	0.010579847	0.95938015	3009838	NM_020879 // CCDC146 // coiled-coil domain containing 146 // 7q11.23 // 57639 /// ENST00000285871 // CCDC146 // coiled-coil domain containing 146 // 7q11.23 // 57639 /// BC036053 // CCDC146 // coiled-coil domain containing 146 // 7q11.23 // 57639 /// BC006435 // POLR2J4 // polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa pseudogene // 7p13 // 84820
NM_001004308	ZCCHC16	3987623	0.010590384	0.95938015	3987607	NM_001004308 // ZCCHC16 // zinc finger, CCHC domain containing 16 // Xq23 // 340595 /// NM_024584 // CCDC121 // coiled-coil domain containing 121 // 2p23.2 // 79635 /// ENST00000340433 // ZCCHC16 // zinc finger, CCHC domain containing 16 // Xq23 // 340595 /// ENST00000324364 // CCDC121 // coiled-coil domain containing 121 // 2p23.2 // 79635 /// BC066936 // CCDC121 // coiled-coil domain containing 121 // 2p23.2 // 79635
