ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_52_P482888	0.015864452	1.531319	down	49.453564	77.35404	-0.60436136	0.010413487	NM_001163513	chr14:24957489-24956433	Dlg5	Mus musculus discs, large homolog 5 (Drosophila) (Dlg5), transcript variant 1, mRNA [NM_001163513]	Mm.68971	71228	ENSMUST00000090398	TC1587091
A_52_P453013	0.002856728	2.6755881	down	1825.3353	4779.9155	4.496061	5.915917	NM_007980	chr3:122599692-122599751	Fabp2	Mus musculus fatty acid binding protein 2, intestinal (Fabp2), mRNA [NM_007980]	Mm.28398	14079	ENSMUST00000023820	TC1578192
A_51_P162891	0.03627226	1.502177	down	141.50774	215.773	0.9060464	1.4931012	NM_201359	chr15:97797475-97797624	Tmem106c	Mus musculus transmembrane protein 106C (Tmem106c), mRNA [NM_201359]	Mm.196630	380967	ENSMUST00000064200	TC1774074
A_51_P478952	0.05347584	1.7623116	up	105.337715	64.27732	0.4951044	-0.32236466	NM_133898	chr5:151374589-151374530	N4bp2l1	Mus musculus NEDD4 binding protein 2-like 1 (N4bp2l1), mRNA [NM_133898]	Mm.279932	100637	ENSMUST00000016279	TC1596081
A_51_P240903	0.006559424	1.7194014	up	1540.2418	949.0567	4.39519	3.6132834	NM_027884	chr1:73960549-73960490	Tns1	Mus musculus tensin 1 (Tns1), mRNA [NM_027884]	Mm.309975	21961	ENSMUST00000068832	TC1779280
A_51_P263993	0.000478374	2.1525557	down	27.363153	62.152935	-1.4167339	-0.31068325	NM_008280	chr9:70664375-70660699	Lipc	Mus musculus lipase, hepatic (Lipc), mRNA [NM_008280]	Mm.390187	15450	ENSMUST00000034731	TC1714299
A_51_P516148	0.010386867	1.5789641	up	68.005974	44.15068	-0.14525254	-0.80423087	NM_016984	chr3:54122087-54122146	Trpc4	Mus musculus transient receptor potential cation channel, subfamily C, member 4 (Trpc4), mRNA [NM_016984]	Mm.10100	22066	ENSMUST00000029311	NP_729068
A_52_P288614	0.017090738	1.5455704	down	180.24585	297.5384	1.297661	1.9258003	NM_025936	chr11:35634605-35633429	Rars	Mus musculus arginyl-tRNA synthetase (Rars), mRNA [NM_025936]	Mm.284906	104458	ENSMUST00000018992	TC1687690
A_51_P474643	0.005445581	1.5111076	down	6695.9863	10679.622	6.526623	7.122229	NM_010655	chr11:106850238-106850179	Kpna2	Mus musculus karyopherin (importin) alpha 2 (Kpna2), mRNA [NM_010655]	Mm.12508	16647	ENSMUST00000018506	TC1573886
A_52_P664899	0.03252481	1.6150333	down	40.879044	69.07414	-0.8483594	-0.1567955	NM_207685	chr4:90918470-90918411	Elavl2	Mus musculus ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) (Elavl2), transcript variant 1, mRNA [NM_207685]	Mm.318042	15569	ENSMUST00000078179	NP_743094
A_51_P502787	0.03214041	1.8498069	down	31.164139	58.297207	-1.2870535	-0.39967886	NM_147221	chr4:107307542-107307601	Glis1	Mus musculus GLIS family zinc finger 1 (Glis1), mRNA [NM_147221]	Mm.331757	230587	ENSMUST00000046005	NP_523157
A_52_P212473	0.04167833	1.7415429	down	89.15719	163.92798	0.25457326	1.0549393	AK050462	chr18:21145426-21145485	C730049O14Rik	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730049O14 product:unclassifiable, full insert sequence. [AK050462]	Mm.209644	320117		TC1598936
A_52_P383577	0.009661336	1.7330664	down	126.86298	215.66411	0.698453	1.4917799	NM_031183	chr11:96885862-96885921	Sp6	Mus musculus trans-acting transcription factor 6 (Sp6), mRNA [NM_031183]	Mm.476096	83395	ENSMUST00000107622	TC1584014
A_52_P261846	0.0946856	1.5827181	down	879.31274	1400.9287	3.5237606	4.186165	NM_009929	chr10:76516124-76516065	Col18a1	Mus musculus collagen, type XVIII, alpha 1 (Col18a1), transcript variant 2, mRNA [NM_009929]	Mm.4352	12822	ENSMUST00000105409	TC1628096
A_51_P451151	0.000905392	1.8785324	down	2841.4941	5583.6763	5.276628	6.186234	NM_026785	chr2:164598016-164598075	Ube2c	Mus musculus ubiquitin-conjugating enzyme E2C (Ube2c), mRNA [NM_026785]	Mm.89830	68612	ENSMUST00000088248	TC1764668
A_51_P230098	0.000833549	1.8916976	down	625.28534	1247.4332	3.1014576	4.021139	NM_023209	chr14:66436224-66436283	Pbk	Mus musculus PDZ binding kinase (Pbk), mRNA [NM_023209]	Mm.24337	52033	ENSMUST00000022612	TC1725602
A_52_P648601	0.005627817	2.0295393	down	36.315914	75.665825	-1.0414207	-0.02026844	NM_029352	chrX:70888467-70888526	Dusp9	Mus musculus dual specificity phosphatase 9 (Dusp9), mRNA [NM_029352]	Mm.16479	75590	ENSMUST00000019701	TC1596677
A_52_P298465	5.90E-05	2.0420272	down	34.137306	72.88271	-1.12191	-0.09190782	NM_012025	chr15:99466615-99464720	Racgap1	Mus musculus Rac GTPase-activating protein 1 (Racgap1), mRNA [NM_012025]	Mm.273804	26934	ENSMUST00000023756	TC1702403
A_52_P475052	0.03334545	1.5760956	up	111.54181	75.601204	0.59590286	-0.060452145	AK020820	chr7:4087909-4087850	Ttyh1	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930006N11 product:tweety homolog 1 (Drosophila), full insert sequence. [AK020820]	Mm.29729	57776		TC1741871
A_51_P408609	0.015367986	1.6362236	down	154.3631	257.46622	1.0352825	1.7456523	NM_011989	chr2:29672404-29672464	Slc27a4	Mus musculus solute carrier family 27 (fatty acid transporter), member 4 (Slc27a4), mRNA [NM_011989]	Mm.330113	26569	ENSMUST00000080065	TC1576419
A_51_P265016	0.021015408	2.7045321	down	43.704693	111.957344	-0.89305323	0.5423258	NM_023249	chr16:17086205-17086264	Ypel1	Mus musculus yippee-like 1 (Drosophila) (Ypel1), mRNA [NM_023249]	Mm.237941	106369	ENSMUST00000035682	TC1589226
A_51_P394631	0.005486051	2.0078573	up	104.43777	53.6114	0.4773798	-0.5282769	NM_029182	chr8:77747560-77747619	Rasd2	Mus musculus RASD family, member 2 (Rasd2), mRNA [NM_029182]	Mm.179267	75141	ENSMUST00000041083	TC1597864
A_52_P428521	0.005808948	1.7183414	down	62.57076	112.34824	-0.26473284	0.5162838	NM_008001	chrX:147521370-147521429	Fgd1	Mus musculus FYVE, RhoGEF and PH domain containing 1 (Fgd1), mRNA [NM_008001]	Mm.8142	14163	ENSMUST00000026296	TC1630811
A_52_P277322	0.014659723	1.5096861	down	285.40097	455.5803	1.9738475	2.5680962	AK084607	chr7:125986452-125986395	2310008H09Rik	Mus musculus 13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330021F07 product:unclassifiable, full insert sequence. [AK084607]	Mm.389948	66356
A_52_P1020291	0.005399182	2.0611825	up	160.09789	83.27535	1.1285447	0.08507252	AK037633	chrX:83012449-83012390	Gyk	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130030N17 product:unclassifiable, full insert sequence. [AK037633]	Mm.246682	14933
A_51_P312327	0.002235303	1.6007662	down	219.65924	369.70712	1.5888497	2.2676122	NM_022415	chr2:30747897-30747838	Ptges	Mus musculus prostaglandin E synthase (Ptges), mRNA [NM_022415]	Mm.28768	64292	ENSMUST00000056046	TC1705582
A_52_P642109	0.004797323	1.5181698	down	5037.529	7914.487	6.087807	6.6901402	NM_026364	chr11:116332758-116332699	Prpsap1	Mus musculus phosphoribosyl pyrophosphate synthetase-associated protein 1 (Prpsap1), mRNA [NM_026364]	Mm.25125	67763	ENSMUST00000021153	TC1766749
A_52_P85875	0.044293903	1.510365	down	349.09607	546.4819	2.2348764	2.8297737	NM_026998	chr12:55864662-55861458	Snx6	Mus musculus sorting nexin 6 (Snx6), mRNA [NM_026998]	Mm.28240	72183	ENSMUST00000005798	TC1590390
A_52_P153700	0.01772498	1.5256068	down	436.95834	695.66425	2.56507	3.174453	NM_153412	chr16:45747435-45747376	Phldb2	Mus musculus pleckstrin homology-like domain, family B, member 2 (Phldb2), mRNA [NM_153412]	Mm.211477	208177	ENSMUST00000131003	TC1621081
A_51_P179258	0.08018157	3.6768746	down	115.89316	306.7441	0.11011592	1.9885958	NM_001161665	chr1:180862723-180862782	Kif26b	Mus musculus kinesin family member 26B (Kif26b), mRNA [NM_001161665]	Mm.138659	269152	ENSMUST00000027771	TC1585740
A_51_P251205	0.08981793	1.5297031	up	5070.3228	3449.3438	6.0788074	5.4655557	NM_028627	chr19:46386639-46386580	Psd	Mus musculus pleckstrin and Sec7 domain containing (Psd), mRNA [NM_028627]	Mm.268532	73728	ENSMUST00000041391	TC1582052
A_52_P84015	0.001024292	1.770885	up	84.59222	50.012146	0.20872767	-0.61574286	AK037762	chr3:95289063-95289122	Arnt	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130047M16 product:aryl hydrocarbon receptor nuclear translocator, full insert sequence. [AK037762]		11863		TC1629502
A_51_P159453	0.06360674	1.5257189	up	216.46254	145.6697	1.5349652	0.9254759	NM_009252	chr12:105651918-105651977	Serpina3n	Mus musculus serine (or cysteine) peptidase inhibitor, clade A, member 3N (Serpina3n), mRNA [NM_009252]	Mm.291569	20716	ENSMUST00000021506	TC1580665
A_52_P430927	0.028770693	1.5392563	up	71.251396	48.18465	-0.04893319	-0.6711667	AK042386	chr12:80339331-80339272	Zfyve26	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630086P05 product:KIAA0321 PROTEIN (FRAGMENT) homolog [Homo sapiens], full insert sequence. [AK042386]	Mm.297919	211978		TC1671867
A_52_P314289	0.001485829	1.9900149	up	60.29588	31.99927	-0.27014318	-1.2629224	AK044079	chr8:48909824-48909765	Wwc2	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830088I07 product:RIKEN cDNA 2210404A22 gene, full insert sequence. [AK044079]	Mm.390033	52357		TC1610852
A_52_P859368	0.053015683	1.6476489	up	60.1527	36.51514	-0.35417923	-1.0745882	AK142255	chr5:36881199-36881140		Mus musculus 13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330023H02 product:Expressed sequence AU043625 homolog [Mus musculus], full insert sequence. [AK142255]	Mm.405864			TC1607621
A_52_P1179878	0.002071596	1.6563928	up	94.13379	59.602367	0.3638338	-0.36421108	AK036012	chr13:110341518-110341577		Mus musculus 16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630027C04 product:unclassifiable, full insert sequence. [AK036012]				TC1603690
A_51_P253808	0.004515406	1.6593509	down	1544.2184	2700.376	4.407015	5.137634	NM_001081117	chr7:142886071-142886012	Mki67	Mus musculus antigen identified by monoclonal antibody Ki 67 (Mki67), mRNA [NM_001081117]	Mm.4078	17345	ENSMUST00000033310	TC1572202
A_52_P550734	0.022872612	2.253534	down	337.9687	751.75214	2.1189373	3.2911265	NM_053173	chr17:27062844-27063223	Kifc1	Mus musculus kinesin family member C1 (Kifc1), mRNA [NM_053173]	Mm.258953	16580	ENSMUST00000088099	NP_378915
A_52_P106620	0.012927944	5.98092	down	1320.2742	6298.858	3.7751148	6.355482	NM_008764	chr15:54082819-54082760	Tnfrsf11b	Mus musculus tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (Tnfrsf11b), mRNA [NM_008764]	Mm.15383	18383	ENSMUST00000079772	TC1581828
A_52_P349116	0.006011259	1.7360153	down	317.37912	581.8787	2.1100647	2.9058444	NM_145551	chr4:111548124-111548065	Slc5a9	Mus musculus solute carrier family 5 (sodium/glucose cotransporter), member 9 (Slc5a9), mRNA [NM_145551]	Mm.26630	230612	ENSMUST00000102721	TC1597807
A_52_P246248	7.45E-05	3.460529	down	60.13063	223.13458	-0.28326455	1.5077281	AF240166			Mus musculus MRP3 mRNA, complete cds. [AF240166]	Mm.469523			TC1595597
A_51_P245412	0.01182961	1.6183656	down	106.15272	181.96472	0.54606694	1.2406045	NM_008915	chr14:70634977-70624827	Ppp3cc	Mus musculus protein phosphatase 3, catalytic subunit, gamma isoform (Ppp3cc), mRNA [NM_008915]	Mm.439683	19057	ENSMUST00000022685	TC1581788
A_51_P253803	0.014160547	1.6888348	down	5122.5625	9009.96	6.119822	6.87585	NM_001081117	chr7:142881650-142881591	Mki67	Mus musculus antigen identified by monoclonal antibody Ki 67 (Mki67), mRNA [NM_001081117]	Mm.4078	17345		TC1572202
A_51_P147274	0.003733251	1.6473209	down	43.93515	76.46757	-0.7336889	-0.013567288	NM_153197	chr6:122919637-122919696	Clec4a3	Mus musculus C-type lectin domain family 4, member a3 (Clec4a3), mRNA [NM_153197]	Mm.25684	73149	ENSMUST00000088468	TC1586480
A_52_P110002	0.020162066	1.5145051	down	700.80396	1140.121	3.26319	3.8620365	NM_025591	chr6:86319671-86319730	Fam136a	Mus musculus family with sequence similarity 136, member A (Fam136a), mRNA [NM_025591]	Mm.422972	66488	ENSMUST00000071492	TC1575407
A_52_P541344	0.012950598	1.6753633	down	58.5578	102.49021	-0.33357564	0.41089836	NM_018729	chr1:173507474-173508000	Cd244	Mus musculus CD244 natural killer cell receptor 2B4 (Cd244), mRNA [NM_018729]	Mm.2299	18106	ENSMUST00000004829	NP_714008
A_51_P221256	0.009888883	1.5555831	down	81.7033	131.90993	0.13476269	0.7722182	NM_011402	chr5:53462121-53462180	Slc34a2	Mus musculus solute carrier family 34 (sodium phosphate), member 2 (Slc34a2), mRNA [NM_011402]	Mm.284891	20531	ENSMUST00000094787	NP_046944
A_52_P57719	0.006769161	1.5669636	up	55.39699	37.039646	-0.40309367	-1.0510653	NM_001025572	chr17:66325362-66321675	Ankrd12	Mus musculus ankyrin repeat domain 12 (Ankrd12), mRNA [NM_001025572]	Mm.34706	106585	ENSMUST00000038116	TC1774744
A_52_P450276	0.020355366	2.7371502	down	194.55042	670.3476	1.4086833	2.861358	M94350	chr16:019085323-019085264	Igl-V1	Mus musculus immunoglobulin lambda chain (IgL) mRNA, complete cds. [M94350]	Mm.326349	16142
A_52_P295104	0.08293654	1.5999207	up	182.69019	117.284645	1.2919292	0.6139288	NM_183259	chr11:115767346-115767405	2210020M01Rik	Mus musculus RIKEN cDNA 2210020M01 gene (2210020M01Rik), mRNA [NM_183259]	Mm.275740	66528	ENSMUST00000052422	TC1594647
A_51_P229613	0.06263336	1.5338492	up	513.9742	347.9136	2.7596073	2.1424506	NM_008792	chr2:143639649-143639708	Pcsk2	Mus musculus proprotein convertase subtilisin/kexin type 2 (Pcsk2), mRNA [NM_008792]	Mm.294493	18549	ENSMUST00000028905	TC1572810
A_51_P515639	4.42E-05	2.1831055	down	34.855946	80.015015	-1.0686208	0.057761032	NM_007782	chr4:125721294-125721353	Csf3r	Mus musculus colony stimulating factor 3 receptor (granulocyte) (Csf3r), mRNA [NM_007782]	Mm.271701	12986	ENSMUST00000030673	TC1579871
A_52_P646858	6.33E-05	1.9418135	down	778.54083	1545.8638	3.376398	4.3338027	NM_178396	chr9:66614036-66614095	Car12	Mus musculus carbonic anyhydrase 12 (Car12), mRNA [NM_178396]	Mm.277921	76459	ENSMUST00000085420	NP_515859
A_52_P8324	0.00025108	3.1191797	down	44.232037	139.13086	-0.78801274	0.8531539	NM_026516	chr17:81400832-81400891	Tmem178	Mus musculus transmembrane protein 178 (Tmem178), mRNA [NM_026516]	Mm.357108	68027	ENSMUST00000025092	TC1584918
A_51_P214275	0.000274988	5.786242	down	473.35904	2730.8535	2.6176329	5.1502595	NM_001174099	chr11:99963357-99963326	Krt36	Mus musculus keratin 36 (Krt36), mRNA [NM_001174099]	Mm.306829	16673	ENSMUST00000107416	TC1690936
A_52_P87964	0.010728327	1.552706	down	556.3611	899.02954	2.9161274	3.5509121	NM_183423	chr3:129597769-129597828	Pla2g12a	Mus musculus phospholipase A2, group XIIA (Pla2g12a), transcript variant 2, mRNA [NM_183423]	Mm.151951	66350	ENSMUST00000029629	TC1593309
A_52_P608474	0.029086098	1.6060289	up	182.66151	115.1272	1.2274766	0.5439787	BC027582	chr3:103535757-103535698	LOC269472	Mus musculus cDNA sequence BC027582, mRNA (cDNA clone MGC:41739 IMAGE:1379952), complete cds. [BC027582]	Mm.379456	269472		TC1594620
A_51_P379698	0.002411022	1.7464573	up	76.55515	45.790005	0.05349946	-0.7509319	NM_022007	chr7:31829767-31829612	Fxyd7	Mus musculus FXYD domain-containing ion transport regulator 7 (Fxyd7), mRNA [NM_022007]	Mm.41770	57780	ENSMUST00000073892	TC1584859
A_52_P249336	2.61E-05	8.163397	down	1746.8839	14557.419	4.538051	7.5672207	NM_183268	chr8:22619859-22619918	Defa20	Mus musculus defensin, alpha, 20 (Defa20), mRNA [NM_183268]	Mm.327348	68009	ENSMUST00000095424	TC1581276
A_51_P301773	0.012431937	1.8678585	up	109.34641	60.847256	0.5644166	-0.33696857	NM_001100454	chr17:26014889-26014830	Wfikkn1	Mus musculus WAP, FS, Ig, KU, and NTR-containing protein 1 (Wfikkn1), mRNA [NM_001100454]	Mm.328871	215001	ENSMUST00000095487	TC1661698
A_52_P151378	0.058496423	1.5975575	up	485.49283	318.45737	2.646816	1.9709481	XM_207492	chrX:067906452-067906393	Gm5076	PREDICTED: Mus musculus predicted gene, EG280121, transcript variant 1 (EG280121), mRNA [XM_207492]	Mm.391291	280121
A_51_P127695	0.00583294	2.0157177	down	42.69748	90.28711	-0.8043816	0.20691204	NM_015764	chr12:16678795-16678736	Greb1	Mus musculus gene regulated by estrogen in breast cancer protein (Greb1), mRNA [NM_015764]	Mm.428062	268527	ENSMUST00000048064	TC1581455
A_52_P347803	0.064106256	1.5378174	down	140.62837	228.91487	0.9143832	1.5352674	NM_001033123	chr2:175110507-175110566	Gm14288	Mus musculus predicted gene 14288 (Gm14288), mRNA [NM_001033123]	Mm.455970	13999	ENSMUST00000109049	TC1604967
A_52_P354752	0.07919855	1.7654	up	54.240616	30.925522	-0.4928716	-1.3128668	NM_146042	chr13:47341642-47341701	Rnf144b	Mus musculus ring finger protein 144B (Rnf144b), transcript variant 1, mRNA [NM_146042]	Mm.287609	218215	ENSMUST00000110111	TC1586337
A_51_P152990	0.000735706	2.3357441	up	468.96976	206.97221	2.6564622	1.4325799	NM_011825	chr1:176764648-176764589	Grem2	Mus musculus gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis) (Grem2), mRNA [NM_011825]	Mm.25760	23893	ENSMUST00000055294	TC1613470
A_52_P148212	0.023228709	1.7245628	down	126.78486	225.84857	0.7653897	1.5516204	NM_172578	chr12:66234456-66234397	C79407	Mus musculus expressed sequence C79407 (C79407), mRNA [NM_172578]	Mm.21144	217653	ENSMUST00000052201	TC1616309
A_51_P124285	0.08616981	2.468141	down	2476.5688	5265.5063	4.795616	6.099041	NM_027280	chr8:91116159-91116218	Nkd1	Mus musculus naked cuticle 1 homolog (Drosophila) (Nkd1), transcript variant 1, mRNA [NM_027280]	Mm.30219	93960	ENSMUST00000034086	TC1579018
A_52_P134195	3.58E-05	2.4779775	down	3752.5088	9773.983	5.685077	6.9942403	NM_007675	chr7:25566203-25569495	Ceacam10	Mus musculus carcinoembryonic antigen-related cell adhesion molecule 10 (Ceacam10), mRNA [NM_007675]	Mm.30300	26366	ENSMUST00000038069	TC1578951
A_52_P69558	0.000382038	1.8918433	down	280.19553	543.77844	1.9069114	2.826704	NR_033577	chr15:77457384-77457443	Gm8221	Mus musculus predicted gene 8221 (Gm8221), non-coding RNA [NR_033577]	Mm.390818	666661		TC1647934
A_52_P1190151	0.001770186	2.879659	down	80.94929	264.48434	0.14794548	1.6738435	U20820	chr6:68582155-68582096		Igk protein  [Source:UniProtKB/TrEMBL;Acc:A1A540] [ENSMUST00000103328]	Mm.423815		ENSMUST00000103328	NP_058358
A_51_P131561	3.36E-05	4.330906	down	4830.934	20829.656	5.9686203	8.083289	NM_029639	chr9:50313107-50313166	1600029D21Rik	Mus musculus RIKEN cDNA 1600029D21 gene (1600029D21Rik), mRNA [NM_029639]	Mm.29959	76509	ENSMUST00000114474	TC1574388
A_51_P478303	0.005648252	1.6142842	up	14637.168	9477.89	7.6383514	6.947457	NM_010006	chr15:82286799-82286858	Cyp2d9	Mus musculus cytochrome P450, family 2, subfamily d, polypeptide 9 (Cyp2d9), mRNA [NM_010006]	Mm.226708	13105	ENSMUST00000089129	NP_057205
A_52_P183368	0.00118023	2.6615317	down	885.2248	2413.7969	3.5631275	4.975384	NM_011535	chr5:120134473-120134532	Tbx3	Mus musculus T-box 3 (Tbx3), transcript variant 1, mRNA [NM_011535]	Mm.219139	21386	ENSMUST00000079719	TC1580848
A_52_P373251	0.07213694	1.5818068	down	2859.9727	4641.7944	5.242594	5.904167	NM_015804	chr8:12868516-12868575	Atp11a	Mus musculus ATPase, class VI, type 11A (Atp11a), mRNA [NM_015804]	Mm.257837	50770	ENSMUST00000066838	TC1597593
A_51_P330213	0.002050041	1.5416632	down	1063.0444	1728.9508	3.8699348	4.4944224	NM_024184	chr8:86493842-86493901	Asf1b	Mus musculus ASF1 anti-silencing function 1 homolog B (S. cerevisiae) (Asf1b), mRNA [NM_024184]	Mm.29680	66929	ENSMUST00000005607	TC1572932
A_51_P241269	0.00719452	1.8007454	up	28657.36	16718.502	8.603984	7.7553897	NM_009610	chr6:83473179-83472853	Actg2	Mus musculus actin, gamma 2, smooth muscle, enteric (Actg2), mRNA [NM_009610]	Mm.292865	11468	ENSMUST00000152029	TC1590880
A_51_P339540	0.018123575	1.503733	down	466.55533	731.4926	2.6654122	3.2539606	NM_009876	chr7:150644812-150644753	Cdkn1c	Mus musculus cyclin-dependent kinase inhibitor 1C (P57) (Cdkn1c), transcript variant 2, mRNA [NM_009876]	Mm.168789	12577	ENSMUST00000037287	TC1747338
A_52_P274273	0.003800354	1.5614375	up	69.76589	47.28664	-0.05897673	-0.70185155	AK048044	chr19:29100041-29100100	Cdc37l1	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130031H07 product:cell division cycle 37 homolog (S. cerevisiae)-like, full insert sequence. [AK048044]	Mm.476835	67072		TC1585265
A_52_P10054	4.22E-05	2.281529	down	111.66642	264.8533	0.5939699	1.783971	NM_153171	chr1:145986550-145986491	Rgs13	Mus musculus regulator of G-protein signaling 13 (Rgs13), mRNA [NM_153171]	Mm.38271	246709	ENSMUST00000111941	TC1591160
A_51_P322640	0.000111435	2.6778646	down	123.154724	343.51123	0.7425029	2.163586	NM_019577	chr5:136046726-136046667	Ccl24	Mus musculus chemokine (C-C motif) ligand 24 (Ccl24), mRNA [NM_019577]	Mm.31505	56221	ENSMUST00000004936	NP_921295
A_52_P286511	0.011228898	1.548612	up	148.50304	100.51064	1.0135628	0.3825871	NM_021352	chr5:113507419-113506655	Crybb3	Mus musculus crystallin, beta B3 (Crybb3), transcript variant 1, mRNA [NM_021352]	Mm.378899	12962	ENSMUST00000117143	TC1619720
A_52_P643165	0.009751784	2.4127457	up	1329.0922	636.5588	4.194122	2.923446	NM_001037221	chr14:47725267-47725326	Samd4	Mus musculus sterile alpha motif domain containing 4 (Samd4), transcript variant 1, mRNA [NM_001037221]	Mm.214454	74480	ENSMUST00000137543	TC1584445
A_51_P334942	0.050149206	2.0952992	down	9469.277	17949.598	6.8032837	7.87044	NM_013467	chr19:20717764-20717823	Aldh1a1	Mus musculus aldehyde dehydrogenase family 1, subfamily A1 (Aldh1a1), mRNA [NM_013467]	Mm.250866	11668	ENSMUST00000087638	TC1719795
A_52_P279368	0.060890034	2.4982758	down	331.22623	746.1054	1.9513577	3.2722905	NM_011441	chr1:4481562-4481503	Sox17	Mus musculus SRY-box containing gene 17 (Sox17), mRNA [NM_011441]	Mm.279103	20671	ENSMUST00000116652	TC1601513
A_52_P135873	0.064495504	1.9140415	down	4067.047	7682.1445	5.7093015	6.6459236	XM_001475453	chr13:74949019-74949077	Gm2744	PREDICTED: Mus musculus hypothetical protein LOC100040381 (LOC100040381), mRNA [XM_001475453]		100040381		TC1574886
A_52_P408757	0.001213702	1.5513157	down	354.35083	578.3811	2.2814963	2.9149885	NM_010188	chr1:172984188-172984129	Fcgr3	Mus musculus Fc receptor, IgG, low affinity III (Fcgr3), mRNA [NM_010188]	Mm.22119	14131	ENSMUST00000027964	TC1620445
A_52_P355276	0.05071414	1.9665512	up	154.48315	76.59494	0.9713519	-0.004315853	NM_001002764	chr11:74742978-74743037	Smg6	Mus musculus Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans) (Smg6), mRNA [NM_001002764]	Mm.288460	103677	ENSMUST00000045281	TC1576583
A_51_P413088	0.000795728	2.5560033	up	91.45359	36.61556	0.28177366	-1.072116	NM_009693	chr12:8014710-8014769	Apob	Mus musculus apolipoprotein B (Apob), mRNA [NM_009693]	Mm.221239	238055	ENSMUST00000037520	TC1779961
A_51_P192397	0.0797346	1.6057997	up	165.64746	109.13504	1.1312146	0.4479227	NM_020052	chr7:116944093-116942866	Scube2	Mus musculus signal peptide, CUB domain, EGF-like 2 (Scube2), mRNA [NM_020052]	Mm.40447	56788	ENSMUST00000106729	TC1600465
A_51_P334209	0.003043272	1.976321	down	55.181988	114.21984	-0.4103934	0.57242393	NM_010165	chr2:165594761-165594820	Eya2	Mus musculus eyes absent 2 homolog (Drosophila) (Eya2), mRNA [NM_010165]	Mm.282719	14049	ENSMUST00000063422	TC1633266
A_52_P260145	0.022806635	1.7610161	down	20597.818	37443.66	8.11247	8.928878		chr18:016433207-016433149
A_51_P344461	0.027116535	1.5097114	up	66.652504	44.841476	-0.18451889	-0.7787916	NM_001102563	chr7:134161550-134161491	Prrt2	Mus musculus proline-rich transmembrane protein 2 (Prrt2), mRNA [NM_001102563]	Mm.392047	69017		TC1598731
A_51_P101425	0.048410244	1.5740145	up	148.61371	97.95803	0.9449711	0.29052225	AK011396	chr8:113243653-113243712	Vac14	Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610014M01 product:unclassifiable, full insert sequence. [AK011396]		234729		TC1613197
A_52_P578436	0.013501871	1.6642766	down	2733.299	4696.3896	5.2013836	5.936279	DQ372800	chr6:69193290-69193231		Mus musculus clone AIDWTmB-11 immunoglobulin kappa light chain mRNA, partial cds. [DQ372800]	Mm.359125		ENSMUST00000103347	TC1587714
A_51_P145132	0.000603299	3.1263516	down	545.81854	1878.3558	2.8982403	4.5427203	NM_010779	chr14:56678648-56678589	Mcpt4	Mus musculus mast cell protease 4 (Mcpt4), mRNA [NM_010779]	Mm.439684	17227	ENSMUST00000043249	TC1583116
A_51_P404193	0.05289849	4.0670385	down	472.85043	1431.3934	2.1957684	4.219747	NM_022435	chr2:70315688-70315747	Sp5	Mus musculus trans-acting transcription factor 5 (Sp5), mRNA [NM_022435]	Mm.423397	64406	ENSMUST00000100043	TC1589176
A_51_P422540	8.10E-06	1.9021871	down	209.4959	418.62363	1.521444	2.449103	NM_028829	chr1:20928523-20928582	Paqr8	Mus musculus progestin and adipoQ receptor family member VIII (Paqr8), mRNA [NM_028829]	Mm.40780	74229	ENSMUST00000068880	TC1602486
A_52_P747646	0.05345359	1.551651	up	86.489006	56.484894	0.19205053	-0.44175354	AK086193	chr3:100428758-100428699		Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930012I10 product:unclassifiable, full insert sequence. [AK086193]	Mm.449687
A_51_P444502	0.010206379	2.1689858	down	51.881165	118.7013	-0.5194366	0.59758407	U55589	chr6:69808629-69808570		Ig kappa chain V-V region K2 Precursor; Fragment  [Source:UniProtKB/Swiss-Prot;Acc:P01635] [ENSMUST00000103369]	Mm.304150		ENSMUST00000103369	NP_063619
