Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P310094	chr4:119956612-119956671	SYNPO2	0	NM_001128933	Synaptopodin 2	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	16	0.8381	-1.1932	3.3916E-10	1998.7256	1679.8461
A_23_P127186	chr10:124013760-124013819	TACC2	0	NM_206862	Transforming, acidic coiled-coil containing protein 2	molecular function|nuclear hormone receptor binding|IDA|GO:0035257|GOA|15207008//molecular function|protein binding|IDA|GO:0005515|GOA|15207008//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//biological process|cell proliferation|IEA|GO:0008283|GOA|na//biological process|cerebral cortex development|IEA|GO:0021987|GOA|na//biological process|interkinetic nuclear migration|IEA|GO:0022027|GOA|na//biological process|microtubule cytoskeleton organization|IEA|GO:0000226|GOA|na//biological process|neurogenesis|IEA|GO:0022008|GOA|na//biological process|regulation of microtubule-based process|IEA|GO:0032886|GOA|na//biological process|spindle astral microtubule organization|IEA|GO:0030953|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|microtubule organizing center|IEA|GO:0005815|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	16	0.8677	-1.1524	4.9832E-14	1612.6577	1400.7729
A_24_P932233	chr4:106156863-106156922	TET2	0	NM_017628	Tet oncogene family member 2	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors|IEA|GO:0016706|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na	F	14	0.8511	-1.1749	0.000017513	582.8694	487.4686
A_23_P371495	chr12:29655379-29655438	TMTC1	0	NM_175861	Transmembrane and tetratricopeptide repeat containing 1	molecular function|binding|IEA|GO:0005488|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.8287	-1.2068	0.0004	310.2405	256.9258
A_24_P105733	chr2:218747097-218747136	TNS1	0	NM_022648	Tensin 1	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17190795//biological process|cell migration|IEA|GO:0016477|GOA|na//biological process|cell-substrate junction assembly|IEA|GO:0007044|GOA|na//cellular component|cell-substrate junction|IEA|GO:0030055|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|focal adhesion|IEA|GO:0005925|GOA|na	F	15	0.722	-1.3851	0.000012007	30.5283	21.1195
A_24_P924721	chr15:63340846-63340905	TPM1	0	NM_001018008	Tropomyosin 1 (alpha)	molecular function|actin binding|TAS|GO:0003779|GOA|12686598//molecular function|structural constituent of cytoskeleton|TAS|GO:0005200|GOA|12686598//molecular function|structural constituent of muscle|TAS|GO:0008307|GOA|8205619//biological process|cardiac muscle contraction|IMP|GO:0060048|GOA|11136687//biological process|cellular component movement|TAS|GO:0006928|GOA|16130169//biological process|cellular response to reactive oxygen species|IEP|GO:0034614|GOA|12686598//biological process|cytoskeleton organization|TAS|GO:0007010|GOA|12686598//biological process|muscle contraction|EXP|GO:0006936|GOA|14627618//biological process|muscle filament sliding|ISS|GO:0030049|GOA|11136687//biological process|negative regulation of cell migration|ISS|GO:0030336|GOA|15897890//biological process|positive regulation of ATPase activity|ISS|GO:0032781|GOA|11136687//biological process|positive regulation of cell adhesion|ISS|GO:0045785|GOA|17721995//biological process|positive regulation of heart rate by epinephrine|ISS|GO:0003065|GOA|17556658//biological process|positive regulation of stress fiber assembly|ISS|GO:0051496|GOA|15897890//biological process|regulation of heart contraction|TAS|GO:0008016|GOA|8205619//biological process|regulation of muscle contraction|TAS|GO:0006937|GOA|3336363//biological process|ruffle organization|ISS|GO:0031529|GOA|15897890//biological process|sarcomere organization|IMP|GO:0045214|GOA|11273725//biological process|ventricular cardiac muscle tissue morphogenesis|IMP|GO:0055010|GOA|11136687//biological process|wound healing|ISS|GO:0042060|GOA|17721995//cellular component|bleb|IMP|GO:0032059|GOA|12686598//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|TAS|GO:0005856|GOA|16130169//cellular component|muscle thin filament tropomyosin|TAS|GO:0005862|GOA|8205619//cellular component|ruffle membrane|IDA|GO:0032587|GOA|12686598//cellular component|sarcomere|TAS|GO:0030017|GOA|16754800//cellular component|stress fiber|IDA|GO:0001725|GOA|12686598	F	15	0.8278	-1.2081	8.4038E-18	376.9384	311.9527
A_23_P425752	chr9:100849798-100849857	TRIM14	0	NM_033220	Tripartite motif-containing 14	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	15	0.8195	-1.2202	7.286E-16	55.4837	45.1336
A_23_P17103	chr2:99614473-99614532	TSGA10	0	NM_182911	Testis specific, 10	molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|structural molecule activity|IEA|GO:0005198|GOA|na//biological process|cell projection assembly|IEA|GO:0030031|GOA|na//biological process|spermatogenesis|TAS|GO:0007283|GOA|11179690//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microtubule-based flagellum|IEA|GO:0009434|GOA|na//cellular component|neuron projection|IEA|GO:0043005|GOA|na//cellular component|nuclear membrane|IEA|GO:0031965|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	14	1.1516	1.1516	0.0014	68.2905	79.1178
A_23_P145053	chr6:112395946-112396005	TUBE1	0	NM_016262	Tubulin, epsilon 1	molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|GTPase activity|IEA|GO:0003924|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|structural constituent of cytoskeleton|TAS|GO:0005200|GOA|10620804//biological process|centrosome cycle|TAS|GO:0007098|GOA|10620804//biological process|microtubule-based movement|IEA|GO:0007018|GOA|na//biological process|protein polymerization|IEA|GO:0051258|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|microtubule|IEA|GO:0005874|GOA|na//cellular component|microtubule organizing center|IEA|GO:0005815|GOA|na//cellular component|pericentriolar material|TAS|GO:0000242|GOA|10620804	M	14	1.1642	1.1642	6.2612E-06	3425.8027	3978.73
A_32_P40424	chr6:158932525-158932584	TULP4	0	NM_020245	Tubby like protein 4	molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|transcription factor activity|NAS|GO:0003700|GOA|11595174//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|11595174//biological process|response to nutrient|TAS|GO:0007584|GOA|8612280//cellular component|cellular_component|ND|GO:0005575|GOA|11595174//cellular component|cytoplasm|IDA|GO:0005737|GOA|11595174	M	14	1.1615	1.1615	2.3348E-06	28.4706	33.2788
A_23_P400449	chr16:78013635-78013694	VAT1L	0	NM_020927	Vesicle amine transport protein 1 homolog (T. californica)-like	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na	F	14	0.8487	-1.1783	1.8621E-06	118.9806	100.8196
A_23_P144959	chr5:82876302-82876361	VCAN	0	NM_004385	Versican	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|glycosaminoglycan binding|TAS|GO:0005539|GOA|7528742//molecular function|hyaluronic acid binding|IEA|GO:0005540|GOA|na//molecular function|sugar binding|IEA|GO:0005529|GOA|na//biological process|axon regeneration|IEA|GO:0031103|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|cell recognition|TAS|GO:0008037|GOA|2583089//biological process|multicellular organismal development|TAS|GO:0007275|GOA|2583089//biological process|response to wounding|IEA|GO:0009611|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	M	15	1.3211	1.3211	1.9416E-07	442.1393	590.4998
A_32_P148745	chr7:12373127-12373186	VWDE	0	NM_001135924	Von Willebrand factor D and EGF domains	cellular component|extracellular region|IEA|GO:0005576|GOA|na	F	16	0.8329	-1.2006	0.0027	68.8533	57.0789
A_32_P80295	chr6:160177037-160177096	WTAP	0	NM_004906	Wilms tumor 1 associated protein	biological process|RNA splicing|IEA|GO:0008380|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|mRNA processing|IEA|GO:0006397|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|nuclear membrane|IDA|GO:0031965|GOA|10942595//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleoplasm|IEA|GO:0005654|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x4a89d88)	M	15	1.1784	1.1784	5.3005E-10	1306.5249	1537.6693
A_23_P212423	chr3:38455633-38455692	XYLB	0	NM_005108	Xylulokinase homolog (H. influenzae)	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|kinase activity|IEA|GO:0016301|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|xylulokinase activity|IEA|GO:0004856|GOA|na//biological process|D-xylose metabolic process|IEA|GO:0042732|GOA|na//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|generation of precursor metabolites and energy|TAS|GO:0006091|GOA|9763671	F	15	0.8642	-1.1571	2.3931E-07	444.5162	382.756
A_32_P134698	chr17:1268243-1268302	YWHAE	0	NR_024058	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	molecular function|enzyme binding|IPI|GO:0019899|GOA|10788521//molecular function|histone deacetylase binding|IPI|GO:0042826|GOA|10869435//molecular function|phosphoprotein binding|IPI|GO:0051219|GOA|10869435//molecular function|phosphoserine binding|IPI|GO:0050815|GOA|10869435//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xd1b654)//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//biological process|apoptosis|EXP|GO:0006915|GOA|11278287//biological process|cerebral cortex development|IEA|GO:0021987|GOA|na//biological process|hippocampus development|IEA|GO:0021766|GOA|na//biological process|induction of apoptosis by extracellular signals|EXP|GO:0008624|GOA|12787561//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|intracellular signaling cascade|TAS|GO:0007242|GOA|7644510//biological process|negative regulation of protein amino acid dephosphorylation|IEA|GO:0035308|GOA|na//biological process|neuron migration|IEA|GO:0001764|GOA|na//biological process|protein targeting|IEA|GO:0006605|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x2e952d4)//cellular component|melanosome|IEA|GO:0042470|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	14	0.7497	-1.334	1.6437E-09	917.6331	685.0573
A_24_P221323	chr3:141162790-141162849	ZBTB38	0	NM_001080412	Zinc finger and BTB domain containing 38	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|ISS|GO:0045944|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|nucleus|ISS|GO:0005634|GOA|na	F	16	0.5916	-1.6904	2.153E-08	68.4025	39.0997
A_24_P269129	chr6:158066818-158066871	ZDHHC14	0	NM_153746	Zinc finger, DHHC-type containing 14	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.8155	-1.2263	4.8486E-36	126.7546	103.1117
A_23_P332908	chr12:72050681-72050740	ZFC3H1	0	NM_144982	Zinc finger, C3H1-type containing	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//biological process|RNA processing|IEA|GO:0006396|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	14	0.7364	-1.358	0.000022625	662.7023	487.6962
A_24_P273857	chr8:106646515-106646574	ZFPM2	0	NM_012082	Zinc finger protein, multitype 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|10438528//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription corepressor activity|IEA|GO:0003714|GOA|na//molecular function|transcription factor binding|IEA|GO:0008134|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cardiac muscle tissue development|IEA|GO:0048738|GOA|na//biological process|embryonic organ development|IEA|GO:0048568|GOA|na//biological process|in utero embryonic development|IEA|GO:0001701|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|10438528//biological process|vasculogenesis|IEA|GO:0001570|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	15	0.8666	-1.154	5.3266E-07	24.5646	21.1773
A_23_P139408	chr3:124951184-124951243	ZNF148	0	NM_021964	Zinc finger protein 148	molecular function|double-stranded DNA binding|IEA|GO:0003690|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12771217//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|12771217//molecular function|specific RNA polymerase II transcription factor activity|TAS|GO:0003704|GOA|9685330//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|12771217//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cellular defense response|TAS|GO:0006968|GOA|8355710//biological process|gamete generation|IEA|GO:0007276|GOA|na//biological process|negative regulation of gene expression|IDA|GO:0010629|GOA|12771217//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	16	0.7408	-1.35	6.0057E-08	2105.6094	1547.0422
A_32_P179686	chr17:47370884-47370943	ZNF652	0	NM_014897	Zinc finger protein 652	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|16966434//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	15	1.2592	1.2592	0.0002	239.0354	302.0174
A_24_P162373	chr22:29449612-29449671	ZNRF3	0	NM_032173	Zinc and ring finger 3	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.8557	-1.1686	2.6456E-07	933.1697	798.5911
A_23_P159325	chr19:8439169-8439228	ANGPTL4	1	NM_139314	Angiopoietin-like 4	molecular function|enzyme inhibitor activity|ISS|GO:0004857|GOA|na//molecular function|receptor binding|IEA|GO:0005102|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of apoptosis|IDA|GO:0043066|GOA|10698685//biological process|negative regulation of lipoprotein lipase activity|ISS|GO:0051005|GOA|na//biological process|positive regulation of angiogenesis|TAS|GO:0045766|GOA|11953136//biological process|protein homooligomerization|IEA|GO:0051260|GOA|na//biological process|response to hypoxia|NAS|GO:0001666|GOA|12707035//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|extracellular region|IDA|GO:0005576|GOA|10698685//cellular component|extracellular space|IDA|GO:0005615|GOA|10698685//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	M	14	1.2062	1.2062	1.2016E-10	6492.751	7846.4141
A_23_P339191	chr11:119177415-119177474	CBL	0	NM_005188	Cas-Br-M (murine) ecotropic retroviral transforming sequence	molecular function|SH3 domain binding|IPI|GO:0017124|GOA|9447983//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb41864)//molecular function|signal transducer activity|IEA|GO:0004871|GOA|na//molecular function|transcription factor activity|TAS|GO:0003700|GOA|2030914//molecular function|ubiquitin-protein ligase activity|EXP|GO:0004842|GOA|ARRAY(0xf6a1f0)//molecular function|ubiquitin-protein ligase activity|TAS|GO:0004842|GOA|15465819//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cell surface receptor linked signaling pathway|TAS|GO:0007166|GOA|15465819//biological process|epidermal growth factor receptor signaling pathway|TAS|GO:0007173|GOA|15465819//biological process|positive regulation of receptor-mediated endocytosis|TAS|GO:0048260|GOA|15465819//biological process|protein ubiquitination|TAS|GO:0016567|GOA|15465819//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x12c7a80)//cellular component|flotillin complex|ISS|GO:0016600|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0xaed0dc)//cellular component|plasma membrane|IDA|GO:0005886|GOA|15465819	F	15	0.8094	-1.2355	8.8204E-21	361.211	292.2596
A_24_P784765	chr11:33724746-33724805	CD59	0	NM_203331	CD59 molecule, complement regulatory protein	molecular function|protein binding|IPI|GO:0005515|GOA|12577067//biological process|blood coagulation|TAS|GO:0007596|GOA|1381503//biological process|cell surface receptor linked signaling pathway|TAS|GO:0007166|GOA|7691713//cellular component|anchored to external side of plasma membrane|IDA|GO:0031362|GOA|9724629//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|1381503//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	14	1.1519	1.1519	1.1328E-10	341.7855	393.6664
A_23_P131676	chr2:237490783-237490842	CXCR7	0	NM_020311	Chemokine (C-X-C motif) receptor 7	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|NAS|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	16	1.5351	1.5351	1.7405E-10	1764.1039	2811.8792
A_23_P206113	chr15:75043624-75044138	CYP1A2	1	NM_000761	Cytochrome P450, family 1, subfamily A, polypeptide 2	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|caffeine oxidase activity|IDA|GO:0034875|GOA|18619574//molecular function|demethylase activity|IDA|GO:0032451|GOA|2813353//molecular function|electron carrier activity|TAS|GO:0009055|GOA|2813353//molecular function|enzyme binding|IPI|GO:0019899|GOA|15680923//molecular function|heme binding|IDA|GO:0020037|GOA|17311915//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IDA|GO:0004497|GOA|ARRAY(0x1561744)//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|ARRAY(0xfb3aa4)//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|IMP|GO:0016712|GOA|2813353//molecular function|oxygen binding|EXP|GO:0019825|GOA|8553685//biological process|alkaloid metabolic process|IDA|GO:0009820|GOA|11511187//biological process|cellular aromatic compound metabolic process|IEA|GO:0006725|GOA|na//biological process|cellular respiration|IEA|GO:0045333|GOA|na//biological process|dibenzo-p-dioxin metabolic process|IEA|GO:0018894|GOA|na//biological process|drug catabolic process|IMP|GO:0042737|GOA|18356043//biological process|drug metabolic process|IDA|GO:0017144|GOA|ARRAY(0xb08924)//biological process|exogenous drug catabolic process|IDA|GO:0042738|GOA|18619574//biological process|heterocycle metabolic process|IDA|GO:0046483|GOA|15327587//biological process|hydrogen peroxide biosynthetic process|IEA|GO:0050665|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|monocarboxylic acid metabolic process|IDA|GO:0032787|GOA|19651758//biological process|monoterpenoid metabolic process|IDA|GO:0016098|GOA|16401082//biological process|oxidation reduction|IDA|GO:0055114|GOA|ARRAY(0x19dcf14)//biological process|oxidative demethylation|IDA|GO:0070989|GOA|18619574//biological process|porphyrin metabolic process|IEA|GO:0006778|GOA|na//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|regulation of gene expression|IEA|GO:0010468|GOA|na//biological process|steroid catabolic process|IMP|GO:0006706|GOA|18356043//biological process|toxin biosynthetic process|IDA|GO:0009403|GOA|11511187//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|8553685//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|ARRAY(0x12e5370)	F	14	0.85388621	-1.1711	0.0018	3246.1978	2770.5159
A_23_P146198	chr8:59403414-59403473	CYP7A1	1	NM_000780	Cytochrome P450, family 7, subfamily A, polypeptide 1	molecular function|cholesterol 7-alpha-monooxygenase activity|EXP|GO:0008123|GOA|2384150//molecular function|cholesterol 7-alpha-monooxygenase activity|ISS|GO:0008123|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|bile acid biosynthetic process|IDA|GO:0006699|GOA|19965590//biological process|bile acid biosynthetic process|ISS|GO:0006699|GOA|na//biological process|cellular response to cholesterol|ISS|GO:0071397|GOA|na//biological process|cellular response to glucose stimulus|IDA|GO:0071333|GOA|19965590//biological process|cholesterol catabolic process|ISS|GO:0006707|GOA|na//biological process|cholesterol homeostasis|ISS|GO:0042632|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of bile acid biosynthetic process|IDA|GO:0070857|GOA|19965590//biological process|regulation of bile acid biosynthetic process|ISS|GO:0070857|GOA|na//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|2384150//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|ISS|GO:0005792|GOA|na	F	14	0.7179	-1.3929	0.000098919	1789.001	1270.5597
A_23_P142631	chr2:24286286-24286345	FKBP1B	0	NM_054033	FK506 binding protein 1B, 12.6 kDa	molecular function|FK506 binding|IDA|GO:0005528|GOA|7592869//molecular function|isomerase activity|IEA|GO:0016853|GOA|na//molecular function|peptidyl-prolyl cis-trans isomerase activity|IDA|GO:0003755|GOA|7592869//molecular function|protein binding|IPI|GO:0005515|GOA|7592869//molecular function|receptor binding|IPI|GO:0005102|GOA|ARRAY(0xcfcc74)//molecular function|ryanodine-sensitive calcium-release channel activity|TAS|GO:0005219|GOA|11322937//biological process|de novo protein folding|TAS|GO:0006458|GOA|11322937//biological process|T cell proliferation|IEA|GO:0042098|GOA|na//biological process|insulin secretion|IEA|GO:0030073|GOA|na//biological process|muscle contraction|NAS|GO:0006936|GOA|na//biological process|negative regulation of heart rate|ISS|GO:0010459|GOA|na//biological process|negative regulation of protein phosphatase type 2B activity|IDA|GO:0032513|GOA|7592869//biological process|neuronal action potential propagation|IEA|GO:0019227|GOA|na//biological process|protein maturation by protein folding|TAS|GO:0022417|GOA|11322937//biological process|protein refolding|TAS|GO:0042026|GOA|11322937//biological process|regulation of calcium ion transport via store-operated calcium channel activity|IDA|GO:0032234|GOA|17921453//biological process|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|ISS|GO:0010881|GOA|na//biological process|regulation of ryanodine-sensitive calcium-release channel activity|IDA|GO:0060314|GOA|17921453//biological process|regulation of ryanodine-sensitive calcium-release channel activity|IMP|GO:0060314|GOA|7592869//biological process|release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|IEA|GO:0014808|GOA|na//biological process|response to glucose stimulus|IEA|GO:0009749|GOA|na//biological process|response to redox state|IDA|GO:0051775|GOA|19226252//biological process|smooth muscle contraction|IEA|GO:0006939|GOA|na//cellular component|calcium channel complex|IDA|GO:0034704|GOA|10830164//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|IC|GO:0005829|GOA|7592869//cellular component|sarcoplasmic reticulum membrane|IEA|GO:0033017|GOA|na	M	14	1.5268	1.5268	1.5215E-10	643.1245	1014.6642
