Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.45	3763687	0	COIL	coilin	8161	17q22	P38432
0.45	3998444	0	HDHD1A	haloacid dehalogenase-like hydrolase domain containing 1A	8226	Xp22.31	Q08623
0.45	2793054	0	CBR4	carbonyl reductase 4	84869	4q32.3	Q8N4T8
0.45	3432138	0	C12orf47	chromosome 12 open reading frame 47	8550	12q24.12 / 12q24.13	Q8IW41
0.45	2693149	0	SNX4	sorting nexin 4	8723	3q21.2	O95219
0.45	3431376	0	ANKRD13A	ankyrin repeat domain 13A	88455	12q24.11	Q8IZ07
0.45	3094447	0	ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	9070	8p12	Q9UBL3
0.45	3301609	0	FLJ34077	weakly similar to zinc finger protein 195	404033	10q23.33	na
0.45	3545466	0.1	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	10598	14q24.3	O95433
0.45	2491676	0.1	VAMP5	vesicle-associated membrane protein 5 (myobrevin)	10791	2p11.2	O95183
0.45	3894228	0.1	CSNK2A1P	casein kinase 2, alpha 1 polypeptide pseudogene	1457	20p13	P68400
0.45	3660213	0.1	CYLD	cylindromatosis (turban tumor syndrome)	1540	16q12.1	Q9NQC7
0.45	2756404	0.1	ZNF721	zinc finger protein 721	170960	4p16.3	Q8TF20
0.45	2412360	0.1	EPS15	epidermal growth factor receptor pathway substrate 15	2060	1p32.3	P42566
0.45	3239891	0.1	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	23590	10p12.1	Q5T2R2
0.45	3428268	0.1	GAS2L3	growth arrest-specific 2 like 3	283431	12q23.1	Q86XJ1
0.45	3415320	0.1	KRT7	keratin 7	3855	12q13.13	P08729
0.45	2657250	0.1	LPP	LIM domain containing preferred translocation partner in lipoma	4026	3q27.3 / 3q28	Q93052
0.45	2737717	0.1	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790	4q24	P19838
0.45	3591909	0.1	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	51496	15q15.3	Q05D32
0.45	3605268	0.1	TM6SF1	transmembrane 6 superfamily member 1	53346	15q25.2	Q9BZW5
0.45	3426828	0.1	VEZT	vezatin, adherens junctions transmembrane protein	55591	12q22	Q9HBM0
0.45	2548402	0.1	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	5610	2p22.2	P19525
0.45	2403740	0.1	SFRS4	splicing factor, arginine/serine-rich 4	6429	1p35.3	Q08170
0.45	2369557	0.1	SOAT1	sterol O-acyltransferase 1	6646	1q25.2	P35610
0.45	2860666	0.1	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	6880	5q13.2	Q16594
0.45	2901352	0.1	PPP1R11	protein phosphatase 1, regulatory (inhibitor) subunit 11	6992	6p21.33	O60927
0.45	3717635	0.1	ZNF207	zinc finger protein 207	7756	17q11.2	O43670
0.45	3831168	0.1	CAPNS1	calpain, small subunit 1	826	19q13.12	P04632
0.45	3802416	0.1	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	83539	18q11.2	Q7L1S5
0.45	4013359	0.1	MAGT1	magnesium transporter 1	84061	Xq21.1	Q9H0U3
0.45	4007216	0.1	UXT	ubiquitously-expressed transcript	8409	Xp11.23	Q9UBK9
0.45	3299255	0.1	ATAD1	ATPase family, AAA domain containing 1	84896	10q23.2	Q8NBU5
0.45	2968232	0.1	SNX3	sorting nexin 3	8724	6q21	O60493
0.45	3511189	0.1	MTRF1	mitochondrial translational release factor 1	9617	13q14.11	O75570
0.45	2512601	0.3	TANK	TRAF family member-associated NFKB activator	10010	2q24.2	Q92844
0.45	2884658	0.3	SLU7	SLU7 splicing factor homolog (S. cerevisiae)	10569	5q33.3	O95391
0.45	3421300	0.3	MDM2	Mdm2 p53 binding protein homolog (mouse)	4193	12q15	Q00987
0.45	2866590	0.5	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3	116068	5q14.3	Q7Z3D4
0.45	3487360	0.5	C13orf30	chromosome 13 open reading frame 30	144809	13q14.11	Q8N7L0
0.45	3690193	0.5	ITFG1	integrin alpha FG-GAP repeat containing 1	81533	16q12.1	Q8TB96
0.45	4013549	0.5	ITM2A	integral membrane protein 2A	9452	Xq21.1	O43736
0.45	2413578	0.5	TMEM59	transmembrane protein 59	9528	1p32.3	Q9BXS4
0.45	3349918	0.9	RBM7	RNA binding motif protein 7	10179	11q23.2	Q9Y580
0.45	3572340	0.9	TMED10P	transmembrane emp24-like trafficking protein 10 (yeast) pseudogene	10972	14q24.3	P49755
0.45	2874686	0.9	HINT1	histidine triad nucleotide binding protein 1	3094	5q31.1	P49773
0.45	3446868	0.9	LDHB	lactate dehydrogenase B	3945	12p12.1	P07195
0.45	3421511	0.9	LYZ	lysozyme (renal amyloidosis)	4069	12q15	P61626
0.45	2746024	0.9	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	6059	4q31.22	P61221
0.45	2649723	0.9	MFSD1	major facilitator superfamily domain containing 1	64747	3q25.33	Q9H3U5
0.45	3843662	0.9	ZNF417	zinc finger protein 417	84914	19q13.43	Q96SQ5
0.46	3671202	0	CDH13	cadherin 13, H-cadherin (heart)	1012	16q23.3	P55290
0.46	2771654	0	CENPC1	centromere protein C 1	1060	4q13.2	Q03188
0.46	2328465	0	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	10657	1p35.1	Q07666
0.46	3835467	0	ZNF234	zinc finger protein 234	10780	19q13.31	Q14588
0.46	3749086	0	AKAP10	A kinase (PRKA) anchor protein 10	11216	17p11.2	O43572
0.46	3095815	0	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	137964	8p11.21	Q86UL3
0.46	3140478	0	C8orf84	chromosome 8 open reading frame 84	157869	8q21.11	Q8IVN8
0.46	3558168	0	ADCY4	adenylate cyclase 4	196883	14q12	Q8NFM4
0.46	3903525	0	NCOA6	nuclear receptor coactivator 6	23054	20q11.22	Q14686
0.46	3189580	0	ZBTB43	zinc finger and BTB domain containing 43	23099	9q33.3	O43298
0.46	2668425	0	CLASP2	cytoplasmic linker associated protein 2	23122	3p22.3	O75122
0.46	2625606	0	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	26060	3p14.3	Q9UKG1
0.46	2794356	0	FBXO8	F-box protein 8	26269	4q34.1	Q9NRD0
0.46	2748923	0	GUCY1B3	guanylate cyclase 1, soluble, beta 3	2983	4q32.1	Q02153
0.46	3351733	0	CCDC84	coiled-coil domain containing 84	338657	11q23.3	Q86UT8
0.46	2340433	0	LEPROT	leptin receptor overlapping transcript	3953	1p31.3	P48357
0.46	3181302	0	NCBP1	nuclear cap binding protein subunit 1, 80kDa	4686	9q22.33	Q09161
0.46	3883547	0	PHF20	PHD finger protein 20	51230	20q11.22 / 20q11.23	Q9BVI0
0.46	3167325	0	UBAP1	ubiquitin associated protein 1	51271	9p13.3	Q9NZ09
0.46	3958253	0	C22orf28	chromosome 22 open reading frame 28	51493	22q12.3	Q9Y3I0
0.46	3972093	0	SCARNA23	small Cajal body-specific RNA 23	5422	Xp22.11 / Xp21.3	P09884
0.46	3988365	0	WDR44	WD repeat domain 44	54521	Xq24	Q5JSH3
0.46	3021123	0	ING3	inhibitor of growth family, member 3	54556	7q31.31	Q9NXR8
0.46	2428760	0	RSBN1	round spermatid basic protein 1	54665	1p13.2	Q5VWQ0
0.46	3807370	0	DYM	dymeclin	54808	18q21.1	Q7RTS9
0.46	3784727	0	ELP2	elongation protein 2 homolog (S. cerevisiae)	55250	18q12.2	Q6IA86
0.46	3450775	0	KIF21A	kinesin family member 21A	55605	12q12	Q7Z4S6
0.46	2961317	0	TMEM30A	transmembrane protein 30A	55754	6q14.1	Q9NV96
0.46	3609592	0	MCTP2	multiple C2 domains, transmembrane 2	55784	15q26.2	Q6DN12
0.46	3466369	0	FGD6	FYVE, RhoGEF and PH domain containing 6	55785	12q22	Q6ZV73
0.46	2421782	0	RBMX	RNA binding motif protein, X-linked	56267	1p22.2	Q6YP21
0.46	3781124	0	MIB1	mindbomb homolog 1 (Drosophila)	57534	18q11.2	Q86YT6
0.46	3907652	0	NCOA5	nuclear receptor coactivator 5	57727	20q13.12	Q9HCD5
0.46	3543884	0	ZNF410	zinc finger protein 410	57862	14q24.3	Q86VK4
0.46	3798778	0	FAM38B	family with sequence similarity 38, member B	63895	18p11.22	Q8N787
0.46	2886174	0	SLIT3	slit homolog 3 (Drosophila)	6586	5q35.1	O75094
0.46	3457455	0	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	6601	12q13.2	Q8TAQ2
0.46	2951300	0	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	6882	6p21.31	Q15544
0.46	3905145	0	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	7052	20q11.23	P21980
0.46	3986261	0	RNF128	ring finger protein 128	79589	Xq22.3	Q8TEB7
0.46	3304116	0	C10orf76	chromosome 10 open reading frame 76	79591	10q24.32	Q5T2E6
0.46	2746693	0	ARHGAP10	Rho GTPase activating protein 10	79658	4q31.23	A1A4S6
0.46	3305017	0	OBFC1	oligonucleotide/oligosaccharide-binding fold containing 1	79991	10q24.33	Q9H668
0.46	3090512	0	DOCK5	dedicator of cytokinesis 5	80005	8p21.2	Q9H7D0
0.46	3464622	0	C12orf29	chromosome 12 open reading frame 29	80184	12q21.32	O15078
0.46	2759404	0	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	80273	4p16.1	Q9HAV7
0.46	3724989	0	CDK5RAP3	CDK5 regulatory subunit associated protein 3	80279	17q21.32	Q96JB5
0.46	3728097	0	AKAP1	A kinase (PRKA) anchor protein 1	8165	17q22	Q92667
0.46	2498274	0	C2orf40	chromosome 2 open reading frame 40	84417	2q12.2	Q9H1Z8
0.46	3502497	0	CUL4A	cullin 4A	8451	13q34	Q13619
0.46	3409211	0	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	8496	12p11.23 / 12p11.22	Q86W92
0.46	2783596	0	PDE5A	phosphodiesterase 5A, cGMP-specific	8654	4q27	O76074
0.46	3929325	0	SYNJ1	synaptojanin 1	8867	21q22.11	O43426
0.46	3431143	0	UBE3B	ubiquitin protein ligase E3B	89910	12q24.11	Q7Z3V4
0.46	3576284	0	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	9252	14q32.11 / 14q32.12	O75582
0.46	3279108	0	NMT2	N-myristoyltransferase 2	9397	10p13	O60551
0.46	3152220	0	KIAA0196	KIAA0196	9897	8q24.13	Q12768
0.46	2485784	0.1	LOC284441	actin-related protein 2 pseudogene	10097	2p14	P61160
0.46	3482498	0.1	CDK8	cyclin-dependent kinase 8	1024	13q12.13	P49336
0.46	3257559	0.1	RPP30	ribonuclease P/MRP 30kDa subunit	10556	10q23.31	P78346
0.46	3214582	0.1	SPTLC1	serine palmitoyltransferase, long chain base subunit 1	10558	9q22.31	O15269
0.46	3834089	0.1	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U-like 1	11100	19q13.2	Q9BUJ2
0.46	3129065	0.1	CLU	clusterin	1191	8p21.1	P10909
0.46	3068519	0.1	C7orf60	chromosome 7 open reading frame 60	154743	7q31.1	Q1RMZ1
0.46	2366941	0.1	FMO3	flavin containing monooxygenase 3	2328	1q24.3	P31513
0.46	2828856	0.1	HSPA4	heat shock 70kDa protein 4	3308	5q31.1	P34932
0.46	3927226	0.1	APP	amyloid beta (A4) precursor protein	351	21q21.3	P05067
0.46	2491615	0.1	MAT2A	methionine adenosyltransferase II, alpha	4144	2p11.2	P31153
0.46	2856484	0.1	MOCS2	molybdenum cofactor synthesis 2	4338	5q11.2	O96007
0.46	3723264	0.1	NMT1	N-myristoyltransferase 1	4836	17q21.31	P30419
0.46	2650538	0.1	NMD3	NMD3 homolog (S. cerevisiae)	51068	3q26.1	Q96D46
0.46	3482977	0.1	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	51082	13q12.2	Q9Y2S0
0.46	2950714	0.1	CUTA	cutA divalent cation tolerance homolog (E. coli)	51596	6p21.32	O60888
0.46	2531522	0.1	CAB39	calcium binding protein 39	51719	2q37.1	Q9Y376
0.46	3283378	0.1	LOC729668	golgi autoantigen, golgin subfamily a, 6 pseudogene	55149	10p11.23	Q9NVV4
0.46	2553771	0.1	CCDC88A	coiled-coil domain containing 88A	55704	2p16.1	Q3V6T2
0.46	2662491	0.1	TMEM111	transmembrane protein 111	55831	3p25.3	Q9P0I2
0.46	3415969	0.1	SP1	Sp1 transcription factor	6667	12q13.13	P08047
0.46	2400718	0.1	USP48	ubiquitin specific peptidase 48	84196	1p36.12	Q86UV5
0.46	3345593	0.1	CEP57	centrosomal protein 57kDa	9702	11q21	Q86XR8
0.46	2717101	0.1	KIAA0232	KIAA0232	9778	4p16.1	Q92628
0.46	2356181	0.1	RBM8A	RNA binding motif protein 8A	9939	1q21.1	Q9Y5S9
0.46	3086573	0.1	LRLE1	liver-related low express protein 1	100133175	8p23.1	na
0.46	2929699	0.3	RAB32	RAB32, member RAS oncogene family	10981	6q24.3	Q13637
0.46	3573994	0.3	C14orf145	chromosome 14 open reading frame 145	145508	14q31.1	Q6ZU80
0.46	3971877	0.3	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	1968	Xp22.11	P41091
0.46	2405364	0.3	AK2	adenylate kinase 2	204	1p35.1	P54819
0.46	3413479	0.3	ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D	23519	12q13.11	O95626
0.46	3550328	0.3	C14orf129	chromosome 14 open reading frame 129	51527	14q32.2	Q9P0R6
0.46	3106539	0.3	OTUD6B	OTU domain containing 6B	51633	8q21.3	Q8N6M0
0.46	3528994	0.3	ACIN1	apoptotic chromatin condensation inducer 1	55017	14q11.2	Q9NWQ9
0.46	3728776	0.3	RAD51C	RAD51 homolog C (S. cerevisiae)	5889	17q22	O43502
0.46	2694644	0.3	CNBP	CCHC-type zinc finger, nucleic acid binding protein	7555	3q21.3	P62633
0.46	2332566	0.3	PPCS	phosphopantothenoylcysteine synthetase	79717	1p34.2	Q9HAB8
0.46	3666566	0.3	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	84916	16q22.1	Q969X6
0.46	3235461	0.3	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	8872	10p14 / 10p13	O75794
0.46	3630668	0.3	CALML4	calmodulin-like 4	91860	15q23	Q96GE6
0.46	2316558	0.5	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	11079	1p36.32	O15258
0.46	3263944	0.5	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	27250	10q25.2	Q53EL6
0.46	3426215	0.5	MRPL42	mitochondrial ribosomal protein L42	28977	12q22	Q9Y6G3
0.46	2753952	0.5	ING2	inhibitor of growth family, member 2	3622	4q35.1	Q9H160
0.46	3960174	0.5	LGALS2	lectin, galactoside-binding, soluble, 2	3957	22q13.1	P05162
0.46	3417457	0.5	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle	4637	12q13.2	P60660
0.46	2508611	0.5	ARHGAP15	Rho GTPase activating protein 15	55843	2q22.2	Q53QZ3
0.46	2348854	0.5	RTCD1	RNA terminal phosphate cyclase domain 1	8634	1p21.2	O00442
0.46	2502300	0.5	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	8886	2q14.1	Q9NVP1
0.46	2966371	0.5	CCNC	cyclin C	892	6q16.3	P24863
0.46	2674242	0.9	RHOA	ras homolog gene family, member A	387	3p21.31	P61586
0.46	2919927	0.9	C6orf203	chromosome 6 open reading frame 203	51250	6q21	Q9P0P8
0.46	3429312	0.9	HSP90B3P	heat shock protein 90kDa beta (Grp94), member 3 (pseudogene)	7184	12q23.3	P14625
0.46	2372858	1.4	RGS2	regulator of G-protein signaling 2, 24kDa	5997	1q31.2	P41220
0.46	3314040	1.4	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	664	10q26.3	Q12983
0.47	3020222	0	LOC100128868	testin-related protein TRG	100128868	7q31.2	Q8IWT5
0.47	2805078	0	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	1004	5p13.3	P55285
0.47	3829768	0	UBA2	ubiquitin-like modifier activating enzyme 2	10054	19q13.11	Q9UBT2
0.47	2443335	0	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	10560	1q24.2	O60779
0.47	3301263	0	SORBS1	sorbin and SH3 domain containing 1	10580	10q23.33	Q9BX66
0.47	3113133	0	COLEC10	collectin sub-family member 10 (C-type lectin)	10584	8q24.12	Q9Y6Z7
0.47	2590736	0	NCKAP1	NCK-associated protein 1	10787	2q32.1	Q9Y2A7
0.47	3788833	0	POLI	polymerase (DNA directed) iota	11201	18q21.2	Q9UNA4
0.47	2779095	0	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128	4q23	P11766
0.47	3101629	0	ADHFE1	alcohol dehydrogenase, iron containing, 1	137872	8q13.1	Q8IWW8
0.47	3532935	0	MIPOL1	mirror-image polydactyly 1	145282	14q13.3 / 14q21.1	Q8TD10
0.47	2944491	0	MBOAT1	membrane bound O-acyltransferase domain containing 1	154141	6p22.3	Q6ZNC8
0.47	3136229	0	SDR16C5	short chain dehydrogenase/reductase family 16C, member 5	195814	8q12.1	Q8N3Y7
0.47	2525272	0	PIKFYVE	phosphoinositide kinase, FYVE finger containing	200576	2q33.3	Q9Y2I7
0.47	2403335	0	EYA3	eyes absent homolog 3 (Drosophila)	2140	1p35.3	Q99504
0.47	3278305	0	BEND7	BEN domain containing 7	222389	10p13	Q8N7W2
0.47	2823326	0	FER	fer (fps/fes related) tyrosine kinase	2241	5q21.3	P16591
0.47	2349863	0	NTNG1	netrin G1	22854	1p13.3	Q9Y2I2
0.47	2909020	0	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	22875	6p12.3	Q9Y6X5
0.47	2905512	0	FTSJD2	FtsJ methyltransferase domain containing 2	23070	6p21.2	Q8N1G2
0.47	3741875	0	ZZEF1	zinc finger, ZZ-type with EF-hand domain 1	23140	17p13.2	O43149
0.47	2426791	0	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	23155	1p13.3	Q96S66
0.47	2553282	0	PSME4	proteasome (prosome, macropain) activator subunit 4	23198	2p16.2	Q14997
0.47	2748198	0	KIAA0922	KIAA0922	23240	4q31.3	A2VDJ0
0.47	2986825	0	UNC84A	unc-84 homolog A (C. elegans)	23353	7p22.3	O94901
0.47	2970897	0	FRK	fyn-related kinase	2444	6q22.1	P42685
0.47	3727510	0	STXBP4	syntaxin binding protein 4	252983	17q22	Q6ZWJ1
0.47	3350850	0	RNF214	ring finger protein 214	257160	11q23.3	Q8ND24
0.47	3380996	0	C11orf51	chromosome 11 open reading frame 51	25906	11q13.4	P60006
0.47	3804358	0	C18orf10	chromosome 18 open reading frame 10	25941	18q12.2	Q68CL5
0.47	3326461	0	EHF	ets homologous factor	26298	11p13	Q9NZC4
0.47	2695701	0	NPHP3	nephronophthisis 3 (adolescent)	27031	3q22.1	Q7Z494
0.47	2346074	0	ZNF326	zinc finger protein 326	284695	1p22.2	Q5BKZ1
0.47	3704717	0	ANKRD11	ankyrin repeat domain 11	29123	16q24.3	Q6UB99
0.47	3322717	0	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	2965	11p15.1	P32780
0.47	2407191	0	GNL2	guanine nucleotide binding protein-like 2 (nucleolar)	29889	1p34.3	Q13823
0.47	2508016	0	SPOPL	speckle-type POZ protein-like	339745	2q22.1	Q6IQ16
0.47	2830010	0	SMAD5	SMAD family member 5	4090	5q31.2	Q99717
0.47	3589570	0	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	440275	15q15.1	Q9P2K8
0.47	2793221	0	NEK1	NIMA (never in mitosis gene a)-related kinase 1	4750	4q33	Q96PY6
0.47	2458017	0	NVL	nuclear VCP-like	4931	1q42.11	O15381
0.47	3396770	0	CDON	Cdon homolog (mouse)	50937	11q24.2	Q4KMG0
0.47	3896524	0	TRMT6	tRNA methyltransferase 6 homolog (S. cerevisiae)	51605	20p12.3	Q9UJA5
0.47	3135452	0	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	51606	8q11.23	Q9UI12
0.47	3695631	0	TPPP3	tubulin polymerization-promoting protein family member 3	51673	16q22.1	Q9BW30
0.47	3427820	0	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	5250	12q23.1	Q00325
0.47	3577612	0	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	5265	14q32.13	P01009
0.47	2857131	0	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	54505	5q11.2	Q7Z478
0.47	2852274	0	MTMR12	myotubularin related protein 12	54545	5p13.3	Q9C0I1
0.47	3310479	0	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	54780	10q26.13	Q9NXX6
0.47	3629698	0	DPP8	dipeptidyl-peptidase 8	54878	15q22.31	Q6V1X1
0.47	2963784	0	NCRNA00120	non-protein coding RNA 120	55122	6q15	Q53H80
0.47	3552729	0	PPP2R5C	protein phosphatase 2, regulatory subunit B, gamma isoform	5527	14q32.31	Q13362
0.47	3774029	0	NPLOC4	nuclear protein localization 4 homolog (S. cerevisiae)	55666	17q25.3	Q8TAT6
0.47	2480168	0	PRKCE	protein kinase C, epsilon	5581	2p21	Q02156
0.47	3884324	0	CTNNBL1	catenin, beta like 1	56259	20q11.23	Q8WYA6
0.47	3319685	0	C11orf17	chromosome 11 open reading frame 17	56672	11p15.4	Q9NQ31
0.47	3784999	0	KIAA1328	KIAA1328	57536	18q12.2	Q86T90
0.47	2912777	0	FAM135A	family with sequence similarity 135, member A	57579	6q13	Q9P2D6
0.47	2973376	0	PTPRK	protein tyrosine phosphatase, receptor type, K	5796	6q22.33	Q15262
0.47	2989050	0	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	5879	7p22.1	P63000
0.47	2331771	0	RLF	rearranged L-myc fusion	6018	1p34.2	Q13129
0.47	3808854	0	TCF4	transcription factor 4	6925	18q21.2	P15884
0.47	3465409	0	BTG1	B-cell translocation gene 1, anti-proliferative	694	12q21.33	P62324
0.47	3454680	0	TFCP2	transcription factor CP2	7024	12q13.13	Q12800
0.47	3223776	0	C5	complement component 5	727	9q33.2	P01031
0.47	3465791	0	UBE2NL	ubiquitin-conjugating enzyme E2N-like	7334	12q22	P61088
0.47	3182409	0	ZNF189	zinc finger protein 189	7743	9q31.1	O75820
0.47	3169094	0	WDR32	WD repeat domain 32	79269	9p13.2	Q5QP82
0.47	2420229	0	TTLL7	tubulin tyrosine ligase-like family, member 7	79739	1p31.1	Q6ZT98
0.47	2604998	0	IQCA1	IQ motif containing with AAA domain 1	79781	2q37.2 / 2q37.3	Q86XH1
0.47	2844082	0	RUFY1	RUN and FYVE domain containing 1	80230	5q35.3	Q96T51
0.47	3488253	0	COG3	component of oligomeric golgi complex 3	83548	13q14.12	Q96JB2
0.47	3357237	0	JAM3	junctional adhesion molecule 3	83700	11q25	Q9BX67
0.47	3076076	0	SLC37A3	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	84255	7q34	Q8NCC5
0.47	3962494	0	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	84271	22q13.2	Q9BY77
0.47	3136782	0	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	8439	8q12.1	Q92636
0.47	2474651	0	ZNF512	zinc finger protein 512	84450	2p23.3	Q96ME7
0.47	3192062	0	BAT2L	HLA-B associated transcript 2-like	84726	9q34.13	Q5JSZ5
0.47	3354174	0	TBRG1	transforming growth factor beta regulator 1	84897	11q24.2	Q3YBR2
0.47	3778601	0	VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	9218	18p11.22	Q9P0L0
0.47	3881824	0	KIF3B	kinesin family member 3B	9371	20q11.21	O15066
0.47	3970130	0	SYAP1	synapse associated protein 1, SAP47 homolog (Drosophila)	94056	Xp22.2	Q96A49
0.47	3101385	0	MTFR1	mitochondrial fission regulator 1	9650	8q13.1	Q15390
0.47	3572263	0	ACYP1	acylphosphatase 1, erythrocyte (common) type	97	14q24.3	P07311
0.47	2358520	0	SETDB1	SET domain, bifurcated 1	9869	1q21.2	Q15047
0.47	3892565	0	OSBPL2	oxysterol binding protein-like 2	9885	20q13.33	Q9H1P3
0.47	2614142	0	NR1D2	nuclear receptor subfamily 1, group D, member 2	9975	3p24.2	Q14995
0.47	4035833	0.1	CD24	CD24 molecule	100133941	Yq11.222	P25063
0.47	2835960	0.1	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	10146	5q33.1	Q13283
0.47	3716411	0.1	CPD	carboxypeptidase D	1362	17q11.2	O75976
0.47	3387259	0.1	SESN3	sestrin 3	143686	11q21	P58005
0.47	3716579	0.1	LRRC37B2	leucine rich repeat containing 37, member B2	147172	17q11.2	Q147U4
0.47	2669979	0.1	CX3CR1	chemokine (C-X3-C motif) receptor 1	1524	3p22.2	P49238
0.47	3591365	0.1	ADAL	adenosine deaminase-like	161823	15q15.3	Q6DHV7
0.47	3037100	0.1	RSPH10B2	radial spoke head 10 homolog B2 (Chlamydomonas)	222967	7p22.1	B2RC85
0.47	2359736	0.1	C1orf77	chromosome 1 open reading frame 77	26097	1q21.3	Q9Y3Y2
0.47	3295032	0.1	AP3M1	adaptor-related protein complex 3, mu 1 subunit	26985	10q22.2	Q9Y2T2
0.47	2704267	0.1	GOLIM4	golgi integral membrane protein 4	27333	3q26.2	O00461
0.47	2520291	0.1	GLS	glutaminase	2744	2q32.2	O94925
0.47	2948926	0.1	HLA-C	major histocompatibility complex, class I, C	3106	6p21.33	Q31612
0.47	2950277	0.1	HLA-DMA	major histocompatibility complex, class II, DM alpha	3108	6p21.32	P28067
0.47	3257192	0.1	IFIT2	interferon-induced protein with tetratricopeptide repeats 2	3433	10q23.31	P09913
0.47	2377427	0.1	CR1L	complement component (3b/4b) receptor 1-like	4179	1q32.2	P15529
0.47	3538703	0.1	MNAT1	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	4331	14q23.1	P51948
0.47	2380554	0.1	RRP15	ribosomal RNA processing 15 homolog (S. cerevisiae)	51018	1q41	Q9Y3B9
0.47	2724154	0.1	KLHL5	kelch-like 5 (Drosophila)	51088	4p14	Q96PQ7
0.47	2816030	0.1	POLK	polymerase (DNA directed) kappa	51426	5q13.3	Q9UBT6
0.47	3358492	0.1	POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	5441	11p15.5	P62875
0.47	3875242	0.1	CRLS1	cardiolipin synthase 1	54675	20p12.3	Q9UJA2
0.47	3781429	0.1	RBBP8	retinoblastoma binding protein 8	5932	18q11.2	Q99708
0.47	2779434	0.1	DNAJB14	DnaJ (Hsp40) homolog, subfamily B, member 14	79982	4q23	Q8TBM8
0.47	3634188	0.1	C15orf5	chromosome 15 open reading frame 5	81698	15q24.3	Q9H2U6
0.47	3463727	0.1	LIN7A	lin-7 homolog A (C. elegans)	8825	12q21.31	O14910
0.47	3250055	0.1	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	9188	10q21.3	Q9NR30
0.47	2593352	0.1	GTF3C3	general transcription factor IIIC, polypeptide 3, 102kDa	9330	2q33.1	Q9Y5Q9
0.47	3371719	0.1	SNORD67	small nucleolar RNA, C/D box 67	9793	11p11.2	Q14008
