probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
GgaAffx.25763.2.S1_at	LOC417401: similar to tripartite motif-containing 25	ENSGALT00000004970.1	417401	1.34	3.965	0.03134	0.37	0.615	0.567953	-0.97	-1.774	0.162263
GgaAffx.25795.1.S1_s_at	LOC420120: similar to cartilage oligomeric matrix protein	ENSGALT00000005192.1	420120	0.69	1.48	0.213596	-3.41	-6.944	0.000952	-4.1	-8.026	0.000509
GgaAffx.25833.1.S1_at	DNAJA5: DnaJ homology subfamily A member 5	ENSGALT00000005353.1	427434	-0.85	-7.501	0.003827	-1.07	-8.288	0.000882	-0.22	-1.46	0.20416
GgaAffx.25863.1.S1_at	GgaAffx.25863.1	ENSGALT00000005451.1		0.43	3.26	0.039745	1.18	7.696	0.001109	0.76	4.298	0.007731
GgaAffx.25869.1.S1_at	LOC419533: Hypothetical LOC419533	ENSGALT00000000548.1	419533	-0.45	-1.07	0.360299	-2.51	-9.857	0.000567	-2.06	-5.195	0.01784
GgaAffx.25873.1.S1_s_at	LOC429228: similar to KLHL5 protein	ENSGALT00000005517.1	429228	-0.78	-2.959	0.047033	0.46	1.521	0.193489	1.24	3.674	0.014384
GgaAffx.25890.1.S1_at	Transcribed locus, weakly similar to XP_364627.1  protein MG09472.4 [Magnaporthe grisea 70-15]	ENSGALT00000005597.1		-0.33	-1.515	0.246761	0.89	6.506	0.001756	1.23	5.136	0.011312
GgaAffx.25890.2.S1_at	Transcribed locus, moderately similar to NP_062102.1  carrier family 12, member 4 [Rattus norvegicus] /// Transcribed locus, weakly similar to XP_364627.1  protein MG09472.4 [Magnaporthe grisea 70-15]	ENSGALT00000005594.1		-1.39	-30.736	0.000009	-1.56	-49.066	0.000032	-0.17	-4.669	0.025727
GgaAffx.25909.3.S1_at	Transcribed locus, strongly similar to XP_001081585.1  similar to fetal Alzheimer antigen isoform 2 [Rattus norvegicus]	ENSGALT00000005741.1		-1.71	-16.652	0.002665	-1.66	-10.175	0.001804	0.05	0.245	0.816537
GgaAffx.25925.1.S1_at	LOC426790: similar to clathrin-like protein	ENSGALT00000005799.1	426790	-0.4	-2.412	0.08643	0.93	3.095	0.043114	1.33	4.148	0.012628
GgaAffx.2598.1.S1_at	LOC424424: similar to Soat1-prov protein	ENSGALT00000006690.1	424424	0.34	1.967	0.143167	1.11	3.913	0.022337	0.77	2.474	0.061603
GgaAffx.260.1.S1_at	LOC428318: hypothetical LOC428318	ENSGALT00000000553.1	428318	1.01	3.012	0.039484	0.33	0.655	0.544865	-0.68	-1.338	0.245902
GgaAffx.26023.5.S1_s_at	KRT15: keratin 15	ENSGALT00000006104.1	408040	-1.83	-12.08	0.003435	-1.66	-13.519	0.000217	0.17	0.918	0.408486
GgaAffx.26025.1.S1_at	LOC419678: similar to tRNA isopentenylpyrophosphate transferase	ENSGALT00000006120.1	419678	-1.23	-11.399	0.000919	-1.3	-13.669	0.000041	-0.07	-0.612	0.570917
GgaAffx.26027.1.S1_at	GgaAffx.26027.1	ENSGALT00000006127.1		4.03	14.991	0.003859	5.98	70.274	0	1.95	7.027	0.012649
GgaAffx.26037.1.S1_at	P2RX4: Purinergic receptor P2X, ligand-gated ion channel, 4	ENSGALT00000006151.1	374166	-1.13	-7.39	0.002002	-0.86	-5.041	0.004167	0.27	1.498	0.194425
GgaAffx.26047.1.S1_s_at	LOC417183: hypothetical LOC417183	ENSGALT00000006192.1	417183	-1.09	-25.398	0.000018	-1.04	-9.347	0.001564	0.05	0.423	0.69668
GgaAffx.26048.1.S1_at	Finished cDNA, clone ChEST880p12	ENSGALT00000006193.1		-0.73	-2.346	0.122012	0.62	1.787	0.159283	1.34	3.026	0.029495
GgaAffx.26069.1.S1_at	CEP350: centrosomal protein 350kDa	ENSGALT00000006306.1	424417	-1.05	-5.137	0.016185	-0.81	-3.334	0.03094	0.24	0.824	0.447692
GgaAffx.26088.2.S1_s_at	NAV2: neuron navigator 2	ENSGALT00000006371.1	422977	0.44	2.358	0.130724	1.1	4.772	0.015118	0.66	2.263	0.073075
GgaAffx.26093.3.S1_at	CENTG2: centaurin, gamma 2	ENSGALT00000006437.1	424024	-1.95	-17.259	0.000067	-1.91	-11.954	0.000117	0.04	0.253	0.811196
GgaAffx.26127.1.S1_s_at	LOC422151: similar to FNDC3 protein	ENSGALT00000006629.1	422151	-1.1	-2.421	0.121636	0.43	1.223	0.294162	1.53	2.772	0.049028
GgaAffx.26199.1.S1_at	RCJMB04_13a9: DnaJ (Hsp40) homolog, subfamily B, member 12	ENSGALT00000007008.1	423707	-1.13	-13.927	0.000358	-0.64	-5.177	0.007382	0.49	3.652	0.017049
GgaAffx.26210.1.S1_at	OR5AS1: olfactory receptor, family 5, subfamily AS, member 1	ENSGALT00000007054.1	428831	1.52	5.156	0.007229	1.04	1.76	0.154328	-0.48	-0.838	0.452979
GgaAffx.26221.1.S1_at	EDA: ectodysplasin A1	ENSGALT00000007137.1	422157	-0.1	-1.365	0.281994	0.95	3.916	0.022063	1.05	4.495	0.019579
GgaAffx.2624.1.S1_at	GgaAffx.2624.1	ENSGALT00000006758.1		1.28	5.372	0.028438	0.93	2.889	0.036891	-0.35	-1.529	0.21739
GgaAffx.26261.1.S1_s_at	RCJMB04_4a23: F-box and leucine-rich repeat protein 18	ENSGALT00000007337.1	416484	0.11	1.003	0.379675	1.23	6.701	0.003462	1.12	5.775	0.003534
GgaAffx.26276.3.S1_s_at	LOC423718: similar to cadherin-related 23 protein	ENSGALT00000007412.1	423718	-1.31	-40.769	0.000002	-1.56	-11.722	0.001035	-0.26	-1.925	0.144466
GgaAffx.26296.1.S1_at	LOC415768: hypothetical LOC415768	ENSGALT00000007533.1	415768	1.05	4.491	0.014782	0.14	0.309	0.774719	-0.91	-1.876	0.133166
GgaAffx.26306.1.A1_at	GgaAffx.26306.1	ENSGALT00000007586.1		0.73	5.167	0.007176	1.31	4.468	0.013881	0.58	1.932	0.128403
GgaAffx.26314.1.S1_at	LOC424451: similar to niban protein	ENSGALT00000007683.1	424451	0.29	1.41	0.234352	1.82	4.122	0.018732	1.53	3.391	0.029764
GgaAffx.26349.1.S1_at	LOC419510: similar to Zinc finger, MYND-type containing 12	ENSGALT00000007794.1	419510	-1.33	-3.648	0.038864	-1.43	-6.15	0.001696	-0.1	-0.278	0.798719
GgaAffx.26357.1.S1_at	SLC6A1: solute carrier family 6 (neurotransmitter transporter, GABA), member 1	ENSGALT00000007873.1	415960	-1.62	-26.067	0.000255	-1.79	-17.134	0.000227	-0.17	-1.433	0.217259
GgaAffx.26365.1.S1_at	Transcribed locus, weakly similar to XP_359868.1  protein MG04909.4 [Magnaporthe grisea 70-15]	ENSGALT00000007907.1		-0.17	-1.501	0.208454	1.1	5.417	0.005932	1.28	6.167	0.003224
GgaAffx.26367.1.S1_s_at	LOC421173: Similar to leucine-rich repeat-containing G protein-coupled receptor 6	ENSGALT00000000790.1	421173	1.07	5.018	0.008362	0.49	1.407	0.233316	-0.58	-1.597	0.179679
GgaAffx.26392.1.S1_at	LOC417627: similar to partner of PIX 1	ENSGALT00000008115.1	417627	-0.6	-6.414	0.0112	-1.47	-4.54	0.019022	-0.87	-2.611	0.069525
GgaAffx.26401.1.S1_at	LOC415437: similar to rai-like protein	ENSGALT00000008184.1	415437	-1.66	-8.307	0.001597	-1.28	-5.508	0.003361	0.39	1.518	0.189581
GgaAffx.26414.1.S1_s_at	LOC415786: thiolesterase B	ENSGALT00000008204.1	415786	0.49	1.078	0.365279	1.24	5.704	0.008012	0.75	1.761	0.204487
GgaAffx.26432.1.S1_s_at	COL11A1: collagen, type XI, alpha 1	ENSGALT00000008321.1	374046	0.01	0.033	0.976082	-3.09	-5.968	0.001925	-3.1	-7.64	0.002593
GgaAffx.26432.2.S1_at	COL11A1: Collagen, type XI, alpha 1	ENSGALT00000008322.1	374046	-0.55	-1.521	0.203621	-1.42	-5.472	0.017405	-0.87	-3.046	0.071103
GgaAffx.26440.4.S1_at	ANKRD13A: ankyrin repeat domain 13A	ENSGALT00000008335.1	416902	1.61	4.237	0.044336	1.39	2.884	0.041128	-0.22	-0.707	0.525237
GgaAffx.2645.1.S1_at	LOC415404: similar to GRINL1A complex protein 1 Gcom1	ENSGALT00000006808.1	415404	-2.03	-14.655	0.002941	-1.86	-18.696	0.00009	0.18	1.086	0.341547
GgaAffx.26463.1.S1_at	LOC424815: hypothetical LOC424815	ENSGALT00000008461.1	424815	0.03	0.244	0.829188	-1.12	-3.914	0.0292	-1.15	-3.647	0.02013
GgaAffx.26468.1.S1_at	CCBP2: chemokine binding protein 2	ENSGALT00000008506.1	420393	0.45	4.155	0.014202	1.33	6.717	0.002601	0.87	4.425	0.011588
GgaAffx.26498.1.S1_s_at	LOC428948: similar to Pdlim1 protein	ENSGALT00000008709.1	428948	-0.73	-5.192	0.007775	-1.57	-7.622	0.001395	-0.83	-3.834	0.014041
GgaAffx.26500.2.S1_x_at	GgaAffx.26500.2	ENSGALT00000000082.1		-0.9	-8.636	0.000989	-1.08	-9.267	0.000246	-0.18	-1.513	0.190752
GgaAffx.26500.3.S1_at	TRIM41: tripartite motif-containing 41	ENSGALT00000000087.1	417043	-1.45	-13.09	0.005569	-1.65	-22.54	0.000164	-0.19	-1.446	0.228521
GgaAffx.26506.1.S1_at	D3BWG0562E: plasticity related gene 1	ENSGALT00000008772.1	424476	-1.19	-11.242	0.000421	-1.31	-17.739	0.000677	-0.12	-1.385	0.276379
GgaAffx.26516.1.S1_at	LOC420405: similar to kinesin protein 9	ENSGALT00000008850.1	420405	-1.86	-31.961	0.000016	-1.65	-9.773	0.001637	0.21	1.246	0.289864
GgaAffx.26548.1.S1_at	GgaAffx.26548.1	ENSGALT00000009026.1		-0.63	-1.01	0.415588	-1.28	-4.875	0.010299	-0.65	-0.98	0.407754
GgaAffx.2655.2.S1_s_at	GgaAffx.2655.2	ENSGALT00000006817.1		-0.51	-1.815	0.165362	-1.21	-4.465	0.024295	-0.7	-4.064	0.013046
GgaAffx.26555.1.S1_s_at	LOC415816: similar to chromosome 16 open reading frame 44	ENSGALT00000009065.1	415816	0.51	2.611	0.078252	-0.65	-2.278	0.091339	-1.16	-3.614	0.016759
GgaAffx.26564.2.S1_s_at	LOC427839: similar to Kinase suppressor of ras-1 (Kinase suppressor of ras)	ENSGALT00000009117.1	427839	1.12	4.634	0.009784	0.39	0.808	0.467156	-0.73	-1.487	0.214935
GgaAffx.26587.1.S1_at	RCJMB04_1e1: similar to SWAP-70	ENSGALT00000009233.1	423044	-0.6	-3.683	0.054367	-1.07	-4.582	0.016988	-0.47	-1.677	0.155874
GgaAffx.26593.2.S1_s_at	VILL: villin-like	ENSGALT00000009256.1	420415	1.15	2.951	0.041959	0.33	0.617	0.566743	-0.82	-1.496	0.199423
GgaAffx.26623.1.S1_at	Finished cDNA, clone ChEST263o2	ENSGALT00000000938.1		0.02	0.07	0.950236	-1.19	-4.075	0.022005	-1.21	-2.953	0.03407
GgaAffx.26643.2.S1_s_at	LOC422220: similar to leucine-rich repeats and calponin homology (CH) domain containing 2	ENSGALT00000009450.1	422220	-1.72	-11.157	0.00662	-1.86	-15.424	0.000374	-0.14	-0.751	0.493106
GgaAffx.26656.1.S1_at	GgaAffx.26656.1	ENSGALT00000009500.1		0.15	0.354	0.751573	1.38	6.014	0.001881	1.22	2.7	0.079687
GgaAffx.26674.1.S1_at	GgaAffx.26674.1	ENSGALT00000000958.1		-1.03	-14.243	0.000145	-1.03	-18.675	0.000322	0	-0.036	0.973666
GgaAffx.26678.1.S1_at	NUAK2: NUAK family, SNF1-like kinase, 2	ENSGALT00000000962.1	419828	-0.68	-8.66	0.008901	-1.03	-10.516	0.001295	-0.35	-2.845	0.036062
GgaAffx.26692.4.S1_at	GgaAffx.26692.4	ENSGALT00000009644.1		1.01	2.763	0.104525	1.18	18.092	0.00013	0.17	0.466	0.686273
GgaAffx.26700.1.S1_s_at	LOC416567: Protein kinase C beta 1	ENSGALT00000009676.1	416567	1.11	4.634	0.011439	0.75	1.871	0.137312	-0.36	-0.869	0.430295
GgaAffx.26702.1.S1_s_at	LOC422229: Similar to dedicator of cytokinesis 11	ENSGALT00000009683.1	422229	1	8.502	0.001066	1.09	4.776	0.009951	0.09	0.38	0.723972
GgaAffx.26704.1.S1_at	LOC424505: similar to Abhydrolase domain containing 7	ENSGALT00000009690.1	424505	1.13	4.869	0.02151	0.67	2.777	0.051711	-0.46	-1.484	0.199438
GgaAffx.26709.3.S1_s_at	LOC424506: Similar to Bromodomain testis-specific protein (RING3-like protein)	ENSGALT00000009710.1	424506	-1.35	-11.066	0.006033	-1.33	-6.899	0.000984	0.02	0.141	0.896105
GgaAffx.26752.1.S1_s_at	LOC423070: similar to Phosphoinositide-3-kinase, class 2, alpha polypeptide	ENSGALT00000009877.1	423070	-1.34	-3.007	0.091853	-1	-4.533	0.015657	0.34	0.687	0.542339
GgaAffx.26778.1.S1_s_at	GgaAffx.26778.1	ENSGALT00000009997.1		-0.98	-18.273	0.000056	-1.09	-25.72	0.000038	-0.12	-2.618	0.0717
GgaAffx.2714.1.S1_at	LOC428942: similar to Coiled-coil domain containing 109A	ENSGALT00000006946.1	428942	-1.03	-4.308	0.048761	-0.7	-5.949	0.00817	0.33	1.253	0.300485
GgaAffx.2728.1.S1_at	GgaAffx.2728.1	ENSGALT00000006987.1		1.22	3.206	0.041899	0.34	0.579	0.595627	-0.88	-1.376	0.232046
GgaAffx.2744.1.S1_at	LOC423001: hypothetical LOC423001	ENSGALT00000007035.1	423001	0.72	1.937	0.152805	1	3.054	0.032729	0.29	0.652	0.546603
GgaAffx.2749.1.A1_at	GgaAffx.2749.1	ENSGALT00000007045.1		-1.77	-10.837	0.003528	-2.3	-14.207	0.002098	-0.53	-6.98	0.001328
GgaAffx.2751.1.S1_at	LOC771459: Similar to Arylsulfatase B precursor (ASB) (N-acetylgalactosamine-4-sulfatase) (G4S)	ENSGALT00000007062.1	771459	-0.1	-0.76	0.519391	1.47	5.357	0.01192	1.57	5.213	0.005777
GgaAffx.2777.2.S1_s_at	LOC417453: similar to dynein intermediate chain	ENSGALT00000007160.1	417453	-1.04	-11.701	0.004949	-0.88	-7.099	0.004833	0.17	1.105	0.3204
GgaAffx.2810.1.S1_at	GgaAffx.2810.1	ENSGALT00000007237.1		-1.07	-8.636	0.005331	-0.78	-5.492	0.006847	0.29	1.633	0.163509
GgaAffx.2814.1.S1_at	GgaAffx.2814.1	ENSGALT00000007245.1		-0.98	-14.537	0.001102	-1.15	-14.753	0.000173	-0.17	-1.728	0.144675
GgaAffx.2826.1.S1_at	LOC417200: similar to PHYHD1 protein	ENSGALT00000007266.1	417200	-1.04	-23.277	0.000039	-1.1	-12.719	0.000188	-0.06	-0.751	0.498409
GgaAffx.2921.1.S1_s_at	RCJMB04_34k20: Similar to Moesin (Membrane-organizing extension spike protein)	ENSGALT00000007503.1	422173	-1.67	-4.546	0.041993	-1.27	-5.874	0.00722	0.4	0.947	0.407337
GgaAffx.2937.1.S1_at	LOC415954: similar to asporin	ENSGALT00000007536.1	415954	1.26	4.291	0.012892	0.43	0.821	0.458453	-0.83	-1.572	0.189738
GgaAffx.2951.1.A1_x_at	GgaAffx.2951.1	ENSGALT00000007580.1		-1.59	-6.929	0.016302	-1.37	-9.55	0.001037	0.22	0.829	0.460908
GgaAffx.2951.1.S1_at	GgaAffx.2951.1	ENSGALT00000007580.1		1.24	4.554	0.01454	0.34	0.555	0.60931	-0.91	-1.559	0.205785
GgaAffx.2953.1.S1_s_at	OBSCN: obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	ENSGALT00000007579.1	420395	-1.14	-16.69	0.000682	-0.92	-7.681	0.00307	0.22	1.669	0.163721
GgaAffx.2972.1.S1_at	GgaAffx.2972.1	ENSGALT00000007639.1		-1.04	-21.785	0.000094	-1.14	-26.869	0.000001	-0.1	-1.913	0.122155
GgaAffx.2978.2.S1_s_at	LOC423014: similar to phospholipase C beta	ENSGALT00000007648.1	423014	-1.19	-7.346	0.001834	-1.37	-6.68	0.001255	-0.18	-0.885	0.418061
GgaAffx.2993.3.S1_s_at	LOC419216: similar to Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2)	ENSGALT00000007673.1	419216	1.18	8.272	0.001202	0.27	0.616	0.576831	-0.91	-2.104	0.117641
GgaAffx.2993.4.S1_s_at	LOC419216: similar to Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2)	ENSGALT00000007668.1	419216	-1.96	-24.076	0.000032	-1.96	-9.343	0.00166	-0.01	-0.031	0.977155
GgaAffx.2993.7.S1_at	LOC419216: similar to Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2)	ENSGALT00000007667.1	419216	-2.36	-11.615	0.004586	-2.37	-11.164	0.000905	-0.01	-0.027	0.979241
GgaAffx.2999.1.S1_at	LOC424451: similar to niban protein	ENSGALT00000007689.1	424451	0.07	0.774	0.482383	1.46	3.394	0.039885	1.39	3.223	0.045251
GgaAffx.30.2.S1_s_at	LOC419512: similar to AAK1 protein	ENSGALT00000000026.1	419512	1.06	3.412	0.032591	0.62	1.783	0.140125	-0.43	-1.094	0.323934
GgaAffx.3003.1.S1_at	LOC416886: similar to rabphilin-3A	ENSGALT00000007709.1	416886	-0.36	-3.588	0.031558	-1.01	-3.143	0.042649	-0.65	-2.067	0.125663
GgaAffx.3017.1.S1_at	GgaAffx.3017.1	ENSGALT00000007765.1		1.5	4.406	0.035354	1.07	2.684	0.057923	-0.43	-1.755	0.154227
GgaAffx.3022.1.S1_at	Transcribed locus, moderately similar to XP_579746.1  phosphatase and actin regulator 3 [Rattus norvegicus]	ENSGALT00000007780.1		-1.59	-17.608	0.000214	-1.81	-20.726	0.000007	-0.22	-2.041	0.10037
GgaAffx.3030.1.S1_at	RCJMB04_6k3: vacuolar protein sorting 53 homolog (S. cerevisiae)	ENSGALT00000007802.1	417622	1.21	5.213	0.009295	0.57	1.405	0.239555	-0.63	-1.458	0.214214
GgaAffx.3061.1.S1_s_at	LOC417624: similar to Doc2 beta	ENSGALT00000007866.1	417624	-0.57	-3.407	0.028753	-1.22	-8.001	0.002171	-0.65	-4.891	0.007515
GgaAffx.3072.1.S1_s_at	GgaAffx.3072.1	ENSGALT00000007888.1		1.29	6.908	0.003526	0.49	1.016	0.372483	-0.8	-1.688	0.181304
GgaAffx.3072.2.S1_at	GgaAffx.3072.2	ENSGALT00000007887.1		-1.15	-3.403	0.035726	-1.3	-4.461	0.039779	-0.16	-0.831	0.478944
GgaAffx.3119.1.S1_at	Transcribed locus, weakly similar to XP_001081075.1  similar to rai-like protein RaLP [Rattus norvegicus]	ENSGALT00000008025.1		-1.3	-2.904	0.052522	1.15	3.195	0.024713	2.45	5.354	0.006548
GgaAffx.3126.1.S1_at	LOC415970: similar to Ras-related protein RAB43	ENSGALT00000008038.1	415970	-0.35	-2.138	0.102733	0.87	2.796	0.053697	1.22	3.809	0.018633
GgaAffx.3169.1.A1_at	GgaAffx.3169.1	ENSGALT00000008123.1		0.3	1.415	0.250781	1.33	6.353	0.002165	1.03	3.909	0.01249
GgaAffx.3200.1.S1_s_at	LOC427583: similar to Fbln2 protein	ENSGALT00000008222.1	427583	-0.73	-2.277	0.10017	-1.01	-3.679	0.014443	-0.27	-0.768	0.483547
GgaAffx.3237.1.A1_at	GgaAffx.3237.1	ENSGALT00000008296.1		1.08	3.538	0.042139	0.01	0.019	0.986033	-1.07	-1.924	0.140762
GgaAffx.3242.1.S1_at	GgaAffx.3242.1	ENSGALT00000008309.1		-1.03	-14.393	0.002559	-0.83	-7.028	0.000958	0.2	2.026	0.128928
GgaAffx.3284.1.S1_at	LOC415990: similar to coiled-coil protein BICD2	ENSGALT00000008433.1	415990	-0.76	-2.266	0.133484	0.5	1.924	0.130306	1.26	3.123	0.034588
GgaAffx.3306.3.S1_at	LOC420389: hypothetical LOC420389	ENSGALT00000008484.1	420389	-0.79	-9.529	0.008623	-1.01	-21.184	0.000058	-0.22	-2.387	0.091052
GgaAffx.331.2.S1_at	LOC415855: similar to Spir-2 protein	ENSGALT00000000718.1	415855	-1.67	-20.117	0.00007	-1.88	-11.678	0.000555	-0.21	-1.235	0.283697
GgaAffx.3310.1.S1_at	LOC415791: similar to carbonic anhydrase VII	ENSGALT00000008318.1	415791	-1.36	-6.108	0.009937	-1.35	-4.612	0.011921	0.02	0.052	0.96035
GgaAffx.3322.1.S1_at	GgaAffx.3322.1	ENSGALT00000008528.1		-3.78	-12.8	0.000354	-4.64	-8.582	0.001483	-0.86	-1.527	0.199049
GgaAffx.3324.1.S1_at	LOC424820: similar to Nicotinamide nucleotide adenylyltransferase 3	ENSGALT00000008529.1	424820	-1.59	-11.558	0.000849	-1.42	-11.944	0.000075	0.17	1.105	0.327586
GgaAffx.3345.1.S1_at	CABLES2: Cdk5 and Abl enzyme substrate 2	ENSGALT00000008576.1	419229	-0.89	-12.198	0.005023	-1.03	-7.948	0.000609	-0.15	-1.33	0.272918
GgaAffx.3373.1.S1_at	LOC424473: hypothetical LOC424473	ENSGALT00000008625.1	424473	-0.34	-3.663	0.039382	-1.13	-11.58	0.000323	-0.79	-6.473	0.001396
GgaAffx.339.1.S1_at	LOC419816: hypothetical LOC419816	ENSGALT00000000756.1	419816	-1.4	-12.934	0.003006	-1.51	-14.393	0.000277	-0.12	-0.817	0.452949
GgaAffx.3422.2.S1_s_at	HELLS: helicase, lymphoid-specific	ENSGALT00000008748.1	423750	1.39	5.205	0.013153	0.39	0.695	0.524128	-1	-1.892	0.145047
GgaAffx.3437.3.S1_at	LOC420401: similar to parathyroid hormone receptor	ENSGALT00000008797.1	420401	-1.51	-31.612	0.000349	-1.53	-29.659	0.000026	-0.02	-0.288	0.785352
GgaAffx.346.1.S1_at	GgaAffx.346.1	ENSGALT00000000771.1		-1.51	-11.86	0.000702	-2	-12.084	0.000234	-0.49	-2.668	0.045209
GgaAffx.3461.1.S1_at	LOC428844: hypothetical LOC428844	ENSGALT00000008860.1	428844	-1.21	-7.644	0.00797	-2.04	-9.801	0.001221	-0.83	-3.317	0.021362
GgaAffx.3466.1.S1_at	GgaAffx.3466.1	ENSGALT00000008869.1		-1.64	-7.052	0.010389	-1.71	-10.946	0.000189	-0.07	-0.271	0.801644
GgaAffx.3475.1.A1_at	GgaAffx.3475.1	ENSGALT00000008893.1		-0.61	-7.813	0.015016	-1.22	-61.545	0	-0.62	-7.771	0.011864
GgaAffx.3483.1.S1_at	PTBP2: polypyrimidine tract binding protein 2	ENSGALT00000008905.1	424479	-0.74	-5.313	0.007083	-1.15	-7.238	0.000881	-0.41	-2.845	0.036289
GgaAffx.3488.1.S1_s_at	GgaAffx.3488.1	ENSGALT00000008912.1		-1.09	-2.463	0.104105	-1.7	-3.396	0.029956	-0.61	-1.873	0.126034
GgaAffx.349.3.S1_at	LOC419367: similar to circadian clock protein PER3	ENSGALT00000000797.1	419367	-1.54	-10.919	0.003977	-1.19	-5.43	0.009913	0.35	1.37	0.232218
GgaAffx.3491.1.S1_at	LOC417667: similar to RNA-binding protein Musashi2-L	ENSGALT00000008926.1	417667	-1.12	-6.734	0.01701	-1.24	-11.964	0.000424	-0.12	-0.62	0.574538
GgaAffx.3499.2.S1_at	LOC416906: similar to SEZ6L	ENSGALT00000008951.1	416906	-1.62	-15.699	0.001964	-1.26	-7.682	0.003648	0.36	1.914	0.117632
GgaAffx.350.1.S1_at	GgaAffx.350.1	ENSGALT00000000782.1		-0.95	-11.865	0.006524	-1.3	-24.134	0.000115	-0.35	-3.689	0.024064
GgaAffx.3525.1.S1_at	LOC429084: similar to LOC495522 protein	ENSGALT00000009017.1	429084	-0.25	-0.387	0.72561	-2.87	-8.229	0.000912	-2.63	-4.274	0.031424
GgaAffx.3535.1.S1_at	LOC423037: similar to JAW1-related protein	ENSGALT00000009037.1	423037	-1.15	-5.621	0.027999	-2.59	-23.724	0.000072	-1.44	-6.284	0.007498
GgaAffx.355.1.A1_at	GgaAffx.355.1	ENSGALT00000000794.1		-0.92	-10.94	0.005659	-1.04	-7.692	0.003956	-0.12	-0.751	0.488699
GgaAffx.355.1.S1_at	GgaAffx.355.1	ENSGALT00000000794.1		-1.32	-3.875	0.024485	-0.97	-4.602	0.015183	0.35	1.136	0.351101
GgaAffx.3553.2.S1_at	LOC428402: hypothetical LOC428402	ENSGALT00000009083.1	428402	-1.14	-11.427	0.00286	-1.51	-15.279	0.001588	-0.37	-7.658	0.00087
GgaAffx.3565.1.S1_at	RCJMB04_5h22: Death inducer-obliterator 1	ENSGALT00000009125.1	419234	-2.02	-6.014	0.020491	-1.54	-4.889	0.012343	0.48	1.068	0.337843
GgaAffx.3568.1.S1_at	LOC415818: hypothetical LOC415818	ENSGALT00000009128.1	415818	1.3	9.798	0.00061	0.58	1.393	0.249509	-0.72	-1.742	0.171251
GgaAffx.3583.1.S1_at	PDGFRB: platelet-derived growth factor receptor, beta polypeptide	ENSGALT00000009189.1	396406	0.77	9.807	0.009909	1.08	10.806	0.00165	0.31	2.473	0.056439
GgaAffx.3595.5.S1_at	LOC417673: similar to RUN and TBC1 domain containing 1	ENSGALT00000009219.1	417673	0.51	1.134	0.364396	1.72	3.58	0.032173	1.21	1.887	0.118756
GgaAffx.3610.1.S1_at	LOC419239: hypothetical LOC419239	ENSGALT00000009251.1	419239	1.04	6.202	0.00344	0.61	1.984	0.118886	-0.43	-1.39	0.237923
GgaAffx.3623.1.S1_at	GgaAffx.3623.1	ENSGALT00000009314.1		0.8	4.031	0.023238	1.15	8.746	0.000696	0.35	1.852	0.162496
GgaAffx.3625.1.S1_at	FLT4: fms-related tyrosine kinase 4	ENSGALT00000009317.1	395742	-1.23	-18.084	0.000298	-0.86	-9.656	0.000212	0.37	4.954	0.006584
GgaAffx.3631.1.S1_at	LOC416920: similar to Kringle containing transmembrane protein 1	ENSGALT00000009327.1	416920	-0.47	-1.405	0.240221	0.96	2.043	0.109476	1.43	2.808	0.040056
GgaAffx.3632.1.S1_at	LOC424843: similar to Human Diff6,H5,CDC10 homologue	ENSGALT00000009329.1	424843	-1.28	-3.146	0.059572	0.32	1.143	0.306349	1.6	3.621	0.02749
GgaAffx.3635.1.S1_at	LOC427400: hypothetical LOC427400	ENSGALT00000009333.1	427400	1.4	3.014	0.043596	-0.11	-0.119	0.910861	-1.51	-1.733	0.164913
GgaAffx.3644.4.S1_s_at	LOC428151: similar to neuronal delayed-rectifier voltage-gated potassium channel splice	ENSGALT00000009352.1	428151	-1.65	-27.664	0.000012	-1.81	-11.643	0.000733	-0.16	-1.007	0.378053
GgaAffx.3662.1.S1_at	GgaAffx.3662.1	ENSGALT00000009416.1		1.4	4.274	0.021181	1.95	8.647	0.000445	0.54	1.665	0.188984
GgaAffx.3675.1.S1_s_at	RCJMB04_4j19: acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	ENSGALT00000009459.1	420419	-0.96	-5.003	0.015017	0.12	0.406	0.707617	1.08	3.336	0.022664
GgaAffx.3679.1.S1_at	LOC419247: hypothetical LOC419247	ENSGALT00000009463.1	419247	-1.12	-18.284	0.000791	-0.98	-11.709	0.000089	0.14	2.188	0.098035
GgaAffx.371.1.S1_at	LOC426710: hypothetical LOC426710	ENSGALT00000000829.1	426710	-1.03	-10.194	0.006116	-1.27	-10.023	0.001498	-0.24	-1.517	0.189698
GgaAffx.3710.1.S1_at	LOC423056: similar to KIAA0298 protein	ENSGALT00000009581.1	423056	-1.83	-26.263	0.000339	-2.12	-13.62	0.000657	-0.29	-1.755	0.15458
