Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_32_P156746	chr12:56735578-56735637	STAT2	NM_198332	0	0	No	IPR000980:SH2 motif,IPR001217:STAT transcription factor, core,IPR011992:EF-Hand type,IPR012345:STAT transcription factor, DNA-binding, subdomain,IPR013799:STAT transcription factor, protein interaction,IPR013800:STAT transcription factor, all-alpha,IPR013801:STAT transcription factor, DNA-binding,	0	M	16	1.1952	1.1952	1.2322E-07	244.3778	294.0441
A_24_P153800	chr14:21834655-21836453	SUPT16H	NM_007192	Suppressor of Ty 16 homolog (S. cerevisiae)	molecular function|positive transcription elongation factor activity|TAS|GO:0008159|GOA|10421373//biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|DNA replication|IEA|GO:0006260|GOA|na//biological process|cellular process|IEA|GO:0009987|GOA|na//biological process|nucleosome disassembly|TAS|GO:0006337|GOA|10421373//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10421373//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|nucleoplasm|EXP|GO:0005654|GOA|12676794//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR000994:Peptidase M24, structural domain,IPR013719:Region of unknown function DUF1747, eukaryote,IPR013953:FACT complex subunit Spt16p/Cdc68p,	0	F	16	0.7086	-1.4113	1.0966E-08	483.7167	337.2098
A_32_P153892	chr10:8007214-8007273	TAF3	NM_031923	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x42d1aec)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|maintenance of protein location in nucleus|IDA|GO:0051457|GOA|15870280//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|15870280//cellular component|transcription factor TFIID complex|IDA|GO:0005669|GOA|11438666	Yes	IPR001965:Zinc finger, PHD-type,IPR006565:Bromodomain transcription factor,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	1	F	14	0.7862	-1.272	1.5223E-07	208.866	163.0841
A_23_P217621	chrX:100523939-100523998	TAF7L	NM_024885	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa	molecular function|general RNA polymerase II transcription factor activity|IEA|GO:0016251|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|spermatogenesis|IEA|GO:0007283|GOA|na//biological process|transcription initiation from RNA polymerase II promoter|IEA|GO:0006367|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|transcription factor TFIID complex|IEA|GO:0005669|GOA|na	No	IPR006751:TAFII55 protein conserved region,	0	M	15	1.4153	1.4153	2.3245E-12	65.5896	93.9222
A_23_P57989	chr3:176742818-176742877	TBL1XR1	NM_024665	Transducin (beta)-like 1 X-linked receptor 1	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|beta-catenin binding|IPI|GO:0008013|GOA|18193033//molecular function|histone binding|IDA|GO:0042393|GOA|15601853//molecular function|promoter binding|IDA|GO:0010843|GOA|18193033//molecular function|promoter binding|ISS|GO:0010843|GOA|na//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|16893456//molecular function|protein binding|IPI|GO:0005515|GOA|12628926//molecular function|transcription activator activity|IDA|GO:0016563|GOA|18193033//molecular function|transcription corepressor activity|IDA|GO:0003714|GOA|12628926//molecular function|transcription corepressor activity|IGI|GO:0003714|GOA|15601853//biological process|Wnt receptor signaling pathway through beta-catenin|IMP|GO:0060070|GOA|18193033//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12628926//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|18193033//biological process|proteasomal ubiquitin-dependent protein catabolic process|ISS|GO:0043161|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|histone deacetylase complex|IDA|GO:0000118|GOA|18326024//cellular component|nucleus|IDA|GO:0005634|GOA|18193033//cellular component|spindle microtubule|IDA|GO:0005876|GOA|18326024//cellular component|transcriptional repressor complex|IDA|GO:0017053|GOA|ARRAY(0xecd9e4)	Yes	IPR001680:WD40 repeat,IPR006594:LisH dimerisation motif,IPR013720:LisH dimerisation motif, subgroup,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,	0	F	16	0.8589	-1.1643	2.1276E-10	465.8762	400.3167
A_23_P114466	chrY:6955393-6955452	TBL1Y	NM_134259	Transducin (beta)-like 1, Y-linked	biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR001680:WD40 repeat,IPR006594:LisH dimerisation motif,IPR013720:LisH dimerisation motif, subgroup,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,	0	F	16	0.7285	-1.3728	8.1519E-11	339.4185	243.7402
A_23_P142872	chr2:85536678-85536737	TCF7L1	NM_031283	Transcription factor 7-like 1 (T-cell specific, HMG-box)	molecular function|DNA binding|NAS|GO:0003677|GOA|ARRAY(0x42ea1fc)//molecular function|beta-catenin binding|IEA|GO:0008013|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|ARRAY(0x417a738)//biological process|anterior/posterior axis specification, embryo|IEA|GO:0008595|GOA|na//biological process|axial mesoderm morphogenesis|IEA|GO:0048319|GOA|na//biological process|chromatin organization|NAS|GO:0006325|GOA|ARRAY(0xae5918)//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter, mitotic|IEA|GO:0046022|GOA|na//biological process|regulation of Wnt receptor signaling pathway|NAS|GO:0030111|GOA|ARRAY(0x42fa618)//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|ARRAY(0x490b690)//biological process|stem cell differentiation|IEA|GO:0048863|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|ARRAY(0x19b9058)	Yes	IPR000910:High mobility group, HMG1/HMG2,IPR013558:CTNNB1 binding, N-teminal,	0	F	14	0.805	-1.2422	5.361E-07	665.2993	529.9811
A_23_P200780	chr1:92148888-92148947	TGFBR3	NM_003243	Transforming growth factor, beta receptor III	molecular function|PDZ domain binding|ISS|GO:0030165|GOA|na//molecular function|SMAD binding|IMP|GO:0046332|GOA|11157754//molecular function|coreceptor activity|IDA|GO:0015026|GOA|10746731//molecular function|glycosaminoglycan binding|ISS|GO:0005539|GOA|na//molecular function|glycosaminoglycan binding|TAS|GO:0005539|GOA|1333192//molecular function|heparin binding|ISS|GO:0008201|GOA|1333192//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xd431d8)//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe49468)//molecular function|transforming growth factor beta binding|IDA|GO:0050431|GOA|ARRAY(0x42e5e0c)//molecular function|transforming growth factor beta receptor activity|IDA|GO:0005024|GOA|12958365//molecular function|transforming growth factor beta receptor activity, type III|IDA|GO:0070123|GOA|ARRAY(0x2f00e00)//molecular function|transforming growth factor beta receptor binding|ISS|GO:0005160|GOA|1333192//molecular function|type II transforming growth factor beta receptor binding|IDA|GO:0005114|GOA|11157754//biological process|BMP signaling pathway|IDA|GO:0030509|GOA|18184661//biological process|cardiac epithelial to mesenchymal transition|IDA|GO:0060317|GOA|18184661//biological process|cardiac muscle cell proliferation|ISS|GO:0060038|GOA|na//biological process|cell growth|ISS|GO:0016049|GOA|1333192//biological process|cell migration|ISS|GO:0016477|GOA|na//biological process|definitive erythrocyte differentiation|ISS|GO:0060318|GOA|na//biological process|definitive hemopoiesis|ISS|GO:0060216|GOA|na//biological process|epithelial to mesenchymal transition|IDA|GO:0001837|GOA|18184661//biological process|heart morphogenesis|ISS|GO:0003007|GOA|na//biological process|heart trabecula formation|ISS|GO:0060347|GOA|na//biological process|immune response|IMP|GO:0006955|GOA|16886151//biological process|liver development|ISS|GO:0001889|GOA|na//biological process|negative regulation of cellular component movement|IDA|GO:0051271|GOA|17999987//biological process|negative regulation of epithelial cell proliferation|ISS|GO:0050680|GOA|na//biological process|palate development|ISS|GO:0060021|GOA|na//biological process|pathway-restricted SMAD protein phosphorylation|IMP|GO:0060389|GOA|11157754//biological process|protein kinase cascade|IMP|GO:0007243|GOA|14557487//biological process|response to follicle-stimulating hormone stimulus|IDA|GO:0032354|GOA|14557487//biological process|response to luteinizing hormone stimulus|IDA|GO:0034699|GOA|14557487//biological process|response to prostaglandin E stimulus|IDA|GO:0034695|GOA|14557487//biological process|transforming growth factor beta receptor signaling pathway|IDA|GO:0007179|GOA|12958365//biological process|transforming growth factor beta receptor signaling pathway|IMP|GO:0007179|GOA|11157754//biological process|ventricular cardiac muscle tissue morphogenesis|ISS|GO:0055010|GOA|na//cellular component|cell surface|ISS|GO:0009986|GOA|na//cellular component|external side of plasma membrane|IDA|GO:0009897|GOA|12958365//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|TAS|GO:0005615|GOA|18184661//cellular component|inhibin-betaglycan-ActRII complex|IDA|GO:0034673|GOA|10746731//cellular component|integral to plasma membrane|ISS|GO:0005887|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	No	IPR001507:Endoglin/CD105 antigen,IPR017976:Endoglin/CD105 antigen subgroup,IPR017977:Endoglin/CD105 antigen conserved site,	0	M	15	1.1957	1.1957	1.1652E-11	977.7027	1168.6676
A_24_P256863	chr1:36759468-36759527	THRAP3	NM_005119	Thyroid hormone receptor associated protein 3	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|RNA polymerase II transcription mediator activity|IDA|GO:0016455|GOA|10198638//molecular function|ligand-dependent nuclear receptor transcription coactivator activity|NAS|GO:0030374|GOA|10235266//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|receptor activity|IDA|GO:0004872|GOA|12218053//molecular function|thyroid hormone receptor binding|IDA|GO:0046966|GOA|10198638//molecular function|transcription activator activity|IDA|GO:0016563|GOA|10198638//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|12037571//molecular function|transcription cofactor activity|IDA|GO:0003712|GOA|12218053//molecular function|vitamin D receptor binding|NAS|GO:0042809|GOA|10235266//biological process|androgen receptor signaling pathway|IDA|GO:0030521|GOA|12218053//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|12037571//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|steroid hormone receptor signaling pathway|IDA|GO:0030518|GOA|11867769//biological process|transcription initiation from RNA polymerase II promoter|IDA|GO:0006367|GOA|12218053//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|mediator complex|IDA|GO:0016592|GOA|ARRAY(0x2e98e3c)//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x1d5a274)	No	0	0	F	15	0.7653	-1.3067	0.000012692	429.9795	321.9954
A_23_P153676	chr19:2997884-2997943	TLE2	NM_003260	Transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	molecular function|protein binding|IPI|GO:0005515|GOA|17041588//biological process|Wnt receptor signaling pathway|IEA|GO:0016055|GOA|na//biological process|organ morphogenesis|TAS|GO:0009887|GOA|8808280//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|8808280//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR001680:WD40 repeat,IPR005617:Groucho/TLE, N-terminal Q-rich region,IPR009146:Groucho/transducin-like enhancer,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,	0	M	14	1.1988	1.1988	7.762E-14	312.692	375.4568
A_23_P29922	chr4:187005890-187005949	TLR3	NM_003265	Toll-like receptor 3	molecular function|double-stranded RNA binding|IDA|GO:0003725|GOA|16111635//molecular function|double-stranded RNA binding|NAS|GO:0003725|GOA|12054664//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|receptor activity|TAS|GO:0004872|GOA|10426995//molecular function|transmembrane receptor activity|NAS|GO:0004888|GOA|12054664//biological process|I-kappaB phosphorylation|IDA|GO:0007252|GOA|19740627//biological process|activation of NF-kappaB-inducing kinase activity|NAS|GO:0007250|GOA|12054664//biological process|defense response to bacterium|TAS|GO:0042742|GOA|10426995//biological process|detection of virus|NAS|GO:0009597|GOA|12054664//biological process|hyperosmotic response|NAS|GO:0006972|GOA|12054664//biological process|innate immune response|IEA|GO:0045087|GOA|na//biological process|microglial cell activation during immune response|IEA|GO:0002282|GOA|na//biological process|negative regulation of osteoclast differentiation|NAS|GO:0045671|GOA|12133979//biological process|pathogen-associated molecular pattern dependent induction by symbiont of host innate immunity|IEA|GO:0052033|GOA|na//biological process|positive regulation of I-kappaB kinase/NF-kappaB cascade|IEA|GO:0043123|GOA|na//biological process|positive regulation of JNK cascade|IEA|GO:0046330|GOA|na//biological process|positive regulation of NF-kappaB import into nucleus|IDA|GO:0042346|GOA|19740627//biological process|positive regulation of NF-kappaB transcription factor activity|IEA|GO:0051092|GOA|na//biological process|positive regulation of chemokine biosynthetic process|IEA|GO:0045080|GOA|na//biological process|positive regulation of chemokine production|IDA|GO:0032722|GOA|19740627//biological process|positive regulation of inflammatory response|IC|GO:0050729|GOA|19740627//biological process|positive regulation of interferon-alpha biosynthetic process|IDA|GO:0045356|GOA|16286015//biological process|positive regulation of interferon-beta biosynthetic process|IDA|GO:0045359|GOA|16286015//biological process|positive regulation of interferon-beta biosynthetic process|IMP|GO:0045359|GOA|12054664//biological process|positive regulation of interferon-gamma biosynthetic process|IDA|GO:0045078|GOA|16286015//biological process|positive regulation of interleukin-6 production|IDA|GO:0032755|GOA|19740627//biological process|positive regulation of interleukin-8 production|IDA|GO:0032757|GOA|17128265//biological process|positive regulation of toll-like receptor signaling pathway|IDA|GO:0034123|GOA|17128265//biological process|positive regulation of tumor necrosis factor production|IEA|GO:0032760|GOA|na//biological process|response to exogenous dsRNA|IEA|GO:0043330|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cell surface|IDA|GO:0009986|GOA|19740627//cellular component|cytoplasm|IDA|GO:0005737|GOA|19740627//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|endosome membrane|EXP|GO:0010008|GOA|ARRAY(0x49f0a74)//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9435236//cellular component|membrane|NAS|GO:0016020|GOA|12054664	No	IPR000157:Toll-Interleukin receptor,IPR000372:Leucine-rich repeat, cysteine-rich flanking region, N-terminal,IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,	0	F	14	0.8639	-1.1576	0.000019695	1004.143	863.4893
A_23_P73660	chrX:13730589-13730648	TRAPPC2	NM_014563	Trafficking protein particle complex 2	molecular function|protein binding|IPI|GO:0005515|GOA|11134351//molecular function|transcription factor binding|IPI|GO:0008134|GOA|11134351//biological process|ER to Golgi vesicle-mediated transport|NAS|GO:0006888|GOA|11805826//biological process|regulation of transcription, DNA-dependent|IDA|GO:0006355|GOA|11134351//biological process|skeletal system development|TAS|GO:0001501|GOA|10431248//biological process|transcription|IEA|GO:0006350|GOA|na//biological process|vesicle-mediated transport|IEA|GO:0016192|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na	No	IPR006722:Sedlin,	0	F	16	0.8168	-1.2243	6.6342E-23	1051.9323	858.8384
A_32_P40424	chr6:158932525-158932584	TULP4	NM_020245	Tubby like protein 4	molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|transcription factor activity|NAS|GO:0003700|GOA|11595174//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|11595174//biological process|response to nutrient|TAS|GO:0007584|GOA|8612280//cellular component|cellular_component|ND|GO:0005575|GOA|11595174//cellular component|cytoplasm|IDA|GO:0005737|GOA|11595174	No	IPR000007:Tubby, C-terminal,IPR001496:SOCS protein, C-terminal,IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,	0	M	14	1.1615	1.1615	2.3348E-06	28.4706	33.2788
A_24_P410582	chr3:11643332-11643391	VGLL4	NM_014667	Vestigial like 4 (Drosophila)	biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR006627:Protein of unknown function TDU,	0	F	14	0.8138	-1.2288	3.2534E-13	50.4944	40.7829
A_23_P49865	chr17:7191590-7191649	YBX2	NM_015982	Y box binding protein 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|lipid binding|IEA|GO:0008289|GOA|na//molecular function|mRNA binding|IEA|GO:0003729|GOA|na//molecular function|ribonucleoprotein binding|IEA|GO:0043021|GOA|na//molecular function|translation regulator activity|IEA|GO:0045182|GOA|na//biological process|mRNA stabilization|IEA|GO:0048255|GOA|na//biological process|negative regulation of binding|IEA|GO:0051100|GOA|na//biological process|negative regulation of translation|IEA|GO:0017148|GOA|na//biological process|oogenesis|IEA|GO:0048477|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|spermatid development|IEA|GO:0007286|GOA|na//biological process|spermatogenesis|TAS|GO:0007283|GOA|10100484//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10100484//biological process|translational attenuation|TAS|GO:0009386|GOA|10100484//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|polysome|IEA|GO:0005844|GOA|na	Yes	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	0	M	15	1.3016	1.3016	4.3471E-11	120.5945	156.6904
A_24_P221323	chr3:141162790-141162849	ZBTB38	NM_001080412	Zinc finger and BTB domain containing 38	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|ISS|GO:0045944|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|nucleus|ISS|GO:0005634|GOA|na	No	IPR000210:BTB/POZ-like,IPR007087:Zinc finger, C2H2-type,IPR011333:BTB/POZ fold,IPR013069:BTB/POZ,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	16	0.5916	-1.6904	2.153E-08	68.4025	39.0997
A_23_P160136	chr1:22835603-22835662	ZBTB40	NM_014870	Zinc finger and BTB domain containing 40	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000210:BTB/POZ-like,IPR007087:Zinc finger, C2H2-type,IPR011333:BTB/POZ fold,IPR013069:BTB/POZ,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	14	0.8053	-1.2418	0.0035	11.9957	9.6482
A_23_P113328	chr1:197128811-197128870	ZBTB41	NM_194314	Zinc finger and BTB domain containing 41	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000210:BTB/POZ-like,IPR001781:Zinc finger, LIM-type,IPR007087:Zinc finger, C2H2-type,IPR011333:BTB/POZ fold,IPR013069:BTB/POZ,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	15	0.8177	-1.2229	5.2699E-11	31.0413	25.4706
A_23_P385826	chr11:130109657-130109716	ZBTB44	AF161548	Zinc finger and BTB domain containing 44	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000210:BTB/POZ-like,IPR007087:Zinc finger, C2H2-type,IPR011333:BTB/POZ fold,IPR013069:BTB/POZ,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR013089:Kelch related,IPR015880:Zinc finger, C2H2-like,	1	F	14	0.808	-1.2376	7.2978E-06	31.0697	25.4276
A_23_P202013	chr10:31812939-31812998	ZEB1	NR_024287	zinc finger E-box binding homeobox 1	molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|double-stranded DNA binding|IEA|GO:0003690|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription coactivator activity|TAS|GO:0003713|GOA|8138542//molecular function|transcription corepressor activity|TAS|GO:0003714|GOA|8138542//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IEA|GO:0008134|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cartilage development|IEA|GO:0051216|GOA|na//biological process|cell proliferation|TAS|GO:0008283|GOA|1840704//biological process|central nervous system development|IEA|GO:0007417|GOA|na//biological process|embryonic camera-type eye morphogenesis|IEA|GO:0048596|GOA|na//biological process|embryonic morphogenesis|IEA|GO:0048598|GOA|na//biological process|embryonic skeletal system morphogenesis|IEA|GO:0048704|GOA|na//biological process|immune response|TAS|GO:0006955|GOA|1840704//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|negative regulation of epithelial cell differentiation|IEA|GO:0030857|GOA|na//biological process|negative regulation of transcription|IMP|GO:0016481|GOA|12937339//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|pattern specification process|IEA|GO:0007389|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of T cell differentiation in the thymus|IEA|GO:0033081|GOA|na//biological process|regulation of mesenchymal cell proliferation|IEA|GO:0010464|GOA|na//biological process|regulation of smooth muscle cell differentiation|IEA|GO:0051150|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|8138542//biological process|regulation of transforming growth factor beta receptor signaling pathway|IEA|GO:0017015|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	Yes	IPR001356:Homeobox,IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,IPR017970:Homeobox, conserved site,	1	F	16	0.7901	-1.2656	8.1896E-08	440.202	347.2566
A_24_P176404	chr16:68599637-68599696	ZFP90	NM_133458	Zinc finger protein 90 homolog (mouse)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|metallopeptidase activity|IEA|GO:0008237|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001909:Krueppel-associated  box,IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	15	0.856	-1.1682	9.8839E-12	837.5418	716.8651
