Gene Name	Description	RefSeq ID	Fold Change	FDR
ATP11A	Homo sapiens ATPase, Class VI, type 11A (ATP11A), transcript variant 2, mRNA	NM_032189	1.7	56.579
ASB6	Homo sapiens ankyrin repeat and SOCS box-containing 6 (ASB6), transcript variant 1, mRNA	NM_017873	1.7	44.947
SOX9	Homo sapiens SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal) (SOX9), mRNA	NM_000346	1.7	191.225
TNKS2	Homo sapiens tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 (TNKS2), mRNA	NM_025235	1.7	99.586
HINT3	Homo sapiens histidine triad nucleotide binding protein 3 (HINT3), mRNA	NM_138571	1.7	32.883
FNBP1L	Homo sapiens cDNA FLJ20275 fis, clone HEP02372.	AK000282	1.7	85.808
FNBP1L	Homo sapiens cDNA: FLJ21873 fis, clone HEP02484.	AK025526	1.7	85.808
MGC4308	Homo sapiens hypothetical protein MGC4308 (MGC4308), mRNA	NM_032359	1.7	18.216
RAP1GA1	Homo sapiens RAP1, GTPase activating protein 1 (RAP1GA1), mRNA	NM_002885	1.7	44.842
FLVCR	Homo sapiens feline leukemia virus subgroup C cellular receptor (FLVCR), mRNA	NM_014053	1.7	70.896
EP400	Homo sapiens E1A binding protein p400 (EP400), mRNA	NM_015409	1.7	54.026
IFNAR2	Homo sapiens interferon (alpha, beta and omega) receptor 2 (IFNAR2), transcript variant 1, mRNA	NM_207585	1.7	33.958
LOC57149	Homo sapiens hypothetical protein A-211C6.1 (LOC57149), mRNA	NM_020424	1.7	17.653
DNAJA2	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 2 (DNAJA2), mRNA	NM_005880	1.7	33.357
C14orf11	Homo sapiens chromosome 14 open reading frame 11 (C14orf11), mRNA	NM_018453	1.7	14.269
NY-REN-58	Homo sapiens NY-REN-58 antigen (NY-REN-58), mRNA	NM_016122	1.7	14.269
ZNRF2	Homo sapiens zinc and ring finger 2 (ZNRF2), mRNA	NM_147128	1.7	14.269
NUMBL	Homo sapiens numb homolog (Drosophila)-like (NUMBL), mRNA	NM_004756	1.7	14.269
KIAA0853	Homo sapiens KIAA0853 (KIAA0853), mRNA	NM_015070	1.7	14.269
ZNF324	Homo sapiens zinc finger protein 324 (ZNF324), mRNA	NM_014347	1.7	26.543
ZNF516	Homo sapiens mRNA for KIAA0222 gene, partial cds.	D86975	1.7	104.523
EGLN2	Homo sapiens egl nine homolog 2 (C. elegans) (EGLN2), transcript variant 3, mRNA	NM_080732	1.7	104.523
TAX1BP1	Homo sapiens Tax1 (human T-cell leukemia virus type I) binding protein 1 (TAX1BP1), mRNA	NM_006024	1.7	97.371
FLJ22313	Homo sapiens hypothetical protein FLJ22313 (FLJ22313), mRNA	NM_022373	1.7	28.710
ProSAPiP1	Homo sapiens ProSAPiP1 protein (ProSAPiP1), mRNA	NM_014731	1.7	190.802
BLP2	Homo sapiens BBP-like protein 2 (BLP2), transcript variant 1, mRNA	NM_078474	1.7	37.292
DYM	Homo sapiens dymeclin (DYM), mRNA	NM_017653	1.7	28.132
HYAL2	Homo sapiens hyaluronoglucosaminidase 2 (HYAL2), transcript variant 1, mRNA	NM_003773	1.7	80.105
LYRIC	Homo sapiens LYRIC/3D3 (LYRIC), mRNA	NM_178812	1.7	92.477
CASKIN2	Homo sapiens CASK interacting protein 2 (CASKIN2), mRNA	NM_020753	1.7	60.891
CR598922	full-length cDNA clone CS0DD007YM02 of Neuroblastoma Cot 50-normalized of Homo sapiens (human).	CR598922	1.7	44.059
CABLES1	Homo sapiens Cdk5 and Abl enzyme substrate 1 (CABLES1), mRNA	NM_138375	1.7	26.444
P29	Homo sapiens GCIP-interacting protein p29 (P29), transcript variant 1, mRNA	NM_015484	1.7	23.654
SEMA6A	Homo sapiens sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A (SEMA6A), mRNA	NM_020796	1.7	109.825
TLE1	Homo sapiens transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila) (TLE1), mRNA	NM_005077	1.7	137.721
PER1	Homo sapiens period homolog 1 (Drosophila) (PER1), mRNA	NM_002616	1.7	30.875
C19orf14	Homo sapiens chromosome 19 open reading frame 14 (C19orf14), mRNA	NM_173636	1.7	89.224
ZNF579	Homo sapiens zinc finger protein 579 (ZNF579), mRNA	NM_152600	1.7	33.140
ZNF263	Homo sapiens zinc finger protein 263 (ZNF263), mRNA	NM_005741	1.7	14.179
EIF3S1	Homo sapiens eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa (EIF3S1), mRNA	NM_003758	1.7	39.887
ATAD3A	Homo sapiens ATPase family, AAA domain containing 3A (ATAD3A), mRNA	NM_018188	1.7	126.783
AGA	Homo sapiens aspartylglucosaminidase (AGA), mRNA	NM_000027	1.7	34.228
DUSP5	Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA	NM_004419	1.7	49.528
DDX27	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 (DDX27), mRNA	NM_017895	1.7	48.950
DDX49	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 (DDX49), mRNA	NM_019070	1.7	89.503
NDUFS7	Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase) (NDUFS7), mRNA	NM_024407	1.7	65.642
MAP3K10	Homo sapiens mitogen-activated protein kinase kinase kinase 10 (MAP3K10), mRNA	NM_002446	1.7	15.813
KIDINS220	Homo sapiens likely homolog of rat kinase D-interacting substance of 220 kDa (KIDINS220), mRNA	NM_020738	1.7	67.305
PPAN	Homo sapiens peter pan homolog (Drosophila) (PPAN), mRNA	NM_020230	1.7	74.198
MGC4268	Homo sapiens hypothetical protein MGC4268 (MGC4268), mRNA	NM_031445	1.7	39.208
ELF1	Homo sapiens E74-like factor 1 (ets domain transcription factor) (ELF1), mRNA	NM_172373	1.7	63.284
DHRS4	Homo sapiens peroxisomal short-chain alcohol dehydrogenase (SCAD-SRL) mRNA, complete cds.	AF044127	1.7	19.691
DHRS4	Homo sapiens dehydrogenase/reductase (SDR family) member 4 (DHRS4), mRNA	NM_021004	1.7	19.691
SLC33A1	Homo sapiens solute carrier family 33 (acetyl-CoA transporter), member 1 (SLC33A1), mRNA	NM_004733	1.7	58.544
DXYS155E	Homo sapiens DNA segment on chromosome X and Y (unique) 155 expressed sequence (DXYS155E), transcript variant 1, mRNA	NM_005088	1.7	39.695
ZA20D2	Homo sapiens zinc finger, A20 domain containing 2 (ZA20D2), mRNA	NM_006007	1.7	216.039
FLJ32096	Homo sapiens hypothetical protein FLJ32096 (FLJ32096), mRNA	NM_173795	1.7	16.874
TMEM5	Homo sapiens transmembrane protein 5 (TMEM5), mRNA	NM_014254	1.7	21.257
KIAA1411	Homo sapiens KIAA1411 (KIAA1411), mRNA	NM_020819	1.7	23.470
IL17R	Homo sapiens interleukin 17 receptor (IL17R), mRNA	NM_014339	1.7	23.470
ZZANK1	Homo sapiens zinc finger, ZZ type with ankyrin repeat domain 1 (ZZANK1), mRNA	NM_080875	1.7	54.997
ALG2	Homo sapiens asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase) (ALG2), transcript variant 1, mRNA	NM_033087	1.7	54.997
MGC13170	Homo sapiens multidrug resistance-related protein (MGC13170), mRNA	NM_199249	1.7	123.729
CYP26B1	Homo sapiens cytochrome P450, family 26, subfamily B, polypeptide 1 (CYP26B1), mRNA	NM_019885	1.7	25.134
RPS6KC1	Homo sapiens ribosomal protein S6 kinase, 52kDa, polypeptide 1 (RPS6KC1), mRNA	NM_012424	1.7	53.811
SSTR2	Homo sapiens somatostatin receptor 2 (SSTR2), mRNA	NM_001050	1.7	22.857
GLA	Homo sapiens galactosidase, alpha (GLA), mRNA	NM_000169	1.7	20.721
FAM50B	Homo sapiens family with sequence similarity 50, member B (FAM50B), mRNA	NM_012135	1.7	18.514
ELK4	Homo sapiens ELK4, ETS-domain protein (SRF accessory protein 1) (ELK4), transcript variant b, mRNA	NM_021795	1.7	14.097
SPON2	Homo sapiens spondin 2, extracellular matrix protein (SPON2), mRNA	NM_012445	1.7	88.422
RPP38	Homo sapiens ribonuclease P/MRP 38kDa subunit (RPP38), transcript variant 2, mRNA	NM_006414	1.7	22.316
GTF2B	Homo sapiens general transcription factor IIB (GTF2B), mRNA	NM_001514	1.7	20.169
MKI67IP	Homo sapiens MKI67 (FHA domain) interacting nucleolar phosphoprotein (MKI67IP), mRNA	NM_032390	1.7	15.722
CGI-94	Homo sapiens comparative gene identification transcript 94 (CGI-94), mRNA	NM_016037	1.7	23.956
KRT18	Homo sapiens keratin 18 (KRT18), transcript variant 1, mRNA	NM_000224	1.7	244.881
CGI-09	Homo sapiens CGI-09 protein (CGI-09), mRNA	NM_015939	1.7	36.227
SPATA13	Homo sapiens spermatogenesis associated 13 (SPATA13), mRNA	NM_153023	1.7	80.105
TNPO2	Homo sapiens transportin 2 (importin 3, karyopherin beta 2b) (TNPO2), mRNA	NM_013433	1.7	142.628
TEX27	Homo sapiens testis expressed sequence 27 (TEX27), mRNA	NM_021943	1.7	41.788
MRPL48	Homo sapiens mitochondrial ribosomal protein L48 (MRPL48), nuclear gene encoding mitochondrial protein, mRNA	NM_016055	1.7	21.180
RNPEPL1	Homo sapiens arginyl aminopeptidase (aminopeptidase B)-like 1 (RNPEPL1), mRNA	NM_018226	1.7	15.141
NRCAM	Homo sapiens neuronal cell adhesion molecule (NRCAM), mRNA	NM_005010	1.7	41.175
FLJ13491	Homo sapiens hypothetical protein FLJ13491 (FLJ13491), mRNA	NM_024623	1.7	19.024
RTEL1	Homo sapiens regulator of telomere elongation helicase 1 (RTEL1), transcript variant 2, mRNA	NM_032957	1.7	32.786
FLJ23825	Homo sapiens hypothetical protein FLJ23825 (FLJ23825), mRNA	NM_173620	1.7	16.794
FLJ14129	Homo sapiens hypothetical protein FLJ14129 (FLJ14129), mRNA	NM_030895	1.7	16.794
MGC20419	Homo sapiens hypothetical protein BC012173 (MGC20419), mRNA	NM_138417	1.7	24.453
ULK1	Homo sapiens unc-51-like kinase 1 (C. elegans) (ULK1), mRNA	NM_003565	1.7	74.140
PRKAA2	Homo sapiens protein kinase, AMP-activated, alpha 2 catalytic subunit (PRKAA2), mRNA	NM_006252	1.7	51.856
FAM53C	Homo sapiens family with sequence similarity 53, member C (FAM53C), mRNA	NM_016605	1.7	89.743
ERF	Homo sapiens Ets2 repressor factor (ERF), mRNA	NM_006494	1.7	314.020
LAD1	Homo sapiens ladinin 1 (LAD1), mRNA	NM_005558	1.7	22.230
ZNF553	Homo sapiens zinc finger protein 553 (ZNF553), mRNA	NM_152652	1.7	22.230
TRIM11	Homo sapiens tripartite motif-containing 11 (TRIM11), mRNA	NM_145214	1.7	68.916
IRS1	Homo sapiens insulin receptor substrate 1 (IRS1), mRNA	NM_005544	1.7	292.560
DBR1	Homo sapiens debranching enzyme homolog 1 (S. cerevisiae) (DBR1), mRNA	NM_016216	1.7	20.097
CLIC4	Homo sapiens chloride intracellular channel 4 (CLIC4), mRNA	NM_013943	1.7	143.279
FRAT2	Homo sapiens frequently rearranged in advanced T-cell lymphomas 2 (FRAT2), mRNA	NM_012083	1.7	188.969
C21orf70	Homo sapiens chromosome 21 open reading frame 70 (C21orf70), mRNA	NM_058190	1.7	17.866
BAG1	Homo sapiens BCL2-associated athanogene (BAG1), mRNA	NM_004323	1.7	32.704
DDX28	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 28 (DDX28), nuclear gene encoding mitochondrial protein, mRNA	NM_018380	1.7	23.289
C18orf9	Homo sapiens chromosome 18 open reading frame 9 (C18orf9), mRNA	NM_024899	1.7	28.739
FLJ90709	Homo sapiens hypothetical protein FLJ90709 (FLJ90709), mRNA	NM_173514	1.7	14.029
NQO3A2	Homo sapiens NAD(P)H:quinone oxidoreductase type 3, polypeptide A2 (NQO3A2), mRNA	NM_016243	1.7	33.789
FLJ10618	Homo sapiens hypothetical protein FLJ10618 (FLJ10618), mRNA	NM_018155	1.7	59.711
NFKBIB	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta (NFKBIB), transcript variant 1, mRNA	NM_002503	1.7	35.470
SPINL	Homo sapiens spinster-like (SPINL), mRNA	NM_032038	1.7	61.416
FLJ10996	Homo sapiens hypothetical protein FLJ10996 (FLJ10996), mRNA	NM_019044	1.7	66.507
LRRC5	Homo sapiens leucine rich repeat containing 5 (LRRC5), mRNA	NM_018103	1.7	67.587
MGC2494	Homo sapiens hypothetical protein MGC2494 (MGC2494), mRNA	NM_023933	1.7	13.459
FLJ22494	Homo sapiens hypothetical protein FLJ22494 (FLJ22494), mRNA	NM_024815	1.7	13.459
CHKA	Homo sapiens choline kinase alpha (CHKA), transcript variant 1, mRNA	NM_001277	1.7	320.459
TRAM1	Homo sapiens translocation associated membrane protein 1 (TRAM1), mRNA	NM_014294	1.7	204.270
KIAA0133	Homo sapiens KIAA0133 (KIAA0133), mRNA	NM_014777	1.7	44.884
LARS	Homo sapiens leucyl-tRNA synthetase (LARS), mRNA	NM_020117	1.7	37.644
RAD50	Homo sapiens RAD50 homolog (S. cerevisiae) (RAD50), transcript variant 1, mRNA	NM_005732	1.7	39.266
CD151	Homo sapiens CD151 antigen (CD151), transcript variant 1, mRNA	NM_004357	1.7	84.130
HYOU1	Homo sapiens hypoxia up-regulated 1 (HYOU1), mRNA	NM_006389	1.7	426.854
ZNF451	Homo sapiens zinc finger protein 451 (ZNF451), mRNA	NM_015555	1.7	52.113
CENPC1	Homo sapiens centromere protein C 1 (CENPC1), mRNA	NM_001812	1.7	14.487
NFKBIE	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon (NFKBIE), mRNA	NM_004556	1.7	16.133
PDGFA	Human mRNA for platelet-derived growth factor PDGF-A.	X06374	1.7	17.794
PDGFA	Human mRNA for platelet derived growth factor A-chain (PDGF-A).	X03795	1.7	17.794
FBXW5	Homo sapiens F-box and WD-40 domain protein 5 (FBXW5), transcript variant 1, mRNA	NM_018998	1.7	108.827
GPR175	Homo sapiens G protein-coupled receptor 175 (GPR175), mRNA	NM_016372	1.7	29.155
TGIF	Homo sapiens TGFB-induced factor (TALE family homeobox) (TGIF), transcript variant 1, mRNA	NM_170695	1.7	83.977
RTCD1	Homo sapiens RNA terminal phosphate cyclase domain 1 (RTCD1), mRNA	NM_003729	1.7	32.538
SCAND1	Homo sapiens SCAN domain containing 1 (SCAND1), transcript variant 1, mRNA	NM_016558	1.7	44.224
SPTBN2	Homo sapiens spectrin, beta, non-erythrocytic 2 (SPTBN2), mRNA	NM_006946	1.7	259.537
AF5Q31	Homo sapiens ALL1 fused gene from 5q31 (AF5Q31), mRNA	NM_014423	1.7	110.404
FLJ10305	Homo sapiens hypothetical protein FLJ10305 (FLJ10305), mRNA	NM_018052	1.7	68.417
TAX1BP2	Human Tax1 binding protein mRNA, partial cds.	U25801	1.7	68.417
NT5C	Homo sapiens 5, 3-nucleotidase, cytosolic (NT5C), mRNA	NM_014595	1.7	18.860
LOC196463	Homo sapiens hypothetical protein LOC196463 (LOC196463), mRNA	NM_173542	1.7	17.215
SLC26A11	Homo sapiens solute carrier family 26, member 11 (SLC26A11), mRNA	NM_173626	1.7	17.215
MBD3	Homo sapiens methyl-CpG binding domain protein 3 (MBD3), mRNA	NM_003926	1.7	112.081
CNO	Homo sapiens cappuccino (CNO), mRNA	NM_018366	1.7	45.225
USP54	Homo sapiens cDNA FLJ45280 fis, clone BRHIP3001360.	AK127213	1.7	45.225
USP54	Homo sapiens ubiquitin specific protease 54 (USP54), mRNA	NM_152586	1.7	45.225
IFITM3	Homo sapiens interferon induced transmembrane protein 3 (1-8U) (IFITM3), mRNA	NM_021034	1.7	18.277
SBDS	Homo sapiens Shwachman-Bodian-Diamond syndrome (SBDS), mRNA	NM_016038	1.7	55.876
GPT2	Homo sapiens glutamic pyruvate transaminase (alanine aminotransferase) 2 (GPT2), mRNA	NM_133443	1.7	73.404
FLJ20584	Homo sapiens hypothetical protein FLJ20584 (FLJ20584), mRNA	NM_017891	1.7	13.392
CSNK2A2	Homo sapiens casein kinase 2, alpha prime polypeptide (CSNK2A2), mRNA	NM_001896	1.7	30.178
DHX37	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 37 (DHX37), mRNA	NM_032656	1.7	63.262
ARL10C	Homo sapiens ADP-ribosylation factor-like 10C (ARL10C), mRNA	NM_018184	1.7	122.904
SLC2A4	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 4 (SLC2A4), mRNA	NM_001042	1.7	25.305
RNMTL1	Homo sapiens RNA methyltransferase like 1 (RNMTL1), mRNA	NM_018146	1.7	17.714
STIM2	Homo sapiens stromal interaction molecule 2 (STIM2), mRNA	NM_020860	1.7	29.595
REV1L	Homo sapiens REV1-like (yeast) (REV1L), mRNA	NM_016316	1.7	27.944
ALDH16A1	Homo sapiens aldehyde dehydrogenase 16 family, member A1 (ALDH16A1), mRNA	NM_153329	1.7	40.110
PCBP4	Homo sapiens poly(rC) binding protein 4 (PCBP4), transcript variant 1, mRNA	NM_020418	1.7	52.381
PCBP4	Homo sapiens poly(rC) binding protein 4 (PCBP4), transcript variant 1, mRNA	NM_020418	1.7	52.381
PRKAR1B	Homo sapiens protein kinase, cAMP-dependent, regulatory, type I, beta (PRKAR1B), mRNA	NM_002735	1.7	26.356
CTAGE5	Homo sapiens CTAGE family, member 5 (CTAGE5), transcript variant 1, mRNA	NM_005930	1.7	24.727
FLJ33817	Homo sapiens hypothetical protein FLJ33817 (FLJ33817), mRNA	NM_152348	1.7	65.374
PITPNM1	Homo sapiens phosphatidylinositol transfer protein, membrane-associated 1 (PITPNM1), mRNA	NM_004910	1.7	278.711
CADPS2	Homo sapiens Ca2+-dependent activator protein for secretion 2 (CADPS2), transcript variant 1, mRNA	NM_017954	1.7	45.080
SLC25A6	Homo sapiens solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 (SLC25A6), mRNA	NM_001636	1.7	345.945
FURIN	Homo sapiens furin (paired basic amino acid cleaving enzyme) (FURIN), mRNA	NM_002569	1.7	276.311
GOLGA4	Homo sapiens golgi autoantigen, golgin subfamily a, 4 (GOLGA4), mRNA	NM_002078	1.7	156.013
GOLGA4	Golgi autoantigen, golgin subfamily A member 4 (Trans-Golgi p230) (256 kDa golgin) (Golgin-245) (72.1 protein). [Source:Uniprot/SWISSPROT;Acc:Q13439]	ENST00000273176	1.7	156.013
KIAA0882	Homo sapiens KIAA0882 protein (KIAA0882), mRNA	NM_015130	1.7	53.439
STX17	Homo sapiens syntaxin 17 (STX17), mRNA	NM_017919	1.7	40.036
PAWR	Homo sapiens PRKC, apoptosis, WT1, regulator (PAWR), mRNA	NM_002583	1.7	26.836
ZRF1	Homo sapiens, clone IMAGE:3459481, mRNA, partial cds.	BC000859	1.7	22.483
FLJ90652	Homo sapiens hypothetical protein FLJ90652 (FLJ90652), mRNA	NM_173618	1.7	22.483
KIAA1787	Homo sapiens KIAA1787 protein (KIAA1787), transcript variant 1, mRNA	NM_032442	1.7	38.411
TUBB2	Homo sapiens tubulin, beta 2 (TUBB2), mRNA	NM_001069	1.7	374.373
RTN4RL2	Homo sapiens reticulon 4 receptor-like 2 (RTN4RL2), mRNA	NM_178570	1.7	13.885
SKIL	Homo sapiens SKI-like (SKIL), mRNA	NM_005414	1.7	42.242
GRCC9	Homo sapiens likely ortholog of mouse gene rich cluster, C9 gene (GRCC9), mRNA	NM_032641	1.7	19.303
PRDM4	Homo sapiens PR domain containing 4 (PRDM4), mRNA	NM_012406	1.6	48.883
TSAP6	Homo sapiens dudulin 2 (TSAP6), mRNA	NM_018234	1.6	17.656
C16orf28	Homo sapiens chromosome 16 open reading frame 28 (C16orf28), mRNA	NM_023076	1.6	39.968
UNKL	Homo sapiens unkempt-like (Drosophila) (UNKL), mRNA	NM_024023	1.6	39.968
CCNT2	Homo sapiens cyclin T2 (CCNT2), transcript variant b, mRNA	NM_058241	1.6	39.968
FEM1A	Homo sapiens fem-1 homolog a (C.elegans) (FEM1A), mRNA	NM_018708	1.6	97.533
PP3856	Homo sapiens similar to CG3714 gene product (PP3856), mRNA	NM_145201	1.6	38.345
SAS10	Homo sapiens disrupter of silencing 10 (SAS10), mRNA	NM_020368	1.6	18.723
RAD51L3	Homo sapiens RAD51-like 3 (S. cerevisiae) (RAD51L3), transcript variant 4, mRNA	NM_133629	1.6	21.379
RAD51L3	Homo sapiens RAD51-like 3 (S. cerevisiae) (RAD51L3), transcript variant 2, mRNA	NM_133627	1.6	21.379
ABHD5	Homo sapiens abhydrolase domain containing 5 (ABHD5), mRNA	NM_016006	1.6	24.089
BOK	Homo sapiens Bcl-2 related ovarian killer (BOK) mRNA, complete cds.	AF089746	1.6	22.429
BOK	Homo sapiens BCL2-related ovarian killer (BOK), mRNA	NM_032515	1.6	22.429
TCF12	Homo sapiens transcription factor 12 (HTF4, helix-loop-helix transcription factors 4) (TCF12), transcript variant 4, mRNA	NM_207038	1.6	42.686
SNX19	Homo sapiens mRNA for KIAA0254 gene, partial cds.	D87443	1.6	39.909
DUSP16	Homo sapiens mRNA for KIAA1700 protein, partial cds.	AB051487	1.6	89.940
STAG1	Homo sapiens stromal antigen 1, mRNA (cDNA clone MGC:71690 IMAGE:30342305), complete cds.	BC064699	1.6	31.655
STAG1	Homo sapiens stromal antigen 1 (STAG1), mRNA	NM_005862	1.6	31.655
C6orf68	Homo sapiens chromosome 6 open reading frame 68 (C6orf68), mRNA	NM_138459	1.6	49.315
TNFRSF1A	Homo sapiens tumor necrosis factor receptor superfamily, member 1A (TNFRSF1A), mRNA	NM_001065	1.6	61.676
FLJ12886	Homo sapiens hypothetical protein FLJ12886 (FLJ12886), mRNA	NM_019108	1.6	15.426
SHB	Homo sapiens SHB (Src homology 2 domain containing) adaptor protein B (SHB), mRNA	NM_003028	1.6	24.592
BOP1	Homo sapiens block of proliferation 1 (BOP1), mRNA	NM_015201	1.6	56.556
C3orf19	Homo sapiens HSPC212 mRNA, complete cds.	AF151046	1.6	37.703
C3orf19	Homo sapiens chromosome 3 open reading frame 19 (C3orf19), mRNA	NM_016474	1.6	37.703
NDOR1	Homo sapiens NADPH dependent diflavin oxidoreductase 1, mRNA (cDNA clone MGC:22987 IMAGE:4869561), complete cds.	BC015735	1.6	42.627
PYGB	Homo sapiens phosphorylase, glycogen; brain (PYGB), mRNA	NM_002862	1.6	108.699
TRIM35	Homo sapiens tripartite motif-containing 35 (TRIM35), transcript variant 1, mRNA	NM_015066	1.6	26.717
GNS	Homo sapiens glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID) (GNS), mRNA	NM_002076	1.6	145.371
LUZP1	Homo sapiens leucine zipper protein 1 (LUZP1), mRNA	NM_033631	1.6	54.220
SH3KBP1	Homo sapiens SH3-domain kinase binding protein 1 (SH3KBP1), mRNA	NM_031892	1.6	30.480
MRPS12	Homo sapiens mitochondrial ribosomal protein S12 (MRPS12), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA	NM_021107	1.6	30.480
PLEKHA3	Homo sapiens pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 (PLEKHA3), mRNA	NM_019091	1.6	13.819
FNDC3B	Homo sapiens fibronectin type III domain containing 3B (FNDC3B), mRNA	NM_022763	1.6	62.134
DKFZP547N043	Homo sapiens hypothetical protein DKFZp547N043 (DKFZP547N043), transcript variant 1, mRNA	NM_032018	1.6	24.024
ZBTB20	Homo sapiens zinc finger and BTB domain containing 20 (ZBTB20), mRNA	NM_015642	1.6	45.874
SPIRE2	Homo sapiens spire homolog 2 (Drosophila) (SPIRE2), mRNA	NM_032451	1.6	61.546
KRT8	Homo sapiens keratin 8 (KRT8), mRNA	NM_002273	1.6	657.066
COQ4	Ubiquinone biosynthesis protein COQ4 homolog (Coenzyme Q biosynthesis protein 4 homolog) (CGI-92). [Source:Uniprot/SWISSPROT;Acc:Q9Y3A0]	ENST00000300452	1.6	36.567
G6PD	Homo sapiens glucose-6-phosphate dehydrogenase (G6PD), nuclear gene encoding mitochondrial protein, mRNA	NM_000402	1.6	51.973
LOC90580	Homo sapiens hypothetical protein BC011833 (LOC90580), mRNA	NM_138358	1.6	19.742
DKFZP566D1346	Homo sapiens hypothetical protein DKFZp566D1346 (DKFZP566D1346), mRNA	NM_030816	1.6	37.069
TRAF4	Homo sapiens TNF receptor-associated factor 4 (TRAF4), transcript variant 1, mRNA	NM_004295	1.6	205.526
FOXP4	Homo sapiens forkhead box P4 (FOXP4), mRNA	NM_138457	1.6	90.745
PCK2	Homo sapiens phosphoenolpyruvate carboxykinase 2 (mitochondrial) (PCK2), mRNA	NM_004563	1.6	162.727
SMTN	Homo sapiens smoothelin (SMTN), transcript variant 1, mRNA	NM_134270	1.6	86.757
UGDH	Homo sapiens UDP-glucose dehydrogenase (UGDH), mRNA	NM_003359	1.6	123.337
KIAA0669	Homo sapiens KIAA0669 gene product (KIAA0669), mRNA	NM_014779	1.6	96.986
AEBP2	Homo sapiens AE binding protein 2 (AEBP2), mRNA	NM_153207	1.6	21.821
DPH2L1	Homo sapiens DPH2-like 1 (S. cerevisiae) (DPH2L1), mRNA	NM_001383	1.6	18.091
KIAA0562	Homo sapiens glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein (KIAA0562), mRNA	NM_014704	1.6	28.751
BCAR3	Homo sapiens breast cancer anti-estrogen resistance 3 (BCAR3), mRNA	NM_003567	1.6	25.047
EIF2C3	Homo sapiens eukaryotic translation initiation factor 2C, 3 (EIF2C3), transcript variant 1, mRNA	NM_024852	1.6	27.158
PPRC1	Homo sapiens peroxisome proliferative activated receptor, gamma, coactivator-related 1 (PPRC1), mRNA	NM_015062	1.6	78.683
IER3IP1	Homo sapiens immediate early response 3 interacting protein 1 (IER3IP1), mRNA	NM_016097	1.6	22.320
FOXO3A	Homo sapiens forkhead box O3A (FOXO3A), transcript variant 1, mRNA	NM_001455	1.6	65.772
DBN1	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA	NM_080881	1.6	159.513
ARL4A	Homo sapiens ADP-ribosylation factor-like 4A (ARL4A), transcript variant 1, mRNA	NM_005738	1.6	19.692
DERL2	Homo sapiens Der1-like domain family, member 2 (DERL2), mRNA	NM_016041	1.6	19.692
DNCLI2	Homo sapiens dynein, cytoplasmic, light intermediate polypeptide 2 (DNCLI2), mRNA	NM_006141	1.6	47.885
TSSC1	Homo sapiens tumor suppressing subtransferable candidate 1 (TSSC1), mRNA	NM_003310	1.6	20.726
DLAT	Homo sapiens dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) (DLAT), mRNA	NM_001931	1.6	108.699
RRN3	Homo sapiens RRN3 RNA polymerase I transcription factor homolog (yeast) (RRN3), mRNA	NM_018427	1.6	36.957
XPO5	Homo sapiens exportin 5 (XPO5), mRNA	NM_020750	1.6	75.162
C14orf172	Homo sapiens chromosome 14 open reading frame 172 (C14orf172), mRNA	NM_152307	1.6	22.788
ZCCHC11	Homo sapiens zinc finger, CCHC domain containing 11 (ZCCHC11), transcript variant 1, mRNA	NM_001009881	1.6	62.954
C1orf34	Homo sapiens chromosome 1 open reading frame 34, mRNA (cDNA clone MGC:10985 IMAGE:3636378), complete cds.	BC004399	1.6	15.895
ARSD	Homo sapiens arylsulfatase D (ARSD), transcript variant 2, mRNA	NM_009589	1.6	15.895
ARSD	Homo sapiens arylsulfatase D (ARSD), transcript variant 1, mRNA	NM_001669	1.6	15.895
LOC133308	Homo sapiens hypothetical protein BC009732 (LOC133308), mRNA	NM_178833	1.6	23.899
