Gene ID	Description	Functional class	Comment	SG enrichment (log2-fold)
AAEL001239	cation efflux protein/ zinc transporter	TRP		-2.061581787
AAEL004559	synaptosomal associated protein	TRP		-2.038304177
AAEL012702	ATP-binding cassette sub-family A member 3, putative	TRP		-2.01827293
AAEL012981	sugar transporter	TRP		-1.988933912
AAEL003426	sodium-dependent phosphate transporter	TRP		-1.984563098
AAEL012700	ATP-binding cassette sub-family A member 3, putative	TRP		-1.946907733
AAEL007521	importin beta-2	TRP		-1.905492788
AAEL007126	sugar transporter	TRP		-1.900948691
AAEL012209	ring finger protein	TRP		-1.830738347
AAEL006995	sodium/solute symporter	TRP		-1.789924445
AAEL005915	monocarboxylate transporter	TRP		-1.77287825
AAEL011520	sucrose transport protein	TRP		-1.715805872
AAEL009529	hypothetical protein	TRP		-1.705742345
AAEL010884	adp,atp carrier protein	TRP		-1.696854676
AAEL005001	aquaporin	TRP		-1.676417485
AAEL003899	sugar transporter	TRP		-1.670124975
AAEL009080	importin 7, putative	TRP		-1.647257224
AAEL007016	sodium/solute symporter	TRP		-1.632614704
AAEL009749	sodium-dependent phosphate transporter	TRP		-1.631230055
AAEL001691	adenylate cyclase	TRP		-1.626302745
AAEL006139	sodium/solute symporter	TRP		-1.624889161
AAEL007458	amino acid transporter	TRP		-1.612583285
AAEL008381	oligopeptide transporter	TRP		-1.587094904
AAEL007930	sugar transporter	TRP		-1.562402301
AAEL003184	mfs transporter	TRP		-1.554491694
AAEL004549	synapsin	TRP		-1.536776129
AAEL011472	hypothetical protein	TRP		-1.465052762
AAEL004483	hypothetical protein	TRP		-1.439151779
AAEL003640	sodium/shloride dependent amino acid transporter	TRP		-1.427627355
AAEL001646	inward rectifier potassium channel, putative	TRP		-1.411140961
AAEL014255	aquaporin, putative	TRP		-1.400421313
AAEL009706	ns1 binding protein	TRP		-1.387828006
AAEL006264	glucose transporter (sugar transporter	TRP		-1.355510122
AAEL007167	conserved hypothetical protein	TRP		-1.352613166
AAEL001620	conserved hypothetical protein	TRP		-1.350464984
AAEL004035	importin 11 (imp11) (ran-binding protein 11)	TRP		-1.343953166
AAEL008848	ATP synthase gamma subunit	TRP		-1.331765985
AAEL014108	aquaporin, putative	TRP		-1.314167306
AAEL010330	succinate dehydrogenase	TRP		-1.300371922
AAEL005929	ATP-binding cassette transporter	TRP		-1.29992399
AAEL013039	conserved hypothetical protein	TRP		-1.276129971
AAEL012528	tetraspanin, putative	TRP		-1.274657069
AAEL003410	conserved hypothetical protein	TRP		-1.273805512
AAEL017576	hypothetical protein	TRP		-1.258962377
AAEL013109	glutamate transporter	TRP		-1.256915751
AAEL010485	sugar transporter	TRP		-1.249013376
AAEL003318	oligopeptide transporter	TRP		-1.245869047
AAEL002862	tensin	TRP		-1.220088064
AAEL010823	ATP synthase delta chain	TRP		-1.19829204
AAEL011171	low-Mr GTP-binding protein Rab31, putative	TRP		-1.197580997
AAEL007637	aaa atpase	TRP		-1.178795314
AAEL004441	importin 9 (imp9) (ran-binding protein 9)	TRP		-1.158740247
AAEL012549	atpase, class vi, type 11c	TRP		-1.139869168
AAEL003548	sulfate transporter	TRP		-1.129004169
AAEL001158	fructose-1,6-bisphosphatase	TRP		-1.107200371
AAEL007971	tyrosine transporter	TRP		-1.104677615
AAEL002051	sodium/hydrogen exchanger 7, 9 (nhe7, nhe9)	TRP		-1.099953903
AAEL011256	cation efflux protein/ zinc transporter	TRP		-1.095093966
AAEL003254	atpase n2b	TRP		-1.094833266
AAEL008878	diacylglycerol o-acyltransferase	TRP		-1.092189127
AAEL014813	viral IAP-associated factor, putative	TRP		-1.082350821
AAEL015016	importin alpha 1a, putative	TRP		-1.03636823
AAEL002504	ATP synthase delta chain, mitochondrial	TRP		-1.022141647
AAEL007027	sodium/solute symporter	TRP		-0.995147077
AAEL014207	sugar transporter	TRP		-0.989922236
AAEL013111	glutamate transporter	TRP		-0.9888914
AAEL004855	adp,atp carrier protein	TRP		-0.977141408
AAEL009362	cationic amino acid transporter	TRP		-0.973669823
AAEL004654	sodium/nucleoside cotransporter	TRP		-0.946554834
AAEL008056	hyperpolarization activated cyclic nucleotide-gated potassium channel	TRP		-0.94207846
AAEL008046	rh antigen	TRP		-0.925083283
AAEL014228	pickpocket	TRP		-0.919476071
AAEL001308	CRAL/TRIO domain-containing protein	TRP		-0.901953217
AAEL012041	sulfate transporter	TRP		-0.901191408
AAEL011689	acyl carrier protein precursor, putative	TRP		-0.888062108
AAEL012175	ATP synthase alpha subunit mitochondrial	TRP		-0.884540428
AAEL006582	calcium-transporting atpase sarcoplasmic/endoplasmic reticulum type (calcium pump)	TRP		-0.878980082
AAEL006182	aaa atpase	TRP		-0.833642699
AAEL002012	Phosphorylated adaptor for RNA export, putative	TRP		-0.819070325
AAEL002576	sodium/solute symporter	TRP		-0.818835971
AAEL000121	dihydropyridine-sensitive l-type calcium channel	TRP		-0.814491312
AAEL009254	aaa atpase	TRP		-0.812104341
AAEL007136	sugar transporter	TRP		-0.798979623
AAEL001257	sugar transporter	TRP		-0.791490163
AAEL013915	monocarboxylate transporter	TRP		-0.787430329
AAEL015532	THO complex, putative	TRP		-0.775756352
AAEL008305	conserved hypothetical protein	UNK		9.081485095
AAEL007986	conserved hypothetical protein	UNK		8.182772741
AAEL009081	conserved hypothetical protein	UNK		7.490288653
AAEL007776	conserved hypothetical protein	UNK		6.913176561
AAEL003601	conserved hypothetical protein	UNK		6.302888632
AAEL000748	conserved hypothetical protein	UNK		6.206080072
AAEL014318	conserved hypothetical protein	UNK		5.825620553
AAEL000732	conserved hypothetical protein	UNK		5.687477191
AAEL010095	conserved hypothetical protein	UNK		5.526257808
AAEL003585	conserved hypothetical protein	UNK		5.460455893
AAEL011042	conserved hypothetical protein	UNK		5.300027184
AAEL003107	conserved hypothetical protein	UNK		4.957308183
AAEL009852	conserved hypothetical protein	UNK		4.744589222
AAEL015647	conserved hypothetical protein	UNK		4.599828882
AAEL012423	conserved hypothetical protein	UNK		4.492121406
AAEL009194	conserved hypothetical protein	UNK		4.342009679
AAEL000019	conserved hypothetical protein	UNK		4.269104981
AAEL004521	conserved hypothetical protein	UNK		3.796873093
AAEL009052	conserved hypothetical protein	UNK		3.695285872
AAEL002397	conserved hypothetical protein	UNK		3.675075013
AAEL011127	conserved hypothetical protein	UNK		3.590691784
AAEL011131	conserved hypothetical protein	UNK		3.337279041
AAEL014355	conserved hypothetical protein	UNK		3.183390775
AAEL005013	conserved hypothetical protein	UNK		3.113041157
AAEL013304	conserved hypothetical protein	UNK		3.073294562
AAEL004832	conserved hypothetical protein	UNK		2.818865771
AAEL004908	conserved hypothetical protein	UNK		2.794250428
AAEL003464	conserved hypothetical protein	UNK		2.766545693
AAEL013807	conserved hypothetical protein	UNK		2.640608901
AAEL015079	conserved hypothetical protein	UNK		2.569776472
AAEL014421	conserved hypothetical protein	UNK		2.559841132
AAEL002066	conserved hypothetical protein	UNK		2.460446378
AAEL003604	conserved hypothetical protein	UNK		2.428877513
AAEL000260	conserved hypothetical protein	UNK		2.377059835
AAEL015288	conserved hypothetical protein	UNK		2.351663956
AAEL007311	conserved hypothetical protein	UNK		2.281955846
AAEL015577	conserved hypothetical protein	UNK		2.245284419
AAEL014441	conserved hypothetical protein	UNK		2.230299244
AAEL000039	conserved hypothetical protein	UNK		2.203530949
AAEL011115	conserved hypothetical protein	UNK		2.117344253
AAEL011642	conserved hypothetical protein	UNK		2.104585686
AAEL012860	conserved hypothetical protein	UNK		2.103425069
AAEL014239	conserved hypothetical protein	UNK		2.045648467
AAEL014248	conserved hypothetical protein	UNK		2.0375389
AAEL014229	conserved hypothetical protein	UNK		2.026373581
AAEL011810	conserved hypothetical protein	UNK		2.015309313
AAEL001767	conserved hypothetical protein	UNK		1.977496289
AAEL001355	conserved hypothetical protein	UNK		1.949967243
AAEL012675	conserved hypothetical protein	UNK		1.918264504
AAEL006098	conserved hypothetical protein	UNK		1.847205739
AAEL015014	conserved hypothetical protein	UNK		1.845500981
AAEL001817	conserved hypothetical protein	UNK		1.824909245
AAEL009920	conserved hypothetical protein	UNK		1.793357899
AAEL013742	conserved hypothetical protein	UNK		1.750193691
AAEL012863	conserved hypothetical protein	UNK		1.748824185
AAEL012390	conserved hypothetical protein	UNK		1.739773807
AAEL011139	conserved hypothetical protein	UNK		1.726714786
AAEL008425	conserved hypothetical protein	UNK		1.711196144
AAEL000649	conserved hypothetical protein	UNK		1.69183035
AAEL001596	conserved hypothetical protein	UNK		1.685878933
AAEL001403	conserved hypothetical protein	UNK		1.664219233
AAEL012102	conserved hypothetical protein	UNK		1.653413611
AAEL015616	conserved hypothetical protein	UNK		1.644813628
AAEL014315	conserved hypothetical protein	UNK		1.633159055
AAEL014573	conserved hypothetical protein	UNK		1.622954027
AAEL003394	conserved hypothetical protein	UNK		1.618969171
AAEL013526	conserved hypothetical protein	UNK		1.618827009
AAEL010649	conserved hypothetical protein	UNK		1.57949525
AAEL004581	conserved hypothetical protein	UNK		1.577184727
AAEL013004	conserved hypothetical protein	UNK		1.554262373
AAEL002643	conserved hypothetical protein	UNK		1.541128325
AAEL005900	conserved hypothetical protein	UNK		1.537606142
AAEL001065	conserved hypothetical protein	UNK		1.536041774
AAEL013077	conserved hypothetical protein	UNK		1.53552046
AAEL002512	conserved hypothetical protein	UNK		1.51378912
AAEL002869	conserved hypothetical protein	UNK		1.502654202
AAEL006862	conserved hypothetical protein	UNK		1.496272506
AAEL009936	conserved hypothetical protein	UNK		1.496194273
AAEL000953	conserved hypothetical protein	UNK		1.482617262
AAEL001905	conserved hypothetical protein	UNK		1.474649594
AAEL008912	conserved hypothetical protein	UNK		1.465535504
AAEL009181	conserved hypothetical protein	UNK		1.463417008
AAEL000655	conserved hypothetical protein	UNK		1.413190189
AAEL004632	conserved hypothetical protein	UNK		1.40987846
AAEL003479	conserved hypothetical protein	UNK		1.398932644
AAEL002597	conserved hypothetical protein	UNK		1.396582654
AAEL011017	conserved hypothetical protein	UNK		1.389235886
AAEL012511	conserved hypothetical protein	UNK		1.38288239
AAEL013296	conserved hypothetical protein	UNK		1.355945796
AAEL013195	conserved hypothetical protein	UNK		1.353066126
AAEL000151	conserved hypothetical protein	UNK		1.336937455
AAEL006529	conserved hypothetical protein	UNK		1.329418105
AAEL005260	conserved hypothetical protein	UNK		1.323564204
AAEL008659	conserved hypothetical protein	UNK		1.320924847
AAEL001522	conserved hypothetical protein	UNK		1.319694827
AAEL001722	conserved hypothetical protein	UNK		1.316782912
AAEL010564	conserved hypothetical protein	UNK		1.314081253
AAEL012124	conserved hypothetical protein	UNK		1.308303492
AAEL001913	conserved hypothetical protein	UNK		1.307108594
AAEL003081	conserved hypothetical protein	UNK		1.294942672
AAEL006337	conserved hypothetical protein	UNK		1.293322806
AAEL000802	conserved hypothetical protein	UNK		1.292102862
AAEL002910	conserved hypothetical protein	UNK		1.291630146
AAEL002198	conserved hypothetical protein	UNK		1.28702716
AAEL010440	conserved hypothetical protein	UNK		1.283233936
AAEL012320	conserved hypothetical protein	UNK		1.268672841
AAEL006503	conserved hypothetical protein	UNK		1.268181414
AAEL004667	conserved hypothetical protein	UNK		1.261124308
AAEL005259	conserved hypothetical protein	UNK		1.256986047
AAEL005262	conserved hypothetical protein	UNK		1.255555867
AAEL012155	conserved hypothetical protein	UNK		1.241413571
AAEL005088	conserved hypothetical protein	UNK		1.236314706
AAEL009707	conserved hypothetical protein	UNK		1.232401138
AAEL014146	conserved hypothetical protein	UNK		1.223597759
AAEL004436	conserved hypothetical protein	UNK		1.216143164
AAEL017319	conserved hypothetical protein	UNK		1.207333681
AAEL010556	conserved hypothetical protein	UNK		1.206524721
AAEL002134	conserved hypothetical protein	UNK		1.191935303
AAEL009713	conserved hypothetical protein	UNK		1.187565848
AAEL007207	conserved hypothetical protein	UNK		1.186284996
AAEL014278	conserved hypothetical protein	UNK		1.182767822
AAEL001508	conserved hypothetical protein	UNK		1.180618357
AAEL005828	conserved hypothetical protein	UNK		1.17591461
AAEL000783	conserved hypothetical protein	UNK		1.172441184
AAEL010898	conserved hypothetical protein	UNK		1.169893651
AAEL007266	conserved hypothetical protein	UNK		1.168455972
AAEL007173	conserved hypothetical protein	UNK		1.163009821
AAEL006083	conserved hypothetical protein	UNK		1.16125004
AAEL005782	conserved hypothetical protein	UNK		1.159428206
AAEL007403	conserved hypothetical protein	UNK		1.155286095
AAEL002963	conserved hypothetical protein	UNK		1.155141592
AAEL004712	conserved hypothetical protein	UNK		1.15052611
AAEL010571	conserved hypothetical protein	UNK		1.143783798
AAEL011122	conserved hypothetical protein	UNK		1.137366044
AAEL003291	conserved hypothetical protein	UNK		1.134234085
AAEL013561	conserved hypothetical protein	UNK		1.13384382
AAEL008712	conserved hypothetical protein	UNK		1.131439916
AAEL011232	conserved hypothetical protein	UNK		1.129040734
AAEL006134	conserved hypothetical protein	UNK		1.120866314
AAEL000351	conserved hypothetical protein	UNK		1.119371188
AAEL002239	conserved hypothetical protein	UNK		1.11016715
AAEL000662	conserved hypothetical protein	UNK		1.10714207
AAEL002805	conserved hypothetical protein	UNK		1.106545805
AAEL000047	conserved hypothetical protein	UNK		1.104055399
AAEL013336	conserved hypothetical protein	UNK		1.10402722
AAEL009648	conserved hypothetical protein	UNK		1.102926441
AAEL012571	conserved hypothetical protein	UNK		1.09836407
AAEL005843	conserved hypothetical protein	UNK		1.096818725
AAEL012577	conserved hypothetical protein	UNK		1.094994335
AAEL011909	conserved hypothetical protein	UNK		1.085439585
AAEL000669	conserved hypothetical protein	UNK		1.081340515
AAEL012937	conserved hypothetical protein	UNK		1.079925275
AAEL008761	conserved hypothetical protein	UNK		1.071969866
AAEL000520	conserved hypothetical protein	UNK		1.07085893
AAEL009515	conserved hypothetical protein	UNK		1.070688175
AAEL008286	conserved hypothetical protein	UNK		1.070557907
AAEL009929	conserved hypothetical protein	UNK		1.068883192
AAEL014761	conserved hypothetical protein	UNK		1.047690269
AAEL000443	conserved hypothetical protein	UNK		1.047108677
AAEL000462	conserved hypothetical protein	UNK		1.04522466
AAEL002122	conserved hypothetical protein	UNK		1.044340713
AAEL011039	conserved hypothetical protein	UNK		1.036587859
AAEL010891	conserved hypothetical protein	UNK		1.034478038
AAEL008408	conserved hypothetical protein	UNK		1.032346747
AAEL013220	conserved hypothetical protein	UNK		1.026567899
AAEL009048	conserved hypothetical protein	UNK		1.022570298
AAEL002797	conserved hypothetical protein	UNK		1.018542012
AAEL004177	conserved hypothetical protein	UNK		1.018485438
AAEL004181	conserved hypothetical protein	UNK		1.017424864
AAEL001576	conserved hypothetical protein	UNK		1.016488302
AAEL015154	conserved hypothetical protein	UNK		1.015859449
AAEL012610	conserved hypothetical protein	UNK		1.014564026
AAEL000306	conserved hypothetical protein	UNK		1.014356919
AAEL008563	conserved hypothetical protein	UNK		1.008175668
AAEL010802	conserved hypothetical protein	UNK		1.007374104
AAEL003501	conserved hypothetical protein	UNK		1.004545358
AAEL007343	conserved hypothetical protein	UNK		0.99144077
AAEL013446	conserved hypothetical protein	UNK		0.989110892
AAEL009690	conserved hypothetical protein	UNK		0.986658574
AAEL001782	conserved hypothetical protein	UNK		0.985687509
AAEL005315	conserved hypothetical protein	UNK		0.984007676
AAEL006611	conserved hypothetical protein	UNK		0.977599576
AAEL003458	conserved hypothetical protein	UNK		0.972745236
AAEL001509	conserved hypothetical protein	UNK		0.969508491
AAEL008478	conserved hypothetical protein	UNK		0.963170389
AAEL015633	conserved hypothetical protein	UNK		0.957179065
AAEL008590	conserved hypothetical protein	UNK		0.954613084
AAEL004074	conserved hypothetical protein	UNK		0.951520274
AAEL004809	conserved hypothetical protein	UNK		0.949668348
AAEL011768	conserved hypothetical protein	UNK		0.948527398
AAEL006420	conserved hypothetical protein	UNK		0.937688818
AAEL011422	conserved hypothetical protein	UNK		0.93734769
AAEL006502	conserved hypothetical protein	UNK		0.936831478
AAEL013307	conserved hypothetical protein	UNK		0.936616383
AAEL008365	conserved hypothetical protein	UNK		0.93564714
AAEL010477	conserved hypothetical protein	UNK		0.934624056
AAEL013478	conserved hypothetical protein	UNK		0.932677808
AAEL015581	conserved hypothetical protein	UNK		0.930223751
AAEL014065	conserved hypothetical protein	UNK		0.929178138
AAEL013524	conserved hypothetical protein	UNK		0.927584035
AAEL012931	conserved hypothetical protein	UNK		0.924419432
AAEL004497	conserved hypothetical protein	UNK		0.924356941
AAEL008064	conserved hypothetical protein	UNK		0.924138454
AAEL013684	conserved hypothetical protein	UNK		0.923195713
AAEL008149	conserved hypothetical protein	UNK		0.923109868
AAEL005842	conserved hypothetical protein	UNK		0.922755884
AAEL013192	conserved hypothetical protein	UNK		0.920433452
AAEL001583	conserved hypothetical protein	UNK		0.917026135
AAEL008054	conserved hypothetical protein	UNK		0.916564723
AAEL008616	conserved hypothetical protein	UNK		0.913729132
AAEL004330	conserved hypothetical protein	UNK		0.910578148
AAEL009927	conserved hypothetical protein	UNK		0.904830853
AAEL003457	conserved hypothetical protein	UNK		0.902528659
AAEL001070	conserved hypothetical protein	UNK		0.899094588
AAEL002189	conserved hypothetical protein	UNK		0.894983951
AAEL006481	conserved hypothetical protein	UNK		0.89316357
AAEL008223	conserved hypothetical protein	UNK		0.889566139
AAEL003858	conserved hypothetical protein	UNK		0.88873919
AAEL006103	conserved hypothetical protein	UNK		0.88841612
AAEL005985	conserved hypothetical protein	UNK		0.888091037
AAEL004896	conserved hypothetical protein	UNK		0.886046912
AAEL009633	conserved hypothetical protein	UNK		0.885773937
AAEL005404	conserved hypothetical protein	UNK		0.884147125
AAEL004362	conserved hypothetical protein	UNK		0.880255128
AAEL002438	conserved hypothetical protein	UNK		0.878699573
AAEL005659	conserved hypothetical protein	UNK		0.878449214
AAEL003785	conserved hypothetical protein	UNK		0.876680857
AAEL006433	conserved hypothetical protein	UNK		0.876205631
AAEL013259	conserved hypothetical protein	UNK		0.875529075
AAEL005282	conserved hypothetical protein	UNK		0.875316396
AAEL010036	conserved hypothetical protein	UNK		0.874742978
AAEL007361	conserved hypothetical protein	UNK		0.873757309
AAEL013805	conserved hypothetical protein	UNK		0.871727513
AAEL000191	conserved hypothetical protein	UNK		0.870640554
AAEL005746	conserved hypothetical protein	UNK		0.869437669
AAEL006263	conserved hypothetical protein	UNK		0.869362143
AAEL001882	conserved hypothetical protein	UNK		0.867849932
AAEL000933	conserved hypothetical protein	UNK		0.867429829
AAEL012946	conserved hypothetical protein	UNK		0.863966268
AAEL004305	conserved hypothetical protein	UNK		0.863507964
AAEL011163	conserved hypothetical protein	UNK		0.863471232
AAEL014773	conserved hypothetical protein	UNK		0.862368986
AAEL007579	conserved hypothetical protein	UNK		0.849296151
AAEL006286	conserved hypothetical protein	UNK		0.847194609
AAEL001686	conserved hypothetical protein	UNK		0.846228644
AAEL007639	conserved hypothetical protein	UNK		0.846173502
AAEL000412	conserved hypothetical protein	UNK		0.843240142
AAEL006969	conserved hypothetical protein	UNK		0.843219939
AAEL015493	conserved hypothetical protein	UNK		0.837195157
AAEL002405	conserved hypothetical protein	UNK		0.837025097
AAEL007910	conserved hypothetical protein	UNK		0.833985812
AAEL011020	conserved hypothetical protein	UNK		0.833237535
AAEL004515	conserved hypothetical protein	UNK		0.831716818
AAEL005016	conserved hypothetical protein	UNK		0.828060101
AAEL011668	conserved hypothetical protein	UNK		0.82541786
AAEL013987	conserved hypothetical protein	UNK		0.821653636
AAEL011859	conserved hypothetical protein	UNK		0.819094206
AAEL006010	conserved hypothetical protein	UNK		0.818807376
AAEL005121	conserved hypothetical protein	UNK		0.818238189
AAEL013494	conserved hypothetical protein	UNK		0.817738619
AAEL010260	conserved hypothetical protein	UNK		0.817160302
AAEL005274	conserved hypothetical protein	UNK		0.815464318
AAEL007537	conserved hypothetical protein	UNK		0.81489524
AAEL009858	conserved hypothetical protein	UNK		0.810656709
AAEL009035	conserved hypothetical protein	UNK		0.809793071
AAEL013268	conserved hypothetical protein	UNK		0.808572468
AAEL001772	conserved hypothetical protein	UNK		0.80818509
AAEL016964	conserved hypothetical protein	UNK		0.805122274
AAEL017359	conserved hypothetical protein	UNK		0.803557052
AAEL000437	conserved hypothetical protein	UNK		0.800029625
AAEL001881	conserved hypothetical protein	UNK		0.799104798
AAEL006296	conserved hypothetical protein	UNK		0.798782898
AAEL015579	conserved hypothetical protein	UNK		0.798601104
AAEL007694	conserved hypothetical protein	UNK		0.793377302
AAEL000683	conserved hypothetical protein	UNK		0.792950316
AAEL013779	conserved hypothetical protein	UNK		0.792617532
AAEL004880	conserved hypothetical protein	UNK		0.790351476
AAEL003923	conserved hypothetical protein	UNK		0.790141113
AAEL011718	conserved hypothetical protein	UNK		0.786841439
AAEL001325	conserved hypothetical protein	UNK		0.78683698
AAEL011459	conserved hypothetical protein	UNK		0.786494104
AAEL001345	conserved hypothetical protein	UNK		0.786121181
AAEL012977	conserved hypothetical protein	UNK		0.784338613
AAEL004203	conserved hypothetical protein	UNK		0.781379737
AAEL005807	conserved hypothetical protein	UNK		0.779803676
AAEL002386	conserved hypothetical protein	UNK		0.778172401
AAEL011620	conserved hypothetical protein	UNK		0.776697462
AAEL015152	conserved hypothetical protein	UNK		0.776434892
AAEL013908	conserved hypothetical protein	UNK		0.775469217
AAEL007394	conserved hypothetical protein	UNK	short salivary D7 protein, putative	5.007164251
AAEL013532	hypothetical protein	UNK		7.342468329
AAEL003694	hypothetical protein	UNK		5.868845012
AAEL015086	hypothetical protein	UNK		5.335305871
AAEL007872	hypothetical protein	UNK		4.957618362
AAEL000645	hypothetical protein	UNK		3.788141726
AAEL005966	hypothetical protein	UNK		3.44319455
AAEL010155	hypothetical protein	UNK		3.022128313
AAEL000657	hypothetical protein	UNK		3.000314357
AAEL017124	hypothetical protein	UNK		2.996026138
AAEL017267	hypothetical protein	UNK		2.955378943
AAEL005275	hypothetical protein	UNK		2.860856221
AAEL012536	hypothetical protein	UNK		2.719673753
AAEL011598	hypothetical protein	UNK		2.653782303
AAEL005015	hypothetical protein	UNK		2.606751369
AAEL004695	hypothetical protein	UNK		2.573582747
AAEL013133	hypothetical protein	UNK		2.565314811
AAEL001519	hypothetical protein	UNK		2.518302832
AAEL012862	hypothetical protein	UNK		2.474069852
AAEL014530	hypothetical protein	UNK		2.177913751
AAEL008675	hypothetical protein	UNK		2.162748662
AAEL017405	hypothetical protein	UNK		2.124226012
AAEL017530	hypothetical protein	UNK		1.981991641
AAEL002235	hypothetical protein	UNK		1.967334486
AAEL007269	hypothetical protein	UNK		1.964985468
AAEL006927	hypothetical protein	UNK		1.950508096
AAEL009386	hypothetical protein	UNK		1.924782754
AAEL011305	hypothetical protein	UNK		1.791607569
AAEL010406	hypothetical protein	UNK		1.74058866
AAEL004944	hypothetical protein	UNK		1.73528333
AAEL005360	hypothetical protein	UNK		1.708469249
AAEL017430	hypothetical protein	UNK		1.648697116
AAEL007989	hypothetical protein	UNK		1.646739992
AAEL008092	hypothetical protein	UNK		1.637141209
AAEL013699	hypothetical protein	UNK		1.624041029
AAEL006266	hypothetical protein	UNK		1.606173387
AAEL004070	hypothetical protein	UNK		1.530246222
AAEL016980	hypothetical protein	UNK		1.521729234
AAEL017383	hypothetical protein	UNK		1.501686865
AAEL004447	hypothetical protein	UNK		1.496055297
AAEL017192	hypothetical protein	UNK		1.495696771
AAEL013586	hypothetical protein	UNK		1.485781849
AAEL003656	hypothetical protein	UNK		1.464382774
AAEL009990	hypothetical protein	UNK		1.427406231
AAEL008926	hypothetical protein	UNK		1.424324836
AAEL014804	hypothetical protein	UNK		1.401022226
AAEL011525	hypothetical protein	UNK		1.3862432
AAEL009849	hypothetical protein	UNK		1.349619343
AAEL017454	hypothetical protein	UNK		1.347116455
AAEL010985	hypothetical protein	UNK		1.337913398
AAEL001284	hypothetical protein	UNK		1.333907021
AAEL004038	hypothetical protein	UNK		1.33273229
AAEL006183	hypothetical protein	UNK		1.320680536
AAEL000664	hypothetical protein	UNK		1.319270322
AAEL003368	hypothetical protein	UNK		1.309379335
AAEL008705	hypothetical protein	UNK		1.295687095
AAEL009966	hypothetical protein	UNK		1.292778975
AAEL017091	hypothetical protein	UNK		1.277148267
AAEL002702	hypothetical protein	UNK		1.245619351
AAEL000620	hypothetical protein	UNK		1.231615722
AAEL012597	hypothetical protein	UNK		1.227014028
AAEL017193	hypothetical protein	UNK		1.226827163
AAEL017554	hypothetical protein	UNK		1.226185509
AAEL017353	hypothetical protein	UNK		1.225270613
AAEL001460	hypothetical protein	UNK		1.215699166
AAEL006545	hypothetical protein	UNK		1.183446309
AAEL005396	hypothetical protein	UNK		1.182685328
AAEL001012	hypothetical protein	UNK		1.177586067
AAEL003422	hypothetical protein	UNK		1.17529516
AAEL001680	hypothetical protein	UNK		1.169197325
AAEL003021	hypothetical protein	UNK		1.164079191
AAEL006959	hypothetical protein	UNK		1.163984412
AAEL006546	hypothetical protein	UNK		1.158057962
AAEL003373	hypothetical protein	UNK		1.150479488
AAEL006777	hypothetical protein	UNK		1.148735
AAEL005418	hypothetical protein	UNK		1.138933459
AAEL017284	hypothetical protein	UNK		1.138668736
AAEL014362	hypothetical protein	UNK		1.135280971
AAEL007667	hypothetical protein	UNK		1.124378319
AAEL001579	hypothetical protein	UNK		1.115907713
AAEL017093	hypothetical protein	UNK		1.113799808
AAEL007222	hypothetical protein	UNK		1.113234268
AAEL014488	hypothetical protein	UNK		1.109031985
AAEL017541	hypothetical protein	UNK		1.105995002
AAEL010542	hypothetical protein	UNK		1.089636982
AAEL017114	hypothetical protein	UNK		1.070814982
AAEL009799	hypothetical protein	UNK		1.064057051
AAEL002396	hypothetical protein	UNK		1.060292164
AAEL003780	hypothetical protein	UNK		1.060285619
AAEL017332	hypothetical protein	UNK		1.058946305
AAEL004058	hypothetical protein	UNK		1.056432785
AAEL010715	hypothetical protein	UNK		1.04345424
AAEL012360	hypothetical protein	UNK		1.037030326
AAEL000586	hypothetical protein	UNK		1.033590844
AAEL007611	hypothetical protein	UNK		1.032137473
AAEL003816	hypothetical protein	UNK		1.031966535
AAEL015526	hypothetical protein	UNK		1.02315836
AAEL007232	hypothetical protein	UNK		1.020833862
AAEL017089	hypothetical protein	UNK		1.019315602
AAEL004934	hypothetical protein	UNK		1.015508594
AAEL017519	hypothetical protein	UNK		1.00807009
AAEL017121	hypothetical protein	UNK		1.007591943
AAEL007553	hypothetical protein	UNK		1.001895591
AAEL011691	hypothetical protein	UNK		0.99826262
AAEL010445	hypothetical protein	UNK		0.99721705
AAEL003252	hypothetical protein	UNK		0.997162068
AAEL000745	hypothetical protein	UNK		0.994477642
AAEL017473	hypothetical protein	UNK		0.993409552
AAEL017148	hypothetical protein	UNK		0.981198659
AAEL011574	hypothetical protein	UNK		0.981075394
AAEL008405	hypothetical protein	UNK		0.968357572
AAEL008187	hypothetical protein	UNK		0.964677269
AAEL006405	hypothetical protein	UNK		0.964614108
AAEL014885	hypothetical protein	UNK		0.962688342
AAEL012985	hypothetical protein	UNK		0.953982559
AAEL011818	hypothetical protein	UNK		0.953302811
AAEL007265	hypothetical protein	UNK		0.949934294
AAEL002193	hypothetical protein	UNK		0.949641712
AAEL005450	hypothetical protein	UNK		0.949532316
AAEL006228	hypothetical protein	UNK		0.948539761
AAEL008065	hypothetical protein	UNK		0.946823208
AAEL017248	hypothetical protein	UNK		0.943146195
AAEL012080	hypothetical protein	UNK		0.937934931
AAEL009065	hypothetical protein	UNK		0.93713863
AAEL007769	hypothetical protein	UNK		0.935462044
AAEL007663	hypothetical protein	UNK		0.930124045
AAEL016996	hypothetical protein	UNK		0.925379845
AAEL000309	hypothetical protein	UNK		0.916758907
AAEL002931	hypothetical protein	UNK		0.909840441
AAEL002712	hypothetical protein	UNK		0.908945922
AAEL017298	hypothetical protein	UNK		0.908037796
