Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
TUBA1	tubulin, alpha 1	259_56	0.023519746	0.559980054	-0.536460308	1.450409528	yes	yes	yes	chr2:219823249-219825197 (-) // 92.83 // q35	NP_005991.1	NM_006000	7018 // microtubule-based movement // inferred from electronic annotation /// 51258 // protein polymerization // inferred from electronic annotation	5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5525 // GTP binding // inferred from electronic annotation	---
TUBA3	tubulin, alpha 3	151_39	-0.209244653	0.339194905	-0.548439558	1.462502973	yes	yes	yes	chr12:47949513-47953234 (+) // 76.4 // q13.12 /// chr12:47864851-47869108 (-) // 99.16 // q13.12 /// chr12:47808007-47809773 (-) // 79.36 // q13.12	NP_006000.2	NM_006009	7018 // microtubule-based movement // inferred from electronic annotation /// 51258 // protein polymerization // inferred from electronic annotation	5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5525 // GTP binding // inferred from electronic annotation	---
TUBB	tubulin, beta	265_7	-0.53481572	0.434775015	-0.969590735	1.958284988	yes	yes	yes	chr6:30796118-30800275 (+) // 98.06 // p21.33 /// chr6_cox_hap1:2136714-2140871 (+) // 98.06 // /// chr6_qbl_hap2:1935017-1939174 (+) // 98.06 // /// chr7:55680663-55682245 (+) // 90.44 // p11.2 /// chr8:30328920-30330522 (+) // 95.19 // p12	NP_821133.1	NM_178014	7018 // microtubule-based movement // inferred from electronic annotation /// 42267 // natural killer cell mediated cytotoxicity // non-traceable author statement /// 51258 // protein polymerization // inferred from electronic annotation /// 45892 // negative regulation of transcription, DNA-dependent // inferred from direct assay /// 6096 // glycolysis // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation /// 6508 // proteolysis // inferred from electronic annotation /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6364 // rRNA processing // inferred from electronic annotation /// 6417 // regulation of protein biosynthesis // inferred from electronic annotation /// 6445 // regulation of translation // inferred from electronic annotation /// 6000 // fructose metabolism // traceable author statement /// 7050 // cell cycle arrest // traceable author statement /// 8283 // cell proliferation // traceable author statement	5737 // cytoplasm // inferred from electronic annotation /// 5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation /// 5634 // nucleus // inferred from direct assay /// 5634 // nucle	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5525 // GTP binding // inferred from electronic annotation /// 42288 // MHC class I protein binding // inferred from expression pattern /// 5515 // protein binding // inferred from physical interaction /// 3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from direct assay /// 5515 // protein binding // inferred from direct assay /// 3824 // catalytic activity // inferred from electronic annotation /// 4332 // fructose-bisphosphate aldolase activity // inferred from electronic annotation /// 16829 // lyase activity // inferred from electronic annotation /// 8235 // metalloexopeptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 4239 // methionyl aminopeptidase activity // inferred from electronic annotation /// 3723 // RNA binding // inferred from electronic annotation /// 50897 // cobalt ion binding // inferred from electronic annotation /// 4332 // fructose-bisphosphate aldolase activity // traceable author statement	Glycolysis_and_Gluconeogenesis // GenMAPP
TUBB2C	tubulin, beta 2C	149_73	-0.014803895	0.797987508	-0.812791403	1.756606933	yes	yes	yes	chr9:139257551-139257980 (+) // 96.62 // q34.3 /// chrX:117146745-117147201 (+) // 90.09 // q24	NP_006079.1	NM_006088	7018 // microtubule-based movement // inferred from electronic annotation /// 42267 // natural killer cell mediated cytotoxicity // non-traceable author statement /// 51258 // protein polymerization // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation /// 5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5525 // GTP binding // inferred from electronic annotation /// 42288 // MHC class I protein binding // inferred from expression pattern /// 51082 // unfolded protein binding // non-traceable author statement	---
TUBB4	tubulin, beta 4	297_93	-0.049254021	0.642319235	-0.691573256	1.61504376	yes	yes	yes	chr19:6445329-6453307 (-) // 89.9 // p13.3	NP_006078.2	NM_006087	7018 // microtubule-based movement // inferred from electronic annotation /// 51258 // protein polymerization // inferred from electronic annotation	5856 // cytoskeleton // not recorded /// 5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // not recorded /// 5525 // GTP binding // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation	Circadian_Exercise // GenMAPP
TUBG1	tubulin, gamma 1	193_89	0.028685933	0.77954907	-0.750863137	1.682799317	yes	yes	yes	chr17:38015258-38020771 (+) // 99.62 // q21.31 /// chr7:43924805-43926546 (+) // 90.75 // p13	NP_001061.2	NM_001070	212 // meiotic spindle organization and biogenesis // inferred from sequence or structural similarity /// 7018 // microtubule-based movement // inferred from electronic annotation /// 7020 // microtubule nucleation // inferred from sequence or structural similarity /// 7052 // mitotic spindle organization and biogenesis // inferred from sequence or structural similarity /// 51258 // protein polymerization // inferred from electronic annotation /// 226 // microtubule cytoskeleton organization and biogenesis // inferred from sequence or structural similarity /// 226 // microtubule cytoskeleton organization and biogenesis // traceable author statement	794 // condensed nuclear chromosome // inferred from sequence or structural similarity /// 930 // gamma-tubulin complex // traceable author statement /// 5737 // cytoplasm // inferred from direct assay /// 5737 // cytoplasm // inferred from sequence or st	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 5525 // GTP binding // inferred from electronic annotation /// 5515 // protein binding // inferred from sequence or structural similarity /// 5198 // structural molecule activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // traceable author statement /// 5198 // structural molecule activity // traceable author statement	---
TUBG2	tubulin, gamma 2	223_85	-0.219688224	0.388750164	-0.608438388	1.524608039	yes	yes	yes	chr17:38064836-38072549 (+) // 96.28 // q21.31	NP_057521.1	NM_016437	7018 // microtubule-based movement // inferred from electronic annotation /// 51258 // protein polymerization // inferred from electronic annotation	5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation /// 15630 // microtubule cytoskeleton // traceable author statement	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // traceable author statement /// 5525 // GTP binding // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation	---
TDRD7	tudor domain containing 7	316_7	0.298366266	0.958081283	-0.659715017	1.579770532	yes	yes	yes	chr9:99267029-99298228 (+) // 95.81 // q22.33	NP_055105.2	NM_014290	---	---	3676 // nucleic acid binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	234_106	1.403660209	0.837547056	0.566113153	1.480529414	yes	yes	yes	chr16:3010360-3012382 (+) // 96.69 // p13.3	NP_057723.1	NM_016639	1525 // angiogenesis // inferred from electronic annotation /// 6915 // apoptosis // inferred from electronic annotation /// 6928 // cell motility // traceable author statement /// 7155 // cell adhesion // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 7275 // development // traceable author statement	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
TNFRSF7	tumor necrosis factor receptor superfamily, member 7 /// tumor necrosis factor receptor superfamily, member 7	44_100	0.113021318	0.726050304	-0.613028986	1.529467007	yes	yes	yes	chr12:6424422-6431140 (+) // 99.83 // p13.31	NP_001233.1	NM_001242	6915 // apoptosis // inferred from electronic annotation /// 6916 // anti-apoptosis // inferred from direct assay /// 6916 // anti-apoptosis // inferred from sequence or structural similarity /// 6917 // induction of apoptosis // inferred from sequence or structural similarity /// 6955 // immune response // inferred from electronic annotation /// 7001 // chromosome organization and biogenesis (sensu Eukaryota) // inferred from electronic annotation /// 7166 // cell surface receptor linked signal transduction // non-traceable author statement /// 7283 // spermatogenesis // inferred from electronic annotation /// 8588 // release of cytoplasmic sequestered NF-kappaB // non-traceable author statement /// 16064 // humoral defense mechanism (sensu Vertebrata) // non-traceable author statement /// 42100 // B cell proliferation // inferred from sequence or structural similarity /// 45078 // positive regulation of interferon-gamma biosynthesis // inferred from sequence or structural similarity /// 45579 // positive regulation of B cell differentiation // non-traceable author statement /// 45582 // positive regulation of T cell differentiation // inferred from sequence or structural similarity /// 46330 // positive regulation of JNK cascade // inferred from sequence or structural similarity /// 48305 // immunoglobulin secretion // inferred from sequence or structural similarity /// 7165 // signal transduction // inferred from electronic annotation	786 // nucleosome // inferred from electronic annotation /// 5576 // extracellular region // non-traceable author statement /// 5634 // nucleus // inferred from electronic annotation /// 5887 // integral to plasma membrane // non-traceable author statemen	3677 // DNA binding // inferred from electronic annotation /// 4888 // transmembrane receptor activity // non-traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5515 // protein binding // inferred from sequence or structural similarity /// 43027 // caspase inhibitor activity // inferred from direct assay /// 4872 // receptor activity // inferred from electronic annotation /// 4888 // transmembrane receptor activity // inferred from electronic annotation	---
TACSTD1	tumor-associated calcium signal transducer 1	219_48	2.128364287	1.580230675	0.548133612	1.46219286	yes	yes	yes	chr2:47449970-47467661 (+) // 96.07 // p21	NP_002345.1	NM_002354	---	5886 // plasma membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	---	---
TNK2	tyrosine kinase, non-receptor, 2	155_60	0.121370153	0.912852899	-0.791482746	1.730852452	yes	yes	yes	chr3:197074632-197103849 (-) // 97.49 // q29	NP_001010938.1 /// NP_005772.3	NM_001010938 /// NM_005781	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7010 // cytoskeleton organization and biogenesis // not recorded /// 7264 // small GTPase mediated signal transduction // traceable author statement /// 50731 // positive regulation of peptidyl-tyrosine phosphorylation // inferred from direct assay	5737 // cytoplasm // not recorded	166 // nucleotide binding // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4715 // non-membrane spanning protein tyrosine kinase activity // traceable author statement /// 5095 // GTPase inhibitor activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation	Calcium signaling pathway // KEGG /// Cytokine-cytokine receptor interaction // KEGG /// Apoptosis // KEGG /// Dorso-ventral axis formation // KEGG /// Axon guidance // KEGG /// VEGF signaling pathway // KEGG /// Focal adhesion // KEGG /// Adherens junction // KEGG /// Gap junction // KEGG /// Hematopoietic cell lineage // KEGG /// Long-term depression // KEGG /// Regulation of actin cytoskeleton // KEGG /// Insulin signaling pathway // KEGG /// GnRH signaling pathway // KEGG /// Type II diabetes mellitus // KEGG /// Dentatorubropallidoluysian atrophy (DRPLA) // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG /// Colorectal cancer // KEGG
U2AF1	U2 small nuclear RNA auxiliary factor 1	176_43	0.965258828	-0.063673354	1.028932182	2.040513396	yes	yes	yes	chr21:43396772-43400697 (-) // 97.94 // q22.3	NP_001020374.1 /// NP_001020375.1 /// NP_006749.1	NM_001025203 /// NM_001025204 /// NM_006758	398 // nuclear mRNA splicing, via spliceosome // Unknown /// 8380 // RNA splicing // traceable author statement /// 398 // nuclear mRNA splicing, via spliceosome // inferred from electronic annotation /// 6397 // mRNA processing // inferred from electronic annotation /// 6397 // mRNA processing // traceable author statement	5634 // nucleus // inferred from electronic annotation /// 5681 // spliceosome complex // inferred from direct assay /// 15030 // Cajal body // traceable author statement /// 5681 // spliceosome complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3723 // RNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	mRNA_processing_Reactome // GenMAPP /// mRNA_processing_Reactome // GenMAPP
UBN1	ubinuclein 1	48_95	0.921388267	0.362602892	0.558785375	1.473028532	yes	yes	yes	chr16:4838137-4872364 (+) // 99.53 // p13.3	NP_058632.1	NM_016936	---	5634 // nucleus // inferred from electronic annotation	---	---
UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	303_29	0.585451672	-0.032108921	0.617560593	1.534278724	yes	yes	yes	chr8:49083545-49136681 (+) // 97.8 // q11.21	NP_003341.1	NM_003350	74 // regulation of progression through cell cycle // traceable author statement /// 209 // protein polyubiquitination // traceable author statement /// 6282 // regulation of DNA repair // traceable author statement /// 8283 // cell proliferation // traceable author statement /// 6464 // protein modification // inferred from electronic annotation /// 6512 // ubiquitin cycle // inferred from electronic annotation /// 6512 // ubiquitin cycle // traceable author statement /// 16567 // protein ubiquitination // traceable author statement	5634 // nucleus // inferred from direct assay /// 5737 // cytoplasm // traceable author statement /// 31372 // UBC13-MMS2 complex // inferred from direct assay	4840 // ubiquitin conjugating enzyme activity // traceable author statement /// 4842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
UBE2L6	ubiquitin-conjugating enzyme E2L 6	318_6	-0.209862415	0.367909892	-0.577772307	1.492542805	yes	yes	yes	chr11:57075712-57091707 (-) // 95.83 // q12.1	NP_004214.1 /// NP_937826.1	NM_004223 /// NM_198183	6512 // ubiquitin cycle // inferred from electronic annotation /// 6464 // protein modification // inferred from electronic annotation /// 6464 // protein modification // traceable author statement	---	4840 // ubiquitin conjugating enzyme activity // traceable author statement /// 4842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 4842 // ubiquitin-protein ligase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 16874 // ligase activity // inferred from electronic annotation	Ubiquitin mediated proteolysis // KEGG /// Parkinsons disease // KEGG /// Huntingtons disease // KEGG
UBE2W	ubiquitin-conjugating enzyme E2W (putative)	142_36	1.21655199	0.46150753	0.75504446	1.687683602	yes	yes	yes	chr8:74880439-74905263 (-) // 47.39 // q21.11	NP_001001481.1 /// NP_001001482.1 /// NP_060769.2	NM_001001481 /// NM_001001482 /// NM_018299	6512 // ubiquitin cycle // inferred from electronic annotation /// 6464 // protein modification // inferred from electronic annotation	---	4842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation	---
UBL3	ubiquitin-like 3	210_7	-0.288676403	-0.887836725	0.599160322	1.514834645	yes	yes	yes	chr13:29237748-29321781 (-) // 96.66 // q12.3	NP_009037.1	NM_007106	6464 // protein modification // inferred from electronic annotation	---	---	---
B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	219_46	-0.684467958	0.035599699	-0.720067657	1.647259283	yes	yes	yes	chr11:65869419-65871671 (-) // 88.02 // q13.1	NP_006867.1	NM_006876	30311 // poly-N-acetyllactosamine biosynthesis // non-traceable author statement	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 30173 // integral to Golgi membrane // non-traceable author statement	8532 // N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity // non-traceable author statement /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 8532 // N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	Keratan sulfate biosynthesis // KEGG /// Glycosphingolipid biosynthesis - neo-lactoseries // KEGG /// Glycan structures - biosynthesis 1 // KEGG /// Glycan structures - biosynthesis 2 // KEGG
B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	21_31	0.919536207	1.753765461	-0.834229255	1.782904286	yes	yes	yes	chr2:62276777-62305368 (+) // 96.79 // p15	NP_006568.2	NM_006577	6486 // protein amino acid glycosylation // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // non-traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation	8378 // galactosyltransferase activity // inferred from electronic annotation /// 8499 // UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity // non-traceable author statement /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	Keratan sulfate biosynthesis // KEGG /// Glycosphingolipid biosynthesis - neo-lactoseries // KEGG /// Glycan structures - biosynthesis 1 // KEGG /// Glycan structures - biosynthesis 2 // KEGG
UGP2	UDP-glucose pyrophosphorylase 2	311_6	-0.608108922	0.123405508	-0.73151443	1.660381117	yes	yes	yes	chr2:63922739-63972089 (+) // 94.87 // p15	NP_001001521.1 /// NP_006750.3	NM_001001521 /// NM_006759	6011 // UDP-glucose metabolism // traceable author statement /// 8152 // metabolism // inferred from electronic annotation	---	3983 // UTP:glucose-1-phosphate uridylyltransferase activity // traceable author statement /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16779 // nucleotidyltransferase activity // inferred from electronic annotation /// 3983 // UTP:glucose-1-phosphate uridylyltransferase activity // inferred from electronic annotation	Glycogen_Metabolism // GenMAPP /// Circadian_Exercise // GenMAPP /// Pentose and glucuronate interconversions // KEGG /// Galactose metabolism // KEGG /// Starch and sucrose metabolism // KEGG /// Nucleotide sugars metabolism // KEGG
GALNT13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13)	18_7	-0.05671158	0.715964372	-0.772675952	1.708435702	yes	yes	yes	chr2:154960762-155015309 (+) // 100.0 // q24.1	NP_443149.1	NM_052917	---	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4653 // polypeptide N-acetylgalactosaminyltransferase activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	279_102	0.345609878	0.894953975	-0.549344097	1.46342022	yes	yes	yes	chr2:166311567-166359033 (-) // 87.9 // q24.3	NP_004473.1	NM_004482	5975 // carbohydrate metabolism // non-traceable author statement	5624 // membrane fraction // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation	4653 // polypeptide N-acetylgalactosaminyltransferase activity // traceable author statement /// 5509 // calcium ion binding // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation /// 4653 // polypeptide N-acetylgalactosaminyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	O-Glycan biosynthesis // KEGG /// Glycan structures - biosynthesis 1 // KEGG
UNC13A	unc-13 homolog A (C. elegans)	118_42	0.167902475	1.355762579	-1.187860104	2.278145835	yes	yes	yes	chr19:17573144-17575387 (-) // 86.13 // p13.11	XP_038604.9 /// XP_943024.1	XM_038604 /// XM_937931	6887 // exocytosis // inferred from electronic annotation /// 7242 // intracellular signaling cascade // inferred from electronic annotation	19717 // synaptosome // inferred from electronic annotation /// 45202 // synapse // inferred from electronic annotation	8270 // zinc ion binding // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
ULK2	unc-51-like kinase 2 (C. elegans)	162_65	-0.147222827	0.522255032	-0.669477859	1.59049723	yes	yes	yes	chr17:19618056-19711822 (-) // 97.31 // p11.2	NP_055498.2	NM_014683	6468 // protein amino acid phosphorylation // inferred from electronic annotation	---	166 // nucleotide binding // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation	---
VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	297_74	1.069283948	0.417978579	0.651305369	1.570588642	yes	yes	yes	chr18:9944305-9947726 (+) // 85.82 // p11.22	NP_003565.4 /// NP_919415.2	NM_003574 /// NM_194434	6461 // protein complex assembly // traceable author statement /// 6887 // exocytosis // not recorded /// 6944 // membrane fusion // traceable author statement /// 43123 // positive regulation of I-kappaB kinase/NF-kappaB cascade // inferred from mutant phenotype	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4871 // signal transducer activity // inferred from mutant phenotype /// 5198 // structural molecule activity // inferred from electronic annotation	Circadian_Exercise // GenMAPP
VAV2	vav 2 oncogene	177_33	-0.582175475	0.17044009	-0.752615565	1.684844638	yes	yes	yes	chr9:135617649-135847226 (-) // 97.63 // q34.2	NP_003362.2	NM_003371	7242 // intracellular signaling cascade // inferred from electronic annotation /// 35023 // regulation of Rho protein signal transduction // inferred from electronic annotation /// 7165 // signal transduction // traceable author statement	5622 // intracellular // inferred from electronic annotation	5089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 5085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
VEPH1	ventricular zone expressed PH domain homolog 1 (zebrafish)	334_75	-0.684175279	-0.147787214	-0.536388065	1.450336901	yes	yes	yes	chr3:158460276-158564246 (-) // 78.59 // q25.32	NP_078897.1	NM_024621	---	---	---	---
VAT1	vesicle amine transport protein 1 homolog (T californica)	93_6	-0.252119739	0.356301509	-0.608421248	1.524589925	yes	yes	yes	chr17:38420149-38427854 (-) // 96.2 // q21.31	NP_006364.2	NM_006373	16049 // cell growth // non-traceable author statement	5634 // nucleus // non-traceable author statement /// 8021 // synaptic vesicle // not recorded /// 16021 // integral to membrane // traceable author statement	3677 // DNA binding // non-traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation	---
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	350_74	-0.680909605	-0.101350912	-0.579558693	1.494392058	yes	yes	yes	chr10:114196746-114487522 (+) // 71.41 // q25.2	NP_660207.1	NM_145206	6886 // intracellular protein transport // inferred from electronic annotation /// 16192 // vesicle-mediated transport // non-traceable author statement /// 6810 // transport // inferred from electronic annotation /// 15031 // protein transport // inferred from electronic annotation /// 15031 // protein transport // non-traceable author statement	16021 // integral to membrane // inferred from electronic annotation	8565 // protein transporter activity // non-traceable author statement	---
VAMP3	vesicle-associated membrane protein 3 (cellubrevin) /// vesicle-associated membrane protein 3 (cellubrevin)	106_29	-0.390174968	0.231873081	-0.622048049	1.539058477	yes	yes	yes	chr1:7753915-7763083 (+) // 94.36 // p36.23	NP_004772.1	NM_004781	6461 // protein complex assembly // traceable author statement /// 6904 // vesicle docking during exocytosis // traceable author statement /// 6944 // membrane fusion // traceable author statement /// 16192 // vesicle-mediated transport // inferred from electronic annotation /// 6887 // exocytosis // traceable author statement	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 19717 // synaptosome // inferred from electronic annotation /// 45202 // synapse // inferred from electronic annotation /// 16021	5515 // protein binding // inferred from physical interaction	---
MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	193_2	-0.485431077	0.074686402	-0.560117479	1.474389272	yes	yes	yes	chr20:41735858-41778538 (+) // 94.4 // q13.12	NP_002457.1	NM_002466	74 // regulation of progression through cell cycle // non-traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6366 // transcription from RNA polymerase II promoter // not recorded /// 6916 // anti-apoptosis // not recorded /// 7275 // development // not recorded /// 6350 // transcription // inferred from electronic annotation /// 45449 // regulation of transcription // inferred from electronic annotation	785 // chromatin // not recorded /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 3677 // DNA binding // inferred from electronic annotation	---
BRAF	v-raf murine sarcoma viral oncogene homolog B1	129_2	0.222967178	0.855149851	-0.632182673	1.549908098	yes	yes	yes	chr7:140080757-140271033 (-) // 96.45 // q34	NP_004324.2	NM_004333	6468 // protein amino acid phosphorylation // traceable author statement /// 6916 // anti-apoptosis // traceable author statement /// 7242 // intracellular signaling cascade // inferred from electronic annotation /// 9887 // organ morphogenesis // traceable author statement /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7165 // signal transduction // inferred from electronic annotation /// 6004 // fucose metabolism // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5057 // receptor signaling protein activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 8736 // L-fucose isomerase activity // inferred from electronic annotation /// 4672 // protein kinase activity // traceable author statement	MAPK_Cascade // GenMAPP
RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	310_31	0.750451217	-0.146077576	0.896528793	1.861581518	yes	yes	yes	chr2:120726896-120768756 (+) // 97.23 // q14.2	NP_002872.1	NM_002881	7165 // signal transduction // traceable author statement /// 7264 // small GTPase mediated signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5525 // GTP binding // inferred from electronic annotation /// 5525 // GTP binding // traceable author statement	---
WDR34	WD repeat domain 34	317_61	0.571867302	-0.029113602	0.600980904	1.516747469	yes	yes	yes	chr9:130435760-130458879 (-) // 89.46 // q34.11	NP_443076.2	NM_052844	---	---	---	---
WDR48	WD repeat domain 48	340_3	0.816535648	0.255285901	0.561249747	1.475546869	yes	yes	yes	chr3:39080097-39111820 (+) // 79.51 // p22.2	NP_065890.1	NM_020839	---	5764 // lysosome // inferred from electronic annotation	---	---
