gene_assignment	Gene Symbol	RefSeq	p-value(dose)	p-value(Scan Date)	alt-splicing(dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_173482 // CCDC105 // coiled-coil domain containing 105 // 19p13.12 // 126402	CCDC105	NM_173482	0.507324	0.302682	0.0143199	0.7350456	6.08077	6.06597	6.19048	6.14322	0.64988	0.947867	-1.055	0 down vs 10
NM_153687 // IKIP // IKK interacting protein // 12q23.1 // 121457 /// NM_201612	IKIP	NM_153687	0.000960679	0.0548628	0.0143937	0.7366414	7.75395	7.76515	8.63434	8.61604	0.00140099	0.554445	-1.80361	0 down vs 10
NM_025049 // PIF1 // PIF1 5-to-3 DNA helicase homolog (S. cerevisiae) // 15q22	PIF1	NM_025049	0.0228524	0.618831	0.0145114	0.7404678	7.72665	7.71659	7.40684	7.41352	0.0323988	1.23377	1.23377	0 up vs 10
NM_145292 // GALNTL5 // UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylg	GALNTL5	NM_145292	0.530374	0.747154	0.0145764	0.7415905	4.41586	4.45545	4.32894	4.32028	0.3577	1.09822	1.09822	0 up vs 10
AY358109 // UNQ3104 // ACAH3104 // 12p13.32 // 100128816	UNQ3104	AY358109	0.533837	0.767614	0.0146445	0.7423999	7.93906	7.91036	7.74124	7.71237	0.54856	1.1471	1.1471	0 up vs 10
NM_194071 // CREB3L2 // cAMP responsive element binding protein 3-like 2 // 7q34	CREB3L2	NM_194071	0.00139132	0.0846865	0.0146784	0.7423999	9.30082	9.34008	8.8884	8.90577	0.00129944	1.35127	1.35127	0 up vs 10
NM_014555 // TRPM5 // transient receptor potential cation channel, subfamily M,	TRPM5	NM_014555	0.051076	0.0826337	0.0147761	0.7451561	6.8493	6.84139	7.04983	7.03235	0.0674654	0.876023	-1.14152	0 down vs 10
NM_015719 // COL5A3 // collagen, type V, alpha 3 // 19p13.2 // 50509 /// ENST000	COL5A3	NM_015719	0.199755	0.279578	0.0148635	0.7456269	6.7297	6.70148	6.90547	6.89159	0.184439	0.87654	-1.14085	0 down vs 10
NM_031291 // SLC25A31 // solute carrier family 25 (mitochondrial carrier; adenin	SLC25A31	NM_031291	0.757479	0.0516104	0.0148719	0.7456269	3.79228	3.80447	3.81161	3.80545	0.987972	0.999323	-1.00068	0 down vs 10
NM_138700 // TRIM40 // tripartite motif-containing 40 // 6p21.33 // 135644 /// E	TRIM40	NM_138700	0.40748	0.0153808	0.0149503	0.7457383	5.6896	5.68171	5.75145	5.74205	0.435258	0.959038	-1.04271	0 down vs 10
BC017496 // C6orf218 // chromosome 6 open reading frame 218 // 6p24.3 // 221718	C6orf218	BC017496	0.551979	0.060306	0.0149606	0.7457383	4.36708	4.32662	4.29612	4.25991	0.589467	1.04733	1.04733	0 up vs 10
NM_017594 // DIRAS2 // DIRAS family, GTP-binding RAS-like 2 // 9q22.2 // 54769 /	DIRAS2	NM_017594	0.0619232	0.250659	0.0151793	0.7544593	4.35848	4.34462	4.7521	4.75434	0.0616123	0.752771	-1.32842	0 down vs 10
NM_005559 // LAMA1 // laminin, alpha 1 // 18p11.31 // 284217 /// ENST00000389658	LAMA1	NM_005559	0.0437153	0.0181046	0.0152249	0.7545513	5.07405	5.08185	5.23909	5.24786	0.0488286	0.891307	-1.12195	0 down vs 10
NM_000384 // APOB // apolipoprotein B (including Ag(x) antigen) // 2p24-p23 // 3	APOB	NM_000384	0.338361	0.155484	0.0152766	0.7549442	4.50433	4.49576	4.5999	4.57781	0.423196	0.944717	-1.05852	0 down vs 10
NM_014788 // TRIM14 // tripartite motif-containing 14 // 9q22.33 // 9830 /// NM_	TRIM14	NM_014788	0.139056	0.00447816	0.0153851	0.7576905	7.84214	7.80167	7.7013	7.66713	0.168101	1.09774	1.09774	0 up vs 10
NM_032873 // UBASH3B // ubiquitin associated and SH3 domain containing, B // 11q	UBASH3B	NM_032873	0.00600394	0.0799944	0.0154716	0.7576905	5.48504	5.42572	6.17974	6.12085	0.00714418	0.61765	-1.61904	0 down vs 10
NM_000168 // GLI3 // GLI-Kruppel family member GLI3 // 7p13 // 2737 /// ENST0000	GLI3	NM_000168	0.152838	0.0647289	0.0154832	0.7576905	4.40358	4.41255	4.53792	4.52919	0.220552	0.922332	-1.08421	0 down vs 10
NM_001083335 // ZFP112 // zinc finger protein 112 homolog (mouse) // 19q13.2 //	ZFP112	NM_001083335	0.768635	0.184791	0.0155079	0.7576905	3.88404	3.89199	3.93611	3.92762	0.846095	0.975607	-1.025	0 down vs 10
NM_002413 // MGST2 // microsomal glutathione S-transferase 2 // 4q28.3 // 4258 /	MGST2	NM_002413	0.981283	0.0528949	0.0155942	0.7597547	8.92314	8.90643	8.93184	8.93622	0.938437	0.979558	-1.02087	0 down vs 10
NM_022893 // BCL11A // B-cell CLL/lymphoma 11A (zinc finger protein) // 2p16.1 /	BCL11A	NM_022893	0.0565759	0.00214927	0.0158994	0.7714835	6.68076	6.61147	6.35981	6.31	0.0772493	1.2324	1.2324	0 up vs 10
NM_002699 // POU3F1 // POU class 3 homeobox 1 // 1p34.1 // 5453 /// ENST00000373	POU3F1	NM_002699	0.454367	0.0396668	0.0159244	0.7714835	8.23977	8.266	8.12385	8.15905	0.504355	1.07695	1.07695	0 up vs 10
NM_004752 // GCM2 // glial cells missing homolog 2 (Drosophila) // 6p23 // 9247	GCM2	NM_004752	0.486136	0.0324757	0.0159862	0.7723081	5.29839	5.31515	5.40146	5.37847	0.676301	0.957059	-1.04487	0 down vs 10
NM_024025 // DUSP26 // dual specificity phosphatase 26 (putative) // 8p12 // 789	DUSP26	NM_024025	0.300298	0.40116	0.0160537	0.7734027	5.76246	5.72842	5.92245	5.92611	0.226455	0.87195	-1.14685	0 down vs 10
BC104018 // FLJ32214 // hypothetical LOC147664 // 19q13.41 // 147664 /// BC10402	FLJ32214	BC104018	0.0606753	0.304246	0.0161928	0.777931	4.75177	4.75815	5.00807	5.00751	0.0742808	0.841268	-1.18868	0 down vs 10
NM_001004472 // OR10R2 // olfactory receptor, family 10, subfamily R, member 2 /	OR10R2	NM_001004472	0.571873	0.446561	0.0163293	0.7823095	3.45489	3.42738	3.37076	3.36199	0.670503	1.04637	1.04637	0 up vs 10
NM_052950 // WDFY2 // WD repeat and FYVE domain containing 2 // 13q14.3 // 11582	WDFY2	NM_052950	0.770654	0.208731	0.0166257	0.7916373	7.6048	7.55216	7.65184	7.6304	0.642725	0.947211	-1.05573	0 down vs 10
NM_001305 // CLDN4 // claudin 4 // 7q11.23 // 1364 /// ENST00000340958 // CLDN4	CLDN4	NM_001305	0.984018	0.232314	0.0166571	0.7916373	4.9768	4.96491	4.9808	4.95192	0.950106	1.00904	1.00904	0 up vs 10
NM_032153 // ZIC4 // Zic family member 4 // 3q24 // 84107 /// ENST00000383075 //	ZIC4	NM_032153	0.526656	0.0718139	0.0166617	0.7916373	5.96245	5.95377	6.02991	6.00917	0.614562	0.96233	-1.03914	0 down vs 10
NM_012071 // COMMD3 // COMM domain containing 3 // 10pter-q22.1 // 23412 /// ENS	COMMD3	NM_012071	0.0994086	0.0413373	0.0168033	0.7961717	9.26681	9.24197	9.10042	9.06014	0.0864984	1.13433	1.13433	0 up vs 10
NM_032151 // PCBD2 // pterin-4 alpha-carbinolamine dehydratase/dimerization cofa	PCBD2	NM_032151	0.0122878	0.43146	0.0171037	0.808185	7.28386	7.25391	6.98899	6.9921	0.0233779	1.19899	1.19899	0 up vs 10
NM_005067 // SIAH2 // seven in absentia homolog 2 (Drosophila) // 3q25 // 6478 /	SIAH2	NM_005067	0.249398	0.221832	0.0172126	0.8095798	9.67211	9.6381	9.47707	9.45975	0.304752	1.13159	1.13159	0 up vs 10
NM_003840 // TNFRSF10D // tumor necrosis factor receptor superfamily, member 10d	TNFRSF10D	NM_003840	0.021001	0.265875	0.0172271	0.8095798	7.5838	7.47868	8.66934	8.55623	0.025116	0.473832	-2.11045	0 down vs 10
NM_000788 // DCK // deoxycytidine kinase // 4q13.3-q21.1 // 1633 /// ENST0000028	DCK	NM_000788	0.00326031	0.0742039	0.017352	0.8100511	7.74117	7.76766	7.33061	7.34195	0.00329609	1.34324	1.34324	0 up vs 10
NM_152394 // C3orf44 // chromosome 3 open reading frame 44 // 3q25.1 // 131831 /	C3orf44	NM_152394	0.044209	0.0139196	0.0173551	0.8100511	4.29611	4.27732	4.14234	4.13202	0.0604787	1.10596	1.10596	0 up vs 10
NM_003762 // VAMP4 // vesicle-associated membrane protein 4 // 1q24-q25 // 8674	VAMP4	NM_003762	0.024467	0.597709	0.0174045	0.8100511	6.97765	6.96641	6.69139	6.66522	0.0233219	1.23215	1.23215	0 up vs 10
NM_144645 // C4orf36 // chromosome 4 open reading frame 36 // 4q21.3 // 132989 /	C4orf36	NM_144645	0.66514	0.0775049	0.017425	0.8100511	5.16435	5.17222	5.19584	5.18248	0.891307	0.992918	-1.00713	0 down vs 10
NM_145803 // TRAF6 // TNF receptor-associated factor 6 // 11p12 // 7189 /// NM_0	TRAF6	NM_145803	0.211074	0.0132673	0.0179975	0.8297275	8.08953	8.0834	7.94496	7.94927	0.25793	1.09743	1.09743	0 up vs 10
NM_025144 // ALPK1 // alpha-kinase 1 // 4q25 // 80216 /// NM_001102406 // ALPK1	ALPK1	NM_025144	0.0123968	0.000729716	0.0180345	0.8297275	8.24862	8.25126	7.93058	7.96493	0.0223294	1.21954	1.21954	0 up vs 10
NM_005141 // FGB // fibrinogen beta chain // 4q28 // 2244 /// ENST00000302068 //	FGB	NM_005141	0.540713	0.151591	0.0180573	0.8297275	4.47927	4.47194	4.41234	4.3721	0.387952	1.07165	1.07165	0 up vs 10
NM_001800 // CDKN2D // cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	CDKN2D	NM_001800	0.208757	0.162386	0.0180855	0.8297275	8.35526	8.30045	8.18454	8.14592	0.265999	1.11305	1.11305	0 up vs 10
BC037207 // FAM160B1 // family with sequence similarity 160, member B1 // 10q25.	FAM160B1	BC037207	0.257762	0.315346	0.0180888	0.8297275	7.84567	7.85367	7.67244	7.68109	0.275901	1.12707	1.12707	0 up vs 10
NM_002463 // MX2 // myxovirus (influenza virus) resistance 2 (mouse) // 21q22.3	MX2	NM_002463	0.0543221	0.00101718	0.0182095	0.8329891	9.81853	9.94823	9.53789	9.67668	0.0680432	1.20711	1.20711	0 up vs 10
NM_006998 // SCGN // secretagogin, EF-hand calcium binding protein // 6p22.3-p22	SCGN	NM_006998	0.0567587	0.00938402	0.0182729	0.8329891	4.79977	4.79684	4.97637	4.9802	0.0569256	0.880652	-1.13552	0 down vs 10
NM_178518 // TMEM102 // transmembrane protein 102 // 17p13.1 // 284114 /// ENST0	TMEM102	NM_178518	0.0197365	0.365116	0.0183048	0.8329891	7.91421	7.88794	7.68519	7.6798	0.0329659	1.1552	1.1552	0 up vs 10
NM_006919 // SERPINB3 // serpin peptidase inhibitor, clade B (ovalbumin), member	SERPINB3	NM_006919	0.186124	0.684293	0.0185411	0.8387686	3.32417	3.31116	3.50858	3.50008	0.191575	0.877259	-1.13991	0 down vs 10
BC031958 // C15orf50 // chromosome 15 open reading frame 50 // --- // 414926	C15orf50	BC031958	0.567435	0.224223	0.0185736	0.8387686	5.93062	5.91258	6.0186	5.99335	0.612352	0.945552	-1.05758	0 down vs 10
NM_020179 // C11orf75 // chromosome 11 open reading frame 75 // 11q13.3-q23.3 //	C11orf75	NM_020179	0.0486194	0.000465932	0.0185777	0.8387686	8.90028	8.77057	8.53889	8.44289	0.0748054	1.25499	1.25499	0 up vs 10
NM_021572 // ENPP5 // ectonucleotide pyrophosphatase/phosphodiesterase 5 (putati	ENPP5	NM_021572	0.308943	0.0106294	0.0186302	0.8389427	4.54864	4.61037	4.40813	4.45044	0.269205	1.11723	1.11723	0 up vs 10
NM_022353 // OSGEPL1 // O-sialoglycoprotein endopeptidase-like 1 // 2q32.2 // 64	OSGEPL1	NM_022353	0.0755712	0.672153	0.0187421	0.8397822	7.03891	7.05947	6.62999	6.66746	0.0951415	1.31222	1.31222	0 up vs 10
NM_016438 // HIGD1B // HIG1 domain family, member 1B // 17q21.31 // 51751 /// EN	HIGD1B	NM_016438	0.508095	0.132809	0.0187817	0.8397822	5.29941	5.34324	5.21937	5.24075	0.419314	1.07363	1.07363	0 up vs 10
NM_001004745 // OR5T1 // olfactory receptor, family 5, subfamily T, member 1 //	OR5T1	NM_001004745	0.914089	0.305406	0.0188178	0.8397822	2.65114	2.66421	2.66232	2.67298	0.935098	0.993942	-1.00609	0 down vs 10
NM_016203 // PRKAG2 // protein kinase, AMP-activated, gamma 2 non-catalytic subu	PRKAG2	NM_016203	0.239046	0.025323	0.0188681	0.8397822	6.94414	6.95985	6.84721	6.8656	0.267208	1.06751	1.06751	0 up vs 10
NM_144715 // EFHB // EF-hand domain family, member B // 3p24.3 // 151651 /// ENS	EFHB	NM_144715	0.657479	0.363551	0.0188923	0.8397822	3.78918	3.81117	3.73476	3.71985	0.480009	1.06534	1.06534	0 up vs 10
NM_153747 // PIGC // phosphatidylinositol glycan anchor biosynthesis, class C //	PIGC	NM_153747	0.124249	0.00985083	0.0191509	0.8490521	7.18274	7.15843	7.32365	7.29988	0.135171	0.906607	-1.10301	0 down vs 10
NM_002868 // RAB5B // RAB5B, member RAS oncogene family // 12q13 // 5869 /// ENS	RAB5B	NM_002868	0.680794	0.249552	0.0191993	0.8490521	8.95907	8.95532	8.8879	8.86432	0.614125	1.06511	1.06511	0 up vs 10
NM_000359 // TGM1 // transglutaminase 1 (K polypeptide epidermal type I, protein	TGM1	NM_000359	0.0077274	0.0776938	0.0193428	0.8532104	6.21323	6.23234	6.6148	6.60578	0.0125898	0.77194	-1.29544	0 down vs 10
BC034422 // C1orf190 // chromosome 1 open reading frame 190 // 1p34 // 541468 //	C1orf190	BC034422	0.913001	0.468134	0.0194878	0.8560334	7.17915	7.17991	7.20508	7.15817	0.929764	1.01518	1.01518	0 up vs 10
---		---	0.302187	0.761247	0.0195449	0.8560334	4.64584	4.67275	4.38483	4.39236	0.287642	1.21452	1.21452	0 up vs 10
NM_173666 // DTWD2 // DTW domain containing 2 // 5q23.1 // 285605 /// ENST000003	DTWD2	NM_173666	0.017308	0.212037	0.0195557	0.8560334	6.8169	6.85236	6.20159	6.24637	0.0214743	1.52202	1.52202	0 up vs 10
NM_020726 // NLN // neurolysin (metallopeptidase M3 family) // 5q12.3 // 57486 /	NLN	NM_020726	0.000694747	0.00028867	0.0197265	0.8605382	7.65149	7.6705	7.39501	7.4058	0.000720785	1.20139	1.20139	0 up vs 10
NM_005428 // VAV1 // vav 1 guanine nucleotide exchange factor // 19p13.2 // 7409	VAV1	NM_005428	0.0837057	0.22359	0.0197584	0.8605382	8.54779	8.56007	8.26525	8.32534	0.148783	1.17668	1.17668	0 up vs 10
NM_003284 // TNP1 // transition protein 1 (during histone to protamine replaceme	TNP1	NM_003284	0.283858	0.21892	0.0198535	0.861557	6.05042	6.08224	5.82821	5.81748	0.225966	1.20144	1.20144	0 up vs 10
NM_173623 // TTLL6 // tubulin tyrosine ligase-like family, member 6 // 17q21.32	TTLL6	NM_173623	0.0516699	0.152531	0.0198817	0.861557	5.12897	5.11075	5.41206	5.38837	0.0622598	0.824949	-1.2122	0 down vs 10
NM_144670 // A2ML1 // alpha-2-macroglobulin-like 1 // 12p13.31 // 144568 /// ENS	A2ML1	NM_144670	0.050298	0.225557	0.0200125	0.8650516	3.12964	3.0984	3.3462	3.3267	0.0479506	0.853639	-1.17146	0 down vs 10
NM_138278 // BNIPL // BCL2/adenovirus E1B 19kD interacting protein like // 1q21.	BNIPL	NM_138278	0.22895	0.0316871	0.0203492	0.8774066	5.57029	5.58619	5.67338	5.66382	0.369273	0.947613	-1.05528	0 down vs 10
NM_000896 // CYP4F3 // cytochrome P450, family 4, subfamily F, polypeptide 3 //	CYP4F3	NM_000896	0.400589	0.582523	0.020487	0.8785613	4.61549	4.56163	5.05359	5.03411	0.384134	0.720722	-1.3875	0 down vs 10
NM_014940 // MON1B // MON1 homolog B (yeast) // 16q23.1 // 22879 /// ENST0000024	MON1B	NM_014940	0.868476	0.116872	0.0205209	0.8785613	7.62825	7.62919	7.65008	7.6596	0.824461	0.979141	-1.0213	0 down vs 10
AF143236 // C17orf88 // chromosome 17 open reading frame 88 // 17q21.31 // 23591	C17orf88	AF143236	0.786371	0.529826	0.0205288	0.8785613	7.25572	7.25123	7.29701	7.29972	0.759656	0.966953	-1.03418	0 down vs 10
NM_002047 // GARS // glycyl-tRNA synthetase // 7p15 // 2617 /// ENST00000389266	GARS	NM_002047	0.153632	0.675262	0.0206462	0.8813985	8.24013	8.27284	8.52277	8.53246	0.199068	0.835308	-1.19716	0 down vs 10
NM_001965 // EGR4 // early growth response 4 // 2p13 // 1961 /// ENST00000258092	EGR4	NM_001965	0.856724	0.231133	0.0208906	0.88963	7.50927	7.49626	7.47846	7.46753	0.871286	1.02011	1.02011	0 up vs 10
NM_005375 // MYB // v-myb myeloblastosis viral oncogene homolog (avian) // 6q22-	MYB	NM_005375	0.0136153	0.0214095	0.0209986	0.8920267	9.52828	9.52026	9.03977	8.98135	0.0105375	1.45287	1.45287	0 up vs 10
NM_152400 // C4orf32 // chromosome 4 open reading frame 32 // 4q25 // 132720 ///	C4orf32	NM_152400	0.564875	0.607879	0.0211343	0.8955854	8.63367	8.58978	8.50496	8.49329	0.675824	1.06917	1.06917	0 up vs 10
ENST00000397369 // HSH2D // hematopoietic SH2 domain containing // 19p13.11 // 8	HSH2D	ENST00000397369	0.00614359	0.0115459	0.0212331	0.897231	8.71166	8.74857	8.41531	8.43642	0.00577256	1.24155	1.24155	0 up vs 10
NM_138790 // PLD4 // phospholipase D family, member 4 // 14q32.33 // 122618 ///	PLD4	NM_138790	0.525991	0.0550279	0.0212907	0.897231	7.30086	7.25317	7.39548	7.35054	0.529939	0.93474	-1.06982	0 down vs 10
NM_003841 // TNFRSF10C // tumor necrosis factor receptor superfamily, member 10c	TNFRSF10C	NM_003841	0.00888312	0.407297	0.0213292	0.897231	6.33401	6.2872	7.77961	7.65286	0.0134392	0.388058	-2.57693	0 down vs 10
NM_182541 // TMEM31 // transmembrane protein 31 // Xq22.2 // 203562 /// ENST0000	TMEM31	NM_182541	0.039177	0.114205	0.0214722	0.9010487	4.91673	4.85233	5.36099	5.28715	0.0481423	0.739787	-1.35174	0 down vs 10
NM_003869 // CES2 // carboxylesterase 2 (intestine, liver) // 16q22.1 // 8824 //	CES2	NM_003869	0.000221981	0.142138	0.0215628	0.9026544	7.80025	7.79395	8.20823	8.18401	0.000351152	0.763099	-1.31045	0 down vs 10
NM_005276 // GPD1 // glycerol-3-phosphate dehydrogenase 1 (soluble) // 12q12-q13	GPD1	NM_005276	0.945769	0.423034	0.0217479	0.9081986	6.14053	6.12599	6.14652	6.15516	0.75086	0.979984	-1.02042	0 down vs 10
NM_007157 // ZXDB // zinc finger, X-linked, duplicated B // Xp11.21 // 158586 //	ZXDB	NM_007157	0.431192	0.732972	0.0219904	0.9159717	5.35874	5.34589	5.43657	5.43427	0.392217	0.94058	-1.06317	0 down vs 10
NM_016585 // THEG // Theg homolog (mouse) // 19pter-p13 // 51298 /// NM_199202 /	THEG	NM_016585	0.107818	0.507521	0.0221041	0.9159717	5.64207	5.62066	5.93894	5.91982	0.116727	0.812721	-1.23043	0 down vs 10
NM_198458 // ZNF497 // zinc finger protein 497 // 19q13.43 // 162968 /// ENST000	ZNF497	NM_198458	0.485708	0.314846	0.0221954	0.9159717	6.45855	6.43999	6.5889	6.60526	0.399802	0.891764	-1.12137	0 down vs 10
NM_015492 // C15orf39 // chromosome 15 open reading frame 39 // 15q24.2 // 56905	C15orf39	NM_015492	0.19898	0.521638	0.0222476	0.9159717	9.24306	9.24003	9.0153	8.99076	0.179259	1.18861	1.18861	0 up vs 10
NM_145016 // GLYATL2 // glycine-N-acyltransferase-like 2 // 11q12.1 // 219970 //	GLYATL2	NM_145016	0.111698	0.094999	0.0222887	0.9159717	3.46679	3.46774	3.28926	3.29553	0.132625	1.12679	1.12679	0 up vs 10
BC004224 // C11orf76 // chromosome 11 open reading frame 76 // 11q13.3 // 220070	C11orf76	BC004224	0.0868129	0.352694	0.0222945	0.9159717	6.53231	6.50785	6.82259	6.80313	0.0921872	0.814919	-1.22712	0 down vs 10
NM_001077243 // GRIA4 // glutamate receptor, ionotrophic, AMPA 4 // 11q22 // 289	GRIA4	NM_001077243	0.176352	0.201335	0.0223058	0.9159717	4.59181	4.57097	4.68843	4.66447	0.203563	0.937244	-1.06696	0 down vs 10
AF258593 // LOC201175 // hypothetical protein LOC201175 // 17q21.31 // 201175 //	LOC201175	AF258593	0.364253	0.844135	0.0223873	0.916574	6.37348	6.37856	6.55227	6.56025	0.37422	0.88167	-1.13421	0 down vs 10
NM_001014279 // C5orf39 // chromosome 5 open reading frame 39 // 5p12 // 389289	C5orf39	NM_001014279	0.228324	0.0925587	0.0224602	0.916574	5.12698	5.14824	4.96537	4.97376	0.21285	1.12856	1.12856	0 up vs 10
NM_007021 // C10orf10 // chromosome 10 open reading frame 10 // 10q11.21 // 1106	C10orf10	NM_007021	0.0666273	0.591897	0.0224799	0.916574	7.27871	7.34877	7.91329	7.95509	0.0854531	0.656872	-1.52237	0 down vs 10
NM_024036 // LRFN4 // leucine rich repeat and fibronectin type III domain contai	LRFN4	NM_024036	0.26743	0.206258	0.0226214	0.919123	7.58935	7.58659	7.79332	7.78032	0.306647	0.87434	-1.14372	0 down vs 10
NM_001973 // ELK4 // ELK4, ETS-domain protein (SRF accessory protein 1) // 1q32	ELK4	NM_001973	0.0574558	0.000761285	0.022649	0.919123	9.00902	9.05195	8.91879	8.94477	0.0365262	1.07712	1.07712	0 up vs 10
NM_018188 // ATAD3A // ATPase family, AAA domain containing 3A // 1p36.33 // 552	ATAD3A	NM_018188	0.869235	0.297869	0.0227047	0.9192206	9.02964	9.02358	9.05272	9.08065	0.696847	0.961211	-1.04035	0 down vs 10
NM_004734 // DCLK1 // doublecortin-like kinase 1 // 13q13 // 9201 /// ENST000002	DCLK1	NM_004734	0.190635	0.911047	0.0229666	0.9276463	4.38597	4.37186	4.59661	4.60424	0.168422	0.85123	-1.17477	0 down vs 10
NM_001114735 // BCL2A1 // BCL2-related protein A1 // 15q24.3 // 597 /// NM_00404	BCL2A1	NM_001114735	0.00568867	0.000198757	0.0232741	0.9378701	10.5646	10.5368	10.2985	10.3007	0.0115621	1.1778	1.1778	0 up vs 10
NM_018304 // PRR11 // proline rich 11 // 17q22 // 55771 /// ENST00000262293 // P	PRR11	NM_018304	0.00314013	0.0765776	0.0234247	0.9417385	8.28761	8.32172	7.4613	7.50339	0.00396668	1.76336	1.76336	0 up vs 10
NM_024560 // ACSS3 // acyl-CoA synthetase short-chain family member 3 // 12q21.3	ACSS3	NM_024560	0.0112396	0.61177	0.0237776	0.953703	4.28814	4.27391	4.54301	4.52928	0.0131446	0.837774	-1.19364	0 down vs 10
NM_001237 // CCNA2 // cyclin A2 // 4q25-q31 // 890 /// ENST00000274026 // CCNA2	CCNA2	NM_001237	2.38E-05	0.00259106	0.0238751	0.9553918	9.84204	9.85419	9.04535	9.05166	2.84E-05	1.74416	1.74416	0 up vs 10
NM_001001555 // GRB10 // growth factor receptor-bound protein 10 // 7p12-p11.2 /	GRB10	NM_001001555	0.258968	0.111963	0.0239323	0.9554638	5.63339	5.65375	5.75387	5.75907	0.334699	0.929599	-1.07573	0 down vs 10
NM_023039 // ANKRA2 // ankyrin repeat, family A (RFXANK-like), 2 // 5q12-q13 //	ANKRA2	NM_023039	0.00257363	0.429851	0.0241768	0.959391	8.00327	7.95653	9.06767	9.02611	0.00303784	0.476455	-2.09884	0 down vs 10
NM_144488 // RGS3 // regulator of G-protein signaling 3 // 9q32 // 5998 /// NM_1	RGS3	NM_144488	0.62391	0.106947	0.0242049	0.959391	7.24323	7.23894	7.21615	7.20744	0.58418	1.02207	1.02207	0 up vs 10
NM_002283 // KRT85 // keratin 85 // 12q13 // 3891 /// ENST00000257901 // KRT85 /	KRT85	NM_002283	0.746531	0.645865	0.0242494	0.959391	5.44644	5.44712	5.3952	5.38838	0.721689	1.04156	1.04156	0 up vs 10
NM_024310 // PLEKHF1 // pleckstrin homology domain containing, family F (with FY	PLEKHF1	NM_024310	0.00861042	0.0361614	0.0242613	0.959391	8.26662	8.24789	8.94117	8.9579	0.00813264	0.611319	-1.63581	0 down vs 10
NM_001006605 // FAM69A // family with sequence similarity 69, member A // 1p22.1	FAM69A	NM_001006605	0.036117	0.130961	0.0243088	0.959391	7.70913	7.66759	7.21735	7.15597	0.0359782	1.42565	1.42565	0 up vs 10
NM_004172 // SLC1A3 // solute carrier family 1 (glial high affinity glutamate tr	SLC1A3	NM_004172	0.339542	0.000236675	0.0245241	0.9656784	5.31955	5.35211	5.40035	5.42221	0.419749	0.952572	-1.04979	0 down vs 10
NM_014349 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_030644 // A	APOL3	NM_014349	0.517234	0.00345465	0.0246598	0.96881	6.47572	6.54755	6.40937	6.4884	0.576737	1.04185	1.04185	0 up vs 10
NM_198544 // APITD1 // apoptosis-inducing, TAF9-like domain 1 // 1p36.22 // 3787	APITD1	NM_198544	0.911601	0.0281155	0.0249002	0.9740185	7.08632	7.05865	7.09923	7.07332	0.903389	0.989882	-1.01022	0 down vs 10
NM_018098 // ECT2 // epithelial cell transforming sequence 2 oncogene // 3q26.1-	ECT2	NM_018098	0.000746451	0.34701	0.0249094	0.9740185	8.14092	8.14015	7.09505	7.09781	0.0009312	2.05956	2.05956	0 up vs 10
NM_003557 // PIP5K1A // phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	PIP5K1A	NM_003557	0.0255567	0.0239082	0.0249618	0.9740185	4.68459	4.74273	4.37017	4.40421	0.0222844	1.26445	1.26445	0 up vs 10
NM_001557 // IL8RB // interleukin 8 receptor, beta // 2q35 // 3579 /// ENST00000	IL8RB	NM_001557	0.00266071	0.0128974	0.0250833	0.9761297	4.70593	4.70648	5.28529	5.28713	0.00318	0.668661	-1.49553	0 down vs 10
NM_003725 // HSD17B6 // hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)	HSD17B6	NM_003725	0.274424	0.137686	0.0251291	0.9761297	4.38251	4.35219	4.53028	4.50362	0.280491	0.900356	-1.11067	0 down vs 10
NM_001048212 // CEMP1 // cementum protein 1 // 16p13.3 // 752014 /// ENST0000038	CEMP1	NM_001048212	0.147748	0.371629	0.025218	0.9762572	6.09013	6.10569	6.44848	6.43445	0.192899	0.796223	-1.25593	0 down vs 10
NM_021077 // NMB // neuromedin B // 15q22-qter // 4828 /// NM_205858 // NMB // n	NMB	NM_021077	0.476262	0.117865	0.0252795	0.9762572	6.45091	6.45897	6.56896	6.58643	0.460023	0.915441	-1.09237	0 down vs 10
NM_207426 // FOXI2 // forkhead box I2 // 10q26.2 // 399823 /// ENST00000388920 /	FOXI2	NM_207426	0.108397	0.214124	0.0253253	0.9762572	7.13315	7.13598	7.34326	7.35875	0.102818	0.856922	-1.16697	0 down vs 10
NM_003956 // CH25H // cholesterol 25-hydroxylase // 10q23 // 9023 /// ENST000003	CH25H	NM_003956	0.715593	0.502772	0.0253588	0.9762572	5.02229	5.01379	5.09344	5.06558	0.797993	0.964739	-1.03655	0 down vs 10
NM_000617 // SLC11A2 // solute carrier family 11 (proton-coupled divalent metal	SLC11A2	NM_000617	0.321238	0.29436	0.025716	0.9808604	6.9145	6.9227	6.73853	6.73431	0.308062	1.13949	1.13949	0 up vs 10
