probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
Gga.19411.1.A1_at		Transcribed locus	AL587632		-1.29	-3.423	0.029231
Gga.644.1.S1_at	ACTG2	actin, gamma 2, smooth muscle, enteric	NM_205172.1	396084	-1.3	-5.886	0.005098
GgaAffx.20596.1.S1_at		Finished cDNA, clone ChEST698h14	CR524019.1		-1.3	-5.233	0.017925
Gga.7661.1.S1_at		Finished cDNA, clone ChEST764i18	BX262508		-1.3	-8.74	0.011704
Gga.11833.1.S1_at	RWDD3	RWD domain containing 3	BX932873.2	424481	-1.3	-3.905	0.018168
Gga.16008.1.S1_at		Finished cDNA, clone ChEST487g3	CR387455.1		-1.3	-4.358	0.040375
Gga.16990.1.S1_at		Finished cDNA, clone ChEST698j4	BU447800		-1.3	-5.138	0.006829
Gga.18410.1.A1_at		Finished cDNA, clone ChEST784l21	BU392437		-1.3	-4.236	0.028941
Gga.14016.1.S1_at		Finished cDNA, clone ChEST61a6	BU106879		-1.3	-4.305	0.024705
Gga.7492.2.A1_at		Finished cDNA, clone ChEST47i20	BX934127.2		-1.3	-3.743	0.020264
GgaAffx.6679.4.S1_s_at	LOC422535	similar to nephronectin short	ENSGALT00000017196.1	422535	-1.3	-5.383	0.010766
GgaAffx.21269.1.S1_s_at		Finished cDNA, clone ChEST578k10	CR523346.1		-1.31	-4.103	0.029311
Gga.19402.1.S1_at		Finished cDNA, clone ChEST898d20	CR407239.1		-1.31	-3.382	0.040733
GgaAffx.23256.1.S1_at	LOC428901	similar to KIAA0405	ENSGALT00000017230.1	428901	-1.31	-5.554	0.008594
Gga.8904.1.S1_at		Transcribed locus	BU483719		-1.31	-5.774	0.004482
GgaAffx.21055.1.S1_at		Finished cDNA, clone ChEST864d18	CR523560.1		-1.32	-6.828	0.011936
Gga.8935.1.S1_at	LOC417173	similar to Rap guanine nucleotide exchange factor (GEF) 1	CD736424	417173	-1.32	-7.321	0.003602
Gga.14764.1.S1_at		Finished cDNA, clone ChEST108i11	BU323730		-1.33	-14.144	0.000149
GgaAffx.12873.1.S1_at	RCJMB04_25e3	spermatid perinuclear RNA binding protein	AJ720770	417105	-1.33	-10.547	0.002776
Gga.4955.1.S1_at	FRZB	frizzled-related protein	NM_204772.1	395545	-1.34	-10.12	0.000569
Gga.4856.1.S1_s_at	PMP22	peripheral myelin protein 22	CF249767	417327	-1.34	-3.038	0.045137
Gga.14372.1.S1_at		Finished cDNA, clone ChEST78g23	BU289920		-1.34	-5.313	0.011488
Gga.8935.2.S1_s_at	LOC417173	similar to Rap guanine nucleotide exchange factor (GEF) 1	BI064569	417173	-1.34	-3.883	0.018379
GgaAffx.7330.2.S1_s_at	RCJMB04_4h22	SCY1-like 2 (S. cerevisiae)	ENSGALT00000018870.1	417930	-1.34	-3.772	0.025009
GgaAffx.22984.1.S1_x_at	LOC396243	Collagen alpha 2(I) chain precursor /// Finished cDNA, clone ChEST216o6	ENSGALT00000015666.1	396243	-1.34	-3.058	0.042401
GgaAffx.10199.1.A1_at			ENSGALT00000025797.1		-1.34	-6.093	0.006444
GgaAffx.20330.1.S1_at	LOC426050	similar to KIAA0802 protein	CR524285.1	426050	-1.35	-3.881	0.038677
Gga.8200.1.S1_s_at		Finished cDNA, clone ChEST893e13	BU391632		-1.35	-3.028	0.039634
Gga.17342.1.S1_at		Finished cDNA, clone ChEST845e14	CR388632.1		-1.36	-5.439	0.010226
GgaAffx.13012.1.S1_at	RCJMB04_29k9	ADP-ribosylation factor-like 6	AJ720909	418433	-1.36	-7.255	0.002151
Gga.1438.1.S1_at		Finished cDNA, clone ChEST364n9	BU393127		-1.37	-10.759	0.001032
Gga.10972.1.S1_at	LOC420315	Similar to alpha 1 type XXII collagen	BX931481.2	420315	-1.37	-5.315	0.012676
Gga.552.1.S1_at	DIO3	deiodinase, iodothyronine, type III	Y11273.1	395939	-1.37	-3.644	0.024437
GgaAffx.11918.1.S1_s_at	MXD4	MAX dimerization protein 4	AJ719815	422890	-1.37	-4.393	0.011986
Gga.5648.2.S1_a_at		Finished cDNA, clone ChEST653l2	CR387751.1		-1.38	-4.948	0.029409
Gga.6610.1.S1_at		Finished cDNA, clone ChEST357k15	BX260590		-1.38	-5.417	0.013516
Gga.16844.2.S1_at	COL3A1	alpha 1 type III collagen	BU413584	396340	-1.38	-4.971	0.037376
Gga.12856.1.S1_at	LOC422034	similar to MGC83195 protein	BU353303	422034	-1.38	-6.042	0.005115
GgaAffx.24388.1.S1_at	LOC418256	similar to Microfibrillar associated protein 5	ENSGALT00000023092.1	418256	-1.38	-5.143	0.031528
Gga.7895.1.S1_at		Finished cDNA, clone ChEST323a9	BX273550		-1.39	-9.327	0.006852
Gga.10033.1.S1_at	LOC419240	similar to contains transmembrane (TM) region	BU273180	419240	-1.39	-4.172	0.015405
Gga.5620.2.S1_a_at	LOC421576	similar to PACRG	BX933846.2	421576	-1.39	-6.599	0.004993
Gga.17936.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU458704	396332	-1.39	-4.082	0.016496
Gga.11602.1.S1_at		Transcribed locus	CK609063		-1.39	-9.292	0.002202
NC-002188.CDS138.S1_at		NC-002188.CDS138			-1.4	-5.054	0.007399
Gga.4286.1.S1_at	LOC395288	hemopexin	M37319.1	395288	-1.4	-6.683	0.020769
Gga.14231.1.S1_at		Finished cDNA, clone ChEST120d6	BU386534		-1.4	-4.944	0.007798
Gga.11429.1.S1_s_at	LOC418903	similar to KIAA0369	CN226581	418903	-1.4	-3.539	0.030434
GgaAffx.24928.1.S1_s_at	LOC418592	hypothetical LOC418592	ENSGALT00000026305.1	418592	-1.4	-5.351	0.018464
Gga.17661.1.S1_s_at		Finished cDNA, clone ChEST908h8	BU208365		-1.41	-5.027	0.016609
Gga.11900.1.S1_at	LOC424451	similar to niban protein	BU261686	424451	-1.41	-5.101	0.035244
Gga.19204.1.S1_at		Finished cDNA, clone ChEST979f12	BU352631		-1.41	-4.889	0.009237
GgaAffx.11795.1.S1_s_at	RCJMB04_5f12	APAF1 interacting protein	AJ719692	428860	-1.41	-8.023	0.004656
GgaAffx.1812.1.S1_at		Transcribed locus	ENSGALT00000004419.1		-1.41	-8.078	0.001277
Gga.2731.1.S1_at		Finished cDNA, clone ChEST793k15	CR391586.1		-1.42	-12.419	0.000471
Gga.4728.1.S1_at	LOC395778	hypothetical protein LOC395778	CF250676	395778	-1.42	-5.029	0.008711
Gga.13036.1.S1_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	BU107547	422719	-1.42	-12.94	0.001479
GgaAffx.23427.1.S1_at	SIPA1L2	Signal-induced proliferation-associated 1 like 2	ENSGALT00000017961.1	421523	-1.42	-3.832	0.020707
GgaAffx.12757.1.S1_s_at	RCJMB04_22n21	ral guanine nucleotide dissociation stimulator-like 1	AJ720654	424446	-1.43	-6.362	0.003947
Gga.12194.1.S1_at		Finished cDNA, clone ChEST592n10	BX931504.2		-1.43	-4.407	0.020982
GgaAffx.23229.1.S1_s_at		Transcribed locus, weakly similar to XP_576357.1  similar to hephaestin [Rattus norvegicus] /// Finished cDNA, clone ChEST964a4 /// Transcribed locus, weakly similar to NP_579838.1  [Rattus norvegicus]	ENSGALT00000016991.1		-1.43	-3.673	0.044115
Gga.8072.1.S1_s_at	RCJMB04_20e4	zinc finger, CCHC domain containing 6	BU487018	427463	-1.43	-5.603	0.007603
Gga.15614.1.S1_a_at	PTK2	PTK2 protein tyrosine kinase 2	NM_205435.1	396416	-1.44	-3.508	0.025481
Gga.12110.2.S1_a_at	OLFM3	olfactomedin 3	BU350228	424461	-1.44	-7.322	0.006099
Gga.2906.1.S1_at	RCJMB04_3k20	Similar to taurine transporter	BU304140	416041	-1.44	-8.78	0.011996
GgaAffx.20345.1.S1_s_at		Finished cDNA, clone ChEST910h16	CR524270.1		-1.45	-8.79	0.006231
GgaAffx.20554.1.S1_at		Finished cDNA, clone ChEST1021m21	CR524061.1		-1.45	-8.391	0.001983
Gga.15420.1.S1_at	SIPA1L2	signal-induced proliferation-associated 1 like 2	BU402639	421523	-1.45	-10.449	0.006913
Gga.20062.1.S1_s_at	SIPA1L2	signal-induced proliferation-associated 1 like 2	BU394425	421523	-1.45	-8.657	0.006895
Gga.322.1.S1_at	SPRY1	sprouty 1 protein	BU283046	395583	-1.45	-8.762	0.001007
GgaAffx.6053.1.S1_at			ENSGALT00000015706.1		-1.45	-5.372	0.007747
Gga.4157.1.S1_at	EPHA7	EPH receptor A7	NM_205083.1	395967	-1.46	-3.86	0.041263
Gga.8331.1.S1_at		Finished cDNA, clone ChEST306a23	BU112932		-1.46	-3.861	0.04104
Gga.15923.1.S1_at		Finished cDNA, clone ChEST487a9	BU271933		-1.46	-3.622	0.038016
Gga.20.1.S1_at	FTD	ferritoid	NM_204383.1	378899	-1.47	-8.527	0.001174
Gga.2845.1.S1_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	NM_206844.1	395399	-1.47	-5.667	0.006086
Gga.7044.3.S1_s_at	RCJMB04_2f9	selenoprotein P, plasma, 1	BU244903	431587	-1.47	-12.529	0.000326
Gga.10343.1.S1_a_at	LOC420800	brain-specific protein p25 alpha	BU246202	420800	-1.48	-6.927	0.003803
Gga.2242.1.S1_at		Transcribed locus	BU219679		-1.48	-5.834	0.012725
GgaAffx.20432.1.S1_at		Finished cDNA, clone ChEST767e5	CR524183.1		-1.49	-3.591	0.048606
GgaAffx.12711.1.S1_at	RCJMB04_21h11	hypothetical protein LOC768701	AJ720608	768701	-1.49	-5.682	0.017421
Gga.10751.1.S1_at		Finished cDNA, clone ChEST602k23	BX932679.1		-1.5	-5.075	0.00723
GgaAffx.23757.5.S1_s_at	ANK2	ankyrin 2, neuronal	ENSGALT00000019665.1	422689	-1.5	-7.066	0.013335
Gga.2068.2.S1_at		Transcribed locus, moderately similar to XP_001068825.1  similar to SID1 transmembrane family, member 2 [Rattus norvegicus]	BU241338		-1.5	-3.744	0.021496
Gga.1328.1.S2_at	B2M	beta-2 microglobulin	CD737246	414830	-1.51	-4.327	0.043907
Gga.4761.3.S1_x_at		Hypothetical protein, clone 29o22	BU388731		-1.51	-4.98	0.016901
GgaAffx.9993.1.A1_at			ENSGALT00000025286.1		-1.51	-5.234	0.019795
Gga.8224.1.S1_at		Finished cDNA, clone ChEST130n8	BX270973		-1.51	-5.616	0.00622
GgaAffx.20942.1.S1_s_at		Finished cDNA, clone ChEST840d13	CR523673.1		-1.52	-3.646	0.034415
Gga.14502.1.S1_at	LOC424526	Similar to collagen, type XXIV, alpha 1 /// Finished cDNA, clone ChEST530l16	CR387782.1	424526	-1.52	-3.398	0.041451
GgaAffx.3789.1.S1_at	LOC422234	similar to Glypican 4	ENSGALT00000009812.1	422234	-1.52	-3.479	0.037673
Gga.12307.2.S1_x_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	BU273309	422719	-1.53	-4.008	0.033038
Gga.4725.1.S1_at		Finished cDNA, clone ChEST19h15	CR387423.1		-1.53	-3.631	0.022512
Gga.651.1.S1_at	EFNA5	ephrin-A5	NM_205184.1	396100	-1.54	-4.175	0.019055
GgaAffx.6738.1.S1_at	LOC423401	similar to tetratricopeptide repeat domain 8	ENSGALT00000017348.1	423401	-1.54	-5.176	0.006657
GgaAffx.2205.1.S1_at	LOC419933	similar to proline arginine-rich end leucine-rich repeat protein	ENSGALT00000005617.1	419933	-1.54	-7.335	0.017478
GgaAffx.8070.1.S1_at	LOC420854	similar to preproendothelin-1	ENSGALT00000020785.1	420854	-1.54	-3.457	0.026599
Gga.5109.1.S1_s_at	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived	BU419172	421948	-1.55	-5.129	0.007162
Gga.1647.1.S1_at		Finished cDNA, clone ChEST712h12	BU365058		-1.56	-4.089	0.015358
GgaAffx.21269.1.S1_at		Finished cDNA, clone ChEST578k10	CR523346.1		-1.57	-8.52	0.008967
Gga.10110.1.S1_at		Finished cDNA, clone ChEST992o1	CR386923.1		-1.57	-3.471	0.032061
Gga.13556.1.S1_at		Finished cDNA, clone ChEST432p5	BU270035		-1.57	-7.6	0.001609
Gga.3419.1.S1_at			BU446135		-1.57	-5.438	0.023417
Gga.6562.1.A1_x_at			BX279488		-1.57	-4.999	0.009713
NC-002188.CDS110.S1_at		NC-002188.CDS110			-1.58	-4.507	0.025423
Gga.10430.1.S1_at		Finished cDNA, clone ChEST34i19	BX933874.1		-1.58	-6.391	0.006998
GgaAffx.23880.1.S1_at	LOC395778	hypothetical protein LOC395778	ENSGALT00000020197.1	395778	-1.58	-3.627	0.022484
Gga.9317.1.S1_at		Transcribed locus	BX262888		-1.58	-6.167	0.012068
Gga.4977.1.S1_at	MSX2	msh homeobox 2	NM_204559.1	395245	-1.59	-6.25	0.003402
Gga.3852.1.S2_s_at	RHOB	ras homolog gene family, member B	NM_204909.1	395734	-1.59	-10.973	0.001196
Gga.14498.1.S1_at		Finished cDNA, clone ChEST533o24	BU258089		-1.59	-5.541	0.015855
Gga.17041.1.S1_at		Finished cDNA, clone ChEST927n16	BU258265		-1.59	-6.274	0.003336
GgaAffx.6738.2.S1_s_at	LOC423401	similar to tetratricopeptide repeat domain 8	ENSGALT00000017349.1	423401	-1.59	-3.378	0.027991
GgaAffx.9197.1.S1_at	RCJMB04_7l20	Poly(A) binding protein, cytoplasmic 1	ENSGALT00000023379.1	430997	-1.59	-4.848	0.026171
Gga.8326.1.S1_at		Transcribed locus	BU398458		-1.59	-5.582	0.009253
Gga.9481.1.S1_s_at	LOC395772	otokeratin	NM_204932.1	395772	-1.6	-4.798	0.03669
Gga.3332.1.S1_at	MXRA8	matrix-remodelling associated 8	NM_204636.1	395347	-1.6	-8.025	0.006612
Gga.10418.1.S1_at		Finished cDNA, clone ChEST57j17	BX934054.1		-1.6	-6.675	0.014564
GgaAffx.1064.1.S1_s_at	ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)	ENSGALT00000002471.1	424746	-1.6	-4.464	0.04311
Gga.8200.1.S1_at		Finished cDNA, clone ChEST893e13	BU391632		-1.61	-3.394	0.03482
Gga.11459.1.S1_at	HKDC1	hexokinase domain containing 1	CD740786	423698	-1.61	-4.661	0.023842
Gga.16194.1.S1_at		Finished cDNA, clone ChEST1024b24	BU282162		-1.61	-11.125	0.000429
Gga.4965.3.S1_a_at	LOC395875	collagen type XII alpha 1 chain	X67327.1	395875	-1.61	-3.942	0.017036
GgaAffx.8939.1.S1_s_at	LOC422763	hypothetical LOC422763	ENSGALT00000022796.1	422763	-1.61	-6.223	0.015157
Gga.4108.2.S1_a_at	TPM1	tropomyosin 1 (alpha)	M36337.1	396366	-1.62	-5.581	0.015032
Gga.1527.1.S1_at	METTL7A	methyltransferase like 7A	BX931252.2	426871	-1.62	-3.942	0.02475
Gga.7467.1.S1_at	PDLIM4	Finished cDNA, clone ChEST986n24 /// PDZ and LIM domain 4	BX261905	395643	-1.62	-13.655	0.000508
Gga.5002.1.S1_at	MDK	midkine (neurite growth-promoting factor 2)	BU135684	423196	-1.62	-5.419	0.01491
Gga.15288.1.S1_at		Finished cDNA, clone ChEST543o8	CR385166.1		-1.62	-16.272	0.000093
GgaAffx.4789.1.S1_at	LOC420498	similar to Enkurin	ENSGALT00000012450.1	420498	-1.62	-23.361	0.000144
Gga.15991.1.S1_at		Finished cDNA, clone ChEST656k19	BU216377		-1.63	-8.002	0.011567
Gga.12667.1.S1_at	FILIP1	Filamin A interacting protein 1	BU260611	421860	-1.63	-5.253	0.028521
Gga.12667.2.S1_s_at	FILIP1	filamin A interacting protein 1	BX929400.1	421860	-1.63	-13.738	0.004108
GgaAffx.24639.1.S1_at			ENSGALT00000024648.1		-1.63	-7.076	0.00306
Gga.2869.1.S1_at	KCNIP4	Kv channel interacting protein 4	NM_204555.1	395239	-1.64	-8.214	0.001198
Gga.16844.1.S1_a_at	COL3A1	alpha 1 type III collagen	U07974.1	396340	-1.64	-3.976	0.017171
GgaAffx.4585.1.S1_at	LOC422293	hypothetical LOC422293	ENSGALT00000011896.1	422293	-1.64	-6.46	0.003387
GgaAffx.26141.1.S1_s_at	HKDC1	hexokinase domain containing 1	ENSGALT00000006717.1	423698	-1.65	-4.746	0.040065
Gga.8470.1.S1_at		Finished cDNA, clone ChEST752o10	CD728828		-1.66	-21.638	0.000295
Gga.13161.1.S1_at		Finished cDNA, clone ChEST388b23	BU306744		-1.66	-4.554	0.020437
Gga.9473.1.S1_at	ITGB5	integrin, beta 5	NM_204483.1	395142	-1.67	-4.606	0.028149
Gga.17046.1.S1_at	LONRF3	LON peptidase N-terminal domain and ring finger 3	BU379576	422375	-1.67	-4.981	0.011992
Gga.4052.1.S1_at	MYL9	myosin, light chain 9, regulatory	NM_205278.1	396215	-1.68	-5.268	0.024013
Gga.1205.1.S2_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	BU254591	395816	-1.69	-12.367	0.000327
Gga.3667.1.S1_at	PDLIM4	PDZ and LIM domain 4	NM_204839.1	395643	-1.69	-6.612	0.011751
Gga.1615.1.S1_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	AL587697	418143	-1.69	-4.549	0.04477
Gga.20052.1.S1_at		Finished cDNA, clone ChEST851b2	BU389873		-1.69	-5.774	0.006533
Gga.15793.1.S1_at		Finished cDNA, clone ChEST999f19	BU224644		-1.7	-3.405	0.031303
Gga.12987.1.S1_at		Finished cDNA, clone ChEST823g14	CR353293.1		-1.7	-4.391	0.023846
Gga.718.3.S1_a_at	DMD	dystrophin	AF063193.1	396236	-1.7	-5.264	0.029471
Gga.13839.1.S1_at		Finished cDNA, clone ChEST66a18	CR354194.1		-1.7	-9.778	0.00988
Gga.12307.3.S1_s_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	BX934497.2	422719	-1.71	-4.297	0.01422
GgaAffx.26129.1.S1_at	FAM20A	family with sequence similarity 20, member A	ENSGALT00000006649.1	417439	-1.71	-6.078	0.022835
Gga.239.1.S1_at	TLL1	tolloid-like 1	NM_204703.1	395441	-1.72	-5.336	0.020643
GgaAffx.2735.1.S1_s_at	RCJMB04_3a3	cell cycle progression 1	ENSGALT00000007016.1	427496	-1.72	-4.078	0.015383
Gga.1686.1.S1_s_at	TGFB3	transforming growth factor, beta 3	NM_205454.1	396438	-1.73	-8.205	0.001213
Gga.686.1.S1_at	BMP4	bone morphogenetic protein 4	NM_205237.1	396165	-1.73	-4.431	0.019711
GgaAffx.22999.1.S1_s_at	COL1A2	Finished cDNA, clone ChEST644h21 /// Collagen, type I, alpha 2	ENSGALT00000015703.1	420564	-1.73	-6.229	0.010971
Gga.16921.1.S1_at			BU474896		-1.74	-4.952	0.020202
Gga.5291.1.S1_at	LOC419762	similar to immunoglobulin superfamily, member 4A isoform a; immunosuperfamily protein Bl2	BU216867	419762	-1.74	-4.686	0.040329
Gga.14504.1.S1_at	ADAMTSL1	ADAMTS-like 1	CR387777.1	431603	-1.74	-3.917	0.040591
GgaAffx.9310.1.S1_s_at	LOC427123	Similar to bumetanide-sensitive Na-K-Cl cotransporter	ENSGALT00000023675.1	427123	-1.74	-4.408	0.011659
Gga.3270.1.S1_at			BU351696		-1.74	-4.419	0.015009
Gga.13005.1.S1_at		Finished cDNA, clone ChEST116e12	BU268634		-1.75	-5.359	0.009244
Gga.2764.1.S1_at		Finished cDNA, clone ChEST93h24	BX272707		-1.75	-3.947	0.024123
Gga.16374.1.S1_at		Finished cDNA, clone ChEST84l23	BU420508		-1.76	-7.581	0.009971
Gga.956.1.S1_at	NFIL3	nuclear factor, interleukin 3 regulated	NM_204618.1	395326	-1.77	-7.042	0.002965
Gga.4530.1.S1_at	ACTA2	actin, alpha 2, smooth muscle, aorta	BU266671	423787	-1.77	-5.877	0.014998
GgaAffx.5043.1.S1_s_at	LOC419358	similar to beta-1,4-galactosyltransferase (beta-1,4-GalT) V	ENSGALT00000013071.1	419358	-1.77	-4.052	0.047132
Gga.4087.1.S2_at	FZD1	frizzled homolog 1 (Drosophila)	BU226682	374062	-1.78	-5.959	0.005592
GgaAffx.11832.1.S1_at	P4HA2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	AJ719729	416326	-1.78	-14.211	0.004667
Gga.3972.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	NM_205373.1	396332	-1.8	-3.829	0.020738
Gga.588.1.S1_at	GFRA1	GDNF family receptor alpha 1	NM_205102.1	395994	-1.8	-5.874	0.016962
GgaAffx.20643.1.S1_at		Finished cDNA, clone ChEST64m16	CR523972.1		-1.8	-4.315	0.01931
Gga.1791.1.S1_at		Finished cDNA, clone ChEST484f4	CR353397.1		-1.8	-5.471	0.006429
Gga.18811.1.S1_at		Finished cDNA, clone ChEST987f14	CR391541.1		-1.8	-6.914	0.00583
Gga.12406.1.S1_at	LOC421753 /// LOC428623	similar to solute carrier family 16, member 10; T-type amino acid transporter 1 /// similar to KIAA1919	BU296378	421753 /// 428623	-1.8	-4.048	0.047075
GgaAffx.1193.1.S1_s_at	LAMA1	laminin, alpha 1	ENSGALT00000023781.1	374016	-1.8	-9.072	0.001477
GgaAffx.22602.1.S1_s_at		Transcribed locus, moderately similar to NP_037051.2  channel, voltage-dependent, alpha2/delta subunit 1 [Rattus norvegicus]	ENSGALT00000013829.1		-1.81	-8.785	0.011777
Gga.16958.1.S1_at		Finished cDNA, clone ChEST275a23	BU282549		-1.82	-4.573	0.043878
Gga.14029.1.S1_at		Finished cDNA, clone ChEST250p16	CR353470.1		-1.83	-6.211	0.022798
Gga.3676.1.S1_at	LOC423952	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase	AJ441642	423952	-1.83	-4.45	0.033173
Gga.10818.1.S1_at	LOC427801 /// LOC429567	similar to beta(1,6)-N-acetylglucosaminyltransferase V /// similar to protease	BU446617	427801 /// 429567	-1.83	-4.451	0.021254
GgaAffx.10088.2.A1_s_at	LOC421839	similar to putative serine protease 35	ENSGALT00000025552.1	421839	-1.83	-10.86	0.003893
Gga.7492.2.S1_a_at		Finished cDNA, clone ChEST47i20	BX934127.2		-1.84	-5.096	0.009257
Gga.9814.1.S1_at		Finished cDNA, clone ChEST749n21	BU367046		-1.84	-8.218	0.006703
Gga.12101.1.S1_s_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	BX931413.2	420847	-1.84	-4.56	0.012044
Gga.11646.1.S1_at	FAM20A	family with sequence similarity 20, member A	CR353950.1	417439	-1.85	-5.962	0.017256
Gga.566.1.S1_at	ITGA1	integrin, alpha 1	NM_205069.1	395951	-1.86	-8.756	0.002115
Gga.1299.1.S1_at		Finished cDNA, clone ChEST582d7	BU227084		-1.86	-5.702	0.007468
Gga.3037.1.S1_s_at	CHRDL1	chordin-like 1	NM_204171.1	373985	-1.87	-5.891	0.008891
GgaAffx.22988.1.S1_at			ENSGALT00000015689.1		-1.87	-3.149	0.034685
Gga.2582.1.S1_at	TGFBI	transforming growth factor, beta-induced, 68kDa	NM_205036.1	395897	-1.88	-4.781	0.008767
GgaAffx.9643.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024469.1	395456	-1.88	-5.501	0.007052
Gga.6919.1.A1_at	CXXC5	CXXC finger 5	BX271596	416138	-1.88	-8.715	0.001279
Gga.5505.1.S1_a_at	SOX9	SRY (sex determining region Y)-box 9	BU432942	374148	-1.88	-5.065	0.01985
Gga.11300.1.S1_at	LOC422439	similar to Ets transcription factor	BU348384	422439	-1.89	-7.899	0.002738
Gga.9043.1.S1_at	RCJMB04_4d4	Wolf-Hirschhorn syndrome candidate 2	CR352876.1	422896	-1.89	-4.694	0.010496
Gga.19655.1.S1_at	NOTUM	notum pectinacetylesterase homolog (Drosophila)	CR406335.1	417385	-1.9	-4.69	0.033012
GgaAffx.8558.1.S1_s_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	ENSGALT00000021898.1	422719	-1.9	-7.845	0.007846
GgaAffx.9011.1.S1_at	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	ENSGALT00000022974.1	422771	-1.9	-8.491	0.010003
Gga.1817.1.S1_at	SALL1	sal-like 1 (Drosophila)	NM_204707.1	395446	-1.91	-8.014	0.013505
Gga.5869.1.S1_s_at		Finished cDNA, clone ChEST64m16	BU128095		-1.92	-3.447	0.044482
Gga.7868.1.S1_at		Finished cDNA, clone ChEST737n20	BU244327		-1.92	-2.881	0.044996
Gga.1790.1.S1_at		Finished cDNA, clone ChEST322h21	CR352470.1		-1.92	-8.144	0.001339
Gga.12307.2.S1_a_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	BU273309	422719	-1.93	-4.679	0.033436
Gga.18643.1.S1_s_at		Finished cDNA, clone ChEST199j20	CR391148.1		-1.94	-6.182	0.020229
Gga.333.1.S1_at	SIX6	sine oculis homeobox homolog 6 (Drosophila)	NM_204994.1	395843	-1.96	-7.352	0.003568
Gga.4087.1.S1_at	FZD1	frizzled homolog 1 (Drosophila)	AF031830.1	374062	-1.96	-4.393	0.011805
Gga.12977.1.S1_at	DDB1	Damage-specific DNA binding protein 1, 127kDa	BU336673	374050	-1.96	-3.247	0.03593
GgaAffx.13119.1.S1_s_at	RCJMB04_32i2	ribosomal protein S14	AJ721016	416275	-1.97	-7.543	0.011273
Gga.4306.1.S1_at	DMN	desmuslin	NM_204809.1	395599	-1.98	-4.166	0.042463
Gga.2073.1.S1_at	LOC395532	alpha-1 collagen (I)	CD214476	395532	-1.99	-6.472	0.019667
Gga.12307.1.S1_at	9430041O17RIK	Arg/Abl-interacting protein ArgBP2	BU144506	422719	-1.99	-4.573	0.013382
Gga.16377.1.S1_at		Finished cDNA, clone ChEST491b6	BU469012		-1.99	-5.883	0.011949
GgaAffx.9957.1.S1_at	LACTB2	lactamase, beta 2	ENSGALT00000025193.1	420178	-1.99	-3.613	0.026282
Gga.10.1.S1_at			NM_204520.1		-2	-3.416	0.034479
Gga.5386.1.S1_at	TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy	AI981194	395096	-2.01	-8.244	0.002017
Gga.12845.1.S1_at	PVRL3	poliovirus receptor-related 3	BU340343	418415	-2.02	-6.826	0.003862
Gga.320.1.S1_at	LOC395581	5-hydroxytryptamin receptor	BX930443.2	395581	-2.02	-10.076	0.000602
Gga.9700.1.S1_at	TSPAN7	tetraspanin 7	BU139075	418577	-2.03	-4.76	0.020736
Gga.3180.1.S2_a_at	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	NM_204948.1	395790	-2.04	-7.701	0.002257
Gga.17070.1.S1_at		Finished cDNA, clone ChEST181a23	CR391097.1		-2.05	-23.524	0.000056
Gga.13838.1.S1_at		Finished cDNA, clone ChEST64i7	BU448882		-2.05	-4.117	0.038101
Gga.14195.1.S1_at		Finished cDNA, clone ChEST542c3	BU472478		-2.05	-3.531	0.026378
GgaAffx.6053.1.A1_at			ENSGALT00000015706.1		-2.05	-5.566	0.006327
Gga.3811.1.S2_at	BOK	BCL2-related ovarian killer	BU345248	395445	-2.06	-4.176	0.049791
Gga.7859.1.S1_at		Finished cDNA, clone ChEST428n3	BU261487		-2.09	-4.491	0.032851
Gga.16122.1.S1_at	LOC416297	Similar to Chromosome 5 open reading frame 5	BU343743	416297	-2.09	-12.354	0.001696
Gga.18629.1.S1_at	TMCC3	transmembrane and coiled-coil domain family 3	BU437451	417905	-2.09	-4.792	0.024746
Gga.13235.1.S1_at		Finished cDNA, clone ChEST56g13	CR353597.1		-2.1	-4.393	0.043267
