UNIQID	Gene Symbol	Chromosome Map	Gene Description
205225_at	ESR1	chr6q25	estrogen receptor 1
209602_s_at	GATA3	chr10p15	GATA binding protein 3
212956_at	KIAA0882	chr4q31	KIAA0882 protein
209173_at	AGR2	chr7p21	anterior gradient 2 homolog (Xenopus laevis)
200670_at	XBP1	chr22q12	X-box binding protein 1
204667_at	FOXA1	chr14q12	forkhead box A1
218211_s_at	MLPH	chr2q37	melanophilin
212446_s_at	LASS6	chr2q24	LAG1 longevity assurance homolog 6 (S. cerevisiae)
220192_x_at	SPDEF	chr6p21	SAM pointed domain containing ets transcription fa
212099_at	RHOB	chr2p24	ras homolog gene family member B
212441_at	KIAA0232	chr4p16	KIAA0232 gene product
208873_s_at	C5orf18	chr5q22	chromosome 5 open reading frame 18
218035_s_at	FLJ20273	chr4p13	RNA-binding protein
210652_s_at	C1orf34	chr1p32	chromosome 1 open reading frame 34
212510_at	GPD1L	chr3p24	glycerol-3-phosphate dehydrogenase 1-like
217979_at	TM4SF13	chr7p21	transmembrane 4 superfamily member 13
209696_at	FBP1	chr9q22	fructose-16-bisphosphatase 1
35666_at	SEMA3F	chr3p21	sema domain immunoglobulin domain (Ig) short bas
218204_s_at	FYCO1	chr3p21	FYVE and coiled-coil domain containing 1
219956_at	GALNT6	chr12q13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
222125_s_at	PH-4	chr3p21	hypoxia-inducible factor prolyl 4-hydroxylase
209004_s_at	FBXL5	chr4p15	F-box and leucine-rich repeat protein 5
201413_at	HSD17B4	chr5q21	hydroxysteroid (17-beta) dehydrogenase 4
221823_at	LOC90355	chr5q21	hypothetical gene supported by AF038182; BC009203
206600_s_at	SLC16A5	chr17q25	solute carrier family 16 (monocarboxylic acid tran
204863_s_at	IL6ST	chr5q11	interleukin 6 signal transducer (gp130 oncostatin
203685_at	BCL2	chr18q21	B-cell CLL/lymphoma 2
204199_at	RALGPS1	chr9q34	Ral GEF with PH domain and SH3 binding motif 1
203929_s_at	MAPT	chr17q21	microtubule-associated protein tau
212496_s_at	JMJD2B	chr19p13	jumonji domain containing 2B
209459_s_at	ABAT	chr16p13	4-aminobutyrate aminotransferase
221874_at	KIAA1324	chr1p13	maba1
210108_at	CACNA1D	chr3p14	calcium channel voltage-dependent L type alpha
203130_s_at	KIF5C	chr2q23	kinesin family member 5C
219197_s_at	SCUBE2	chr11p15	signal peptide CUB domain EGF-like 2
219687_at	HHAT	chr1q32	hedgehog acyltransferase
219686_at	STK32B	chr4p16	serine/threonine kinase 32B
218259_at	MKL2	chr16p13	MKL/myocardin-like 2
218976_at	DNAJC12	chr10q22	DnaJ (Hsp40) homolog subfamily C member 12
214053_at	ERBB4	chr2q33	V-erb-a erythroblastic leukemia viral oncogene hom
220917_s_at	WDR19	chr4p14	WD repeat domain 19
211712_s_at	ANXA9	chr1q21	annexin A9
214552_s_at	RABEP1	chr17p13	rabaptin RAB GTPase binding effector protein 1
212985_at	CCNB1	chr5q12	Cyclin B1
213419_at	APBB2	chr4p14	amyloid beta (A4) precursor protein-binding famil
211986_at	AHNAK	chr11q12	AHNAK nucleoprotein (desmoyokin)
214109_at	LRBA	chr4q31	LPS-responsive vesicle trafficking beach and anch
212148_at	PBX1	chr1q23	Pre-B-cell leukemia transcription factor 1
205597_at	C6orf29	chr6p21	chromosome 6 open reading frame 29
203453_at	SCNN1A	chr12p13	sodium channel nonvoltage-gated 1 alpha
218966_at	MYO5C	chr15q21	myosin VC
213285_at	TMEM30B	chr14q23	transmembrane protein 30B
219127_at	MGC11242	chr17q21	hypothetical protein MGC11242
51158_at	LOC400451	chr15q26	hypothetical gene supported by AK075564; BC060873
201841_s_at	HSPB1	chr7q11	heat shock 27kDa protein 1
209681_at	SLC19A2	chr1q23	solute carrier family 19 (thiamine transporter) m
221577_x_at	GDF15	chr19p13	growth differentiation factor 15
217777_s_at	HSPC121	chr15q22	butyrate-induced transcript 1
219833_s_at	EFHC1	chr6p12	EF-hand domain (C-terminal) containing 1
219786_at	MTL5	chr11q13	metallothionein-like 5 testis-specific (tesmin)
221856_s_at	FLJ11280	chr1q21	hypothetical protein FLJ11280
222212_s_at	LASS2	chr1q21	LAG1 longevity assurance homolog 2 (S. cerevisiae)
205186_at	DNALI1	chr1p35	dynein axonemal light intermediate polypeptide 1
205380_at	PDZK1	chr1q21	PDZ domain containing 1
205009_at	TFF1	chr21q22	trefoil factor 1 (breast cancer estrogen-inducibl
205862_at	GREB1	chr2p25	GREB1 protein
205696_s_at	GFRA1	chr10q26	GDNF family receptor alpha 1
209443_at	SERPINA5	chr14q32	serine (or cysteine) proteinase inhibitor clade A
220540_at	KCNK15	chr20q12	potassium channel subfamily K member 15
204776_at	THBS4	chr5q13	thrombospondin 4
213712_at	ELOVL2	chr6p24	elongation of very long chain fatty acids (FEN1/El
219414_at	CLSTN2	chr3q23	calsyntenin 2
41660_at	CELSR1	chr22q13	cadherin EGF LAG seven-pass G-type receptor 1 (fl
218195_at	C6orf211	chr6q25	chromosome 6 open reading frame 211
205354_at	GAMT	chr19p13	guanidinoacetate N-methyltransferase
218086_at	NPDC1	chr9q34	neural proliferation differentiation and control
204916_at	RAMP1	chr2q36	receptor (calcitonin) activity modifying protein 1
201754_at	COX6C	chr8q22	cytochrome c oxidase subunit VIc
211052_s_at	TBCD	chr17q25	tubulin-specific chaperone d
210720_s_at	APBA2BP	chr20q11	amyloid beta (A4) precursor protein-binding famil
218921_at	SIGIRR	chr11p15	single Ig IL-1R-related molecule
50374_at	LOC339229	chr17q25	hypothetical protein LOC339229
218026_at	HSPC009	chr17q21	HSPC009 protein
219076_s_at	PXMP2	chr12q24	peroxisomal membrane protein 2 22kDa
203438_at	STC2	chr5q35	Stanniocalcin 2
205357_s_at	AGTR1	chr3q21	angiotensin II receptor type 1
210096_at	CYP4B1	chr1p34	cytochrome P450 family 4 subfamily B polypeptid
206197_at	NME5	chr5q31	non-metastatic cells 5 protein expressed in (nucl
208920_at	SRI	chr7q21	sorcin
214519_s_at	RLN2	chr9p24	relaxin 2 (H2)
219602_s_at	FAM38B	chr18p11	family with sequence similarity 38 member B
213933_at	PTGER3	chr1p31	Prostaglandin E receptor 3 (subtype EP3)
207414_s_at	PCSK6	chr15q26	proprotein convertase subtilisin/kexin type 6
216264_s_at	LAMB2	chr3p21	laminin beta 2 (laminin S)
218437_s_at	LZTFL1	chr3p21	leucine zipper transcription factor-like 1
205376_at	INPP4B	chr4q31	inositol polyphosphate-4-phosphatase type II 105
202982_s_at	ZAP128	chr14q24	peroxisomal long-chain acyl-coA thioesterase
208763_s_at	DSIPI	chrxq22	delta sleep inducing peptide immunoreactor
219734_at	SIDT1	chr3q13	SID1 transmembrane family member 1
209623_at	MCCC2	chr5q12	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
217973_at	DCXR	chr17q25	dicarbonyl/L-xylulose reductase
221934_s_at	FLJ10496	chr3p21	hypothetical protein FLJ10496
218471_s_at	BBS1	chr11q13	Bardet-Biedl syndrome 1
203988_s_at	FUT8	chr14q24	fucosyltransferase 8 (alpha -16 fucosyltransfera
204624_at	ATP7B	chr13q14	ATPase Cu++ transporting beta polypeptide (Wilso
213110_s_at	COL4A5	chrxq22	collagen type IV alpha 5 (Alport syndrome)
213992_at	COL4A6	chrxq22	collagen type IV alpha 6
205645_at	REPS2	chrxp22	RALBP1 associated Eps domain containing 2
202265_at	BMI1	chr10p11	B lymphoma Mo-MLV insertion region (mouse)
218409_s_at	DNAJC1	chr10p12	DnaJ (Hsp40) homolog subfamily C member 1
216381_x_at	AKR7A3	chr1p35	aldo-keto reductase family 7 member A3 (aflatoxin
210788_s_at	DHRS7	chr14q23	dehydrogenase/reductase (SDR family) member 7
205830_at	CLGN	chr4q28	calmegin
209531_at	GSTZ1	chr14q24	glutathione transferase zeta 1 (maleylacetoacetate
221588_x_at	ALDH6A1	chr14q24	aldehyde dehydrogenase 6 family member A1
220173_at	C14orf45	chr14q24	chromosome 14 open reading frame 45
214264_s_at	C14orf143	chr14q32	chromosome 14 open reading frame 143
212462_at	MYST4	chr10q22	MYST histone acetyltransferase (monocytic leukemia
218532_s_at	FLJ20152	chr5p15	hypothetical protein FLJ20152
218652_s_at	FLJ20265	chr4p16	hypothetical protein FLJ20265
220319_s_at	MYLIP	chr6p23	myosin regulatory light chain interacting protein
203989_x_at	F2R	chr5q13	coagulation factor II (thrombin) receptor
211864_s_at	FER1L3	chr10q24	fer-1-like 3 myoferlin (C. elegans)
221765_at	UGCG	chr9q31	UDP-glucose ceramide glucosyltransferase
202623_at	C14orf11	chr14q13	chromosome 14 open reading frame 11
217906_at	KLHDC2	chr14q21	kelch domain containing 2
213049_at	GARNL1	chr14q13	GTPase activating Rap/RanGAP domain-like 1
218224_at	PNMA1	chr14q24	paraneoplastic antigen MA1
217990_at	GMPR2	chr14q11	guanosine monophosphate reductase 2
211474_s_at	SERPINB6	chr6p25	serine (or cysteine) proteinase inhibitor clade B
213249_at	FBXL7	chr5p15	F-box and leucine-rich repeat protein 7
219570_at	C20orf23	chr20p11	chromosome 20 open reading frame 23
205239_at	AREG	chr4q13	amphiregulin (schwannoma-derived growth factor)
217122_s_at	SLC35E2	chr1p36	solute carrier family 35 member E2
211421_s_at	RET	chr10q11	Ret proto-oncogene (multiple endocrine neoplasia a
218242_s_at	SUV420H1	chr11q13	suppressor of variegation 39923 homolog 1 (Drosophi
35147_at	MCF2L	chr13q34	MCF.2 cell line derived transforming sequence-like
219317_at	POLI	chr18q21	polymerase (DNA directed) iota
219474_at	FLJ23186	chr3q13	hypothetical protein FLJ23186
200864_s_at	RAB11A	chr15q21	RAB11A member RAS oncogene family
208810_at	DNAJB6	chr7q36	DnaJ (Hsp40) homolog subfamily B member 6
203739_at	ZNF217	chr20q13	zinc finger protein 217
218212_s_at	MOCS2	chr5q11	molybdenum cofactor synthesis 2
204258_at	CHD1	chr5q15	chromodomain helicase DNA binding protein 1
218668_s_at	RAP2C	chrxq25	RAP2C member of RAS oncogene family
204554_at	PPP1R3D	chr20q13	protein phosphatase 1 regulatory subunit 3D
212406_s_at	C20orf36	chr20q13	chromosome 20 open reading frame 36
213140_s_at	SS18L1	chr20q13	synovial sarcoma translocation gene on chromosome
212062_at	ATP9A	chr20q13	ATPase Class II type 9A
220607_x_at	TH1L	chr20q13	TH1-like (Drosophila)
218098_at	ARFGEF2	chr20q13	ADP-ribosylation factor guanine nucleotide-exchang
219981_x_at	ZNF587	chr19q13	zinc finger protein 587
204072_s_at	13CDNA73	chr13q13	hypothetical protein CG003
219342_at	CAS1	chr7q21	O-acetyltransferase
214703_s_at	MAN2B2	chr4p16	mannosidase alpha class 2B member 2
203143_s_at	KIAA0040	chr1q24	KIAA0040 gene product
40016_g_at	KIAA0303	chr5q12	KIAA0303 protein
221487_s_at	ENSA	chr1q21	endosulfine alpha
218401_s_at	ZNF281	chr1q32	zinc finger protein 281
35148_at	TJP3	chr19p13	tight junction protein 3 (zona occludens 3)
203152_at	MRPL40	chr22q11	mitochondrial ribosomal protein L40
207081_s_at	PIK4CA	chr22q11	phosphatidylinositol 4-kinase catalytic alpha po
209759_s_at	DCI	chr16p13	dodecenoyl-Coenzyme A delta isomerase (32 trans-e
203228_at	PAFAH1B3	chr19q13	platelet-activating factor acetylhydrolase isofor
209224_s_at	NDUFA2	chr5q31	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
209303_at	NDUFS4	chr5q11	NADH dehydrogenase (ubiquinone) Fe-S protein 4 18
74694_s_at	RABEP2	chr16p11	rabaptin RAB GTPase binding effector protein 2
219709_x_at	MGC2494	chr16p13	hypothetical protein MGC2494
43544_at	THRAP5	chr19p13	thyroid hormone receptor associated protein 5
209177_at	DKFZP564J0123	chr3p21	nuclear protein E3-3
220145_at	FLJ21159	chr4q32	hypothetical protein FLJ21159
214919_s_at	EIF4EBP3	chr5q31	eukaryotic translation initiation factor 4E bindin
218548_x_at	TEX264	chr3p21	testis expressed sequence 264
213234_at	KIAA1467	chr12p13	Serotonin-7 receptor pseudogene
218450_at	HEBP1	chr12p13	heme binding protein 1
206858_s_at	HOXC6	chr12q13	homeo box C6
206378_at	SCGB2A2	chr11q13	secretoglobin family 2A member 2
201125_s_at	ITGB5	chr3q21	integrin beta 5
204014_at	DUSP4	chr8p12	dual specificity phosphatase 4
211026_s_at	MGLL	chr3q21	monoglyceride lipase
212830_at	EGFL5	chr9q32	EGF-like-domain multiple 5
203431_s_at	RICS	chr11q24	Rho GTPase-activating protein
212458_at	SPRED2	chr2p14	sprouty-related EVH1 domain containing 2
218313_s_at	GALNT7	chr4q31	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
222258_s_at	SH3BP4	chr2q37	SH3-domain binding protein 4
219572_at	CADPS2	chr7q31	Ca2+-dependent activator protein for secretion 2
214428_x_at	C4A	chr6p21	complement component 4A
217838_s_at	EVL	chr14q32	Enah/Vasp-like
208614_s_at	FLNB	chr3p14	filamin B beta (actin binding protein 278)
213546_at	DKFZp586I1420	chr7p15	hypothetical protein DKFZp586I1420
210962_s_at	AKAP9	chr7q21	A kinase (PRKA) anchor protein (yotiao) 9
218806_s_at	VAV3	chr1p13	vav 3 oncogene
202849_x_at	GRK6	chr5q35	G protein-coupled receptor kinase 6
203413_at	NELL2	chr12q13	NEL-like 2 (chicken)
205691_at	SYNGR3	chr16p13	synaptogyrin 3
203608_at	ALDH5A1	chr6p22	aldehyde dehydrogenase 5 family member A1 (succin
203410_at	AP3M2	chr8p11	adaptor-related protein complex 3 mu 2 subunit
208846_s_at	VDAC3	chr8p11	voltage-dependent anion channel 3
203616_at	POLB	chr8p11	polymerase (DNA directed) beta
209341_s_at	IKBKB	chr8p11	inhibitor of kappa light polypeptide gene enhancer
203534_at	LSM1	chr8p11	LSM1 homolog U6 small nuclear RNA associated (S.
212690_at	DDHD2	chr8p12	DDHD domain containing 2
221543_s_at	C8orf2	chr8p11	chromosome 8 open reading frame 2
219681_s_at	RAB11FIP1	chr8p11	RAB11 family interacting protein 1 (class I)
212339_at	EPB41L1	chr20q11	erythrocyte membrane protein band 4.1-like 1
219722_s_at	MGC4171	chr16p11	hypothetical protein MGC4171
220985_s_at	DKFZP564A022	chr8p11	hypothetical protein DKFZp564A022
206546_at	SYCP2	chr20q13	synaptonemal complex protein 2
204637_at	CGA	chr6q12	glycoprotein hormones alpha polypeptide
220329_s_at	C6orf96	chr6q25	chromosome 6 open reading frame 96
212961_x_at	CXorf40	chrxq28	chromosome X open reading frame 40
222217_s_at	SLC27A3	chr1q21	solute carrier family 27 (fatty acid transporter)
204029_at	CELSR2	chr1p21	cadherin EGF LAG seven-pass G-type receptor 2 (fl
213131_at	OLFM1	chr9q34	olfactomedin 1
203071_at	SEMA3B	chr3p21	sema domain immunoglobulin domain (Ig) short bas
210263_at	KCNF1	chr2p25	potassium voltage-gated channel subfamily F memb
210033_s_at	SPAG6	chr10p12	sperm associated antigen 6
221859_at	SYT13	chr11p12	synaptotagmin XIII
214324_at	GP2	chr9q21	glycoprotein 2 (zymogen granule membrane)
219001_s_at	MGC10765	chr9p13	hypothetical protein MGC10765
213358_at	KIAA0802	chr18p11	KIAA0802
213435_at	SATB2	chr2q33	SATB family member 2
210367_s_at	PTGES	chr9q34	prostaglandin E synthase
214012_at	ARTS-1	chr5q15	type 1 tumor necrosis factor receptor shedding ami
205081_at	CRIP1	chr14q32	cysteine-rich protein 1 (intestinal)
208978_at	CRIP2	chr14q32	cysteine-rich protein 2
204975_at	EMP2	chr16p13	epithelial membrane protein 2
219288_at	C3orf14	chr3p14	chromosome 3 open reading frame 14
219301_s_at	CNTNAP2	chr7q35	contactin associated protein-like 2
218309_at	CaMKIINalpha	chr1p36	calcium/calmodulin-dependent protein kinase II
202976_s_at	RHOBTB3	chr5q15	Rho-related BTB domain containing 3
203627_at	IGF1R	chr15q26	Insulin-like growth factor 1 receptor
201346_at	ADIPOR2	chr12p13	adiponectin receptor 2
206698_at	XK	chrxp21	Kell blood group precursor (McLeod phenotype)
205336_at	PVALB	chr22q13	parvalbumin
204004_at	PAWR	chr12q21	PRKC apoptosis WT1 regulator
208866_at	CSNK1A1	chr5q32	casein kinase 1 alpha 1
215731_s_at	MPHOSPH9	chr12q24	M-phase phosphoprotein 9
218170_at	CGI-111	chr5q22	CGI-111 protein
205358_at	GRIA2	chr4q32	glutamate receptor ionotropic AMPA 2
205509_at	CPB1	chr3q24	carboxypeptidase B1 (tissue)
218398_at	MRPS30	chr5q11	mitochondrial ribosomal protein S30
207302_at	SGCG	chr13q12	sarcoglycan gamma (35kDa dystrophin-associated gl
220057_at	GAGED2	chrxp11	G antigen family D 2
221933_at	NLGN4X	chrxp22	neuroligin 4 X-linked
49452_at	LOC283445	chr12q24	hypothetical protein LOC283445
205904_at	MICA	chr6p21	MHC class I polypeptide-related sequence A
219603_s_at	ZNF226	chr19q13	zinc finger protein 226
204579_at	FGFR4	chr5q35	fibroblast growth factor receptor 4
220922_s_at	SPANXC	chrxq27	SPANX family member C
214157_at	GNAS	chr20q13	GNAS complex locus
211596_s_at	LRIG1	chr3p14	leucine-rich repeats and immunoglobulin-like domai
218862_at	ASB13	chr10p15	ankyrin repeat and SOCS box-containing 13
221710_x_at	FLJ10647	chr1p34	hypothetical protein FLJ10647
218804_at	TMEM16A	chr11q13	transmembrane protein 16A
212919_at	DCP2	chr5q22	decapping enzyme hDcp2
222108_at	AMIGO2	chr12q13	amphoterin induced gene 2
201626_at	INSIG1	chr7q36	insulin induced gene 1
204379_s_at	FGFR3	chr4p16	fibroblast growth factor receptor 3 (achondroplasi
209710_at	GATA2	chr3q21	GATA binding protein 2
210010_s_at	SLC25A1	chr22q11	solute carrier family 25 (mitochondrial carrier; c
221667_s_at	HSPB8	chr12q24	heat shock 22kDa protein 8
55692_at	ELMO2	chr20q13	engulfment and cell motility 2 (ced-12 homolog C.
210026_s_at	CARD10	chr22q13	caspase recruitment domain family member 10
221645_s_at	ZNF83	chr19q13	zinc finger protein 83 (HPF1)
221728_x_at	XIST	chrxq13	X (inactive)-specific transcript
201340_s_at	ENC1	chr5q12	ectodermal-neural cortex (with BTB-like domain)
205613_at	LOC51760	chr16p12	B/K protein
203029_s_at	PTPRN2	chr7q36	protein tyrosine phosphatase receptor type N pol
206167_s_at	ARHGAP6	chrxp22	Rho GTPase activating protein 6
207222_at	PLA2G10	chr16p13	phospholipase A2 group X
219359_at	FLJ22635	chr11p15	hypothetical protein FLJ22635
205319_at	PSCA	chr8q24	prostate stem cell antigen
204612_at	PKIA	chr8q21	protein kinase (cAMP-dependent catalytic) inhibit
205308_at	CGI-62	chr8q21	CGI-62 protein
208814_at	HSPA4	chr5q31	Heat shock 70kDa protein 4
212417_at	SCAMP1	chr5q13	secretory carrier membrane protein 1
201558_at	RAE1	chr20q13	RAE1 RNA export 1 homolog (S. pombe)
218533_s_at	UCKL1	chr20q13	uridine-cytidine kinase 1-like 1
219643_at	LRP1B	chr2q21	low density lipoprotein-related protein 1B (delete
208083_s_at	ITGB6	chr2q24	integrin beta 6
213392_at	MGC35048	chr16p12	hypothetical protein MGC35048
213664_at	SLC1A1	chr9p24	solute carrier family 1 (neuronal/epithelial high
213107_at	TNIK	chr3q26	TRAF2 and NCK interacting kinase
219250_s_at	FLRT3	chr20p11	fibronectin leucine rich transmembrane protein 3
219580_s_at	TMC5	chr16p12	transmembrane channel-like 5
212979_s_at	KIAA0738	chr7q34	KIAA0738 gene product
211988_at	SMARCE1	chr17q21	SWI/SNF related matrix associated actin dependen
214774_x_at	TNRC9	chr16q12	trinucleotide repeat containing 9
215696_s_at	KIAA0310	chr9q34	KIAA0310
208906_at	BSCL2	chr11q12	Bernardinelli-Seip congenital lipodystrophy 2 (sei
201906_s_at	CTDSPL	chr3p21	CTD (carboxy-terminal domain RNA polymerase II p
219549_s_at	RTN3	chr11q13	reticulon 3
209581_at	HRASLS3	chr11q12	HRAS-like suppressor 3
213587_s_at	C7orf32	chr7q36	chromosome 7 open reading frame 32
212445_s_at	NEDD4L	chr18q21	neural precursor cell expressed developmentally d
204160_s_at	ENPP4	chr6p21	ectonucleotide pyrophosphatase/phosphodiesterase 4
218361_at	GPP34R	chr1q21	GPP34-related protein
221666_s_at	PYCARD	chr16p12	PYD and CARD domain containing
215342_s_at	RABGAP1L	chr1q24	RAB GTPase activating protein 1-like
213172_at	TTC9	chr14q24	Tetratricopeptide repeat domain 9
204337_at	RGS4	chr1q23	regulator of G-protein signalling 4
220775_s_at	UEV3	chr11p15	ubiquitin-conjugating enzyme E2-like
210102_at	LOH11CR2A	chr11q23	loss of heterozygosity 11 chromosomal region 2
204979_s_at	SH3BGR	chr21q22	SH3 domain binding glutamic acid-rich protein
202888_s_at	ANPEP	chr15q25	alanyl (membrane) aminopeptidase (aminopeptidase N
202889_x_at	MAP7	chr6q23	microtubule-associated protein 7
207430_s_at	MSMB	chr10q11	microseminoprotein beta-
213245_at	ADCY1	chr7p13	adenylate cyclase 1 (brain)
211200_s_at	MGC12458	chr1q44	hypothetical protein MGC12458
209469_at	GPM6A	chr4q34	glycoprotein M6A
210640_s_at	GPR30	chr7p22	G protein-coupled receptor 30
217590_s_at	TRPA1	chr8q13	transient receptor potential cation channel subfa
207156_at	HIST1H2AG	chr6p22	histone 1 H2ag
213967_at	LOC138046	chr8q21	hypothetical protein LOC138046
206045_s_at	NOL4	chr18q12	nucleolar protein 4
37950_at	PREP	chr6q22	prolyl endopeptidase
219932_at	SLC27A6	chr5q23	solute carrier family 27 (fatty acid transporter)
221035_s_at	TEX14	chr17q23	testis expressed sequence 14
213186_at	DZIP3	chr3q13	zinc finger DAZ interacting protein 3
218546_at	FLJ14146	chr1q41	hypothetical protein FLJ14146
219313_at	DKFZp434C0328	chr3q13	hypothetical protein DKFZp434C0328
209457_at	DUSP5	chr10q25	dual specificity phosphatase 5
219518_s_at	ELL3	chr15q15	elongation factor RNA polymerase II-like 3
205412_at	ACAT1	chr11q22	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl
208950_s_at	ALDH7A1	chr5q31	aldehyde dehydrogenase 7 family member A1
201427_s_at	SEPP1	chr5q31	selenoprotein P plasma 1
206302_s_at	NUDT4	chr12q21	nudix (nucleoside diphosphate linked moiety X)-typ
202314_at	CYP51A1	chr7q21	cytochrome P450 family 51 subfamily A polypepti
203680_at	PRKAR2B	chr7q22	protein kinase cAMP-dependent regulatory type I
202780_at	OXCT1	chr5p13	3-oxoacid CoA transferase 1
202017_at	EPHX1	chr1q42	epoxide hydrolase 1 microsomal (xenobiotic)
204301_at	KIAA0711	chr8p23	KIAA0711 gene product
208792_s_at	CLU	chr8p21	clusterin (complement lysis inhibitor SP-4040 s
203814_s_at	NQO2	chr6pter	NAD(P)H dehydrogenase quinone 2
218789_s_at	FLJ20010	chr11q14	hypothetical protein FLJ20010
204241_at	ACOX3	chr4p15	acyl-Coenzyme A oxidase 3 pristanoyl
203675_at	NUCB2	chr11p15	nucleobindin 2
213695_at	PON3	chr7q21	paraoxonase 3
205048_s_at	PSPH	chr7p15	phosphoserine phosphatase
203913_s_at	HPGD	chr4q34	hydroxyprostaglandin dehydrogenase 15-(NAD)
213085_s_at	KIBRA	chr5q34	KIBRA protein
207717_s_at	PKP2	chr12p11	plakophilin 2
220030_at	STYK1	chr12p13	protein kinase STYK1
204044_at	QPRT	chr16p11	quinolinate phosphoribosyltransferase (nicotinate-
202502_at	ACADM	chr1p31	acyl-Coenzyme A dehydrogenase C-4 to C-12 straigh
201960_s_at	MYCBP2	chr13q22	MYC binding protein 2
212240_s_at	PIK3R1	chr5q13	phosphoinositide-3-kinase regulatory subunit 1 (p
209493_at	PDZK3	chr5p13	PDZ domain containing 3
204908_s_at	BCL3	chr19q13	B-cell CLL/lymphoma 3
201931_at	ETFA	chr15q23	electron-transfer-flavoprotein alpha polypeptide
205258_at	INHBB	chr2cen	inhibin beta B (activin AB beta polypeptide)
218189_s_at	NANS	chr9p24	N-acetylneuraminic acid synthase (sialic acid synt
221865_at	C9orf91	chr9q32	chromosome 9 open reading frame 91
208998_at	UCP2	chr11q13	uncoupling protein 2 (mitochondrial proton carrie
201412_at	LRP10	chr14q11	low density lipoprotein receptor-related protein 1
211612_s_at	IL13RA1	chrxq24	interleukin 13 receptor alpha 1
208890_s_at	PLXNB2	chr22q13	plexin B2
216733_s_at	GATM	chr15q21	glycine amidinotransferase (L-arginine:glycine ami
204333_s_at	AGA	chr4q32	aspartylglucosaminidase
203758_at	CTSO	chr4q31	cathepsin O
205198_s_at	ATP7A	chrxq13	ATPase Cu++ transporting alpha polypeptide (Menk
219115_s_at	IL20RA	chr6q22	interleukin 20 receptor alpha
205280_at	GLRB	chr4q31	glycine receptor beta
220187_at	TNFAIP9	chr7q21	tumor necrosis factor alpha-induced protein 9
202942_at	ETFB	chr19q13	electron-transfer-flavoprotein beta polypeptide
208702_x_at	APLP2	chr11q24	amyloid beta (A4) precursor-like protein 2
201963_at	ACSL1	chr4q34	acyl-CoA synthetase long-chain family member 1
205306_x_at	KMO	chr1q42	kynurenine 3-monooxygenase (kynurenine 3-hydroxyla
210046_s_at	IDH2	chr15q26	isocitrate dehydrogenase 2 (NADP+) mitochondrial
220615_s_at	MLSTD1	chr12p11	male sterility domain containing 1
203373_at	SOCS2	chr12q	suppressor of cytokine signaling 2
204151_x_at	AKR1C1	chr10p15	aldo-keto reductase family 1 member C1 (dihydrodi
209699_x_at	AKR1C2	chr10p15	aldo-keto reductase family 1 member C2 (dihydrodi
209160_at	AKR1C3	chr10p15	aldo-keto reductase family 1 member C3 (3-alpha h
219428_s_at	PXMP4	chr20q11	peroxisomal membrane protein 4 24kDa
206254_at	EGF	chr4q25	epidermal growth factor (beta-urogastrone)
200862_at	DHCR24	chr1p33	24-dehydrocholesterol reductase
201468_s_at	NQO1	chr16q22	NAD(P)H dehydrogenase quinone 1
201106_at	GPX4	chr19p13	glutathione peroxidase 4 (phospholipid hydroperoxi
206346_at	PRLR	chr5p14	prolactin receptor
202528_at	GALE	chr1p36	galactose-4-epimerase UDP-
202740_at	ACY1	chr3p21	aminoacylase 1
208818_s_at	COMT	chr22q11	catechol-O-methyltransferase
209048_s_at	PRKCBP1	chr20q13	protein kinase C binding protein 1
202109_at	ARFIP2	chr11p15	ADP-ribosylation factor interacting protein 2 (arf
212983_at	HRAS	chr11p15	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
211730_s_at	POLR2L	chr11p15	polymerase (RNA) II (DNA directed) polypeptide L
208737_at	ATP6V1G1	chr9q32	ATPase H+ transporting lysosomal 13kDa V1 subun
202738_s_at	PHKB	chr16q12	phosphorylase kinase beta
200961_at	SEPHS2	chr16p11	selenophosphate synthetase 2
202308_at	SREBF1	chr17p11	sterol regulatory element binding transcription fa
202201_at	BLVRB	chr19q13	biliverdin reductase B (flavin reductase (NADPH))
200832_s_at	SCD	chr10q23	stearoyl-CoA desaturase (delta-9-desaturase)
212218_s_at	FASN	chr17q25	fatty acid synthase
204942_s_at	ALDH3B2	chr11q13	aldehyde dehydrogenase 3 family member B2
201131_s_at	CDH1	chr16q22	cadherin 1 type 1 E-cadherin (epithelial)
212057_at	KIAA0182	chr16q24	KIAA0182 protein
219395_at	FLJ21918	chr16q22	hypothetical protein FLJ21918
210239_at	IRX5	chr16q11	iroquois homeobox protein 5
210056_at	RND1	chr12q12	Rho family GTPase 1
205498_at	GHR	chr5p13	growth hormone receptor
210319_x_at	MSX2	chr5q34	msh homeo box homolog 2 (Drosophila)
211110_s_at	AR	chrxq11	androgen receptor (dihydrotestosterone receptor; t
214079_at	DHRS2	chr14q11	dehydrogenase/reductase (SDR family) member 2
219736_at	TRIM36	chr5q22	tripartite motif-containing 36
