Probe Set	Genbank	Gene name	FC M/T	M	T	% of I	% of D	% of NC	Description
205666_at	NM_002021	FMO1	0.45	0.64	1.44	7.69	57.69	34.62	flavin containing monooxygenase 1
202994_s_at	Z95331	FBLN1	0.35	0.48	1.36	7.69	57.69	34.62	fibulin 1
209466_x_at	M57399	PTN	0.58	0.9	1.56	7.69	57.69	34.62	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
235210_s_at	AW662373	RPESP	0.57	1	1.75	7.69	57.69	34.62	RPE-spondin
204855_at	NM_002639	SERPINB5	0.24	0.65	2.69	3.85	57.69	38.46	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5
204304_s_at	NM_006017	PROM1	0.58	1.25	2.15	3.85	57.69	38.46	prominin 1
201141_at	NM_002510	GPNMB	0.6	0.76	1.28	3.85	57.69	38.46	glycoprotein (transmembrane) nmb
228462_at	AI928035	IRX2	0.41	0.54	1.31	0	57.69	42.31	iroquois homeobox protein 2
238623_at	AI633559	MAP3K4	0.37	0.52	1.41	0	57.69	42.31	mitogen-activated protein kinase kinase kinase 4
206552_s_at	NM_003182	TAC1	0.24	0.45	1.9	0	57.69	42.31	tachykinin, precursor 1 (substance K, substance P, neurokinin 1, neurokinin 2, neuromedin L, neurokinin alpha, neuropeptide K, neuropeptide gamma)
224996_at	N30209	MGC34646	0.67	0.79	1.17	0	57.69	42.31	hypothetical protein MGC34646
224694_at	AF279145	ANTXR1	0.67	0.77	1.15	23.08	61.54	15.38	anthrax toxin receptor 1
219410_at	NM_018004	FLJ10134	0.63	0.95	1.52	23.08	61.54	15.38	hypothetical protein FLJ10134
229554_at	AI141861	LUM	0.49	0.78	1.59	19.23	61.54	19.23	lumican
202403_s_at	AA788711	COL1A2	0.61	0.75	1.23	19.23	61.54	19.23	collagen, type I, alpha 2
223315_at	AF278532	NTN4	0.63	0.83	1.31	15.38	61.54	23.08	netrin 4
217764_s_at	AF183421	RAB31	0.74	0.87	1.17	15.38	61.54	23.08	RAB31, member RAS oncogene family
223204_at	AF260333	DKFZp434L142	0.61	0.7	1.15	15.38	61.54	23.08	hypothetical protein DKFZp434L142
221731_x_at	BF218922	CSPG2	0.45	0.62	1.39	15.38	61.54	23.08	chondroitin sulfate proteoglycan 2 (versican)
209101_at	M92934	CTGF	0.5	0.71	1.42	15.38	61.54	23.08	connective tissue growth factor
210095_s_at	M31159	IGFBP3	0.64	0.73	1.15	15.38	61.54	23.08	insulin-like growth factor binding protein 3
201744_s_at	NM_002345	LUM	0.55	0.68	1.25	11.54	61.54	26.92	lumican
218469_at	NM_013372	GREM1	0.57	0.77	1.34	11.54	61.54	26.92	gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)
200795_at	NM_004684	SPARCL1	0.61	0.72	1.18	11.54	61.54	26.92	SPARC-like 1 (mast9, hevin)
223121_s_at	AW003584	SFRP2	0.14	0.28	1.96	7.69	61.54	30.77	secreted frizzled-related protein 2
203700_s_at	NM_013989	DIO2	0.41	0.64	1.55	3.85	61.54	34.62	deiodinase, iodothyronine, type II
202554_s_at	AL527430	GSTM3	0.59	0.78	1.33	3.85	61.54	34.62	glutathione S-transferase M3 (brain)
205542_at	NM_012449	STEAP	0.48	0.7	1.45	3.85	61.54	34.62	six transmembrane epithelial antigen of the prostate
226847_at	BF438173	FST	0.19	0.36	1.85	0	61.54	38.46	follistatin
209167_at	AI419030	GPM6B	0.43	0.54	1.25	0	61.54	38.46	glycoprotein M6B
209335_at	AI281593	DCN	0.53	0.72	1.36	19.23	65.38	15.38	decorin
204320_at	NM_001854	COL11A1	0.23	0.48	2.09	19.23	65.38	15.38	collagen, type XI, alpha 1
44783_s_at	R61374	HEY1	0.7	0.85	1.22	15.38	65.38	19.23	hairy
202237_at	NM_006169	NNMT	0.6	0.72	1.21	11.54	65.38	23.08	nicotinamide N-methyltransferase
221730_at	NM_000393	COL5A2	0.51	0.68	1.32	11.54	65.38	23.08	collagen, type V, alpha 2
225275_at	AA053711	EDIL3	0.41	0.74	1.78	11.54	65.38	23.08	EGF-like repeats and discoidin I-like domains 3
222722_at	AV700059	OGN	0.28	0.49	1.77	11.54	65.38	23.08	osteoglycin (osteoinductive factor, mimecan)
204259_at	NM_002423	MMP7	0.32	0.66	2.03	7.69	65.38	26.92	matrix metalloproteinase 7 (matrilysin, uterine)
202291_s_at	NM_000900	MGP	0.45	0.67	1.5	7.69	65.38	26.92	matrix Gla protein
201893_x_at	AF138300	DCN	0.49	0.79	1.6	7.69	65.38	26.92	decorin
205381_at	NM_005824	LRRC17	0.43	0.78	1.82	7.69	65.38	26.92	leucine rich repeat containing 17
205226_at	NM_006207	PDGFRL	0.34	0.56	1.63	7.69	65.38	26.92	platelet-derived growth factor receptor-like
226769_at	AI802391	LOC387758	0.49	0.67	1.37	3.85	65.38	30.77	similar to RIKEN cDNA 1110018M03
209351_at	BC002690	KRT14	0.09	0.33	3.51	3.85	65.38	30.77	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)
223475_at	AF142573	LOC83690	0.39	0.8	2.05	3.85	65.38	30.77	CocoaCrisp
203889_at	NM_003020	SGNE1	0.48	0.68	1.4	0	65.38	34.62	secretory granule, neuroendocrine protein 1 (7B2 protein)
230147_at	AI378647	F2RL2	0.17	0.4	2.36	0	65.38	34.62	coagulation factor II (thrombin) receptor-like 2
37892_at	J04177	COL11A1	0.18	0.35	1.99	19.23	69.23	11.54	collagen, type XI, alpha 1
219087_at	NM_017680	ASPN	0.34	0.56	1.63	19.23	69.23	11.54	asporin (LRR class 1)
227070_at	W63754	LOC83468	0.37	0.55	1.51	11.54	69.23	19.23	gycosyltransferase
231240_at	AI038059	DIO2	0.33	0.68	2.09	11.54	69.23	19.23	deiodinase, iodothyronine, type II
229479_at	AI739132	---	0.37	0.64	1.73	7.69	69.23	23.08	Transcribed sequences
205624_at	NM_001870	CPA3	0.41	0.66	1.6	7.69	69.23	23.08	carboxypeptidase A3 (mast cell)
206026_s_at	NM_007115	TNFAIP6	0.38	0.52	1.36	3.85	69.23	26.92	tumor necrosis factor, alpha-induced protein 6
211737_x_at	BC005916	PTN	0.34	0.71	2.08	0	69.23	30.77	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
211896_s_at	AF138302	DCN	0.46	0.76	1.64	11.54	73.08	15.38	decorin
225681_at	AA584310	CTHRC1	0.43	0.53	1.22	11.54	73.08	15.38	collagen triple helix repeat containing 1
209596_at	AF245505	DKFZp564I1922	0.53	0.67	1.26	11.54	73.08	15.38	adlican
205828_at	NM_002422	MMP3	0.18	0.33	1.85	7.69	73.08	19.23	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
214927_at	AL359052	ITGBL1	0.34	0.54	1.57	7.69	73.08	19.23	integrin, beta-like 1 (with EGF-like repeat domains)
213680_at	AI831452	KRT6B	0.3	0.79	2.68	3.85	73.08	23.08	keratin 6B
210809_s_at	D13665	POSTN	0.33	0.44	1.34	3.85	73.08	23.08	periostin, osteoblast specific factor
206025_s_at	AW188198	TNFAIP6	0.4	0.57	1.41	3.85	73.08	23.08	tumor necrosis factor, alpha-induced protein 6
223122_s_at	AF311912	SFRP2	0.19	0.29	1.52	19.23	76.92	3.85	secreted frizzled-related protein 2
205422_s_at	NM_004791	ITGBL1	0.27	0.4	1.47	11.54	76.92	11.54	integrin, beta-like 1 (with EGF-like repeat domains)
202450_s_at	NM_000396	CTSK	0.42	0.69	1.63	7.69	76.92	15.38	cathepsin K (pycnodysostosis)
201525_at	NM_001647	APOD	0.33	0.63	1.9	0	76.92	23.08	apolipoprotein D
201185_at	NM_002775	PRSS11	0.46	0.72	1.56	11.54	80.77	7.69	protease, serine, 11 (IGF binding)
