Gene	Unigene title	Source mRNA	Class	Cluster
TNFRSF10D	Tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	NM_003840	Class II	Cluster 2
LOC152185	Hypothetical protein AY099107	NM_144718	Class II	Cluster 2
NMT2	N-myristoyltransferase 2	BC005232	Class II	Cluster 2
ENC1	Ectodermal-neural cortex (with BTB-like domain)	NM_003633	Class II	Cluster 2
ZNF529	Zinc finger protein 529	NM_020951	Class II	Cluster 2
NMT2	N-myristoyltransferase 2	BC005232	Class II	Cluster 2
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	BC006323	Class II	Cluster 2
KIF5B	Kinesin family member 5B	NM_004521	Class II	Cluster 1
HPSE	Heparanase	NM_006665	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	AF071594	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	NM_133334	Class II	Cluster 1
MGC24039	Hypothetical protein MGC24039	AL137364	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	AF071594	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	NM_133334	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	AF071594	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	NM_133334	Class II	Cluster 1
KIF5B	Kinesin family member 5B	NM_004521	Class II	Cluster 1
KIF5B	Kinesin family member 5B	NM_004521	Class II	Cluster 1
