Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with 5q- and normal
205812_s_at	HSGP25L2G	5q35.3	present at least in one case	present at least in one case
209328_x_at	HSPC111	5q35.3	present at least in one case	present at least in one case
203023_at	HSPC111	5q35.3	present at least in one case	present at least in one case
214011_s_at	HSPC111	5q35.3	present at least in one case	present at least in one case
236267_at	JAZ	5q35.3	present at least in one case	present at least in one case
222884_at	JAZ	5q35.3	present at least in one case	present at least in one case
206431_x_at	KIAA0676	5q35.3	present at least in one case	present at least in one case
212054_x_at	KIAA0676	5q35.3	present at least in one case	present at least in one case
215994_x_at	KIAA0676	5q35.3	present at least in one case	present at least in one case
212052_s_at	KIAA0676	5q35.3	present at least in one case	present at least in one case
203286_at	KIAA1100	5q35.3	present at least in one case	present at least in one case
224502_s_at	KIAA1191	5q35.3	present at least in one case	present at least in one case
217970_s_at	KIAA1194	5q35.3	present at least in one case	present at least in one case
222476_at	KIAA1194	5q35.3	present at least in one case	present at least in one case
229922_at	KIAA1893	5q35.3	absent in all cases	absent in all cases
236448_at	KIAA1976	5q35.3	absent in all cases	absent in all cases
243833_at	KIAA1976	5q35.3	absent in all cases	absent in all cases
232192_at	LOC153811	5q35.3	absent in all cases	absent in all cases
225654_at	LOC202347	5q35.3	present at least in one case	present at least in one case
236748_at	LOC255426	5q35.3	absent in all cases	absent in all cases
220341_s_at	LOC51149	5q35.3	absent in all cases	absent in all cases
219742_at	MGC10772	5q35.3	present at least in one case	present at least in one case
225235_at	MGC14859	5q35.3	present at least in one case	present at least in one case
226783_at	MGC15875	5q35.3	present at least in one case	present at least in one case
232488_at	MGC15875	5q35.3	present at least in one case	present at least in one case
226519_s_at	MGC15875	5q35.3	present at least in one case	present at least in one case
209327_s_at	MGC2198	5q35.3	present at least in one case	present at least in one case
213833_x_at	MGC2198	5q35.3	present at least in one case	present at least in one case
209329_x_at	MGC2198	5q35.3	present at least in one case	present at least in one case
221250_s_at	MXD3	5q35.3	absent in all cases	absent in all cases
214775_at	N4BP3	5q35.3	present at least in one case	present at least in one case
213297_at	NOLA2	5q35.3	present at least in one case	present at least in one case
209104_s_at	NOLA2	5q35.3	present at least in one case	present at least in one case
243612_at	NSD1	5q35.3	present at least in one case	present at least in one case
219084_at	NSD1	5q35.3	present at least in one case	present at least in one case
211166_at	NY-REN-7	5q35.3	absent in all cases	absent in all cases
214945_at	NY-REN-7	5q35.3	present at least in one case	present at least in one case
227975_at	PC-LKC	5q35.3	absent in all cases	absent in all cases
220186_s_at	PC-LKC	5q35.3	present at least in one case	present at least in one case
211223_at	PROP1	5q35.3	absent in all cases	absent in all cases
224232_s_at	PX19	5q35.3	present at least in one case	present at least in one case
223032_x_at	PX19	5q35.3	present at least in one case	present at least in one case
225251_at	RAB24	5q35.3	present at least in one case	present at least in one case
220746_s_at	RAP80	5q35.3	present at least in one case	present at least in one case
211021_s_at	RGS14	5q35.3	absent in all cases	absent in all cases
204280_at	RGS14	5q35.3	present at least in one case	present at least in one case
38290_at	RGS14	5q35.3	present at least in one case	present at least in one case
229179_at	RUFY1	5q35.3	absent in all cases	absent in all cases
218243_at	RUFY1	5q35.3	present at least in one case	present at least in one case
224623_at	THOC3	5q35.3	present at least in one case	present at least in one case
226445_s_at	TRIM41	5q35.3	present at least in one case	present at least in one case
221897_at	TRIM52	5q35.3	present at least in one case	present at least in one case
239694_at	TRIM7	5q35.3	present at least in one case	present at least in one case
223694_at	TRIM7	5q35.3	present at least in one case	present at least in one case
205427_at	ZNF354A	5q35.3	present at least in one case	present at least in one case
230168_at	ZNF354B	5q35.3	present at least in one case	present at least in one case
230378_at	SCGB3A1	5q35-qter	present at least in one case	present at least in one case
214454_at	ADAMTS2	5qter	present at least in one case	present at least in one case
214535_s_at	ADAMTS2	5qter	present at least in one case	present at least in one case
