in_house ID	RefSeq ID	annotation
GS3473	NM_025045	Homo sapiens hypothetical protein FLJ22582 (FLJ22582), mRNA.
GS15467	NM_016002	Homo sapiens CGI-49 protein (CGI-49), mRNA.
GS4169	NA	NA
GS4855	NM_138355	Homo sapiens hypothetical protein BC002980 (LOC90507), mRNA.
GS903	NM_003331	Homo sapiens tyrosine kinase 2 (TYK2), mRNA.
GS7181	NM_012255	Homo sapiens 5-3 exoribonuclease 2 (XRN2), mRNA.
GS4834	NM_014080	Homo sapiens dual oxidase 2 (DUOX2), mRNA.
GS8241	NM_014330	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit15A (PPP1R15A), mRNA.
LT114	NM_000368	TSC1(tuberous sclerosis 1)
GS976	NA	NA
GS11639	NM_007165	Homo sapiens splicing factor 3a, subunit 2, 66kDa (SF3A2), mRNA.
GS6991	NM_002811	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase,7 (Mov34 homolog) (PSMD7), mRNA.
GS3637	NM_080678	Homo sapiens NEDD8-conjugating enzyme (NCE2), mRNA.
GS2765	NM_000714	Homo sapiens benzodiazapine receptor (peripheral) (BZRP), nucleargene encoding mitochondrial protein, transcript variantPBR, mRNA.
GS997	NM_001614	Homo sapiens actin, gamma 1 (ACTG1), mRNA.
GS8478	NA	NA
GS2079	NM_001183	Homo sapiens ATPase, H+ transporting, lysosomal interacting protein 1(ATP6IP1), mRNA.
GS6626	NM_006469	Homo sapiens NS1-binding protein (NS1-BP), mRNA.
GS3819	NM_014320	Homo sapiens heme binding protein 2 (HEBP2), mRNA.
GS298	NM_078480	Homo sapiens fuse-binding protein-interacting repressor (SIAHBP1),transcript variant 1, mRNA.
GS6674	NM_001349	Homo sapiens aspartyl-tRNA synthetase (DARS), mRNA.
GS8704	NM_002291	Homo sapiens laminin, beta 1 (LAMB1), mRNA.
GS9955	NM_003090	Homo sapiens small nuclear ribonucleoprotein polypeptide A (SNRPA1),mRNA.
GS2716	NM_001071	Homo sapiens thymidylate synthetase (TYMS), mRNA.
GS12236	NM_006285	Homo sapiens testis-specific kinase 1 (TESK1), mRNA.
GS2958	NM_000405	Homo sapiens GM2 ganglioside activator protein (GM2A), mRNA.
GS10930	NA	NA
GS4139	NM_005998	Homo sapiens chaperonin containing TCP1, subunit 3 (gamma) (CCT3),mRNA.
GS15157	NM_014426	Homo sapiens sorting nexin 5 (SNX5), transcript variant 2, mRNA.
GS15707	NM_031450	Homo sapiens hypothetical protein p5326 (P5326), mRNA.
GS2272	NM_000034	Homo sapiens aldolase A, fructose-bisphosphate (ALDOA), mRNA.
GS4405	NM_000485	Homo sapiens adenine phosphoribosyltransferase (APRT), mRNA.
GS2327	NM_153649	Homo sapiens tropomyosin 3 (TPM3), mRNA.
GS3252	NM_080670	Homo sapiens similar to RIKEN cDNA 2610030J16 gene (MGC2541), mRNA.
GS6968	NM_007106	Homo sapiens ubiquitin-like 3 (UBL3), mRNA.
GS2292	NM_014730	Homo sapiens KIAA0152 gene product (KIAA0152), mRNA.
GS15060	NM_144631	Homo sapiens hypothetical protein FLJ32203 (FLJ32203), mRNA.
GS14874	NM_016175	Homo sapiens truncated calcium binding protein (LOC51149), mRNA.
GS15139	NM_001319	Homo sapiens casein kinase 1, gamma 2 (CSNK1G2), mRNA.
GS15286	NA	NA
GS7215	NM_002494	Homo sapiens NADH dehydrogenase (ubiquinone) 1, subcomplex unknown,1, 6kDa (NDUFC1), mRNA.
GS3297	NM_139181	Homo sapiens centaurin, delta 2 (CENTD2), transcript variant 1, mRNA.
GS8777	NM_007241	Homo sapiens EAP30 subunit of ELL complex (EAP30), mRNA.
GS15457	NM_014633	Homo sapiens KIAA0155 gene product (KIAA0155), mRNA.
GS499	NA	NA
LT55	L49169	G0S3 mRNA
GS233	NA	NA
GS2857	NA	NA
GS6508	NM_024042	Homo sapiens hypothetical protein MGC2601 (MGC2601), mRNA.
GS1233	NM_016127	Homo sapiens hypothetical protein MGC8721 (MGC8721), mRNA.
GS2121	NM_015965	Homo sapiens cell death-regulatory protein GRIM19 (GRIM19), mRNA.
GS10798	NM_016057	Homo sapiens CGI-120 protein (COPZ1), mRNA.
GS3472	NM_001153	Homo sapiens annexin A4 (ANXA4), mRNA.
GS14583	NM_152826	Homo sapiens sorting nexin 1 (SNX1), transcript variant 3, mRNA.
GS19	NM_004584	Homo sapiens RAD9 homolog (S. pombe) (RAD9), mRNA.
GS8135	NM_020189	Homo sapiens DC6 protein (DC6), mRNA.
GS14169	NM_000925	Homo sapiens pyruvate dehydrogenase (lipoamide) beta (PDHB), mRNA.
GS15660	NG_001019	Homo sapiens immunoglobulin heavy locus (IGH.1@) on chromosome 14.
GS6364	NA	NA
GS109	NM_033491	Homo sapiens cell division cycle 2-like 1 (PITSLRE proteins)(CDC2L1), transcript variant 7, mRNA.
GS15864	NM_018081	Homo sapiens hypothetical protein FLJ10385 (FLJ10385), mRNA.
GS6934	NM_019088	Homo sapiens hypothetical protein F23149_1 (F23149_1), mRNA.
GS610	NA	NA
GS15756	NM_003851	Homo sapiens cellular repressor of E1A-stimulated genes (CREG),mRNA.
GS3108	NA	NA
GS8140	NM_001677	Homo sapiens ATPase, Na+/K+ transporting, beta 1 polypeptide(ATP1B1), mRNA.
GS1280	NM_021102	Homo sapiens serine protease inhibitor, Kunitz type, 2 (SPINT2),mRNA.
GS15716	NM_018174	Homo sapiens VCY2 interacting protein 1 (VCY2IP1), mRNA.
GS3291	NM_012459	Homo sapiens translocase of inner mitochondrial membrane 8 homologB (yeast) (TIMM8B), mRNA.
GS1486	NM_002893	Homo sapiens retinoblastoma binding protein 7 (RBBP7), mRNA.
GS14168	NM_014180	Homo sapiens mitochondrial ribosomal protein L22 (MRPL22), nucleargene encoding mitochondrial protein, mRNA.
GS3741	NM_003375	Homo sapiens voltage-dependent anion channel 2 (VDAC2), mRNA.
GS15097	NM_032712	Homo sapiens hypothetical protein MGC13170 (MGC13170), mRNA.
GS7267	NM_002939	Homo sapiens ribonuclease/angiogenin inhibitor (RNH), mRNA.
GS10002	NM_005165	Homo sapiens aldolase C, fructose-bisphosphate (ALDOC), mRNA.
GS15199	NM_018249	Homo sapiens CDK5 regulatory subunit associated protein 2 (CDK5RAP2),mRNA.
LT48	U42349	N33 mRNA
GS1961	NG_001336	Homo sapiens T cell receptor gamma locus (TRG@) on chromosome 7.
GS11514	NM_024038	Homo sapiens hypothetical protein MGC2803 (MGC2803), mRNA.
GS2884	NM_004552	Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa(NADH-coenzyme Q reductase) (NDUFS5), mRNA.
GS6755	NM_002061	Homo sapiens glutamate-cysteine ligase, modifier subunit (GCLM),mRNA.
GS3881	NM_003757	Homo sapiens eukaryotic translation initiation factor 3, subunit 2beta, 36kDa (EIF3S2), mRNA.
GS15093	NM_002084	Homo sapiens glutathione peroxidase 3 (plasma) (GPX3), mRNA.
GS14904	NM_016328	Homo sapiens GTF2I repeat domain containing 1 (GTF2IRD1), transcriptvariant 1, mRNA.
GS11909	NM_006520	Homo sapiens t-complex-associated-testis-expressed 1-like (TCTE1L),mRNA.
GS15602	NM_153613	Homo sapiens PlSC domain containing hypothetical protein (LOC254531),mRNA.
GS4957	NM_024729	Homo sapiens hypothetical protein FLJ13881 (FLJ13881), mRNA.
GS12902	NM_004408	Homo sapiens dynamin 1 (DNM1), mRNA.
GS3417	NM_032308	Homo sapiens hypothetical protein MGC4189 (MGC4189), mRNA.
GS15176	NM_017996	Homo sapiens hypothetical protein FLJ10103 (FLJ10103), mRNA.
GS2842	NA	NA
LT67	Z36531	fibrinogen-like protein (pT49 protein)
GS3896	NM_017815	Homo sapiens chromosome 14 open reading frame 94 (C14orf94), mRNA.
GS13496	NM_024800	Homo sapiens NIMA (never in mitosis gene a)- related kinase 11(NEK11), mRNA.
GS3196	NM_002796	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 4(PSMB4), mRNA.
GS3088	NM_004343	Homo sapiens calreticulin (CALR), mRNA.
GS3153	NM_004607	Homo sapiens tubulin-specific chaperone a (TBCA), mRNA.
GS6137	NM_019895	Homo sapiens chromosome 3 open reading frame 4 (C3orf4), mRNA.
GS14651	NM_000938	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide B, 140kDa(POLR2B), mRNA.
GS6886	NA	NA
GS3910	NM_052875	Homo sapiens hypothetical protein MGC10485 (MGC10485), mRNA.
GS3823	NM_001909	Homo sapiens cathepsin D (lysosomal aspartyl protease) (CTSD), mRNA.
GS15325	NA	NA
GS4042	NA	NA
GS15001	NM_030914	Homo sapiens hypothetical protein MGC2668 (MGC2668), mRNA.
GS15649	NA	NA
GS15057	NM_005655	Homo sapiens TGFB inducible early growth response (TIEG), mRNA.
GS8691	NM_002646	Homo sapiens phosphoinositide-3-kinase, class 2, beta polypeptide(PIK3C2B), mRNA.
GS15249	NM_004622	Homo sapiens translin (TSN), mRNA.
GS2003	NM_004563	Homo sapiens phosphoenolpyruvate carboxykinase 2 (mitochondrial)(PCK2), mRNA.
GS1371	NM_020317	Homo sapiens hypothetical protein dJ465N24.2.1 (DJ465N24.2.1), mRNA.
GS2995	NM_017798	Homo sapiens chromosome 20 open reading frame 21 (C20orf21), mRNA.
GS15800	NM_020185	Homo sapiens mitogen-activated protein kinase phosphatase x (MKPX),mRNA.
GS9340	NM_031918	Homo sapiens Kruppel-like factor 16 (KLF16), mRNA.
GS16630	NM_015373	Homo sapiens chromosome 22 open reading frame 2 (C22orf2), mRNA.
GS3225	NM_020232	Homo sapiens hepatocellular carcinoma susceptibility protein (HCCA3),mRNA.
GS567	NM_006357	Homo sapiens ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog,yeast) (UBE2E3), mRNA.
GS3573	NM_145729	Homo sapiens mitochondrial ribosomal protein L24 (MRPL24), nucleargene encoding mitochondrial protein, transcript variant1, mRNA.
GS7684	NA	NA
LT142	NM_002276	KRT19(keratin 19)
GS4029	NM_004864	Homo sapiens prostate differentiation factor (PLAB), mRNA.
GS2622	NA	NA
GS3191	NA	NA
GS9301	NM_019853	Homo sapiens protein phosphatase 4, regulatory subunit 2 (PPP4R2),mRNA.
GS10207	NM_005973	Homo sapiens papillary renal cell carcinoma(translocation-associated) (PRCC), mRNA.
GS630	NM_000628	Homo sapiens interleukin 10 receptor, beta (IL10RB), mRNA.
GS12514	NM_006621	Homo sapiens S-adenosylhomocysteine hydrolase-like 1 (AHCYL1), mRNA.
GS3296	NM_002773	Homo sapiens protease, serine, 8 (prostasin) (PRSS8), mRNA.
GS1328	NA	NA
LT145	NM_004448	ERBB2(v-erb-b2 erythroblastic leukemia viral oncogene)
GS15576	NM_014426	Homo sapiens sorting nexin 5 (SNX5), transcript variant 2, mRNA.
GS12668	NM_003040	Homo sapiens solute carrier family 4, anion exchanger, member 2(erythrocyte membrane protein band 3-like 1) (SLC4A2),mRNA.
GS13817	NG_000937	Homo sapiens striated muscle contraction regulatory protein (ID2B)pseudogene.
GS5263	NM_021126	Homo sapiens mercaptopyruvate sulfurtransferase (MPST), mRNA.
GS7554	NM_006704	Homo sapiens SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)(SUGT1), mRNA.
GS14846	NM_016055	Homo sapiens mitochondrial ribosomal protein L48 (MRPL48), nucleargene encoding mitochondrial protein, mRNA.
GS14939	NM_006606	Homo sapiens retinoblastoma binding protein 9 (RBBP9), transcriptvariant 1, mRNA.
GS1017	NA	NA
GS118	NM_006407	Homo sapiens vitamin A responsive; cytoskeleton related (JWA), mRNA.
GS3623	NM_001355	Homo sapiens D-dopachrome tautomerase (DDT), mRNA.
GS15275	NM_005808	Homo sapiens HYA22 protein (HYA22), mRNA.
GS4183	NM_006337	Homo sapiens microspherule protein 1 (MCRS1), mRNA.
GS15241	NM_006377	Homo sapiens unc-13-like (C. elegans) (UNC13), mRNA.
GS3903	NM_015511	Homo sapiens chromosome 20 open reading frame 4 (C20orf4), mRNA.
GS8620	NM_148416	Homo sapiens ataxin 2 related protein (A2LP), transcript variant E,mRNA.
GS3373	NM_032928	Homo sapiens hypothetical protein MGC14141 (MGC14141), mRNA.
LT42	X93510	37 kDa LIM domain protein
GS168	NA	NA
GS11084	NM_003908	Homo sapiens eukaryotic translation initiation factor 2, subunit 2beta, 38kDa (EIF2S2), mRNA.
GS15180	NM_020168	Homo sapiens p21(CDKN1A)-activated kinase 6 (PAK6), mRNA.
GS14790	NM_020216	Homo sapiens arginyl aminopeptidase (aminopeptidase B) (RNPEP), mRNA.
GS2707	NM_006325	Homo sapiens RAN, member RAS oncogene family (RAN), mRNA.
GS15232	NM_016598	Homo sapiens zinc finger, DHHC domain containing 3 (ZDHHC3), mRNA.
GS3014	NM_021095	Homo sapiens solute carrier family 5 (sodium-dependent vitamintransporter), member 6 (SLC5A6), mRNA.
GS2495	NM_002778	Homo sapiens prosaposin (variant Gaucher disease and variantmetachromatic leukodystrophy) (PSAP), mRNA.
GS15513	NM_017874	Homo sapiens chromosome 20 open reading frame 27 (C20orf27), mRNA.
GS2390	NM_030751	Homo sapiens transcription factor 8 (represses interleukin 2expression) (TCF8), mRNA.
GS3901	NM_014027	Homo sapiens HSPC018 protein (HSPC018), mRNA.
GS1290	NM_007284	Homo sapiens protein tyrosine kinase 9-like (A6-related protein)(PTK9L), mRNA.
GS1997	NM_002537	Homo sapiens ornithine decarboxylase antizyme 2 (OAZ2), mRNA.
GS6132	NM_020904	Homo sapiens pleckstrin homology domain containing, family A(phosphoinositide binding specific) member 4 (PLEKHA4),mRNA.
GS3652	NM_005863	Homo sapiens neuroepithelial cell transforming gene 1 (NET1), mRNA.
GS6704		-
GS15353	NA	NA
GS4306	NM_022763	Homo sapiens hypothetical protein FLJ23399 (FLJ23399), mRNA.
GS3882	NA	NA
GS10501	NM_024706	Homo sapiens hypothetical protein FLJ13479 (FLJ13479), mRNA.
GS15701	NM_018229	Homo sapiens chromosome 14 open reading frame 108 (C14orf108), mRNA.
GS14800	NM_000901	Homo sapiens nuclear receptor subfamily 3, group C, member 2 (NR3C2),mRNA.
LT2	BC000312	Homo sapiens, cyclin-dependent kinase inhibitor 1A (p21, Cip1), clone MGC:8428 IMAGE:2821049, mRNA, complete cds.
GS15548	NM_138811	Homo sapiens hypothetical protein BC015397 (LOC136895), mRNA.
GS6261	NM_001697	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1complex, O subunit (oligomycin sensitivity conferringprotein) (ATP5O), mRNA.
GS10388	NM_002095	Homo sapiens general transcription factor IIE, polypeptide 2 (betasubunit, 34kD) (GTF2E2), mRNA.
GS4535	NM_016322	Homo sapiens RAB14, member RAS oncogene family (RAB14), mRNA.
GS121	NM_000990	Homo sapiens ribosomal protein L27a (RPL27A), mRNA.
GS14251	NM_016029	Homo sapiens retinal short-chain dehydrogenase/reductase 4 (retSDR4),mRNA.
GS2736	NM_016407	Homo sapiens chromosome 20 open reading frame 43 (C20orf43), mRNA.
GS3801	NM_002419	Homo sapiens mitogen-activated protein kinase kinase kinase 11(MAP3K11), mRNA.
GS14844	NM_022731	Homo sapiens similar to rat nuclear ubiquitous casein kinase 2(NUCKS), mRNA.
GS4024	NM_004698	Homo sapiens U4/U6-associated RNA splicing factor (HPRP3P), mRNA.
GS3454	NM_005809	Homo sapiens peroxiredoxin 2 (PRDX2), mRNA.
GS3276	NM_052946	Homo sapiens NOSTRIN (NOSTRIN), mRNA.
GS4128	NM_007002	Homo sapiens adhesion regulating molecule 1 (ADRM1), mRNA.
GS4201	NM_003017	Homo sapiens splicing factor, arginine/serine-rich 3 (SFRS3), mRNA.
GS11924	NM_003144	Homo sapiens signal sequence receptor, alpha (translocon-associatedprotein alpha) (SSR1), mRNA.
GS7483	NM_016331	Homo sapiens zinc finger protein ANC_2H01 (LOC51193), mRNA.
GS5897	NM_080630	Homo sapiens collagen, type XI, alpha 1 (COL11A1), transcript variantC, mRNA.
GS4695	NM_152235	Homo sapiens splicing factor, arginine/serine-rich 8(suppressor-of-white-apricot homolog, Drosophila)(SFRS8), transcript variant 2B, mRNA.
GS3876	NM_004404	Homo sapiens neural precursor cell expressed, developmentallydown-regulated 5 (NEDD5), mRNA.
GS9661	NM_030810	Homo sapiens thioredoxin related protein (MGC3178), mRNA.
GS15825	NM_138417	Homo sapiens hypothetical protein BC012173 (LOC112970), mRNA.
GS14997	NA	NA
GS1778	NA	NA
GS3744	NA	NA
GS3443	NM_003710	Homo sapiens serine protease inhibitor, Kunitz type 1 (SPINT1), mRNA.
GS2811	NA	NA
GS15821	NM_002271	Homo sapiens karyopherin (importin) beta 3 (KPNB3), mRNA.
GS1407	NM_015726	Homo sapiens H326 (H326), mRNA.
GS3502	NA	NA
GS6548	NM_024051	Homo sapiens hypothetical protein MGC3077 (MGC3077), mRNA.
GS6984	NM_024613	Homo sapiens phafin 2 (FLJ13187), mRNA.
GS6257	NM_001975	Homo sapiens enolase 2, (gamma, neuronal) (ENO2), mRNA.
GS15299	NM_018267	Homo sapiens H2A histone family, member J (H2AFJ), mRNA.
GS15081	NM_148571	Homo sapiens mitochondrial ribosomal protein L27 (MRPL27), nucleargene encoding mitochondrial protein, transcript variant2, mRNA.
GS14829	NM_005099	Homo sapiens a disintegrin-like and metalloprotease (reprolysin type)with thrombospondin type 1 motif, 4 (ADAMTS4), mRNA.
GS14883	NM_080546	Homo sapiens CDw92 antigen (CDW92), mRNA.
GS14130	NM_014776	Homo sapiens G protein-coupled receptor kinase-interactor 2 (GIT2),transcript variant 3, mRNA.
GS2062	NM_005718	Homo sapiens actin related protein 2/3 complex, subunit 4, 20kDa(ARPC4), mRNA.
GS15067	NM_014034	Homo sapiens DKFZP547E2110 protein (DKFZP547E2110), mRNA.
GS7970	NM_033414	Homo sapiens zinc finger-like protein 9 (ZPR9), mRNA.
GS3971	NM_016234	Homo sapiens fatty-acid-Coenzyme A ligase, long-chain 5 (FACL5),mRNA.
LT36	Y00503	keratin 19
GS1849	NM_018491	Homo sapiens COBW-like protein (LOC55871), mRNA.
GS3143	NM_012244	Homo sapiens solute carrier family 7 (cationic amino acidtransporter, y+ system), member 8 (SLC7A8), mRNA.
GS210	NM_001207	Homo sapiens basic transcription factor 3 (BTF3), mRNA.
GS2415	NM_170770	Homo sapiens HZFw1 protein (HZFW1), transcript variant 3, mRNA.
GS15120	NM_006837	Homo sapiens COP9 constitutive photomorphogenic homolog subunit 5(Arabidopsis) (COPS5), mRNA.
GS1812	NM_006824	Homo sapiens EBNA1 binding protein 2 (EBNA1BP2), mRNA.
GS3752	NA	NA
GS2213	NM_006372	Homo sapiens NS1-associated protein 1 (NSAP1), mRNA.
GS623	NM_002787	Homo sapiens proteasome (prosome, macropain) subunit, alpha type, 2(PSMA2), mRNA.
GS12220	NA	NA
GS2094	NM_002026	Homo sapiens fibronectin 1 (FN1), transcript variant 1, mRNA.
LT128	NM_005359	MADH4(MAD, mothers against decapentaplegic homolog 4)
GS2672	NA	NA
GS15863	NM_017885	Homo sapiens HCF-1 beta-propeller interacting protein (HPIP), mRNA.
GS2838	NM_007355	Homo sapiens heat shock 90kDa protein 1, beta (HSPCB), mRNA.
GS597	NM_003134	Homo sapiens signal recognition particle 14kDa (homologous Alu RNAbinding protein) (SRP14), mRNA.
GS1357	NM_004710	Homo sapiens synaptogyrin 2 (SYNGR2), mRNA.
LT109	NM_000551	VHL(elogin binding protein)
GS2246	NM_013442	Homo sapiens stomatin (EPB72)-like 2 (STOML2), mRNA.
GS3186	NM_145040	Homo sapiens protein kinase C, delta binding protein (PRKCDBP), mRNA.
LT20	NM_001758	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
GS2744	NM_003102	Homo sapiens superoxide dismutase 3, extracellular (SOD3), mRNA.
GS525	NA	NA
GS3874	NM_002004	Homo sapiens farnesyl diphosphate synthase (farnesyl pyrophosphatesynthetase, dimethylallyltranstransferase,geranyltranstransferase) (FDPS), mRNA.
GS9988	NM_025113	Homo sapiens hypothetical protein FLJ21562 (FLJ21562), mRNA.
GS3587	NM_014245	Homo sapiens ring finger protein 7 (RNF7), mRNA.
GS14808	NM_002857	Homo sapiens peroxisomal farnesylated protein (PXF), mRNA.
GS3001	NM_022442	Homo sapiens ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1),transcript variant 3, mRNA.
GS15088	NM_002594	Homo sapiens proprotein convertase subtilisin/kexin type 2 (PCSK2),mRNA.
GS3771	NM_022821	Homo sapiens elongation of very long chain fatty acids (FEN1/Elo2,SUR4/Elo3, yeast)-like 1 (ELOVL1), mRNA.
GS15050	NM_002546	Homo sapiens tumor necrosis factor receptor superfamily, member 11b(osteoprotegerin) (TNFRSF11B), mRNA.
GS15265	NM_014374	Homo sapiens replication initiation region protein (60kD) (RIP60),mRNA.
GS1246	NM_153826	Homo sapiens membrane cofactor protein (CD46, trophoblast-lymphocytecross-reactive antigen) (MCP), mRNA.
GS3298	NM_004643	Homo sapiens poly(A) binding protein, nuclear 1 (PABPN1), mRNA.
GS4934	NA	NA
GS647	NM_003720	Homo sapiens Down syndrome critical region gene 2 (DSCR2), mRNA.
GS15216	NM_004229	Homo sapiens cofactor required for Sp1 transcriptional activation,subunit 2, 150kDa (CRSP2), mRNA.
GS14106	NM_004730	Homo sapiens eukaryotic translation termination factor 1 (ETF1),mRNA.
GS8286	NM_003166	Homo sapiens sulfotransferase family, cytosolic, 1A,phenol-preferring, member 3 (SULT1A3), mRNA.
GS3335	NM_018098	Homo sapiens epithelial cell transforming sequence 2 oncogene (ECT2),mRNA.
GS14577	NM_020414	Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 24 (DDX24),mRNA.
GS9084	NM_021141	Homo sapiens X-ray repair complementing defective repair in Chinesehamster cells 5 (double-strand-break rejoining; Kuautoantigen, 80kDa) (XRCC5), mRNA.
LT1	M73554	Human bcl-1 mRNA, complete CDS
GS14983	NM_058004	Homo sapiens phosphatidylinositol 4-kinase, catalytic, alphapolypeptide (PIK4CA), transcript variant 2, mRNA.
LT84	NM_001259	cyclin-dependent kinase 6
GS15398	NM_005026	Homo sapiens phosphoinositide-3-kinase, catalytic, delta polypeptide(PIK3CD), mRNA.
GS280	NA	NA
GS5367	NM_001553	Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7),mRNA.
GS1547	NA	NA
GS6475	NM_006807	Homo sapiens chromobox homolog 1 (HP1 beta homolog Drosophila )(CBX1), mRNA.
GS15782	NM_144568	Homo sapiens chromosome 14 open reading frame 9 (C14orf9), mRNA.
GS6664	NM_004099	Homo sapiens stomatin (STOM), mRNA.
GS7272	NA	NA
GS130	NM_001012	Homo sapiens ribosomal protein S8 (RPS8), mRNA.
GS15021	NM_016038	Homo sapiens CGI-97 protein (CGI-97), mRNA.
GS3765	NM_054016	Homo sapiens FUS interacting protein (serine-arginine rich) 1(FUSIP1), transcript variant 2, mRNA.
GS11695	NM_032569	Homo sapiens cytokine-like nuclear factor n-pac (N-PAC), mRNA.
GS7501	NM_020474	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptideN-acetylgalactosaminyltransferase 1 (GalNAc-T1) (GALNT1),mRNA.
GS526	NA	NA
GS4064	NM_032704	Homo sapiens tubulin alpha 6 (TUBA6), mRNA.
GS4522	NM_003347	Homo sapiens ubiquitin-conjugating enzyme E2L 3 (UBE2L3), mRNA.
GS4660	NM_017828	Homo sapiens hypothetical protein FLJ20452 (FLJ20452), mRNA.
GS6409	NM_138793	Homo sapiens Ca2+-dependent endoplasmic reticulum nucleosidediphosphatase (SHAPY), mRNA.
LT19	NM_004448	v-erb-b2 erythroblastic leukemia viral oncogene
GS2654	NM_020444	Homo sapiens KIAA1191 protein (KIAA1191), mRNA.
GS2986	NM_002094	Homo sapiens G1 to S phase transition 1 (GSPT1), mRNA.
GS2904	NM_002452	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-typemotif 1 (NUDT1), mRNA.
GS10327	NA	NA
GS15879	NM_147173	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-typemotif 2 (NUDT2), transcript variant 3, mRNA.
GS12049	NM_006077	Homo sapiens calcium binding atopy-related autoantigen 1 (CBARA1),mRNA.
GS4261	NA	NA
GS12363	NM_006164	Homo sapiens nuclear factor (erythroid-derived 2)-like 2 (NFE2L2),mRNA.
GS15245	NM_015922	Homo sapiens NAD(P) dependent steroid dehydrogenase-like; H105e3(H105E3), mRNA.
GS3012	NA	NA
GS3360	NM_018291	Homo sapiens hypothetical protein FLJ10986 (FLJ10986), mRNA.
GS15586	NM_022450	Homo sapiens likely ortholog of mouse epidermal growth factorreceptor, related sequence (EGFR-RS), mRNA.
GS4127	NM_003321	Homo sapiens Tu translation elongation factor, mitochondrial (TUFM),mRNA.
GS1756	NM_014020	Homo sapiens LR8 protein (LR8), mRNA.
GS7458	NA	NA
GS2303	NM_000690	Homo sapiens aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2),nuclear gene encoding mitochondrial protein, mRNA.
GS15294	NM_022082	Homo sapiens chromosome 20 open reading frame 59 (C20orf59), mRNA.
GS4637	NM_020531	Homo sapiens chromosome 20 open reading frame 3 (C20orf3), mRNA.
GS9238	NM_001607	Homo sapiens acetyl-Coenzyme A acyltransferase 1 (peroxisomal3-oxoacyl-Coenzyme A thiolase) (ACAA1), nuclear geneencoding mitochondrial protein, mRNA.
GS8389	NM_003562	Homo sapiens solute carrier family 25 (mitochondrial carrier;oxoglutarate carrier), member 11 (SLC25A11), mRNA.
GS15901	NM_002105	Homo sapiens H2A histone family, member X (H2AFX), mRNA.
GS3958	NM_030798	Homo sapiens Williams-Beuren syndrome chromosome region 16 (WBSCR16),transcript variant 1, mRNA.
GS6935	NM_006854	Homo sapiens KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum proteinretention receptor 2 (KDELR2), mRNA.
GS4549	NM_017778	Homo sapiens Wolf-Hirschhorn syndrome candidate 1-like 1 (WHSC1L1),transcript variant short, mRNA.
GS11600	NM_005079	Homo sapiens tumor protein D52 (TPD52), mRNA.
GS3158	NM_016185	Homo sapiens hematological and neurological expressed 1 (HN1),mRNA.
GS1051	NA	NA
GS3836	NA	NA
GS1861	NM_006088	Homo sapiens tubulin, beta, 2 (TUBB2), mRNA.
GS15253	NM_004622	Homo sapiens translin (TSN), mRNA.
GS3607	NM_031266	Homo sapiens heterogeneous nuclear ribonucleoprotein A/B (HNRPAB),transcript variant 1, mRNA.
GS3427	NM_015701	Homo sapiens hypothetical protein CL25084 (CL25084), mRNA.
GS13575	NM_139078	Homo sapiens mitogen-activated protein kinase-activated proteinkinase 5 (MAPKAPK5), transcript variant 2, mRNA.
GS3769	NM_006003	Homo sapiens ubiquinol-cytochrome c reductase, Rieske iron-sulfurpolypeptide 1 (UQCRFS1), nuclear gene encodingmitochondrial protein, mRNA.
GS726	NM_002117	Homo sapiens major histocompatibility complex, class I, C (HLA-C),mRNA.
GS15068	NM_032273	Homo sapiens hypothetical protein DKFZp586C1924 (DKFZp586C1924),mRNA.
GS3484	NA	NA
GS10291	NM_004396	Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNAhelicase, 68kDa) (DDX5), mRNA.
GS4824	NM_012192	Homo sapiens fracture callus 1 homolog (rat) (FXC1), mRNA.
GS8388	NM_002765	Homo sapiens phosphoribosyl pyrophosphate synthetase 2 (PRPS2), mRNA.
GS10677	NM_005787	Homo sapiens Not56 (D. melanogaster)-like protein (NOT56L), mRNA.
GS12054	NM_031458	Homo sapiens B aggressive lymphoma gene (BAL), mRNA.
GS14768	NM_153607	Homo sapiens adult retina protein (LOC153222), mRNA.
GS2008	NA	NA
GS1670	NM_013330	Homo sapiens NME7 (NME7), mRNA.
GS4097	NA	NA
