Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
218526_s_at	NM_014185	29098	homolog of yeast MOG1			|17|17p|	gb:NM_014185.1 /DEF=Homo sapiens HSPC165 protein (HSPC165), mRNA. /FEA=mRNA /GEN=HSPC165 /PROD=HSPC165 protein /DB_XREF=gi:7661825 /UG=Hs.13605 HSPC165 protein /FL=gb:AF161514.1 gb:AF151070.1 gb:NM_014185.1 gb:NM_016492.1 gb:AF168714.1 gb:AF265206.1
218528_s_at	NM_022781	64796	hypothetical protein FLJ21343			|9|9p|9p11|	gb:NM_022781.1 /DEF=Homo sapiens hypothetical protein FLJ21343 (FLJ21343), mRNA. /FEA=mRNA /GEN=FLJ21343 /PROD=hypothetical protein FLJ21343 /DB_XREF=gi:12232470 /UG=Hs.77823 hypothetical protein FLJ21343 /FL=gb:AL136817.1 gb:NM_022781.1
218530_at	NM_013241	29109	FH1/FH2 domain-containing protein	|5634|5622|5623|5737|	|2181|	|16|16q|	gb:NM_013241.1 /DEF=Homo sapiens FH1FH2 domain-containing protein (FHOS), mRNA. /FEA=mRNA /GEN=FHOS /PROD=FH1FH2 domain-containing protein /DB_XREF=gi:7019374 /UG=Hs.95231 FH1FH2 domain-containing protein /FL=gb:AF113615.1 gb:NM_013241.1
218596_at	NM_018201	54662	hypothetical protein FLJ10743		|566|	|9|9q|9q34|	gb:NM_018201.1 /DEF=Homo sapiens hypothetical protein FLJ10743 (FLJ10743), mRNA. /FEA=mRNA /GEN=FLJ10743 /PROD=hypothetical protein FLJ10743 /DB_XREF=gi:8922634 /UG=Hs.3376 hypothetical protein FLJ10743 /FL=gb:NM_018201.1
218597_s_at	NM_018464	55847	uncharacterized hematopoietic stem/progenitor cells protein MDS029			|10|10q|10q11|	gb:NM_018464.1 /DEF=Homo sapiens uncharacterized hematopoietic stemprogenitor cells protein MDS029 (MDS029), mRNA.  /FEA=mRNA /GEN=MDS029 /PROD=uncharacterized hematopoietic stemprogenitorcells protein MDS029 /DB_XREF=gi:8923929 /UG=Hs.43549 uncharacteri
218627_at	NM_018370	55332	hypothetical protein FLJ11259			|12|12q|12q23|	gb:NM_018370.1 /DEF=Homo sapiens hypothetical protein FLJ11259 (FLJ11259), mRNA. /FEA=mRNA /GEN=FLJ11259 /PROD=hypothetical protein FLJ11259 /DB_XREF=gi:8922957 /UG=Hs.184465 hypothetical protein FLJ11259 /FL=gb:NM_018370.1
218629_at	NM_005631	6608	smoothened homolog (Drosophila)	|4872|4871|5515|5488|5624|267|5623|7165|7154|7275|16021|16020|8151|	|1284|2|1392|1534|	|7|7q|7q32|	gb:NM_005631.1 /DEF=Homo sapiens smoothened (Drosophila) homolog (SMOH), mRNA. /FEA=mRNA /GEN=SMOH /PROD=smoothened (Drosophila) homolog /DB_XREF=gi:5032098 /UG=Hs.197366 smoothened (Drosophila) homolog /FL=gb:U84401.1 gb:NM_005631.1 gb:AF120103.1
218631_at	NM_021732	60370	hypothetical protein PP5395			|10|10q|10q24|	gb:NM_021732.1 /DEF=Homo sapiens hypothetical protein PP5395 (PP5395), mRNA. /FEA=mRNA /GEN=PP5395 /PROD=hypothetical protein PP5395 /DB_XREF=gi:11119427 /UG=Hs.23918 hypothetical protein PP5395 /FL=gb:NM_021732.1 gb:AF241786.1 gb:BC000877.1
218638_s_at	NM_012445	10417	spondin 2, extracellular matrix protein	|7411|8037|7154|7409|7399|7398|7397|7345|7275|5615|5576|		|4|4p|4p16|	gb:NM_012445.1 /DEF=Homo sapiens spondin 2, extracellular matrix protein (SPON2), mRNA. /FEA=mRNA /GEN=SPON2 /PROD=spondin 2, extracellular matrix protein /DB_XREF=gi:6912681 /UG=Hs.288126 spondin 2, extracellular matrix protein /FL=gb:BC002707.1 gb:AB02
218656_s_at	NM_005780	10186	lipoma HMGIC fusion partner	|3677|3676|		|13|13q|	gb:NM_005780.1 /DEF=Homo sapiens lipoma HMGIC fusion partner (LHFP), mRNA. /FEA=mRNA /GEN=LHFP /PROD=lipoma HMGIC fusion partner /DB_XREF=gi:5031864 /UG=Hs.93765 lipoma HMGIC fusion partner /FL=gb:AF098807.1 gb:NM_005780.1
218660_at	NM_003494	8291	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	|5886|5622|5623|16020|6936|6928|8151|	|168|	|2|2p|2p13|	gb:NM_003494.1 /DEF=Homo sapiens dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) (DYSF), mRNA.  /FEA=mRNA /GEN=DYSF /PROD=dysferlin /DB_XREF=gi:4503430 /UG=Hs.143897 dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) /F
218665_at	NM_012193	8322	frizzled homolog 4 (Drosophila)	|16021|16020|5623|4888|4872|4871|16055|7166|7165|7154|	|2|1392|1534|	|11|11q|11q14|	gb:NM_012193.1 /DEF=Homo sapiens frizzled (Drosophila) homolog 4 (FZD4), mRNA. /FEA=mRNA /GEN=FZD4 /PROD=frizzled (Drosophila) homolog 4 /DB_XREF=gi:6912383 /UG=Hs.19545 frizzled (Drosophila) homolog 4 /FL=gb:AB032417.1 gb:NM_012193.1
218677_at	NM_020672	57402	S100-type calcium binding protein A14		|1023|		gb:NM_020672.1 /DEF=Homo sapiens S100-type calcium binding protein A14 (LOC57402), mRNA.  /FEA=mRNA /GEN=LOC57402 /PROD=S100-type calcium binding protein A14 /DB_XREF=gi:10190711 /UG=Hs.288998 S100-type calcium binding protein A14 /FL=gb:NM_020672.1 gb:B
218678_at	NM_024609	79662	hypothetical protein FLJ21841			|1|1q|	gb:NM_024609.1 /DEF=Homo sapiens hypothetical protein FLJ21841 (FLJ21841), mRNA. /FEA=mRNA /GEN=FLJ21841 /PROD=hypothetical protein FLJ21841 /DB_XREF=gi:13375818 /UG=Hs.29076 hypothetical protein FLJ21841 /FL=gb:NM_024609.1
218693_at	NM_012339	23555	transmembrane 4 superfamily member (tetraspan NET-7)	|5624|267|5623|5887|5886|5622|16020|16021|	|335|	|10|10q|10q22|	gb:NM_012339.1 /DEF=Homo sapiens transmembrane 4 superfamily member (tetraspan NET-7) (NET-7), mRNA.  /FEA=mRNA /GEN=NET-7 /PROD=transmembrane 4 superfamily member (tetraspanNET-7) /DB_XREF=gi:6912529 /UG=Hs.95583 transmembrane 4 superfamily member (tetr
218700_s_at	BC002585	8934	RAB7, member RAS oncogene family-like 1	|3924|16818|16817|16787|3824|17076|166|5488|	|71|25|	|1|1q|	gb:BC002585.1 /DEF=Homo sapiens, RAB7, member RAS oncogene family-like 1, clone MGC:1653, mRNA, complete cds.  /FEA=mRNA /PROD=RAB7, member RAS oncogene family-like 1 /DB_XREF=gi:12803516 /UG=Hs.115325 RAB7, member RAS oncogene family-like 1 /FL=gb:BC002
218711_s_at	NM_004657	8436	serum deprivation response (phosphatidylserine binding protein)	|5901|5886|5622|5623|16020|5624|267|5543|8289|5488|		|2|2q|2q32|	gb:NM_004657.1 /DEF=Homo sapiens serum deprivation response (phosphatidylserine-binding protein) (SDPR), mRNA.  /FEA=mRNA /GEN=SDPR /PROD=serum deprivation response(phosphatidylserine-binding protein) /DB_XREF=gi:4759081 /UG=Hs.26530 serum deprivation re
218727_at	NM_018231	55238	hypothetical protein FLJ10815		|1490|	|16|16q|	gb:NM_018231.1 /DEF=Homo sapiens hypothetical protein FLJ10815 (FLJ10815), mRNA. /FEA=mRNA /GEN=FLJ10815 /PROD=hypothetical protein FLJ10815 /DB_XREF=gi:8922691 /UG=Hs.10499 hypothetical protein FLJ10815 /FL=gb:BC001961.1 gb:NM_018231.1
218729_at	NM_020169	56925	latexin protein			|3|3q|3q25|	gb:NM_020169.1 /DEF=Homo sapiens latexin protein (LXN), mRNA. /FEA=mRNA /GEN=LXN /PROD=latexin protein /DB_XREF=gi:9910395 /UG=Hs.109276 latexin protein /FL=gb:BC005346.1 gb:AF282626.1 gb:NM_020169.1
218739_at	NM_016006	51099	CGI-58 protein		|561|	|3|3p|3p25|	gb:NM_016006.1 /DEF=Homo sapiens CGI-58 protein (LOC51099), mRNA. /FEA=mRNA /GEN=LOC51099 /PROD=CGI-58 protein /DB_XREF=gi:7705770 /UG=Hs.19385 CGI-58 protein /FL=gb:AF151816.1 gb:NM_016006.1
218770_s_at	NM_018056	55116	hypothetical protein FLJ10315			|1|1p|1p34|	gb:NM_018056.1 /DEF=Homo sapiens hypothetical protein FLJ10315 (FLJ10315), mRNA. /FEA=mRNA /GEN=FLJ10315 /PROD=hypothetical protein FLJ10315 /DB_XREF=gi:8922347 /UG=Hs.25544 hypothetical protein FLJ10315 /FL=gb:AL136695.1 gb:NM_018056.1
218773_s_at	NM_012228	22921	pilin-like transcription factor	|3700|3677|3676|		|10|10p|	gb:NM_012228.1 /DEF=Homo sapiens pilin-like transcription factor (PILB), mRNA. /FEA=mRNA /GEN=PILB /PROD=pilin-like transcription factor /DB_XREF=gi:6912591 /UG=Hs.279754 pilin-like transcription factor /FL=gb:AF122004.1 gb:NM_012228.1
218779_x_at	NM_017729	54869	hypothetical protein FLJ20258		|18|	|19|19q|19q13|	gb:NM_017729.1 /DEF=Homo sapiens hypothetical protein FLJ20258 (FLJ20258), mRNA. /FEA=mRNA /GEN=FLJ20258 /PROD=hypothetical protein FLJ20258 /DB_XREF=gi:8923231 /UG=Hs.28907 hypothetical protein FLJ20258 /FL=gb:NM_017729.1
218787_x_at	NM_018294	55280	hypothetical protein FLJ10998			|10|10q|10q24|	gb:NM_018294.1 /DEF=Homo sapiens hypothetical protein FLJ10998 (FLJ10998), mRNA. /FEA=mRNA /GEN=FLJ10998 /PROD=hypothetical protein FLJ10998 /DB_XREF=gi:8922811 /UG=Hs.78110 hypothetical protein FLJ10998 /FL=gb:NM_018294.1
218792_s_at	NM_017688	54836	hypothetical protein FLJ20150		|622|	|9|9q|	gb:NM_017688.1 /DEF=Homo sapiens hypothetical protein FLJ20150 (FLJ20150), mRNA. /FEA=mRNA /GEN=FLJ20150 /PROD=hypothetical protein FLJ20150 /DB_XREF=gi:8923147 /UG=Hs.108502 hypothetical protein FLJ20150 /FL=gb:NM_017688.1
218805_at	NM_018384	55340	likely homolog of mouse immunity-associated nucleotide 4			|7|7q|	gb:NM_018384.1 /DEF=Homo sapiens hypothetical protein FLJ11296 (FLJ11296), mRNA. /FEA=mRNA /GEN=FLJ11296 /PROD=hypothetical protein FLJ11296 /DB_XREF=gi:8922984 /UG=Hs.26194 hypothetical protein FLJ11296 /FL=gb:NM_018384.1
218816_at	NM_018214	55227	LAP (leucine-rich repeats and PDZ) and no PDZ protein			|6|6p|6p12|	gb:NM_018214.1 /DEF=Homo sapiens hypothetical protein FLJ10775 (FLJ10775), mRNA. /FEA=mRNA /GEN=FLJ10775 /PROD=hypothetical protein FLJ10775 /DB_XREF=gi:8922660 /UG=Hs.35091 hypothetical protein FLJ10775 /FL=gb:BC003193.1 gb:NM_018214.1
218818_at	NM_004468	2275	four and a half LIM domains 3	|7498|7397|7345|7275|	|412|	|1|1p|	gb:NM_004468.1 /DEF=Homo sapiens four and a half LIM domains 3 (FHL3), mRNA. /FEA=mRNA /GEN=FHL3 /PROD=four and a half LIM domains 3 /DB_XREF=gi:4758373 /UG=Hs.57687 four and a half LIM domains 3 /FL=gb:BC001351.1 gb:U60116.2 gb:NM_004468.1 gb:AF133732.1
218825_at	NM_016215	51162	NEU1 protein			|9|9q|9q34|	gb:NM_016215.1 /DEF=Homo sapiens NEU1 protein (LOC51162), mRNA. /FEA=mRNA /GEN=LOC51162 /PROD=NEU1 protein /DB_XREF=gi:7705888 /UG=Hs.91481 NEU1 protein /FL=gb:AL512735.1 gb:AF186111.1 gb:NM_016215.1
218826_at	NM_017515	54733	novel protein		|892|	|11|11q|11q22|	gb:NM_017515.1 /DEF=Homo sapiens novel protein (HSNOV1), mRNA. /FEA=mRNA /GEN=HSNOV1 /PROD=novel protein /DB_XREF=gi:13435132 /UG=Hs.9711 novel protein /FL=gb:NM_017515.1
218831_s_at	NM_004107	2217	Fc fragment of IgG, receptor, transporter, alpha	|4872|4871|7565|7582|6955|6952|9607|9605|7154|	|129|	|19|19q|19q13|	gb:NM_004107.1 /DEF=Homo sapiens Fc fragment of IgG, receptor, transporter, alpha (FCGRT), mRNA.  /FEA=mRNA /GEN=FCGRT /PROD=Fc fragment of IgG, receptor, transporter,alpha /DB_XREF=gi:4758345 /UG=Hs.111903 Fc fragment of IgG, receptor, transporter, alph
218832_x_at	NM_004041	408	arrestin, beta 1	|5737|5622|5623|5886|16020|5625|267|4857|30234|7165|7154|19897|19898|157|	|339|	|11|11q|	gb:NM_004041.2 /DEF=Homo sapiens arrestin, beta 1 (ARRB1), transcript variant 1, mRNA. /FEA=mRNA /GEN=ARRB1 /PROD=arrestin beta 1, isoform A /DB_XREF=gi:10880135 /UG=Hs.112278 arrestin, beta 1 /FL=gb:NM_004041.2 gb:BC003636.1 gb:AF084040.1
218839_at	NM_012258	23462	hairy/enhancer-of-split related with YRPW motif 1	|3677|3676|7399|7398|7397|7345|7275|3700|	|10|	|8|8q|	gb:NM_012258.1 /DEF=Homo sapiens hairyenhancer-of-split related with YRPW motif 1 (HEY1), mRNA.  /FEA=mRNA /GEN=HEY1 /PROD=hairyenhancer-of-split related with YRPW motif1 /DB_XREF=gi:6912411 /UG=Hs.234434 hairyenhancer-of-split related with YRPW motif 1
218849_s_at	NM_006663	10848	RelA-associated inhibitor	|5634|5622|5623|8134|5515|5488|	|23|18|	|19|19q|19q13|	gb:NM_006663.1 /DEF=Homo sapiens RelA-associated inhibitor (RAI), mRNA. /FEA=mRNA /GEN=RAI /PROD=RelA-associated inhibitor /DB_XREF=gi:5730000 /UG=Hs.324051 RelA-associated inhibitor /FL=gb:AF078037.1 gb:NM_006663.1
218852_at	NM_017917	55012	hypothetical protein FLJ20644			|14|14q|14q13|	gb:NM_017917.1 /DEF=Homo sapiens hypothetical protein FLJ20644 (FLJ20644), mRNA. /FEA=mRNA /GEN=FLJ20644 /PROD=hypothetical protein FLJ20644 /DB_XREF=gi:8923599 /UG=Hs.49376 hypothetical protein FLJ20644 /FL=gb:NM_017917.1
218881_s_at	NM_024530	79579	hypothetical protein FLJ23306			|2|2p|2p23|	gb:NM_024530.1 /DEF=Homo sapiens hypothetical protein FLJ23306 (FLJ23306), mRNA. /FEA=mRNA /GEN=FLJ23306 /PROD=hypothetical protein FLJ23306 /DB_XREF=gi:13375679 /UG=Hs.325364 hypothetical protein FLJ23306 /FL=gb:NM_024530.1
218892_at	NM_024542	8642	protocadherin 16	|7155|7154|8014|5194|	|28|	|11|11p|11p15|	gb:NM_024542.1 /DEF=Homo sapiens hypothetical protein FLJ11790 (FLJ11790), mRNA. /FEA=mRNA /GEN=FLJ11790 /PROD=hypothetical protein FLJ11790 /DB_XREF=gi:13375702 /UG=Hs.9658 hypothetical protein FLJ11790 /FL=gb:NM_024542.1
218900_at	NM_020184	26504	cyclin M4			|2|2p|2p12|	gb:NM_020184.1 /DEF=Homo sapiens ancient conserved domain protein 4 (LOC56939), mRNA. /FEA=mRNA /GEN=LOC56939 /PROD=ancient conserved domain protein 4 /DB_XREF=gi:9910369 /UG=Hs.175043 ancient conserved domain protein 4 /FL=gb:AF202777.1 gb:NM_020184.1
218902_at	NM_017617	54781	hypothetical protein FLJ20005			|9|9q|9q34|	gb:NM_017617.1 /DEF=Homo sapiens hypothetical protein FLJ20005 (FLJ20005), mRNA. /FEA=mRNA /GEN=FLJ20005 /PROD=hypothetical protein FLJ20005 /DB_XREF=gi:8923012 /UG=Hs.184634 hypothetical protein FLJ20005 /FL=gb:NM_017617.1
218921_at	NM_021805	59307	single Ig IL-1R-related molecule		|1582|	|11|11p|11p15|	gb:NM_021805.1 /DEF=Homo sapiens single Ig IL-1R-related molecule (SIGIRR), mRNA. /FEA=mRNA /GEN=SIGIRR /PROD=single Ig IL-1R-related molecule /DB_XREF=gi:11141876 /UG=Hs.11809 single Ig IL-1R-related molecule /FL=gb:NM_021805.1 gb:BC003591.1
218927_s_at	NM_018641	55501	chondroitin 4-O-sulfotransferase 2			|7|7p|	gb:NM_018641.1 /DEF=Homo sapiens chondroitin 4-O-sulfotransferase 2 (C4S-2), mRNA. /FEA=mRNA /GEN=C4S-2 /PROD=chondroitin 4-O-sulfotransferase 2 /DB_XREF=gi:8922111 /UG=Hs.25204 chondroitin 4-O-sulfotransferase 2 /FL=gb:BC002918.1 gb:NM_018641.1 gb:AF239
218942_at	NM_024779	79837	hypothetical protein FLJ22055		|1504|	|12|12q|12q13|	gb:NM_024779.1 /DEF=Homo sapiens hypothetical protein FLJ22055 (FLJ22055), mRNA. /FEA=mRNA /GEN=FLJ22055 /PROD=hypothetical protein FLJ22055 /DB_XREF=gi:13376135 /UG=Hs.144502 hypothetical protein FLJ22055 /FL=gb:NM_024779.1
218946_at	NM_015700	27247	HIRA interacting protein 5			|2|2p|2p15|	gb:NM_015700.1 /DEF=Homo sapiens HIRIP5 protein (HIRIP5), mRNA. /FEA=mRNA /GEN=HIRIP5 /PROD=HIRIP5 protein /DB_XREF=gi:7661719 /UG=Hs.17368 HIRIP5 protein; HIRA-interacting protein 5 /FL=gb:AF132967.1 gb:NM_015700.1
218950_at	NM_022481	64411	hypothetical protein FLJ21065			|5|5q|5q31|	gb:NM_022481.1 /DEF=Homo sapiens hypothetical protein FLJ21065 (FLJ21065), mRNA. /FEA=mRNA /GEN=FLJ21065 /PROD=hypothetical protein FLJ21065 /DB_XREF=gi:11968032 /UG=Hs.25277 hypothetical protein FLJ21065 /FL=gb:NM_022481.1
218963_s_at	NM_015515	25984	type I intermediate filament cytokeratin		|38|	|17|17q|17q21|	gb:NM_015515.1 /DEF=Homo sapiens DKFZP434G032 protein (DKFZP434G032), mRNA. /FEA=mRNA /GEN=DKFZP434G032 /PROD=DKFZP434G032 protein /DB_XREF=gi:7661573 /UG=Hs.9029 DKFZP434G032 protein /FL=gb:AF102848.1 gb:NM_015515.1
218971_s_at	NM_014149	29062	HSPC049 protein			|7|7q|	gb:NM_014149.1 /DEF=Homo sapiens HSPC049 protein (HSPC049), mRNA. /FEA=mRNA /GEN=HSPC049 /PROD=HSPC049 protein /DB_XREF=gi:7661753 /UG=Hs.172622 HSPC049 protein /FL=gb:AF161534.1 gb:NM_014149.1
218975_at	NM_015719	50509	collagen, type V, alpha 3	|5583|5581|5578|5576|7498|7397|7345|7275|	|2210|1410|1391|	|19|19p|19p13|	gb:NM_015719.1 /DEF=Homo sapiens collagen, type V, alpha 3 (COL5A3), mRNA. /FEA=mRNA /GEN=COL5A3 /PROD=procollagen, type V, alpha 3 /DB_XREF=gi:7656988 /UG=Hs.235368 collagen, type V, alpha 3 /FL=gb:AF177941.1 gb:NM_015719.1
218990_s_at	NM_005416	6707	small proline-rich protein 3	|5198|	|2389|	|1|1q|1q21|	gb:NM_005416.1 /DEF=Homo sapiens small proline-rich protein 3 (SPRR3), mRNA. /FEA=mRNA /GEN=SPRR3 /PROD=small proline-rich protein 3 /DB_XREF=gi:4885606 /UG=Hs.139322 small proline-rich protein 3 /FL=gb:NM_005416.1
218999_at	NM_018295	55281	hypothetical protein FLJ11000			|7|7q|	gb:NM_018295.1 /DEF=Homo sapiens hypothetical protein FLJ11000 (FLJ11000), mRNA. /FEA=mRNA /GEN=FLJ11000 /PROD=hypothetical protein FLJ11000 /DB_XREF=gi:8922813 /UG=Hs.302981 hypothetical protein FLJ11000 /FL=gb:NM_018295.1
219009_at	NM_021944	60686	hypothetical protein FLJ12154			|14|14q|14q11|	gb:NM_021944.1 /DEF=Homo sapiens hypothetical protein FLJ12154 (FLJ12154), mRNA. /FEA=mRNA /GEN=FLJ12154 /PROD=hypothetical protein FLJ12154 /DB_XREF=gi:11345485 /UG=Hs.6839 hypothetical protein FLJ12154 /FL=gb:NM_021944.1
219010_at	NM_018265	55765	hypothetical protein FLJ10901			|1|1q|1q32|	gb:NM_018265.1 /DEF=Homo sapiens hypothetical protein FLJ10901 (FLJ10901), mRNA. /FEA=mRNA /GEN=FLJ10901 /PROD=hypothetical protein FLJ10901 /DB_XREF=gi:8922753 /UG=Hs.73239 hypothetical protein FLJ10901 /FL=gb:NM_018265.1
219025_at	NM_020404	57124	tumor endothelial marker 1 precursor		|59|	|11|11q|	gb:NM_020404.1 /DEF=Homo sapiens tumor endothelial marker 1 precursor (TEM1), mRNA. /FEA=mRNA /GEN=TEM1 /PROD=tumor endothelial marker 1 precursor /DB_XREF=gi:9966884 /UG=Hs.195727 tumor endothelial marker 1 precursor /FL=gb:AF279142.1 gb:NM_020404.1
219042_at	NM_021020	11178	leucine zipper, putative tumor suppressor 1	|3700|3677|3676|	|38|	|8|8p|	gb:NM_021020.1 /DEF=Homo sapiens F37Esophageal cancer-related gene-coding leucine-zipper motif (FEZ1), mRNA.  /FEA=mRNA /GEN=FEZ1 /PROD=F37Esophageal cancer-related gene-codingleucine-zipper motif /DB_XREF=gi:10440565 /UG=Hs.93605 leucine zipper, putativ
219049_at	NM_018371	55790	hypothetical protein FLJ11264			|8|8p|8p21|	gb:NM_018371.1 /DEF=Homo sapiens hypothetical protein FLJ11264 (FLJ11264), mRNA. /FEA=mRNA /GEN=FLJ11264 /PROD=hypothetical protein FLJ11264 /DB_XREF=gi:8922959 /UG=Hs.11260 hypothetical protein FLJ11264 /FL=gb:NM_018371.1
219051_x_at	NM_024042	79006	hypothetical protein MGC2601			|16|16p|16p13|	gb:NM_024042.1 /DEF=Homo sapiens hypothetical protein MGC2601 (MGC2601), mRNA. /FEA=mRNA /GEN=MGC2601 /PROD=hypothetical protein MGC2601 /DB_XREF=gi:13128999 /UG=Hs.124915 hypothetical protein MGC2601 /FL=gb:BC000662.1 gb:NM_024042.1
219059_s_at	AL574194	10894	extracellular link domain-containing 1	|4872|4871|6928|8151|5624|267|5623|9611|9607|9605|7154|6950|7160|7155|7345|7275|5887|5886|5622|16020|16021|	|193|	|11|11p|	Consensus includes gb:AL574194 /FEA=EST /DB_XREF=gi:12934166 /DB_XREF=est:AL574194 /CLONE=CS0DI039YJ06 (3 prime) /UG=Hs.17917 extracellular link domain-containing 1 /FL=gb:AF118108.1 gb:NM_006691.1
219090_at	NM_020689	57419	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3		|1699|	|20|20p|	gb:NM_020689.2 /DEF=Homo sapiens sodium calcium exchanger (NCKX3), mRNA. /FEA=mRNA /GEN=NCKX3 /PROD=sodium calcium exchanger /DB_XREF=gi:10518346 /UG=Hs.12321 sodium calcium exchanger /FL=gb:AF169257.2 gb:NM_020689.2
219103_at	NM_017707	55616	hypothetical protein FLJ20199		|23|	|1|1p|1p36|	gb:NM_017707.1 /DEF=Homo sapiens hypothetical protein FLJ20199 (FLJ20199), mRNA. /FEA=mRNA /GEN=FLJ20199 /PROD=hypothetical protein FLJ20199 /DB_XREF=gi:8923186 /UG=Hs.44579 hypothetical protein FLJ20199 /FL=gb:NM_017707.1
219115_s_at	NM_014432	53832	interleukin 20 receptor, alpha		|1108|	|6|6q|6q22|	gb:NM_014432.1 /DEF=Homo sapiens interleukin 20 receptor, alpha (IL20RA), mRNA. /FEA=mRNA /GEN=IL20RA /PROD=interleukin 20 receptor, alpha /DB_XREF=gi:7657690 /UG=Hs.21814 interleukin 20 receptor, alpha /FL=gb:AF184971.1 gb:NM_014432.1
219134_at	NM_022159	64123	EGF-TM7-latrophilin-related protein		|1825|2|	|1|1p|1p33|	gb:NM_022159.1 /DEF=Homo sapiens ETL protein (ETL), mRNA. /FEA=mRNA /GEN=ETL /PROD=ETL protein /DB_XREF=gi:11545907 /UG=Hs.57958 EGF-TM7-latrophilin-related protein /FL=gb:AF192403.1 gb:NM_022159.1
219143_s_at	NM_017793	54913	hypothetical protein FLJ20374			|15|15q|	gb:NM_017793.1 /DEF=Homo sapiens hypothetical protein FLJ20374 (FLJ20374), mRNA. /FEA=mRNA /GEN=FLJ20374 /PROD=hypothetical protein FLJ20374 /DB_XREF=gi:8923354 /UG=Hs.8562 hypothetical protein FLJ20374 /FL=gb:NM_017793.1
219155_at	NM_012417	26207	retinal degeneration B beta	|5737|5622|5623|7165|7154|5543|8289|5488|	|2121|	|17|17q|17q24|	gb:NM_012417.1 /DEF=Homo sapiens retinal degeneration B beta (RDGBB), mRNA. /FEA=mRNA /GEN=RDGBB /PROD=retinal degeneration B beta /DB_XREF=gi:6912623 /UG=Hs.109219 retinal degeneration B beta /FL=gb:AF171102.1 gb:NM_012417.1
219157_at	NM_007246	11275	kelch-like 2, Mayven (Drosophila)	|5215|5856|5737|5622|5623|15629|6886|15031|6810|8151|7148|	|651|1344|	|4|4q|4q21|	gb:NM_007246.1 /DEF=Homo sapiens kelch (Drosophila)-like 2 (Mayven) (KLHL2), mRNA. /FEA=mRNA /GEN=KLHL2 /PROD=kelch (Drosophila)-like 2 (Mayven) /DB_XREF=gi:6005702 /UG=Hs.122967 kelch (Drosophila)-like 2 (Mayven) /FL=gb:AF059569.1 gb:NM_007246.1
219167_at	NM_016563	51285	Ris		|71|25|	|15|15q|15q11|	gb:NM_016563.1 /DEF=Homo sapiens Ris (LOC51285), mRNA. /FEA=mRNA /GEN=LOC51285 /PROD=Ris /DB_XREF=gi:7706094 /UG=Hs.27018 Ris /FL=gb:AF233588.1 gb:NM_016563.1
219168_s_at	NM_017701	23779	Rho GTPase activating protein 8		|620|650|	|22|22q|22q13|	gb:NM_017701.1 /DEF=Homo sapiens hypothetical protein FLJ20185 (FLJ20185), mRNA. /FEA=mRNA /GEN=FLJ20185 /PROD=hypothetical protein FLJ20185 /DB_XREF=gi:8923174 /UG=Hs.272972 hypothetical protein FLJ20185 /FL=gb:NM_017701.1
219220_x_at	NM_020191	56945	mitochondrial ribosomal protein S22			|3|3q|	gb:NM_020191.1 /DEF=Homo sapiens GK002 protein (GK002), mRNA. /FEA=mRNA /GEN=GK002 /PROD=GK002 protein /DB_XREF=gi:9910243 /UG=Hs.107127 GK002 protein; gibt protein; chromosome 3 open reading frame 5 /FL=gb:AF321613.1 gb:AF226045.1 gb:NM_020191.1
219241_x_at	NM_017857	54961	hypothetical protein FLJ20515		|782|102|	|11|11q|11q12|	gb:NM_017857.1 /DEF=Homo sapiens hypothetical protein FLJ20515 (FLJ20515), mRNA. /FEA=mRNA /GEN=FLJ20515 /PROD=hypothetical protein FLJ20515 /DB_XREF=gi:8923482 /UG=Hs.29173 hypothetical protein FLJ20515 /FL=gb:NM_017857.1
219243_at	NM_018326	55303	hypothetical protein FLJ11110		|1926|	|7|7q|7q36|	gb:NM_018326.1 /DEF=Homo sapiens hypothetical protein FLJ11110 (FLJ11110), mRNA. /FEA=mRNA /GEN=FLJ11110 /PROD=hypothetical protein FLJ11110 /DB_XREF=gi:8922872 /UG=Hs.30822 hypothetical protein FLJ11110 /FL=gb:NM_018326.1
219247_s_at	NM_024630	79683	hypothetical protein FLJ20984			|6|6q|6q25|	gb:NM_024630.1 /DEF=Homo sapiens hypothetical protein FLJ20984 (FLJ20984), mRNA. /FEA=mRNA /GEN=FLJ20984 /PROD=hypothetical protein FLJ20984 /DB_XREF=gi:13375857 /UG=Hs.38270 hypothetical protein FLJ20984 /FL=gb:NM_024630.1
219248_at	NM_025264	80745	hypothetical protein MGC2454		|1209|1170|	|2|2p|2p22|	gb:NM_025264.1 /DEF=Homo sapiens hypothetical protein MGC2454 (MGC2454), mRNA. /FEA=mRNA /GEN=MGC2454 /PROD=hypothetical protein MGC2454 /DB_XREF=gi:13376879 /UG=Hs.38399 hypothetical protein MGC2454 /FL=gb:BC004163.1 gb:NM_025264.1
