Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
2.Inv3-Regulated-Panther	ENSMUSG00000030208	Emp1	epithelial membrane protein 1	97426_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000007039	Ddah2	dimethylarginine dimethylaminohydrolase 2	92887_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000031490	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	100636_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000028017	Egf	epidermal growth factor	102774_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000037035	Inhbb	inhibin beta-B	160828_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000044645	Btg3	B-cell translocation gene 3	96146_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000037664	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	95471_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000018707	Dync1h1	dynein cytoplasmic 1 heavy chain 1	97333_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000028967	Errfi1	ERBB receptor feedback inhibitor 1	93975_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000022863	Btg3	B-cell translocation gene 3	96146_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000025410	Dctn2	dynactin 2	94300_f_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000035551	Igfbpl1	insulin-like growth factor binding protein-like 1	162354_f_at	Cell proliferation and differentiation
2.Inv3-Regulated-Panther	ENSMUSG00000044258	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	96912_s_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000022867	Usp25	ubiquitin specific peptidase 25	93087_r_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000024942	Capn1	calpain 1	100932_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000021190	Lgmn	legumain	93261_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000038642	Ctss	cathepsin S	98543_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000031628	Casp3	caspase 3	98436_s_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000026509	Capn2	calpain 2	101040_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000043411	Usp48	ubiquitin specific peptidase 48	104092_at	Cysteine protease
2.Inv3-Regulated-Panther	ENSMUSG00000037664	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	95471_at	Kinase inhibitor
2.Inv3-Regulated-Panther	ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6	93285_at	Kinase inhibitor
2.Inv3-Regulated-Panther	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	Kinase inhibitor
2.Inv3-Regulated-Panther	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000026822	Lcn2	lipocalin 2	160564_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000031885	Cbfb	core binding factor beta	93546_s_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000029534	St7	Suppression of tumorigenicity 7	160591_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000022895	Ets2	E26 avian leukemia oncogene 2, 3’ domain	94246_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000009630	Ppp2cb	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	101101_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000005672	Kit	kit oncogene	99956_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000024515	Smad4	MAD homolog 4 (Drosophila)	160440_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000029050	Ski	Sloan-Kettering viral oncogene homolog	104576_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor	104354_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000017724	Etv4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	92979_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000019433	Gipc1	GIPC PDZ domain containing family, member 1	93733_r_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000030208	Emp1	epithelial membrane protein 1	97426_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000031490	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	100636_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000027907	S100a11	S100 calcium binding protein A11 (calizzarin)	98600_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000038525	2810037C14Rik	SVH protein	104118_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000027298	Tyro3	TYRO3 protein tyrosine kinase 3	96766_s_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000003051	Elf3	E74-like factor 3	99059_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000037664	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	95471_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	Oncogenesis
2.Inv3-Regulated-Panther	ENSMUSG00000029106	Add1	adducin 1 (alpha)	94535_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000055044	Pdlim1	PDZ and LIM domain 1 (elfin)	100554_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000021493	Pdlim7	PDZ and LIM domain 7	102845_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000029465	Arpc3	actin related protein 2/3 complex, subunit 3	95434_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000053931	Cnn3	calponin 3, acidic	160150_f_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000032366	Tpm1	tropomyosin 1, alpha	160532_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000038366	Lasp1	LIM and SH3 protein 1	93793_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000022443	Myh9	myosin, heavy polypeptide 9, non-muscle	100915_at|102108_f_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000026421	Csrp1	cysteine and glycine-rich protein 1	160065_s_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000028649	Macf1	microtubule-actin crosslinking factor 1	98402_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000023022	Lima1	LIM domain and actin binding 1	94561_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000021823	Vcl	vinculin	94963_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000002812	Fliih	flightless I homolog (Drosophila)	95489_at|97594_r_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000031078	Cttn	cortactin	94054_at|94055_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000031799	Tpm4	tropomyosin 4	95542_at|95543_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000025006	Sorbs1	sorbin and SH3 domain containing 1	160320_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000024456	Diap1	diaphanous homolog 1 (Drosophila)	160976_at	Actin binding cytoskeletal protein
2.Inv3-Regulated-Panther	ENSMUSG00000020717	Pecam1	platelet/endothelial cell adhesion molecule 1	97830_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000001763	Tspan33	tetraspanin 33	104398_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000068220	Lgals1	lectin, galactose binding, soluble 1	99669_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000026768	Itga8	integrin alpha 8	100313_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000030342	Cd9	CD9 antigen	95661_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000058254	Tspan7	tetraspanin 7	93326_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000001507	Itga3	integrin alpha 3	104210_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000042363	1110067D22Rik	RIKEN cDNA 1110067D22 gene (1110067D22Rik), mRNA	160704_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000038235	F11r	F11 receptor	103816_at	Other cell adhesion molecule
2.Inv3-Regulated-Panther	ENSMUSG00000036322	H2-Ea	histocompatibility 2, class II antigen E alpha	102904_at	Major histocompatibility complex antigen
2.Inv3-Regulated-Panther	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	Major histocompatibility complex antigen
2.Inv3-Regulated-Panther	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	Major histocompatibility complex antigen
2.Inv3-Regulated-Panther	ENSMUSG00000056116	H2-T10	histocompatibility 2, T region locus 10	102161_f_at	Major histocompatibility complex antigen
2.Inv3-Regulated-Panther	ENSMUSG00000055044	Pdlim1	PDZ and LIM domain 1 (elfin)	100554_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000020717	Pecam1	platelet/endothelial cell adhesion molecule 1	97830_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000023022	Lima1	LIM domain and actin binding 1	94561_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000024659	Anxa1	annexin A1	161703_f_at|93037_i_at|93038_f_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000025809	Itgb1	integrin beta 1 (fibronectin receptor beta)	100124_r_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000021493	Pdlim7	PDZ and LIM domain 7	102845_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000032366	Tpm1	tropomyosin 1, alpha	160532_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000006386	Tek	endothelial-specific receptor tyrosine kinase	102720_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor	104354_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000004451	Ralb	v-ral simian leukemia viral oncogene homolog B (ras related)	160756_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000005672	Kit	kit oncogene	99956_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000024456	Diap1	diaphanous homolog 1 (Drosophila)	160976_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000033191	Tie1	tyrosine kinase receptor 1	161184_f_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000031799	Tpm4	tropomyosin 4	95542_at|95543_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000027298	Tyro3	TYRO3 protein tyrosine kinase 3	96766_s_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000030342	Cd9	CD9 antigen	95661_at	Cell motility
2.Inv3-Regulated-Panther	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000004056	Akt2	thymoma viral proto-oncogene 2	160558_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000009630	Ppp2cb	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	101101_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	p53 pathway feedback loops 2
2.Inv3-Regulated-Panther	ENSMUSG00000034957	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	98447_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000029832	Nfe2l3	nuclear factor, erythroid derived 2, like 3	99527_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000061944	Igl-V1	immunoglobulin lambda chain, variable 1	93638_s_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000016494	Cd34	CD34 antigen	160358_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000031714	Gab1	growth factor receptor bound protein 2-associated protein 1	160714_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000002147	Stat6	signal transducer and activator of transcription 6	94331_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000021756	Il6st	interleukin 6 signal transducer	94345_at	Hematopoiesis
2.Inv3-Regulated-Panther	ENSMUSG00000030427	Pira3	paired-Ig-like receptor A3	100328_s_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000036322	H2-Ea	histocompatibility 2, class II antigen E alpha	102904_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000026923	Notch1	Notch gene homolog 1 (Drosophila)	97497_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000022965	Ifngr2	interferon gamma receptor 2	160694_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000068408	KV4A_MOUSE	Ig kappa chain V-IV region S107B precursor.	96972_f_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000020717	Pecam1	platelet/endothelial cell adhesion molecule 1	97830_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000069515	Lzp-s	P lysozyme structural	100611_at|101753_s_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000027073	Prg2	proteoglycan 2, bone marrow	92728_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000056116	H2-T10	histocompatibility 2, T region locus 10	102161_f_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000061944	Igl-V1	immunoglobulin lambda chain, variable 1	93638_s_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein	96123_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000030579	Tyrobp	TYRO protein tyrosine kinase binding protein	100397_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000041750	Cd1d2	CD1d2 antigen	101897_g_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000022967	Ifnar1	interferon (alpha and beta) receptor 1	100483_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000022969	Il10rb	interleukin 10 receptor, beta	99491_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000047730	9530053A07Rik	Fc fragment of IgG binding protein	97826_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000036905	C1qb	complement component 1, q subcomponent, beta polypeptide	96020_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000036896	C1qc	complement component 1, q subcomponent, C chain	92223_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000017754	Pltp	phospholipid transfer protein	100927_at	Defense immunity protein
2.Inv3-Regulated-Panther	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000016528	Mapkapk2	MAP kinase-activated protein kinase 2	160353_i_at|95721_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000026309	Ilkap	integrin-linked kinase-associated serine/threonine phosphatase 2C	96750_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000030341	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	92793_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6	93285_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000022965	Ifngr2	interferon gamma receptor 2	160694_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000022967	Ifnar1	interferon (alpha and beta) receptor 1	100483_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000031714	Gab1	growth factor receptor bound protein 2-associated protein 1	160714_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000021756	Il6st	interleukin 6 signal transducer	94345_at	MAPKKK cascade
2.Inv3-Regulated-Panther	ENSMUSG00000036322	H2-Ea	histocompatibility 2, class II antigen E alpha	102904_at	MHCII-mediated immunity
2.Inv3-Regulated-Panther	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	MHCII-mediated immunity
2.Inv3-Regulated-Panther	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	MHCII-mediated immunity
2.Inv3-Regulated-Panther	ENSMUSG00000038642	Ctss	cathepsin S	98543_at	MHCII-mediated immunity
2.Inv3-Regulated-Panther	ENSMUSG00000033022	Cdo1	cysteine dioxygenase 1, cytosolic	96346_at	Amino acid catabolism
2.Inv3-Regulated-Panther	ENSMUSG00000029695	Aass	aminoadipate-semialdehyde synthase	103389_at	Amino acid catabolism
2.Inv3-Regulated-Panther	ENSMUSG00000024827	Gldc	glycine decarboxylase	95603_at	Amino acid catabolism
2.Inv3-Regulated-Panther	ENSMUSG00000030630	Fah	fumarylacetoacetate hydrolase	98588_at	Amino acid catabolism
2.Inv3-Regulated-Panther	ENSMUSG00000034424	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	160385_at	Amino acid catabolism
2.Inv3-Regulated-Panther	ENSMUSG00000039100	6-Mar	membrane-associated ring finger (C3HC4) 6	104621_at	Other protein metabolism
2.Inv3-Regulated-Panther	ENSMUSG00000020547	Bzw2	basic leucine zipper and W2 domains 2	95462_at	Other protein metabolism
2.Inv3-Regulated-Panther	ENSMUSG00000010651	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	99571_at	Other protein metabolism
2.Inv3-Regulated-Panther	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000037580	Gch1	GTP cyclohydrolase 1	102313_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000030630	Fah	fumarylacetoacetate hydrolase	98588_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000002102	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	93734_i_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000034707	Gns	glucosamine (N-acetyl)-6-sulfatase	98931_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000034424	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	160385_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000021178	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	160152_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000007039	Ddah2	dimethylarginine dimethylaminohydrolase 2	92887_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000038776	Ephx1	epoxide hydrolase 1, microsomal	101587_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000022620	Arsa	arylsulfatase A	100931_at	Other hydrolase
2.Inv3-Regulated-Panther	ENSMUSG00000028383	Hsdl2	hydroxysteroid dehydrogenase like 2	96095_i_at|96096_f_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000031299	Pdha1	pyruvate dehydrogenase E1 alpha 1	98102_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000029695	Aass	aminoadipate-semialdehyde synthase	103389_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000053644	Aldh7a1	aldehyde dehydrogenase family 7, member A1	97449_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000029201	Ugdh	UDP-glucose dehydrogenase	102322_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000066026	Dhrs3	dehydrogenase/reductase (SDR family) member 3	102797_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000021748	Pdhb	pyruvate dehydrogenase (lipoamide) beta	94806_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000024827	Gldc	glycine decarboxylase	95603_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000020456	Ogdh	oxoglutarate dehydrogenase (lipoamide)	96879_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000025007	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	95738_at	Dehydrogenase
2.Inv3-Regulated-Panther	ENSMUSG00000056666	Retsat	retinol saturase (all trans retinol 13,14 reductase)	95026_at	Dehydrogenase
3.cluster-5-GO	ENSMUSG00000028063	Lmna	lamin A	98059_s_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000025647	Scotin	scotin gene	95102_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000039745	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	103671_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000065948	Gpx4	glutathione peroxidase 4	94897_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000019969	Psen1	presenilin 1	102201_s_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000024413	Npc1	Niemann Pick type C1	98114_at	nuclear envelope
3.cluster-5-GO	ENSMUSG00000046768	Rhoj	ras homolog gene family, member J	104697_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000058230	Grlf1	glucocorticoid receptor DNA binding factor 1	96208_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000021253	Tgfb3	transforming growth factor, beta 3	102751_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000056201	Cfl1	cofilin 1, non-muscle	99119_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000036606	Plxnb2	plexin B2	160311_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000053113	Socs3	suppressor of cytokine signaling 3	92232_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5	100566_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000005148	Klf5	Kruppel-like factor 5	97937_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000041598	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	94036_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000027954	Efna1	ephrin A1	103007_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000030403	Vasp	vasodilator-stimulated phosphoprotein	101982_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000028656	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	93721_at	cellular morphogenesis
3.cluster-5-GO	ENSMUSG00000016534	Lamp2	lysosomal membrane glycoprotein 2	101590_at|100136_at	late endosome
3.cluster-5-GO	ENSMUSG00000025351	Cd63	Cd63 antigen	160493_at	late endosome
3.cluster-5-GO	ENSMUSG00000018167	Stard3	START domain containing 3	95607_at	late endosome
3.cluster-5-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	103422_at|101897_g_at	late endosome
3.cluster-5-GO	ENSMUSG00000054808	Actn4	actinin alpha 4	96343_at	cortical cytoskeleton
3.cluster-5-GO	ENSMUSG00000033793	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H	96610_at	enzyme regulator activity
3.cluster-5-GO	ENSMUSG00000061933	Q6LDU4_MOUSE	SAA4 gene encoding serum amyloid A, exons 3 and 4. (Fragment).	103465_f_at	acute-phase response
3.cluster-5-GO	ENSMUSG00000057465	Saa2	serum amyloid A 2	103465_f_at	acute-phase response
3.cluster-5-GO	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99100_at|99099_at	acute-phase response
3.cluster-5-GO	ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein	96123_at	acute-phase response
3.cluster-5-GO	ENSMUSG00000050708	Ftl1	ferritin light chain 1	99872_s_at	iron ion transport
3.cluster-5-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	iron ion transport
3.cluster-5-GO	ENSMUSG00000057829	Ftl1	ferritin light chain 1	99872_s_at	iron ion transport
3.cluster-5-GO	ENSMUSG00000032496	Ltf	lactotransferrin	101115_at	iron ion transport
3.cluster-5-GO	ENSMUSG00000029465	Arpc3	actin related protein 2/3 complex, subunit 3	95434_at	regulation of cell organization and biogenesis
3.cluster-5-GO	ENSMUSG00000056201	Cfl1	cofilin 1, non-muscle	99119_at	regulation of cell organization and biogenesis
3.cluster-5-GO	ENSMUSG00000020476	Dbnl	drebrin-like	95529_at	regulation of cell organization and biogenesis
3.cluster-5-GO	ENSMUSG00000041598	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	94036_at	regulation of cell organization and biogenesis
3.cluster-5-GO	ENSMUSG00000050708	Ftl1	ferritin light chain 1	99872_s_at	iron ion homeostasis
3.cluster-5-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	iron ion homeostasis
