UGCluster	Symbol	Name	GOabr	Genes Overexpressed in
Hs.207428	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	Rho guanyl-nucleotide exchange factor activity|cytoskeleton	Tumor tissue and tumor cultures
Hs.318501	TRIM22	tripartite motif-containing 22	immune response|intracellular|nucleus|regulation of transcription, DNA-dependent|response to virus|transcription corepressor activity|transcription factor activity|zinc ion binding	Tumor tissue and tumor cultures
Hs.368746	NRP2	neuropilin 2	angiogenesis|axon guidance|cell adhesion|cell adhesion|electron transport|electron transporter activity|integral to membrane|integral to membrane|membrane fraction|neurogenesis|receptor activity|receptor activity|semaphorin receptor activity|vascular endothelial growth factor receptor activity|vascular endothelial growth factor receptor activity	Tumor tissue and tumor cultures
Hs.367877	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	calcium ion binding|collagen catabolism|extracellular matrix|extracellular space|gelatinase A activity|hydrolase activity|zinc ion binding	Tumor tissue and tumor cultures
Hs.418138	FN1	fibronectin 1	acute-phase response|cell adhesion|cell migration|collagen binding|extracellular|extracellular matrix structural constituent|heparin binding|response to wounding	Tumor tissue and tumor cultures
Hs.432914		CDNA FLJ46049 fis, clone SYNOV2020463		Tumor tissue and tumor cultures
Hs.14691	MGC19764	hypothetical protein MGC19764		Tumor tissue and tumor cultures
Hs.387251	EVI5	ecotropic viral integration site 5	cell proliferation|development|protein binding	Tumor tissue and tumor cultures
Hs.250692	HLF	hepatic leukemia factor	cell growth and/or maintenance|development|double-stranded DNA binding|nucleus|regulation of transcription, DNA-dependent|transcription from Pol II promoter	Tumor tissue and tumor cultures
Hs.396853	JMY	junction-mediating and regulatory protein		Tumor tissue and tumor cultures
Hs.135226	CTSB	cathepsin B	cathepsin B activity|hydrolase activity|intracellular|lysosome|proteolysis and peptidolysis	Tumor tissue and tumor cultures
Hs.484782	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	DNA fragmentation|apoptosis|caspase-activated deoxyribonuclease activity|cytosol|intracellular signaling cascade|nucleus|protein binding	Tumor tissue and tumor cultures
Hs.448589	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	DNA binding|defense response|nucleus|nucleus|signal transduction	Tumor tissue and tumor cultures
Hs.387385	SMURF2	E3 ubiquitin ligase SMURF2	ligase activity|negative regulation of transcription|nucleus|regulation of transforming growth factor beta receptor signaling pathway|ubiquitin cycle|ubiquitin-dependent protein catabolism|ubiquitin-protein ligase activity	Tumor tissue and tumor cultures
Hs.98998	TNC	tenascin C (hexabrachion)	cell adhesion|extracellular matrix|protein binding	Tumor tissue and tumor cultures
Hs.82028	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	ATP binding|integral to membrane|positive regulation of cell proliferation|protein amino acid phosphorylation|receptor activity|transferase activity|transmembrane receptor protein serine/threonine kinase signaling pathway|type II transforming growth factor beta receptor activity	Tumor tissue and tumor cultures
Hs.321164	NPAS2	neuronal PAS domain protein 2		Tumor tissue and tumor cultures
Hs.512682	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	immune response|integral to membrane|integral to plasma membrane|membrane fraction|molecular_function unknown|pregnancy	Tumor tissue and tumor cultures
Hs.511397	MCAM	melanoma cell adhesion molecule	cell adhesion|integral to plasma membrane|morphogenesis|protein binding	Tumor tissue and tumor cultures
Hs.197081	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	kinase activity	Tumor tissue and tumor cultures
Hs.370771	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	cell cycle arrest|cell cycle arrest|cyclin-dependent protein kinase inhibitor activity|cyclin-dependent protein kinase inhibitor activity|induction of apoptosis by intracellular signals|kinase activity|negative regulation of cell proliferation|nucleus|nucleus|protein kinase activity|regulation of cyclin dependent protein kinase activity	Tumor tissue and tumor cultures
Hs.432677	KRT6B	keratin 6B	cytoskeleton organization and biogenesis|ectoderm development|intermediate filament|intermediate filament|structural constituent of cytoskeleton|structural molecule activity	Tumor tissue and tumor cultures
Hs.76353	SERPINA3	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	DNA binding|acute-phase response|chymotrypsin inhibitor activity|extracellular|inflammatory response|intracellular|protein binding|regulation of lipid metabolism	Tumor tissue and tumor cultures
Hs.212787	KIAA0303	KIAA0303 protein	ATP binding|protein amino acid phosphorylation|protein binding|protein kinase activity|protein serine/threonine kinase activity|transferase activity	Tumor tissue and tumor cultures
Hs.407912	COL4A2	collagen, type IV, alpha 2	collagen|collagen type IV|extracellular matrix organization and biogenesis|extracellular matrix structural constituent	Tumor tissue and tumor cultures
Hs.278573	CD59	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	blood coagulation|cell surface receptor linked signal transduction|immune response|membrane fraction|plasma membrane	Tumor tissue and tumor cultures
Hs.386793	GPX3	glutathione peroxidase 3 (plasma)	electron transporter activity|extracellular|glutathione peroxidase activity|oxidoreductase activity|peroxidase activity|response to lipid hydroperoxide|soluble fraction	Tumor tissue and tumor cultures
Hs.436922	KCNRG	potassium channel regulator	ion channel activity|membrane|potassium ion transport|protein binding|voltage-gated potassium channel activity|voltage-gated potassium channel complex	Tumor tissue and tumor cultures
Hs.434494	SYNJ2	synaptojanin 2	inositol/phosphatidylinositol phosphatase activity	Tumor tissue and tumor cultures
Hs.183428	SSPN	sarcospan (Kras oncogene-associated gene)	cell adhesion|cytoskeleton|dystrophin-associated glycoprotein complex|integral to plasma membrane|muscle contraction	Tumor tissue and tumor cultures
Hs.162757	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	calcium ion binding|cell proliferation|coated pit|endocytosis|integral to plasma membrane|lipid metabolism|lipid transporter activity|lipoprotein binding|membrane fraction|receptor activity	Tumor tissue and tumor cultures
Hs.435800	VIM	vimentin	cytoplasm|intermediate filament|intermediate filament|protein binding|structural constituent of cytoskeleton|structural molecule activity	Tumor tissue and tumor cultures
Hs.128087	F2R	coagulation factor II (thrombin) receptor	G-protein coupled receptor protein signaling pathway|Golgi apparatus|STAT protein nuclear translocation|apoptosis|blood coagulation|caspase activation|cell motility|integral to plasma membrane|morphogenesis|positive regulation of I-kappaB kinase/NF-kappaB cascade|receptor binding|regulation of cell cycle|response to wounding|rhodopsin-like receptor activity|signal transduction|thrombin receptor activity|tyrosine phosphorylation of STAT protein	Tumor tissue and tumor cultures
Hs.437040	PTPN21	protein tyrosine phosphatase, non-receptor type 21	cytoskeleton|hydrolase activity|protein amino acid dephosphorylation|protein-tyrosine-phosphatase activity|structural molecule activity	Tumor tissue and tumor cultures
Hs.170399	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1		Tumor tissue and tumor cultures
Hs.95120	CYGB	cytoglobin	cytoplasm|oxygen transport|oxygen transporter activity|transport	Tumor tissue and tumor cultures
Hs.359394		Hypothetical protein LOC283666, mRNA (cDNA clone IMAGE:4415549), partial cds		Tumor tissue and tumor cultures
Hs.31595	CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	integral to membrane|structural molecule activity|tight junction	Tumor tissue and tumor cultures
Hs.76530	F2	coagulation factor II (thrombin)	STAT protein nuclear translocation|acute-phase response|apoptosis|calcium ion binding|caspase activation|chymotrypsin activity|development|extracellular space|fibrinolysis|hydrolase activity|platelet activation|proteolysis and peptidolysis|receptor binding|regulation of blood coagulation|regulation of cell cycle|response to wounding|soluble fraction|thrombin activity|trypsin activity|tyrosine phosphorylation of STAT protein	Tumor tissue and tumor cultures
Hs.418083	RBP4	retinol binding protein 4, plasma		Tumor tissue and tumor cultures
Hs.415997	COL6A1	collagen, type VI, alpha 1	cell adhesion|collagen type VI|extracellular matrix|extracellular matrix structural constituent|protein binding	Tumor tissue and tumor cultures
Hs.420269	COL6A2	collagen, type VI, alpha 2	cell-cell adhesion|extracellular matrix|extracellular matrix organization and biogenesis|extracellular matrix structural constituent|protein binding, bridging	Tumor tissue and tumor cultures
Hs.280226	APOB	apolipoprotein B (including Ag(x) antigen)	extracellular|lipid transport|lipid transporter activity	Tumor tissue and tumor cultures
Hs.389964	GPNMB	glycoprotein (transmembrane) nmb	integral to membrane|negative regulation of cell proliferation	Tumor tissue and tumor cultures
Hs.170915	FLJ10948	hypothetical protein FLJ10948	catalytic activity|metabolism	Tumor tissue and tumor cultures
Hs.235860	FOXP1	forkhead box P1	nucleic acid binding|nucleus|regulation of transcription, DNA-dependent|transcription factor activity|zinc ion binding	Tumor tissue and tumor cultures
Hs.14880		CDNA FLJ39417 fis, clone PLACE6016942		Tumor tissue and tumor cultures
Hs.2006	GSTM3	glutathione S-transferase M3 (brain)	establishment of blood/nerve barrier|glutathione transferase activity|metabolism|transferase activity	Tumor tissue and tumor cultures
Hs.26670	MGC17330	HGFL gene		Tumor tissue and tumor cultures
Hs.15053	HCMOGT-1	sperm antigen HCMOGT-1		Tumor tissue and tumor cultures
Hs.111779	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	basement membrane|calcium ion binding|collagen binding|ossification	Tumor tissue and tumor cultures
Hs.129895	TBX3	T-box 3 (ulnar mammary syndrome)	RNA polymerase II transcription factor activity|morphogenesis|nucleus|regulation of transcription from Pol II promoter|skeletal development|transcription factor activity	Tumor tissue and tumor cultures
Hs.390242	IRS1	insulin receptor substrate 1	cytoplasm|insulin receptor binding|protein binding|signal transducer activity|signal transduction|transmembrane receptor protein tyrosine kinase docking protein activity	Tumor tissue and tumor cultures
Hs.166254	VMP1	likely ortholog of rat vacuole membrane protein 1		Tumor tissue and tumor cultures
Hs.512612	PHKG1	phosphorylase kinase, gamma 1 (muscle)		Tumor tissue and tumor cultures
Hs.405819		Transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]		Tumor tissue and tumor cultures
Hs.512708	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	acyltransferase activity|calcium ion binding|cellular_component unknown|peptide cross-linking|protein-glutamine gamma-glutamyltransferase activity|transferase activity	Tumor tissue and tumor cultures
Hs.297604	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	1-phosphatidylinositol-4-phosphate 5-kinase activity|1-phosphatidylinositol-4-phosphate 5-kinase activity|cellular_component unknown|kinase activity|phosphorylation|transferase activity	Tumor tissue and tumor cultures
Hs.9728	ALEX1	ALEX1 protein		Tumor tissue and tumor cultures
Hs.150276	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	electron transport|endoplasmic reticulum|membrane|membrane fraction|microsome|monooxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxygen binding|steroid metabolism|xenobiotic metabolism	Tumor tissue and tumor cultures
Hs.131842	C6orf133	chromosome 6 open reading frame 133	ligase activity|ubiquitin cycle|ubiquitin-protein ligase activity	Tumor tissue and tumor cultures
Hs.183706	ADD1	adducin 1 (alpha)	actin binding|actin cytoskeleton|calmodulin binding|calmodulin binding|cytoskeleton|cytoskeleton organization and biogenesis|membrane|structural constituent of cytoskeleton	Tumor tissue and tumor cultures
Hs.241545	LOC51063	hypothetical protein LOC51063		Tumor tissue and tumor cultures
Hs.7972	RIPX	rap2 interacting protein x		Tumor tissue and tumor cultures
Hs.156727	ANKH	ankylosis, progressive homolog (mouse)	inorganic diphosphate transporter activity|inorganic phosphate transporter activity|integral to membrane|locomotory behavior|outer membrane|outer membrane|perception of sound|phosphate transport|regulation of bone mineralization|regulation of bone mineralization|skeletal development|transport	Tumor tissue and tumor cultures
Hs.6421	DKFZP761N09121	hypothetical protein DKFZp761N09121		Tumor tissue and tumor cultures
Hs.208641	ACTA2	actin, alpha 2, smooth muscle, aorta	actin filament|motor activity|muscle development|striated muscle thin filament|structural constituent of cytoskeleton|structural constituent of muscle	Tumor tissue and tumor cultures
Hs.54073		Transcribed sequences		Tumor tissue and tumor cultures
Hs.436349	RTN4	reticulon 4	endoplasmic reticulum|integral to endoplasmic reticulum membrane|negative regulation of anti-apoptosis|negative regulation of axon extension|nuclear membrane|protein binding|regulation of apoptosis	Tumor tissue and tumor cultures
Hs.291564		Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.17377	CORO1C	coronin, actin binding protein, 1C	actin binding|actin cytoskeleton|phagocytosis|signal transduction	Tumor tissue and tumor cultures
Hs.369110	CCNI	cyclin I	spermatogenesis	Tumor tissue and tumor cultures
Hs.154210	EDG1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	G-protein coupled receptor protein signaling pathway|integral to membrane|lysosphingolipid and lysophosphatidic acid receptor activity|receptor activity	Tumor tissue and tumor cultures
Hs.437058	STAT5A	signal transducer and activator of transcription 5A	JAK-STAT cascade|immune response|intracellular signaling cascade|nucleus|regulation of transcription from Pol II promoter|signal transducer activity|transcription factor activity	Tumor tissue and tumor cultures
Hs.126608	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	cytoplasm|glucocorticoid receptor activity|inflammatory response|mitochondrial matrix|nucleus|regulation of transcription, DNA-dependent|signal transduction|steroid binding|transcription factor activity|transcription from Pol II promoter	Tumor tissue and tumor cultures
Hs.188614		Transcribed sequences		Tumor tissue and tumor cultures
Hs.436421	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	cell adhesion|cytoskeleton|development|neuronal cell adhesion|protein binding|structural molecule activity	Tumor tissue and tumor cultures
Hs.499465		Transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]		Tumor tissue and tumor cultures
Hs.118962	FUBP1	far upstream element (FUSE) binding protein 1	DNA binding|nucleus|regulation of transcription, DNA-dependent	Tumor tissue and tumor cultures
Hs.446658	AF5Q31	ALL1 fused gene from 5q31	transcription factor activity|transcription from Pol II promoter	Tumor tissue and tumor cultures
Hs.17240	LOC155435	hypothetical protein LOC155435		Tumor tissue and tumor cultures
Hs.437866	KIAA1915	KIAA1915 protein		Tumor tissue and tumor cultures
Hs.271511	ZNF160	zinc finger protein 160	DNA binding|hemopoiesis|intracellular|nucleic acid binding|nucleus|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|zinc ion binding	Tumor tissue and tumor cultures
Hs.454758	MUM1	melanoma associated antigen (mutated) 1	biological_process unknown|cellular_component unknown|molecular_function unknown	Tumor tissue and tumor cultures
Hs.130873	ACP1	acid phosphatase 1, soluble	hydrolase activity|protein amino acid dephosphorylation|protein-tyrosine-phosphatase activity	Tumor tissue and tumor cultures
Hs.271609		Full length insert cDNA YN68A11		Tumor tissue and tumor cultures
Hs.408351		CDNA FLJ37584 fis, clone BRCOC2004950		Tumor tissue and tumor cultures
Hs.46452	SCGB2A2	secretoglobin, family 2A, member 2	biological_process unknown|cellular_component unknown|steroid binding	Tumor tissue and tumor cultures
Hs.4099	NRD1	nardilysin (N-arginine dibasic convertase)	hydrolase activity|nardilysin activity|neuromuscular junction development|proteolysis and peptidolysis	Tumor tissue and tumor cultures
Hs.25328	PHC3	polyhomeotic like 3 (Drosophila)		Tumor tissue and tumor cultures
Hs.14248	STN2	stonin 2	clathrin vesicle coat|endocytosis|intracellular protein transport|membrane	Tumor tissue and tumor cultures
Hs.133160		Clone IMAGE:5742072, mRNA		Tumor tissue and tumor cultures
Hs.38959		Transcribed sequence with weak similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.285643		CDNA FLJ14364 fis, clone HEMBA1000918		Tumor tissue and tumor cultures
Hs.444951		Transcribed sequence with moderate similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]		Tumor tissue and tumor cultures
Hs.136370		Transcribed sequences		Tumor tissue and tumor cultures
Hs.272034		Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]		Tumor tissue and tumor cultures
Hs.113876		Transcribed sequence with moderate similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.444548	NP220	NP220 nuclear protein	RNA binding|RNA splicing|cytoplasm|double-stranded DNA binding|nucleic acid binding|nucleoplasm|nucleus|zinc ion binding	Tumor tissue and tumor cultures
Hs.528329	UBXD4	UBX domain containing 4		Tumor tissue and tumor cultures
Hs.129228	GALK2	galactokinase 2		Tumor tissue and tumor cultures
Hs.487857		Transcribed sequence with weak similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.372327		Transcribed sequence with moderate similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.262009		Transcribed sequence with moderate similarity to protein ref:NP_071431.1 (H.sapiens) cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens]		Tumor tissue and tumor cultures
Hs.445862	RAB30	RAB30, member RAS oncogene family	GTP binding|GTPase activity|Golgi stack|small GTPase mediated signal transduction	Tumor tissue and tumor cultures
Hs.182579	LAP3	leucine aminopeptidase 3	cytoplasm|hydrolase activity|leucyl aminopeptidase activity|magnesium ion binding|manganese ion binding|prolyl aminopeptidase activity|proteolysis and peptidolysis|zinc ion binding	Tumor tissue and tumor cultures
Hs.276976		MRNA; cDNA DKFZp686K1098 (from clone DKFZp686K1098)		Tumor tissue and tumor cultures
Hs.432157		Transcribed sequences		Tumor tissue and tumor cultures
Hs.6654	KIAA0657	KIAA0657 protein		Tumor tissue and tumor cultures
Hs.493756	PRO2852	hypothetical protein PRO2852		Tumor tissue and tumor cultures
Hs.166091	LIG4	ligase IV, DNA, ATP-dependent	ATP binding|DNA ligase (ATP) activity|DNA recombination|DNA repair|DNA replication|intracellular|nucleic acid binding	Tumor tissue and tumor cultures
Hs.446430	hnRNPA3	heterogeneous nuclear ribonucleoprotein A3		Tumor tissue and tumor cultures
Hs.169228	DLK1	delta-like 1 homolog (Drosophila)	calcium ion binding|development|extracellular space|integral to membrane|membrane fraction|soluble fraction	Tumor tissue and tumor cultures
Hs.411490	LOC116228	hypothetical protein LOC116228		Tumor tissue and tumor cultures
Hs.135742	SFXN1	sideroflexin 1	cation transport|cation transporter activity|integral to membrane|iron ion transport|mitochondrion|transport	Tumor tissue and tumor cultures
Hs.436020	DIO2	deiodinase, iodothyronine, type II	hydrolase activity|membrane|selenium binding|selenocysteine incorporation|thyroid hormone generation|thyroxine 5-deiodinase activity|thyroxine 5-deiodinase activity	Tumor tissue and tumor cultures
Hs.356564		CDNA FLJ37830 fis, clone BRSSN2009395		Tumor tissue and tumor cultures
Hs.388373	TRIP12	thyroid hormone receptor interactor 12	cytosol|intracellular|ligase activity|protein ubiquitination|thyroid hormone receptor binding|ubiquitin-protein ligase activity	Tumor tissue and tumor cultures
Hs.439334		MRNA; cDNA DKFZp564H172 (from clone DKFZp564H172)		Tumor tissue and tumor cultures
Hs.315379	WSB1	WD repeat and SOCS box-containing 1	cellular_component unknown|intracellular signaling cascade|molecular_function unknown	Tumor tissue and tumor cultures
Hs.122708	LMTK2	lemur tyrosine kinase 2	ATP binding|autophosphorylation|integral to membrane|protein binding|protein phosphatase inhibitor activity|protein serine/threonine kinase activity|protein-tyrosine kinase activity	Tumor tissue and tumor cultures
Hs.169054		CDNA FLJ43532 fis, clone PLACE7001022		Tumor tissue and tumor cultures
Hs.7327	CLDN1	claudin 1	cell adhesion|integral to plasma membrane|structural molecule activity|tight junction	Tumor tissue and tumor cultures
Hs.158357	UNC5CL	unc-5 homolog C (C. elegans)-like	signal transduction	Tumor tissue and tumor cultures
Hs.93738	ZNF608	zinc finger protein 608	nucleic acid binding|nucleus|zinc ion binding	Tumor tissue and tumor cultures
Hs.15711	KIF13B	kinesin family member 13B	ATP binding|T-cell activation|cytoskeleton|microtubule associated complex|microtubule motor activity|microtubule-based movement|protein kinase binding|protein targeting|signal transduction	Tumor tissue and tumor cultures
Hs.448341	ZNF292	zinc finger protein 292		Tumor tissue and tumor cultures
Hs.83623		MRNA; cDNA DKFZp686K10163 (from clone DKFZp686K10163)		Tumor tissue and tumor cultures
Hs.16193		MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)		Tumor tissue and tumor cultures
Hs.440734	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)		Tumor tissue and tumor cultures
Hs.372494		Transcribed sequence with moderate similarity to protein sp:P39189 (H.sapiens) ALU2_HUMAN Alu subfamily SB sequence contamination warning entry		Tumor tissue and tumor cultures
Hs.5734	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	glycoprotein catabolism|hyalurononglucosaminidase activity	Tumor tissue and tumor cultures
Hs.122140	FLJ22557	hypothetical protein FLJ22557		Tumor tissue and tumor cultures
Hs.446708		CDNA FLJ36015 fis, clone TESTI2016162		Tumor tissue and tumor cultures
Hs.43141	LOC284058	hypothetical protein LOC284058		Tumor tissue and tumor cultures
Hs.180878	LPL	lipoprotein lipase	circulation|extracellular|fatty acid metabolism|heparin binding|hydrolase activity|lipid catabolism|lipid transporter activity|lipoprotein lipase activity	Tumor tissue and tumor cultures
Hs.438669	INSR	insulin receptor	ATP binding|carbohydrate metabolism|cell growth and/or maintenance|development|energy pathways|epidermal growth factor receptor activity|integral to plasma membrane|protein amino acid phosphorylation|receptor activity|receptor signaling protein tyrosine kinase activity|signal transduction|transferase activity|transmembrane receptor protein tyrosine kinase signaling pathway|transmembrane receptor protein tyrosine kinase signaling protein activity	Tumor tissue and tumor cultures
Hs.19221		Hypothetical protein DKFZp566G1424 (DKFZP566G1424), mRNA		Tumor tissue and tumor cultures
Hs.164969	ANKRD10	ankyrin repeat domain 10		Tumor tissue and tumor cultures
Hs.406505	POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene	DNA binding|DNA-directed RNA polymerase activity|transcription	Tumor tissue and tumor cultures
Hs.64173	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 1 (Renal tubular acidosis with deafness)	ATP binding|ATP synthesis coupled proton transport|cytoplasm|energy coupled proton transport, against electrochemical gradient|excretion|hydrogen-exporting ATPase activity, phosphorylative mechanism|hydrogen-transporting ATP synthase activity, rotational mechanism|hydrogen-transporting ATPase activity, rotational mechanism|hydrolase activity|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|perception of sound|plasma membrane|proton-transporting two-sector ATPase complex	Tumor tissue and tumor cultures
Hs.8364	PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	ATP binding|[pyruvate dehydrogenase (lipoamide)] kinase activity|glucose metabolism|mitochondrion|protein kinase activity|signal transduction|transferase activity	Tumor tissue and tumor cultures
Hs.78224	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	RNA binding|endonuclease activity|extracellular|hydrolase activity|pancreatic ribonuclease activity	Tumor tissue and tumor cultures
Hs.205126	PIGR	polymeric immunoglobulin receptor	integral to plasma membrane|protein secretion|protein transporter activity	Tumor tissue and tumor cultures
Hs.83918	AMPD3	adenosine monophosphate deaminase (isoform E)	AMP catabolism|AMP deaminase activity|hydrolase activity|nucleotide metabolism|purine ribonucleoside monophosphate biosynthesis	Tumor tissue and tumor cultures
Hs.8230	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	extracellular matrix|heparin binding|hydrolase activity|integrin binding|integrin-mediated signaling pathway|metalloendopeptidase activity|negative regulation of cell proliferation|proteolysis and peptidolysis|zinc ion binding	Tumor tissue and tumor cultures
Hs.64016	PROS1	protein S (alpha)	blood coagulation|calcium ion binding|endopeptidase inhibitor activity|extracellular	Tumor tissue and tumor cultures
Hs.378063	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	actin filament-based movement|axonogenesis|axonogenesis|beta-amyloid binding|beta-amyloid binding|cell cycle arrest|growth cone|growth cone|histone acetyltransferase binding|lamellipodium|lamellipodium|negative regulation of S phase of mitotic cell cycle|negative regulation of cell growth|negative regulation of thymidylate synthase biosynthesis|nucleus|protein stabilization|regulation of transcription|signal transduction|signal transduction|synapse|synapse|transcription factor binding	Tumor tissue and tumor cultures
Hs.384598	SERPING1	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	blood coagulation|circulation|complement activation, classical pathway|extracellular|serine-type endopeptidase inhibitor activity	Tumor tissue and tumor cultures
Hs.119651	GPC3	glypican 3	cell growth and/or maintenance|extracellular matrix|integral to plasma membrane|morphogenesis	Tumor tissue and tumor cultures
