Ref Seq	locus link	Gene Symbol	cytoband	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	% class2 DOWN	best pvalue correlation with the relevant clones in the relevant region	ref seq best correlated clone	p-value ttest best correlated clone	median class (poor)	median class (good)	% class (poor) UP	% class (good)UP	% class (poor) DOWN	% class (good) DOWN
NM_005360	4094	MAF	16q23.1	-2.55E-02	-7.26E-02	6.53E-01	1.73E-01	1.57E-01	3.33E+01	1.57E-01	RP11-556H2	5.67E-04	-7.90E-02	-2.69E-01	0	0	11.4	33.3
AF052107	129642	LOC129642	16q22.3	-4.44E-02	-6.13E-02	6.61E-01	1.35E-01	2.71E-01	0	1.65E-01	RP11-303E16	1.99E-04	-4.12E-02	-1.55E-01	2.3	0	0	0
AL110236	58487	ZF	16q11.2	-5.15E-03	-2.60E-02	6.66E-01	-1.08E-02	9.31E-01	8.33E+00	1.58E-01	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
AF169631	58189	WFDC1,PS20	16q23.3	-1.35E-01	-1.13E-01	7.01E-01	-8.05E-02	5.14E-01	3.33E+01	1.95E-01	RP11-283C7	1.56E-03	-4.80E-02	-1.84E-01	2.3	0	2.3	8.3
NM_018975	54386	TERF2IP,RAP1	16q22.3	-3.24E-02	-4.65E-02	7.05E-01	2.40E-01	4.91E-02	4.17E+00	7.47E-04	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
AB067517	79567	FLJ13725,KIAA1930	16q22.1	1.88E-02	2.88E-02	7.06E-01	2.45E-03	9.84E-01	8.33E+00	8.00E-02	RP11-354N7	2.49E-05	5.15E-02	-1.39E-01	2.3	0	0	0
BC036414	26135	PAI-RBP1	16q24.1	-4.45E-02	-5.72E-02	7.43E-01	3.79E-02	7.59E-01	4.17E+00	7.59E-01	RP11-514D23	2.06E-04	-1.90E-02	-1.43E-01	2.3	0	0	4.2
NM_000903	1728	NQO1,DTD,QR1,DHQU,DIA4,NMOR1,NMORI	16q22.1	-7.74E-02	-1.40E-01	7.62E-01	6.52E-02	5.97E-01	8.33E+00	5.93E-02	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_016948	50855	PARD6A,PAR-6,TAX40,PAR-6A,TIP-40,PAR6alpha	16q22.1	-9.30E-03	-4.64E-02	7.65E-01	-1.23E-01	3.16E-01	8.33E+00	8.54E-01	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
BC009699	4493	MT1E,MT1,MTD	16q12.2	-4.76E-02	-8.89E-02	7.73E-01	3.08E-01	1.07E-02	25	1.21E-04	RP5-991G20	4.64E-03	-1.25E-01	-2.74E-01	0	0	13.6	37.5
NM_002080	2806	GOT2	16q13	-1.14E-04	4.24E-03	7.99E-01	3.97E-01	8.15E-04	8.33E+00	6.54E-05	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_006752	6837	SURF5,MGC48682	16q22.1	-1.85E-02	1.90E-02	8.01E-01	6.05E-04	9.96E-01	4.17E+00	7.32E-02	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
AI022421	2971	GTF3A	16q22.2	-1.38E-02	-4.65E-02	8.12E-01	-8.42E-03	9.46E-01	4.17E+00	2.19E-01	RP11-229O3	6.91E-04	-5.83E-02	-2.58E-01	0	0	6.8	25
AF007128	144699	FBXL14	16q22.1	-1.66E-02	3.38E-02	8.72E-01	-1.63E-01	1.84E-01	8.33E+00	4.62E-01	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_005853	10265	IRX5,IRX-2a	16q12.2	-6.07E-02	-5.42E-02	8.78E-01	-3.15E-02	7.99E-01	2.08E+01	4.99E-02	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
AB002306	80205	FLJ12178,KIAA0308	16q12.1	-1.15E-02	2.10E-03	9.24E-01	3.27E-01	6.56E-03	8.33E+00	5.19E-07	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_015251	23300	KIAA0431	16q23.1	-4.63E-02	-2.09E-02	9.48E-01	3.18E-01	8.18E-03	0	8.18E-03	RP11-303E16	1.99E-04	-4.12E-02	-1.55E-01	2.3	0	0	0
BC040279	197257	LDHD,MGC57726	16q22.3	-4.41E-02	8.53E-03	9.59E-01	2.73E-02	8.25E-01	4.17E+00	1.82E-01	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_004360	999	CDH1,UVO,CDHE,ECAD,LCAM	16q22.1	-8.77E-02	-1.14E-01	9.62E-01	2.56E-01	3.54E-02	0	2.90E-03	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
D80004	23199	KIAA0182	16q24.1	-3.52E-02	-1.76E-02	9.64E-01	8.15E-02	5.09E-01	0	2.46E-02	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_018348	55783	FLJ11171	16q22.1	1.84E-02	4.03E-03	9.78E-01	2.66E-01	2.81E-02	4.17E+00	7.76E-04	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
AL833922	64282	PAPD5,TRF4-2	16q12.1	-3.32E-02	-3.25E-02	9.89E-01	2.30E-01	5.88E-02	2.08E+01	1.66E-03	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_000196	3291	HSD11B2,AME,AME1,HSD11K	16q22.1	-1.27E-01	-1.39E-01	9.89E-01	1.08E-01	3.82E-01	8.33E+00	2.75E-02	RP11-123C5	7.13E-04	-3.18E-02	-2.11E-01	2.3	0	2.3	20.8
