Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
AK024578	83643	CCDC3,DKFZP761F241	17q25.1	74398	-9.52E-02	-4.34E-02	3.18E-01	-1.11E-01	3.69E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_003003	6397	SEC14L1,SEC14L	17q25.1	72685	3.95E-03	-2.52E-02	6.14E-01	3.04E-01	1.16E-02	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AB028990	23265	EXOC7,EXO70,Exo70p,YJL085W,KIAA1067	17q25.1	71600	6.82E-04	-1.80E-02	6.86E-01	5.56E-01	8.63E-07	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_006456	10610	SIAT7B,STHM,SIAT7,ST6GalNAII	17q25.1	72083	-8.26E-02	-1.21E-01	7.94E-01	3.93E-01	9.22E-04	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL122043	140688	C20orf112,DKFZP566G1424	17q25.1	72083	-1.93E-02	-2.85E-02	9.09E-01	1.96E-01	1.09E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_007217	11235	PDCD10,TFAR15,MGC1212,MGC24477	3q26.1	168910	5.88E-02	-9.21E-02	1.16E-02	3.63E-01	2.34E-03	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI300111	2634	GBP2	3q26.1	168910	3.11E-03	-3.08E-02	1.69E-01	-1.78E-02	8.85E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_005025	5274	SERPINI1,PI12,neuroserpin	3q26.1	168981	-2.47E-01	-1.99E-01	3.72E-01	1.24E-01	3.15E-01	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
NM_000055	590	BCHE,E1,CHE1	3q26.1	167006	2.78E-02	2.90E-03	5.71E-01	1.85E-01	1.30E-01	RP11-816J6	5.65E-03	1.43E-02	-6.74E-02	4.55E+00	0	0	0
AL080213		0	3q26.2	171004	-9.07E-02	4.30E-02	1.07E-03	-2.59E-01	3.32E-02	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
U68494	7779	SLC30A1	3q26.2	172212	-1.28E-01	5.24E-02	3.32E-03	-2.87E-01	1.75E-02	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
AK097936	387840	DUSP16	3q26.2	171577	-8.19E-02	7.03E-02	3.63E-03	-3.11E-01	9.77E-03	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
AL050021	6541	SLC7A1,ERR,ATRC1,CAT-1,HCAT1,REC1L	3q26.2	171262	1.17E-01	-8.35E-02	4.18E-03	1.83E-01	1.35E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_002740	5584	PRKCI,PKCI,DXS1179E	3q26.2	171465	6.69E-02	-4.27E-02	5.35E-03	5.57E-01	8.08E-07	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_014373	26996	GPR160,GPCR1,GPCR150	3q26.2	171262	-1.43E-01	-1.59E-02	5.94E-02	-1.54E-01	2.11E-01	RP11-71G7	7.02E-04	5.98E-02	-1.79E-02	2.27E+00	0	0	0
NM_005414	6498	SKIL,SNO	3q26.2	171577	1.44E-02	-7.18E-02	3.35E-01	2.69E-01	2.63E-02	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_003002	6392	SDHD,PGL,CBT1,PGL1,SDH4	3q26.2	170910	-2.41E-02	-5.98E-02	3.88E-01	1.94E-01	1.13E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AB011123	23043	TNIK,KIAA0551	3q26.2	172462	-1.18E-02	-4.95E-02	3.91E-01	-1.34E-02	9.14E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_020390	56648	EIF5A2,EIF-5A2,eIF5AII	3q26.2	172099	-3.59E-02	-8.48E-03	5.46E-01	-1.78E-01	1.47E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_003262	7095	TLOC1,HTP1,Dtrp1,SEC62	3q26.2	171182	-6.50E-02	-7.60E-02	7.97E-01	-2.86E-02	8.17E-01	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_005397	5420	PODXL,PCLP,Gp200	3q26.2	171004	-2.11E-02	8.24E-03	8.78E-01	3.31E-01	5.81E-03	RP11-816J6	5.65E-03	1.43E-02	-6.74E-02	4.55E+00	0	0	0
NM_018098	1894	ECT2,FLJ10461	3q26.31	173987	1.57E-01	-8.80E-02	7.33E-06	6.63E-01	7.56E-10	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_018098	1894	ECT2,FLJ10461	3q26.31	173987	4.42E-02	-1.21E-01	1.01E-04	5.28E-01	3.66E-06	RP11-71G7	7.02E-04	5.98E-02	-1.79E-02	2.27E+00	0	0	0
BC012204	64778	FAD104	3q26.31	173421	9.33E-02	-1.11E-01	1.45E-04	2.91E-01	1.61E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AL157482	64778	FAD104,FLJ23399,DKFZp762K137	3q26.31	173421	8.49E-02	-4.08E-02	1.03E-03	5.08E-01	9.74E-06	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_014932	22871	NLGN1,KIAA1070,MGC45115	3q26.31	175144	-9.26E-02	-7.25E-03	4.68E-02	-9.76E-02	4.28E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_002662	5337	PLD1	3q26.31	172906	3.85E-02	-4.06E-02	6.22E-02	2.43E-01	4.62E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI828075	8370	HIST2H4	3q26.31	173421	-6.38E-02	-1.94E-01	6.34E-02	1.42E-01	2.47E-01	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
AB037784	57552	KIAA1363	3q26.31	173871	-3.31E-02	-2.20E-02	2.93E-01	1.96E-01	1.09E-01	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
AL049365	399665	MGC50853	3q26.31	172906	-1.22E-01	-4.73E-02	3.44E-01	3.23E-02	7.94E-01	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
BC042589		0	3q26.31	174216	-1.13E-01	-1.55E-01	3.59E-01	-1.93E-03	9.88E-01	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_003810	8743	TNFSF10,TL2,APO2L,TRAIL,Apo-2L	3q26.31	173715	-9.78E-02	-9.76E-02	8.27E-01	-7.18E-02	5.61E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_006218	5290	PIK3CA	3q26.32	180417	-3.02E-03	6.99E-03	4.23E-01	4.48E-01	1.29E-04	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
AI743042	57636	KIAA1501	3q26.32	180219	-9.67E-02	-4.98E-02	4.29E-01	-2.25E-01	6.49E-02	RP11-91K9	2.85E-03	7.87E-02	-2.07E-02	1.36E+01	0	0	4.17E+00
NM_003940	8975	USP13,ISOT3,IsoT-3	3q26.33	180919	6.19E-02	-9.26E-02	2.18E-04	6.09E-01	3.56E-08	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_004301	86	BAF53A,ACTL6,MGC5382	3q26.33	180776	2.70E-02	-6.66E-02	2.37E-03	6.76E-01	2.45E-10	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
NM_020409	57129	MRPL47,NCM1,CGI-204,MGC45403	3q26.33	180797	6.54E-02	1.67E-03	7.48E-03	5.24E-01	4.56E-06	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
NM_005087	8087	FXR1	3q26.33	182145	4.22E-02	-5.43E-03	2.53E-02	4.25E-01	2.98E-04	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_002492	4711	NDUFB5,SGDH,CI-SGDH,MGC12314	3q26.33	180817	3.85E-02	-4.13E-02	4.61E-02	4.35E-01	2.13E-04	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_017927	55669	MFN1,FLJ20693,MGC41806	3q26.33	180571	3.37E-02	-2.33E-02	4.78E-02	6.24E-01	1.34E-08	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
AK091335	55016	FLJ20668	3q26.33	180626	5.10E-02	-1.09E-02	1.98E-01	1.02E-01	4.10E-01	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
AB075860	151613	TTC14,FLJ00166,KIAA1980	3q26.33	181807	-5.88E-02	-1.16E-02	8.78E-01	-3.29E-02	7.90E-01	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_003106	6657	SOX2,ANOP3,MGC2413	3q26.33	182914	-2.42E-01	-2.86E-01	8.99E-01	-4.24E-02	7.32E-01	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
Z31560	6657	SOX2,ANOP3,MGC2413	3q26.33	182914	-1.29E-01	-1.70E-01	9.99E-01	-3.14E-02	7.99E-01	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
NM_002808	5708	PSMD2,S2,P97,TRAP2,MGC14274	3q27.1	185504	4.39E-02	-7.39E-02	7.79E-06	5.83E-01	1.85E-07	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
AF076612	8646	CHRD	3q27.1	185589	-1.89E-01	1.15E-01	1.39E-05	-3.34E-01	5.43E-03	RP11-816J6	5.65E-03	1.43E-02	-6.74E-02	4.55E+00	0	0	0
NM_020166	56922	MCCC1,MCCA,MCC-B	3q27.1	184258	8.93E-02	-9.54E-02	2.86E-05	3.62E-01	2.44E-03	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_014398	27074	LAMP3,LAMP,DCLAMP,TSC403,DC-LAMP	3q27.1	184343	2.68E-02	-3.48E-01	6.13E-05	1.82E-01	1.38E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_004953	1981	EIF4G1,p220,EIF4G	3q27.1	185525	8.89E-02	1.32E-02	6.47E-05	5.12E-01	8.06E-06	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
NM_004068	1173	AP2M1,AP50,CLAPM1	3q27.1	185380	1.14E-01	-3.54E-02	1.15E-03	5.24E-01	4.60E-06	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
AI140754	23161	SNX13	3q27.1	184956	-1.29E-01	1.73E-02	2.29E-03	-2.93E-01	1.52E-02	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
U37689	5437	POLR2H,RPB8,RPB17,RPABC3,hsRPB8	3q27.1	185566	6.88E-02	-4.22E-02	5.00E-03	4.06E-01	5.96E-04	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
NM_004443	2049	EPHB3,ETK2,HEK2,TYRO6	3q27.1	185773	9.07E-02	-1.64E-02	1.42E-02	4.93E-01	1.97E-05	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
NM_018622	55486	PSARL,PARL,PSARL1,PRO2207,PSENIP2	3q27.1	185058	5.83E-02	9.98E-03	2.18E-02	4.13E-01	4.59E-04	RP11-682A21	3.33E-04	1.05E-01	6.02E-03	1.36E+01	0	0	0
W56309	26509	FER1L3	3q27.1	185554	-7.63E-02	9.11E-02	3.41E-02	-1.90E-01	1.21E-01	RP11-477P16	3.10E-03	6.68E-02	-1.97E-02	6.82E+00	0	0	0
AI797095	331	BIRC4	3q27.1	185504	-3.01E-03	3.19E-02	3.89E-02	-7.75E-02	5.30E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_005688	10057	ABCC5,MRP5,SMRP,ABC33,MOATC,MOAT-C,pABC11,EST277145	3q27.1	185169	-3.01E-02	-2.25E-01	8.24E-02	2.15E-01	7.76E-02	RP11-484D18	2.41E-03	9.81E-02	2.91E-02	1.82E+01	0	0	0
NM_020640	54165	RP42,SCRO	3q27.1	184162	5.18E-02	-4.12E-02	9.12E-02	3.96E-01	8.23E-04	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
AF441792	89857	KLHL6,FLJ00029	3q27.1	184724	-2.44E-02	-1.12E-01	1.09E-01	-1.41E-02	9.09E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AF007149	257407	LOC257407	3q27.1	185169	-4.52E-02	8.08E-02	1.24E-01	1.80E-02	8.84E-01	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
NM_018358	55324	ABCF3,FLJ11198,EST201864	3q27.1	185391	5.34E-02	4.01E-02	1.93E-01	8.99E-02	4.66E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
AL157454	65983	NS3TP2,FLJ21313	3q27.1	184162	-3.67E-03	-4.01E-03	6.42E-01	1.98E-01	1.05E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_017644	54800	DRE1,FLJ20059,FLJ22673	3q27.1	184859	4.88E-02	4.72E-02	7.58E-01	8.69E-02	4.81E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
AB023173	23200	ATP11B,ATPIF,ATPIR,KIAA0956,MGC46576,DKFZP434J238,DKFZP434N1615	3q27.1	184071	-2.79E-03	-5.20E-02	8.66E-01	1.65E-01	1.78E-01	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
U23028	8893	EIF2B5,CLE,CACH,LVWM,EIF-2B,EIF2Bepsilon	3q27.1	185341	2.79E-02	2.89E-02	9.55E-01	3.38E-01	4.79E-03	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI948480	246175	CNOT6L	3q27.2	187117	-5.51E-02	4.82E-02	1.56E-02	-7.23E-02	5.58E-01	RP11-91K9	2.85E-03	7.87E-02	-2.07E-02	1.36E+01	0	0	4.17E+00
NM_006548	10644	IMP-2,IMP2,VICKZ2	3q27.2	186935	2.30E-02	-3.00E-02	1.07E-01	3.48E-01	3.67E-03	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AK074229	200879	LIPH,PLA1B,mPA-PLA1	3q27.2	186731	-1.44E-02	-1.44E-02	1.72E-01	4.42E-01	1.62E-04	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_004593	6434	SFRS10,TRA2B,SRFS10,TRA2-BETA,Htra2-beta	3q27.2	187128	3.75E-02	-2.42E-02	2.50E-01	3.91E-01	9.66E-04	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AW182360		0	3q27.2	186935	-1.17E-01	-5.83E-02	2.92E-01	-4.02E-02	7.45E-01	RP11-484D18	2.41E-03	9.81E-02	2.91E-02	1.82E+01	0	0	0
NM_004454	2119	ETV5,ERM	3q27.2	187278	2.61E-02	-1.19E-02	4.70E-01	2.15E-01	7.85E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI808634	4076	M11S1	3q27.2	186833	4.17E-03	6.47E-02	6.64E-01	-4.91E-02	6.91E-01	RP11-477P16	3.10E-03	6.68E-02	-1.97E-02	6.82E+00	0	0	0
NM_002916	5984	RFC4,A1,RFC37,MGC27291	3q27.3	187999	6.89E-02	-1.16E-01	1.88E-05	6.44E-01	3.17E-09	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AJ251832	64108	IFRG28	3q27.3	188570	-8.41E-02	-2.82E-01	2.61E-02	4.09E-01	5.33E-04	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
AW088637	29944	PNMA3	3q27.3	188331	5.35E-02	-6.26E-03	3.15E-02	6.36E-02	6.06E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
L05096	116832	RPL39L,RPL39L1	3q27.3	188331	9.22E-02	-1.01E-01	3.54E-02	4.67E-01	5.95E-05	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_018138	55171	FLJ10560	3q27.3	187753	7.04E-02	-9.42E-03	3.56E-02	6.36E-01	5.80E-09	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
NM_001706	604	BCL6,BCL5,LAZ3,BCL6A,ZNF51,ZBTB27	3q27.3	188934	-6.08E-04	-5.63E-02	3.28E-01	2.06E-01	9.20E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_001967	1974	EIF4A2,DDX2B,EIF4A,EIF4F,BM-010	3q27.3	187987	7.85E-03	-2.53E-02	9.41E-01	2.20E-01	7.13E-02	RP11-477P16	3.10E-03	6.68E-02	-1.97E-02	6.82E+00	0	0	0
AK054602	65078	RTN4R,NGR,NOGOR	8q21.3	92150	6.09E-02	-8.56E-02	3.66E-03	2.17E-01	7.51E-02	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
AF331521	115111	SLC26A7,SUT2	8q21.3	92405	-6.12E-02	-5.06E-02	5.96E-01	9.78E-02	4.28E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
NM_004702	9134	CCNE2,CYCE2	8q22.1	95969	8.63E-02	-2.88E-01	1.57E-07	6.11E-01	3.19E-08	RP11-320N21	3.16E-03	1.67E-01	6.00E-02	25	0	0	0
NM_018407	55353	LAPTM4B,LC27,LAPTM4beta	8q22.1	98895	1.18E-01	-2.24E-01	2.55E-07	5.93E-01	1.00E-07	RP11-320N21	3.16E-03	1.67E-01	6.00E-02	25	0	0	0
AA705977	51760	LOC51760	8q22.1	97314	-2.40E-01	1.28E-01	1.79E-05	9.03E-02	4.64E-01	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_015942	51001	CGI-12	8q22.1	97332	1.99E-02	-1.31E-01	2.84E-04	7.13E-01	9.39E-12	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_012415	25788	RAD54B	8q22.1	95505	7.70E-02	-1.19E-01	3.50E-04	7.49E-01	2.13E-13	RP11-320N21	3.16E-03	1.67E-01	6.00E-02	25	0	0	0
NM_014754	9791	PTDSS1,PSSA,KIAA0024	8q22.1	97380	1.15E-01	-7.38E-02	7.28E-04	6.94E-01	5.13E-11	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AK000745	92140	LYRIC,3D3,AEG1	8q22.1	98767	3.26E-02	-1.14E-01	1.52E-03	6.59E-01	1.02E-09	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_018191	55213	RCBTB1,GLP,CLLD7,CLLL7,FLJ10716	8q22.1	95337	-1.24E-01	2.36E-02	1.18E-02	-8.10E-02	5.12E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_005261	2669	GEM,KIR,MGC26294	8q22.1	95337	-1.71E-01	-5.56E-02	1.05E-01	-1.59E-01	1.97E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_001031	6234	RPS28	8q22.1	95505	1.18E-03	8.07E-02	1.07E-01	2.32E-02	8.51E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
NM_006294	7381	UQCRB,QPC,QP-C,UQBC,UQBP,UQPC	8q22.1	97314	2.61E-03	-6.79E-02	1.65E-01	5.11E-01	8.52E-06	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
V00522	3125	HLA-DRB3,HLA-DR3B	8q22.1	98895	-4.58E-02	-2.05E-01	1.91E-01	5.72E-02	6.43E-01	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AK023249	79666	PLEKHF2,PHAFIN2,ZFYVE18,FLJ13187	8q22.1	96227	-1.21E-01	-4.89E-02	4.55E-01	4.03E-01	6.46E-04	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AB037850	25962	DKFZP434I116,MSTP054	8q22.1	95602	-2.67E-02	-5.20E-03	4.94E-01	6.83E-01	1.46E-10	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AW134792	5529	PPP2R5E	8q22.1	97976	-2.55E-02	-4.04E-03	5.14E-01	3.57E-01	2.81E-03	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_016134	10404	PGCP	8q22.1	97976	-1.46E-02	-3.31E-02	5.26E-01	3.91E-01	9.93E-04	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
BC039260	389677	LOC389677	8q22.1	94816	-1.93E-02	1.29E-02	5.79E-01	3.53E-01	3.12E-03	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_018444	54704	PPM2C,PDH,PDP,PDP1	8q22.1	95003	3.88E-02	-1.65E-02	8.06E-01	4.43E-01	1.55E-04	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AF119386	10404	PGCP	8q22.1	97976	-4.86E-02	-1.59E-02	8.49E-01	3.69E-01	1.94E-03	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_005034	5440	POLR2K,RPB12,RPABC4,hsRPB10a,RPB10alpha,ABC10-alpha	8q22.2	101234	-5.18E-03	-1.81E-01	2.05E-03	5.81E-01	2.00E-07	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_006281	6788	STK3,KRS1,MST2	8q22.2	99698	6.47E-02	-6.45E-02	4.55E-03	5.39E-01	2.16E-06	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
NM_005836	10247	UK114,PSP	8q22.2	99191	3.29E-03	-1.06E-01	1.11E-02	5.96E-01	8.27E-08	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
AL117544	26166	DKFZP434I092	8q22.2	101115	-7.98E-02	-3.06E-02	3.91E-02	1.04E-01	3.98E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
AL117595	28964	GIT1	8q22.2	101221	9.75E-03	-3.79E-02	3.98E-02	8.11E-02	5.11E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_000989	6156	RPL30	8q22.2	99125	-9.23E-04	-7.48E-02	1.94E-01	6.56E-01	1.26E-09	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
AF311312	6674	SPAG1,SP75,TPIS,FLJ32920	8q22.2	101281	-3.78E-02	-9.57E-02	2.12E-01	3.33E-01	5.54E-03	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
AL122096	25897	RNF19,DORFIN,DKFZp566B1346	8q22.2	101365	-1.81E-02	-5.33E-02	2.59E-01	3.83E-01	1.25E-03	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_004374	1345	COX6C	8q22.2	100967	-4.67E-01	-3.54E-01	3.13E-01	2.79E-01	2.12E-02	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
AL137638	4147	MATN2	8q22.2	99034	-1.21E-01	-4.70E-02	3.50E-01	9.83E-02	4.25E-01	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AB011104	157680	COH1,CHS1,VPS13B,KIAA0532,DKFZp313I0811	8q22.2	100527	-4.83E-02	-2.69E-02	5.75E-01	4.85E-01	2.72E-05	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
BC040298	26049	KIAA0888	8q22.2	99698	-9.15E-02	-7.77E-02	6.25E-01	2.88E-02	8.15E-01	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_016096	51123	LOC51123	8q22.3	102283	6.45E-02	-9.30E-02	3.94E-04	6.24E-01	1.27E-08	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_015420	25879	DKFZP564O0463,HSPC064	8q22.3	104510	5.48E-02	-1.02E-01	1.71E-03	6.51E-01	1.81E-09	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
NM_003406	7534	YWHAZ,KCIP-1	8q22.3	102017	4.53E-02	-7.91E-02	4.11E-03	7.10E-01	1.26E-11	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
AI348378	8554	PIAS1	8q22.3	102017	-4.69E-02	2.89E-02	1.06E-02	-1.48E-02	9.05E-01	RP11-373L22	1.09E-02	1.99E-01	1.07E-01	2.73E+01	4.17E+00	0	0
NM_001695	528	ATP6V1C1,VATC,Vma5,ATP6C,ATP6D,FLJ20057	8q22.3	104128	-5.07E-03	-9.38E-02	3.67E-02	6.40E-01	4.09E-09	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_015902	51366	DD5,EDD,HYD,KIAA0896	8q22.3	103414	3.43E-02	-3.34E-02	5.37E-02	6.03E-01	5.33E-08	RP11-373L22	1.09E-02	1.99E-01	1.07E-01	2.73E+01	4.17E+00	0	0
AB020703	51366	DD5,EDD,HYD,KIAA0896	8q22.3	103414	1.70E-02	-3.04E-02	8.29E-02	6.34E-01	6.49E-09	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
NM_013437	29967	ST7,FLJ12929	8q22.3	105620	1.29E-02	-6.33E-02	1.25E-01	1.29E-01	2.95E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
NM_002568	26986	PABPC1,PAB1,PABP,PABP1,PABPC2,PABPL1	8q22.3	101794	7.96E-03	-7.38E-02	1.34E-01	6.50E-01	2.07E-09	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
