Fold Change	Primary Name	Accession code	Description	P-value
-2.08	AK078994	AK078994	Mus musculus adult male epididymis cDNA, RIKEN full-length enriched library, clone:9230103L12 product:unclassifiable, full insert sequence.	4.42E-05
-2.09	Cenpe	NM_173762	Centromere associated protein-E (Cenpe)	4.59E-04
-2.09	D10Bwg1379e	AK122475	MKIAA1244 protein	2.20E-09
-2.09	B2m	NM_009735	Beta-2 microglobulin (B2m), mRNA	4.79E-12
-2.1	Hist1h2ae	NM_178187	Histone 1, H2ae (Hist1h2ae), mRNA	3.39E-13
-2.1	Sall3	AK082999	Sal-like 3 (Drosophila), mRNA (cDNA clone IMAGE:6830685)	1.86E-07
-2.1	AK041055	AK041055	Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530072M07 product:hypothetical protein, full insert sequence.	3.05E-04
-2.1	Cox6c	NM_053071	Cytochrome c oxidase, subunit VIc, mRNA (cDNA clone MGC:19084 IMAGE:4195595)	1.71E-16
-2.1	Ddx10	AK045032	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10, mRNA (cDNA clone MGC:91294 IMAGE:6504816)	1.59E-06
-2.1	Arnt	AK028546	Aryl hydrocarbon receptor nuclear translocator, mRNA (cDNA clone MGC:11512 IMAGE:3964932)	1.98E-08
-2.1	Mia3	NM_177389	Melanoma inhibitory activity 3 (Mia3), mRNA	3.15E-04
-2.11	Cul1	NM_012042	Cullin 1, mRNA (cDNA clone MGC:35976 IMAGE:2812400)	9.28E-04
-2.11	ENSMUST00000 050526	null	Unknown	2.73E-10
-2.11	Ogg1	NM_010957	8-oxoguanine DNA-glycosylase 1 (Ogg1), mRNA	3.23E-13
-2.12	Zfml	NM_008717	Zinc finger, matrin-like, mRNA (cDNA clone IMAGE:3497456)	7.43E-04
-2.12	Spop	AK047447	Spop	8.80E-15
-2.12	Rpgr	NM_011285	Mus musculus retinitis pigmentosa GTPase regulator (Rpgr), mRNA [NM_011285]	1.86E-06
-2.12	Rbm5	NM_148930	RNA binding motif protein 5 (Rbm5), mRNA	7.08E-05
-2.12	5830415L20Rik	NM_026583	RIKEN cDNA 5830415L20 gene, mRNA (cDNA clone MGC:35638 IMAGE:5356840)	8.15E-04
-2.13	BC066140	AK028653	PREDICTED: hypothetical protein 4732427B05 [Mus musculus], mRNA sequence	2.34E-04
-2.13	Fbxw7	NM_080428	F-box protein (Fbwd6)	2.77E-10
-2.14	ENSMUST00000 021743	null	Unknown	7.63E-04
-2.14	AK050573	AK050573	2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:C920001P18 product:unclassifiable, full insert sequence	1.20E-04
-2.14	Zfp397	AK078454	Mus musculus 12 days embryo male wolffian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6720480F11 product:unclassifiable, full insert sequence.	4.37E-04
-2.15	5430405G24Rik	BC035255	RIKEN cDNA 5430405G24 gene, mRNA (cDNA clone MGC:28155 IMAGE:3983946)	1.71E-12
-2.15	Fdps	AK077979	Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030492I17 product:farnesyl diphosphate synthetase, full insert sequence.	5.17E-06
-2.15	Ccnh	AK020801	Cyclin H, mRNA (cDNA clone MGC:47913 IMAGE:1446473)	4.03E-04
-2.15	8430438D04Rik	BC034657	RIKEN cDNA 8430438D04 gene, mRNA (cDNA clone IMAGE:5012310)	2.12E-06
-2.16	Cwf19l2	AK031423	CWF19-like 2, cell cycle control (S. pombe) (Cwf19l2), mRNA	9.13E-04
-2.16	BC035954	NM_177569	CDNA sequence BC035954, mRNA (cDNA clone MGC:31683 IMAGE:4911231)	4.68E-08
-2.16	2900056M20Rik	AK013706	Adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900056M20 product:unclassifiable, full insert sequence	6.61E-05
-2.16	Stil	AK041653	Tal1 interrupting locus, mRNA (cDNA clone IMAGE:3587237)	5.69E-08
-2.16	Suhw4	BC027163	Suppressor of hairy wing homolog 4 (Drosophila) (Suhw4), mRNA	9.19E-04
-2.17	Phf6	NM_027642	PHD finger protein 6, mRNA (cDNA clone MGC:67335 IMAGE:6826091)	4.78E-12
-2.18	Pabpc2	NM_011033	Poly A binding protein, cytoplasmic 2 (Pabpc2), mRNA	1.28E-11
-2.18	1200008O12Rik	AK041399	RIKEN cDNA 1200008O12 gene, mRNA (cDNA clone MGC:37048 IMAGE:4950530)	2.99E-04
-2.18	Nr2f2	X76653	Nuclear receptor subfamily 2, group F, member 2 (Nr2f2), transcript variant 1, mRNA	1.40E-09
-2.18	LOC226955	XM_136701	Mus musculus similar to ALY (LOC226955), mRNA [XM_136701]	3.34E-04
-2.19	Ddx3x	NM_010028	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked (Ddx3x), mRNA	6.27E-04
-2.19	Ches1	AK077921	Checkpoint supressor 1, mRNA (cDNA clone MGC:107530 IMAGE:30008715)	1.58E-30
-2.19	Prpf39	NM_177806	PRP39 pre-mRNA processing factor 39 homolog (yeast), mRNA (cDNA clone MGC:37077 IMAGE:4951324)	6.08E-05
-2.2	Spnb2	NM_009260	Spectrin beta 2, mRNA (cDNA clone IMAGE:5361724)	4.10E-13
-2.21	Cul5	NM_027807	Cullin 5, mRNA (cDNA clone IMAGE:4947730)	1.56E-25
-2.21	3110001I22Rik	AK045164	RIKEN cDNA 3110001I22 gene, mRNA (cDNA clone MGC:48147 IMAGE:1477704)	1.77E-06
-2.21	Tmsb10	NM_025284	Thymosin, beta 10 (Tmsb10), mRNA	3.01E-05
-2.22	Aff4	NM_033565	AF4/FMR2 family, member 4 (Aff4), mRNA	2.26E-15
-2.22	Bcl11a	AK122557	B-cell CLL/lymphoma 11A (zinc finger protein), mRNA (cDNA clone MGC:19371 IMAGE:2631265)	5.26E-06
-2.22	Mras	NM_008624	Muscle and microspikes RAS, mRNA (cDNA clone MGC:36159 IMAGE:4973582)	1.26E-06
-2.22	4921533L14Rik	NM_026604	RIKEN cDNA 4921533L14 gene (4921533L14Rik), mRNA	5.53E-04
-2.22	Ankhd1	AK080941	Ankyrin repeat and KH domain containing 1, mRNA (cDNA clone IMAGE:30615997)	3.84E-04
-2.22	LOC384601	XM_357737	Mus musculus similar to 60S ribosomal protein L23a (LOC384601), mRNA [XM_357737]	1.20E-22
-2.22	Rps15a	NM_170669	Ribosomal protein S15a (Rps15a), mRNA	8.00E-10
-2.22	NAP113288-1	null	Unknown	1.51E-04
-2.23	Phtf2	NM_172992	Putative homeodomain transcription factor 2, mRNA (cDNA clone MGC:60851 IMAGE:30050876)	3.11E-04
-2.23	NAP108447-1	null	Unknown	9.22E-04
-2.23	Zfp26	M36514	MRNA of mkr3 gene encoding zinc finger protein	1.08E-04
-2.23	Rassf2	NM_175445	MKIAA0168 protein	1.84E-05
-2.23	AK031889	AK031889	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330441A18 product:unclassifiable, full insert sequence.	1.33E-04
-2.23	Dot1l	NM_199322	Premature mRNA for mKIAA1814 protein	3.36E-08
-2.23	4632419K20Rik	AK014591	RIKEN cDNA 4632419K20 gene, mRNA (cDNA clone IMAGE:5353829)	3.81E-12
-2.24	Mical2	NM_177282	MKIAA0750 protein	4.25E-06
-2.24	8430437O03Rik	AK018474	WD repeat domain 42A (Wdr42a), mRNA	2.69E-05
-2.25	Rnf17	NM_013894	Ring finger protein 17 (Rnf17), transcript variant 1, mRNA	3.00E-04
-2.25	Snw1	NM_025507	SNW domain containing 1 (Snw1), mRNA	2.10E-14
-2.25	Zfhx1b	NM_015753	Zinc finger homeobox 1b (Zfhx1b), mRNA	1.42E-10
-2.26	D930036F22Rik	AK080280	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630022N19 product:unclassifiable, full insert sequence.	8.13E-05
-2.26	NAP055718-1	null	Unknown	6.18E-36
-2.27	Dnajc2	NM_009584	DnaJ (Hsp40) homolog, subfamily C, member 2, mRNA (cDNA clone IMAGE:3496337)	6.48E-12
-2.27	Dbt	NM_010022	Dihydrolipoamide branched chain transacylase E2 (Dbt), mRNA	3.87E-13
-2.27	2610312B22Rik	NM_026934	RIKEN cDNA 2610312B22 gene (2610312B22Rik), mRNA	7.53E-04
-2.28	Trip4	AK039024	Thyroid hormone receptor interactor 4, mRNA (cDNA clone MGC:29162 IMAGE:5027899)	3.39E-06
-2.28	Calm3	NM_007590	Calmodulin III (Calm3) mRNA, 3 untranslated region	7.47E-04
-2.28	Mrps18c	BC028442	Mitochondrial ribosomal protein S18C, mRNA (cDNA clone MGC:41331 IMAGE:1196057)	6.60E-15
-2.29	Ankhd1	AK042754	Ankyrin repeat and KH domain containing 1, mRNA (cDNA clone IMAGE:30615997)	2.91E-10
-2.3	Senp6	NM_146003	SUMO/sentrin specific peptidase 6 (Senp6), mRNA	9.15E-04
-2.3	2810050O03Rik	AK012940	SEC6-like 1 (S. cerevisiae), mRNA (cDNA clone MGC:28499 IMAGE:4187527)	2.50E-08
-2.3	Slc35a3	NM_144902	Solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3 (Slc35a3), mRNA	1.15E-26
-2.3	Centg2	AK083235	MKIAA1099 protein	2.50E-08
-2.3	Ckap4	BC025522	Cytoskeleton-associated protein 4, mRNA (cDNA clone IMAGE:5322388)	8.68E-11
-2.31	Upf3b	AK019989	UPF3 regulator of nonsense transcripts homolog B (yeast) (Upf3b), mRNA	1.56E-04
-2.32	TC992986	null	AJ539223 erythroid differentiation regulator {Mus musculus}, partial (16%) [TC992986]	2.67E-09
-2.33	8430406I07Rik	NM_028984	RIKEN cDNA 8430406I07 gene (8430406I07Rik), mRNA	5.79E-12
-2.33	Itgb3	NM_016780	Integrin beta 3 (Itgb3), mRNA	5.45E-04
-2.33	Sall1	AK052259	Zinc finger protein Sall1	2.23E-09
-2.35	Taok1	AK049439	TAO kinase 1, mRNA (cDNA clone IMAGE:1380120)	1.44E-05
-2.35	Setbp1	AK129143	SET binding protein 1 (Setbp1), mRNA	5.39E-04
-2.36	B130050K08	NM_175010	hypothetical protein B130050K08	5.88E-04
-2.37	A_51_P256798	null	Unknown	8.65E-05
-2.37	Nav1	NM_173437	Neuron navigator 1, mRNA (cDNA clone IMAGE:5055436)	1.29E-43
-2.37	Cnot4	BC058778	CCR4-NOT transcription complex, subunit 4 (Cnot4), mRNA	3.79E-06
-2.37	Cox7c	NM_007749	Cytochrome c oxidase, subunit VIIc, mRNA (cDNA clone MGC:18637 IMAGE:4216583)	1.06E-22
-2.38	ENSMUST00000 035494	null	Unknown	9.68E-04
-2.38	A_52_P860487	null	Unknown	5.45E-18
-2.38	NAP058380-1	null	Unknown	4.53E-04
-2.39	Cebpz	NM_009882	CCAAT/enhancer binding protein zeta (Cebpz), transcript variant 2, mRNA	1.35E-29
-2.39	NAP101526-1	null	Unknown	1.19E-07
-2.39	Ccni	AK034915	Cyclin I, mRNA (cDNA clone MGC:5636 IMAGE:3583418)	1.26E-07
-2.39	Tcfap4	NM_031182	Transcription factor AP4 (Tcfap4), mRNA	3.04E-16
-2.39	Mysm1	NM_177239	MKIAA1915 protein	9.65E-07
-2.4	Ibtk	AK129353	MKIAA1417 protein	3.89E-05
-2.41	Leo1	XM_134917	Mus musculus Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) (Leo1), mRNA.	7.51E-14
-2.41	ENSMUST00000 032575	null	Unknown	3.82E-06
-2.41	D5Ertd135e	AK088165	DNA segment, Chr 5, ERATO Doi 135, expressed, mRNA (cDNA clone MGC:69960 IMAGE:6516578)	1.10E-04
-2.42	Mnab	XM_130233	PREDICTED: membrane-associated nucleic acid binding protein [Mus musculus], mRNA sequence	1.19E-05
-2.42	XM_358717	XM_358717	Mus musculus hypothetical gene supported by AK037928; AK050659; AK082902 (LOC382229), mRNA [XM_358717]	5.31E-04
-2.42	ENSMUST00000 056886	null	Unknown	1.67E-20
-2.43	NAP107676-1	null	Unknown	5.15E-06
-2.45	TC975452	null	AY058624 LD31556p {Drosophila melanogaster}, partial (10%) [TC975452]	9.33E-13
-2.45	Ptges3	NM_019766	Prostaglandin E synthase 3 (cytosolic), mRNA (cDNA clone MGC:5681 IMAGE:3489418)	2.87E-18
-2.46	Rapgef6	AK045540	Rap guanine nucleotide exchange factor (GEF) 6, mRNA (cDNA clone IMAGE:5321951)	2.21E-04
-2.46	5730406M06Rik	AK017507	PREDICTED: hypothetical protein LOC66625 [Mus musculus], mRNA sequence	1.04E-04
-2.47	Gtpbp4	NM_027000	GTP binding protein 4, mRNA (cDNA clone MGC:29311 IMAGE:5007174)	1.63E-08
-2.47	Syncrip	NM_019796	RRM RNA binding protein NSAP1 (Nsap1)	8.29E-05
-2.47	NAP108144-1	null	Unknown	5.47E-05
-2.47	AI987944	NM_183167	Mus musculus expressed sequence AI987944 (AI987944), mRNA.	5.25E-13
-2.47	Pip5k2a	NM_008845	Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha, mRNA (cDNA clone MGC:18357 IMAGE:3672732)	1.25E-08
-2.47	Thoc2	XM_284697	PREDICTED: THO complex subunit 2 [Mus musculus], mRNA sequence	3.28E-07
-2.48	NAP057047-1	null	Unknown	3.20E-20
-2.49	Chd5	AK015949	Chromodomain helicase DNA binding protein 5, mRNA (cDNA clone MGC:107722 IMAGE:6847152)	2.01E-04
-2.49	Trem2	NM_031254	Triggering receptor expressed on myeloid cells 2, mRNA (cDNA clone MGC:35870 IMAGE:4953284)	9.71E-08
-2.49	Hp1bp3	NM_010470	Heterochromatin protein 1, binding protein 3, mRNA (cDNA clone MGC:28927 IMAGE:3597151)	4.36E-06
-2.49	Ptbp2	AK084846	Polypyrimidine tract binding protein 2, mRNA (cDNA clone MGC:11671 IMAGE:3709255)	2.89E-09
-2.49	Zfp160	NM_145483	Zinc finger protein 160 (Zfp160), mRNA	1.04E-12
-2.5	AV216087	NM_144804	Expressed sequence AV216087 (AV216087), mRNA	7.15E-08
-2.51	Lmln	NM_172823	Leishmanolysin-like (metallopeptidase M8 family) (Lmln), mRNA	1.02E-05
-2.52	Nisch	AK088377	Nischarin, mRNA (cDNA clone IMAGE:3499127)	1.54E-04
-2.52	XM_354638	XM_354638	Mus musculus similar to Rpl17 protein (LOC380722), mRNA [XM_354638]	2.79E-04
-2.52	NAP062835-1	null	Unknown	4.78E-10
-2.53	Akap9	NM_194462	Adriamycin-resistant related protein (Arr)	1.62E-05
-2.54	Josd3	NM_029248	RIKEN cDNA 4930553M18 gene (4930553M18Rik), transcript variant 2, mRNA	4.50E-06
-2.55	Snx9	AK004449	Sorting nexin 9, mRNA (cDNA clone MGC:6327 IMAGE:3257422)	9.56E-07
-2.55	Exosc9	NM_019393	Exosome component 9, mRNA (cDNA clone MGC:11686 IMAGE:3711930)	4.71E-06
-2.55	Npat	AK042624	PREDICTED: nuclear protein in the AT region [Mus musculus], mRNA sequence	3.51E-04
-2.55	Fbxl11	BB162535	MKIAA1004 protein	2.58E-15
-2.55	Hdgfrp3	NM_013886	Hepatoma-derived growth factor, related protein 3 (Hdgfrp3), mRNA	1.31E-09
-2.56	Rasgef1a	AK018120	PREDICTED: RasGEF domain family, member 1A [Mus musculus], mRNA sequence	3.56E-28
-2.56	Jarid1a	XM_359326	Jumonji, AT rich interactive domain 1A (Rbp2 like), mRNA (cDNA clone MGC:11659 IMAGE:3603073)	5.91E-18
-2.56	Dync2h1	AK083433	Strain C57BL/6 dynein cytoplasmic heavy chain 2 (Dnchc2)	6.75E-07
-2.57	Pigw	NM_027388	Phosphatidylinositol glycan, class W (Pigw), mRNA	3.38E-08
-2.57	1700029I01Rik	NM_027285	RIKEN cDNA 1700029I01 gene, mRNA (cDNA clone MGC:19361 IMAGE:4242170)	6.92E-12
-2.58	Fusip1	AK005295	FUS interacting protein (serine-arginine rich) 1, mRNA (cDNA clone MGC:46905 IMAGE:5004611)	3.18E-05
-2.58	Ahdc1	NM_146155	AT hook, DNA binding motif, containing 1 (Ahdc1), mRNA	3.26E-04
-2.58	Cspg6	NM_007790	Chondroitin sulfate proteoglycan 6, mRNA (cDNA clone IMAGE:4502855)	8.78E-27
-2.58	NAP071006-1	null	Unknown	9.92E-04
-2.6	Saps1	NM_172894	MKIAA1115 protein	4.61E-20
-2.6	Bdp1	XM_127501	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB, mRNA (cDNA clone IMAGE:5367860)	2.09E-05
-2.6	Bpnt1	NM_011794	Bisphosphate 3-nucleotidase 1, mRNA (cDNA clone MGC:13732 IMAGE:4160742)	2.10E-07
-2.61	Lrp4	NM_172668	MKIAA0816 protein	8.24E-05
-2.61	A_52_P980948	null	Unknown	3.81E-23
-2.62	NAP096498-001	null	Unknown	6.79E-05
-2.62	NAP030172-1	null	Unknown	5.56E-17
-2.62	1600029O15Rik	AK005564	Mus musculus adult female placenta cDNA, RIKEN full-length enriched library, clone:1600029O15 product:similar to Rpl17 protein (Fragment) [Mus musculus], full insert sequence.	7.25E-04
-2.63	2810055G22Rik	NM_080561	RIKEN cDNA 2810055G22 gene, mRNA (cDNA clone IMAGE:6822422)	1.75E-05
-2.63	Mtap1b	NM_008634	Microtubule-associated protein 1 B (Mtap1b), mRNA	2.33E-13
-2.66	Eif4e	AK051598	Eukaryotic translation initiation factor 4E, mRNA (cDNA clone MGC:18497 IMAGE:4216609)	3.18E-14
-2.67	Dync2h1	AK046538	Mus musculus adult male adrenal gland cDNA, RIKEN full-length enriched library, clone:B330019A08 product:CYTOPLASMIC DYNEIN HEAVY CHAIN, full insert sequence.	2.44E-06
-2.67	Vav2	BC053060	Vav2 oncogene (Vav2), mRNA	6.73E-05
-2.71	Nedd4	AK087684	Neural precursor cell expressed, developmentally down-regulted gene 4 (Nedd4), mRNA	1.57E-04
-2.71	Fgr	NM_010208	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog (Fgr), mRNA	1.14E-04
-2.74	1110037F02Rik	BC028830	RIKEN cDNA 1110037F02 gene, mRNA (cDNA clone MGC:30537 IMAGE:5024976)	2.02E-07
-2.75	LOC382421	BC054110	similar to high mobility group protein	1.08E-08
-2.75	1700047I17Rik	NM_028527	Signal recognition particle 54, mRNA (cDNA clone MGC:6231 IMAGE:3585216)	7.66E-05
-2.77	5930436O19Rik	AK020044	MutS homolog 6 (E. coli) (Msh6), mRNA	8.53E-11
-2.77	Pcbp1	NM_011865	Poly(rC) binding protein 1, mRNA (cDNA clone MGC:5645 IMAGE:3588737)	2.90E-10
-2.77	1810005K13Rik	AK019003	10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810005K13 product:unclassifiable, full insert sequence	2.70E-04
-2.77	Mphosph10	AK017490	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein), mRNA (cDNA clone IMAGE:4504841)	4.54E-09
-2.78	ENSMUST00000 035502	null	Unknown	1.99E-05
-2.79	6330412F12Rik	AK019847	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4931404D21 product:NY-REN-18 antigen, full insert sequence.	9.44E-05
-2.79	Lsm6	AK019126	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae), mRNA (cDNA clone MGC:117708 IMAGE:30936207)	3.15E-05
-2.79	ENSMUST00000 037905	null	Unknown	1.17E-16
-2.8	LOC382421	BC054110	similar to high mobility group protein	2.58E-13
-2.8	XM_195410	XM_195410	Mus musculus similar to crooked neck protein (LOC272677), mRNA [XM_195410]	8.21E-08
-2.81	1700034M11Rik	AK006604	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700034M11 product:similar to 60S RIBOSOMAL PROTEIN L31 [Mus musculus], full insert sequence.	3.28E-04
-2.81	Safb2	BC050855	Scaffold attachment factor B2, mRNA (cDNA clone IMAGE:5099281)	8.28E-08
-2.84	Olfr1410	NM_146491	Olfactory receptor 1410 (Olfr1410), mRNA	9.52E-04
-2.87	Cyp1a1	NM_009992	Cytochrome P450, family 1, subfamily a, polypeptide 1 (Cyp1a1), mRNA	1.08E-11
-2.87	ENSMUST00000 064479	null	Unknown	4.76E-09
-2.87	Camta1	AK122383	PREDICTED: calmodulin binding transcription activator 1 [Mus musculus], mRNA sequence	8.52E-06
-2.87	Nek1	AK031330	Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030407P11 product:NIMA (never in mitosis gene a)-related expressed kinase 1, full insert sequence.	5.02E-16
-2.88	Nsbp1	NM_016710	Nucleosome binding protein 1, mRNA (cDNA clone MGC:13759 IMAGE:4219308)	3.01E-06
-2.88	Sfrs12	AK081447	Splicing factor, arginine/serine-rich 12, mRNA (cDNA clone MGC:92998 IMAGE:30548562)	1.46E-08
-2.89	AK040677	AK040677	Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530014A01 product:natriuretic peptide receptor 3, full insert sequence.	2.80E-04
-2.9	9430010O03Rik	NM_176849	RIKEN cDNA 9430010O03 gene (9430010O03Rik), mRNA	7.70E-20
-2.91	Bcorl1	AK031119	BCL6 co-repressor-like 1 (Bcorl1), mRNA	3.92E-37
-2.91	Ccnj	NM_172839	Cyclin J (Ccnj), mRNA	9.03E-25
-2.92	Herc1	AK019286	Hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1, mRNA (cDNA clone MGC:7618 IMAGE:3494753)	8.10E-17
-2.93	Rock1	NM_009071	Rho-associated coiled-coil forming kinase 1 (Rock1), mRNA	3.51E-06
-2.94	ENSMUST00000 030569	null	Unknown	3.44E-31
-2.95	6230416J20Rik	NM_173400	Premature mRNA for mKIAA1574 protein	2.31E-04
-2.96	LOC385494	XM_358253	PREDICTED: Mus musculus similar to ribosomal protein S18 (LOC385494), mRNA.	5.07E-07
-2.97	TC950497	null	JC7219 nuclear protein SR-25 - mouse, partial (9%) [TC950497]	2.54E-19
-2.98	1700001E04Rik	NM_029288	RIKEN cDNA 1700001E04 gene (1700001E04Rik), mRNA	1.89E-16
-2.98	Kcnk9	XM_139425	Mus musculus potassium channel, subfamily K, member 9 (Kcnk9), mRNA.	1.40E-45
-2.99	Znhit1	AK080799	Zinc finger, HIT domain containing 1, mRNA (cDNA clone MGC:25516 IMAGE:3153902)	3.50E-12
-2.99	NAP028543-1	null	Unknown	2.37E-11
-3	LOC278757	XM_204906	similar to reduced expression 2	3.11E-05
-3.03	CB227806	CB227806	AGENCOURT_10199968 NIH_MGC_134 Mus musculus cDNA clone IMAGE:6561316 5, mRNA sequence [CB227806]	5.99E-05
-3.05	Prpf4b	NM_013830	PRP4 pre-mRNA processing factor 4 homolog B (yeast) (Prpf4b), mRNA	4.34E-04
-3.06	AK082839	AK082839	ES cells cDNA, RIKEN full-length enriched library, clone:C330039F12 product:unclassifiable, full insert sequence	4.33E-15
-3.07	Bat2d	BC037745	BAT2 domain containing 1, mRNA (cDNA clone IMAGE:5151726)	3.53E-40
-3.1	9030607L17Rik	NM_027829	RIKEN cDNA 9030607L17 gene (9030607L17Rik), mRNA	6.30E-04
-3.13	2810013E07Rik	AK047035	RIKEN cDNA 2810013E07 gene, mRNA (cDNA clone MGC:67555 IMAGE:6402150)	5.04E-12
-3.14	4933435A13Rik	CK332987	RIKEN cDNA 4933435A13 gene (4933435A13Rik), transcript variant 1, mRNA	1.33E-15
-3.15	TC1039531	null	COXM_MOUSE Cytochrome c oxidase polypeptide VIIb, mitochondrial precursor. [Mouse] {Mus musculus}, partial (90%) [TC1039531]	3.33E-05
-3.16	9430081H08Rik	AK020500	Myosin, light polypeptide 6, alkali, smooth muscle and non-muscle, mRNA (cDNA clone MGC:25573 IMAGE:3990090)	9.20E-08
-3.18	Ankrd26	BC047067	Premature mRNA for mKIAA1074 protein	5.95E-19
-3.19	Rbm3	NM_016809	RNA binding motif protein 3, mRNA (cDNA clone MGC:5744 IMAGE:3586577)	7.00E-04
-3.2	A130007F10Rik	NM_175539	RIKEN cDNA A130007F10 gene (A130007F10Rik), mRNA	0
-3.21	NAP046244-1	null	Unknown	1.34E-04
-3.23	Luzp1	NM_024452	Leucine zipper protein 1 (Luzp1), mRNA	9.90E-08
-3.25	3110082I17Rik	NM_028469	RIKEN cDNA 3110082I17 gene (3110082I17Rik), mRNA	6.00E-06
-3.27	Mycbp	NM_019660	C-myc binding protein, mRNA (cDNA clone MGC:13820 IMAGE:3985166)	1.46E-05
-3.27	Gas5	null	GROWTH ARREST SPECIFIC 5. [Source:RefSeq;Acc:NM_013525] [ENSMUST00000055154]	1.84E-07
-3.33	NAP070792-1	null	Unknown	4.34E-05
-3.34	Zc3h6	NM_026245	Mus musculus zinc finger CCCH type containing 6 (Zc3h6), mRNA.	6.40E-06
-3.38	Hmgb2	AK011467	PREDICTED: similar to high mobility group protein B2 [Mus musculus], mRNA sequence	9.67E-06
-3.4	LOC435336	AI504208	similar to ubiquitin-like 5	2.26E-04
-3.4	Ep400	NM_029337	E1A binding protein p400, mRNA (cDNA clone IMAGE:5116582)	2.13E-27
-3.44	Tlm	NM_011601	T lymphoma oncogene (Tlm), mRNA	6.47E-10
-3.45	NAP112302-1	null	Unknown	1.19E-32
-3.46	Cebpg	BC011319	CCAAT/enhancer binding protein (C/EBP), gamma, mRNA (cDNA clone MGC:11669 IMAGE:3709074)	3.10E-12
-3.53	Psrc2	XM_147426	CDNA sequence BC033596, mRNA (cDNA clone IMAGE:5368483)	1.36E-04
-3.56	Anp32a	NM_009672	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A (Anp32a), mRNA	5.48E-14
-3.58	2410016F19Rik	NM_026113	RIKEN cDNA 2410016F19 gene, mRNA (cDNA clone IMAGE:3662380)	2.27E-04
-3.63	BC024537	NM_146237	Mus musculus cDNA sequence BC024537 (BC024537), mRNA [NM_146237]	1.77E-07
-3.63	Chac1	NM_026929	RIKEN cDNA 1810008K03 gene (1810008K03Rik), mRNA	2.63E-29
-3.68	ENSMUST00000 059950	CA464118	CDNA clone MGC:107303 IMAGE:6773831	8.17E-19
-3.73	NM_177269	NM_177269	Mus musculus RIKEN cDNA D530031C13 gene (D530031C13Rik), mRNA [NM_177269]	6.58E-07
-3.76	Itsn2	NM_011365	Intersectin 2 (Itsn2), mRNA	4.40E-06
-3.76	Zfp318	NM_207671	Zinc finger protein 318 (Zfp318), transcript variant 2, mRNA	2.99E-04
-3.8	Rb1cc1	NM_009826	Rb1cc1 mRNA for transcription factor	1.79E-04
-3.87	A930007B11Rik	AK020822	Expressed sequence AI413631, mRNA (cDNA clone MGC:36453 IMAGE:5356370)	1.55E-05
-3.91	AV080718	AV080718	AV080718 Mus musculus stomach C57BL/6J adult Mus musculus cDNA clone 2210415M14, mRNA sequence.	1.12E-04
-3.92	Cald1	NM_145575	Caldesmon 1 (Cald1), mRNA	1.36E-06
-3.93	LOC621221	XM_356161	similar to myosin IXA	3.93E-22
-3.93	Sh3glb1	NM_019464	SH3-domain GRB2-like B1 (endophilin), mRNA (cDNA clone MGC:35926 IMAGE:5031296)	1.90E-16
-3.94	Ckap5	AK015282	Cytoskeleton associated protein 5, mRNA (cDNA clone IMAGE:4484883)	2.99E-09
-3.94	Gcnt1	NM_173442	Glucosaminyl (N-acetyl) transferase 1, core 2, mRNA (cDNA clone MGC:11452 IMAGE:3154671)	3.01E-05
-3.97	NAP021334-001	null	Unknown	2.40E-44
-3.99	Bat2d	AK030766	BAT2 domain containing 1, mRNA (cDNA clone IMAGE:5151726)	5.29E-17
-4	AI317223	NM_0010027 64	Expressed sequence AI317223 (AI317223), mRNA	7.05E-08
-4.09	Irak1bp1	NM_022986	Interleukin-1 receptor-associated kinase 1 binding protein 1 (Irak1bp1), mRNA	7.48E-38
-4.14	Rif1	NM_175238	Rap1-interacting factor 1 (Rif1)	3.58E-09
