Fisher score	Gene symbol	Gene name	Reporter	Accession number
-1.123855409	C9orf59	Chromosome 9 open reading frame 59	H200013431	AK024434
-1.124450927	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	H200006967	NM_001777
-1.12502033	DPP8	Dipeptidylpeptidase 8	H200004661	NM_017743
-1.125338865	COPS4	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	H200001279	NM_016129
-1.126904673	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	H200005738	NM_030920
-1.127009317	NCOA4	Nuclear receptor coactivator 4	H200011015	NM_005437
-1.127982941	MARVELD2	MARVEL domain containing 2	H200012511	AK055094
-1.128366514	MRCL3	Myosin regulatory light chain MRCL3	H200015486	NM_006471
-1.130877461	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	H200016941	NM_015994
-1.131126651	KCTD10	Potassium channel tetramerisation domain containing 10	H200018144	NM_031954
-1.131287742	KCMF1	Potassium channel modulatory factor 1	H200001050	NM_020122
-1.131355131	EPRS	Glutamyl-prolyl-tR synthetase	H200005192	NM_004446
-1.131753599	POLR2F	Polymerase (R) II (D directed) polypeptide F	H200004768	NM_021974
-1.133518284	NDUFS3	DH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (DH-coenzyme Q reductase)	H200001021	NM_004551
-1.134947643	DLD	Dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex, branched chain keto acid dehydrogenase complex)	H200005981	NM_000108
-1.135847658	FLOT2	Flotillin 2	H200014288	NM_004475
-1.136987233	DGCR6L	DiGeorge syndrome critical region gene 6-like	H300004007	NM_033257
-1.1374349	CCND3	Cyclin D3	H200007012	NM_001760
-1.137536906	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	H200004228	BC015894
-1.138359063	ARL6IP	ADP-ribosylation factor-like 6 interacting protein	H200006044	BC010281
-1.138965185	PPP2CA	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	H200010513	NM_002715
-1.139155814	MRPL9	Mitochondrial ribosomal protein L9	H200009416	NM_031420
-1.139547878	FLJ13220	Hypothetical protein FLJ13220	H200004506	NM_021927
-1.140093882	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	H200010633	NM_005444
-1.140706804	CD5L	CD5 antigen-like (scavenger receptor cysteine rich family)	H200005040	NM_005894
-1.143111218	CHC1L	Chromosome condensation 1-like	H200003721	NM_001268
-1.143364498	FLJ12716	FLJ12716 protein	H200001045	AL136752
-1.144732934	FLJ40432	Hypothetical protein FLJ40432	H200000882	AK026922
-1.146889866	C7orf25	Chromosome 7 open reading frame 25	H200005377	NM_024054
-1.147754971	TAF1B	TATA box binding protein (TBP)-associated factor, R polymerase I, B, 63kDa	H200012277	BC018137
-1.149848314	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	H200001446	NM_003188
-1.150764218	GEMIN5	Gem (nuclear organelle) associated protein 5	H200003569	AL117665
-1.151000159	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	H200002947	NM_022126
-1.151497923	ASL	Argininosuccinate lyase	H200005419	NM_000048
-1.152341132	HSPC154	HSPC154 protein	H200001528	NM_014177
-1.154354812	MGC5178	Hypothetical protein MGC5178	H200019159	NM_024044
-1.154455463	FLJ20397	Hypothetical protein FLJ20397	H200016943	NM_017802
-1.155177466	PSMA1	Proteasome (prosome, macropain) subunit, alpha type, 1	H200006899	NM_002786
-1.157148464	CALM1	Calmodulin 1 (phosphorylase kinase, delta)	H200008281	NM_006888
-1.157382524	OSR1	Oxidative-stress responsive 1	H200010689	NM_005109
-1.158137951	XRN2	5-3 exoribonuclease 2	H200016651	NM_012255
-1.158141155	CRIP1	Cysteine-rich protein 1 (intestinal)	H200002650	NM_001311
-1.158232412	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	H200014071	NM_005174
-1.158659936	ATXN10	Ataxin 10	H200002290	NM_013236
-1.159375558	MRPS31	Mitochondrial ribosomal protein S31	H200013982	NM_005830
-1.161112534	NVL	Nuclear VCP-like	H200005349	NM_002533
-1.162009743	HSPC138	Hypothetical protein HSPC138	H200017724	NM_016401
-1.162238223	LOC123169	Senescence downregulated leo1-like	H200009683	BC018147
-1.163702125	FLJ20533	Hypothetical protein FLJ20533	H200011461	BC002748
-1.163761475	MGC12458	Hypothetical protein MGC12458	H200019294	NM_032328
-1.163933136	CCT7	Chaperonin containing TCP1, subunit 7 (eta)	H200011598	NM_006429
-1.165780562	HT008	Uncharacterized hypothalamus protein HT008	H200002550	AB051525
-1.168189407	ACPP	Acid phosphatase, prostate	H200000474	NM_001099
-1.16851865	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (yeast)	H200008406	NM_006937
-1.168860505	GRN	Granulin	H200008446	NM_002087
-1.168871783	DCK	Deoxycytidine kinase	H200000176	NM_000788
-1.169257106	NUDT1	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	H200000103	NM_002452
-1.169521848	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	H200012587	NM_004299
-1.170254463	LOC133619	Hypothetical protein MGC12103	H200001263	BC017066
-1.170645816	FLJ40869	Hypothetical protein FLJ40869	H200008447	AK025489
-1.171768189	SLC35E2	Solute carrier family 35, member E2	H200015186	AB007916
-1.172976707	SNRPG	Small nuclear ribonucleoprotein polypeptide G	H200006404	NM_003096
-1.173658547	FLJ20647	Hypothetical protein FLJ20647	H200015492	NM_017918
-1.173673085	SH3GL1	SH3-domain GRB2-like 1	H200010818	NM_003025
-1.174104507	TIMM8A	Translocase of inner mitochondrial membrane 8 homolog A (yeast)	H200012569	NM_004085
-1.17472291	CDH17	Cadherin 17, LI cadherin (liver-intestine)	H200010323	NM_004063
-1.175362245	VDAC2	Voltage-dependent anion channel 2	H200006577	NM_003375
-1.175720524	RBL1	Retinoblastoma-like 1 (p107)	H200000025	NM_002895
-1.175751206	MOBKL1A	MOB1, Mps One Binder kinase activator-like 1A (yeast)	H200004087	AL162039
-1.176425267	NCL	Nucleolin	H200006631	NM_005381
-1.177098287	EIF3S2	Eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	H200014495	NM_003757
-1.17712632	MXD3	MAX dimerization protein 3	H200004554	NM_031300
-1.179162756	LOC134492	Similar to RIKEN cD 2700047N05	H200011425	BC017934
-1.180819828	EIF2B4	Eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	H200007829	NM_015636
-1.181164289	PGRMC1	Progesterone receptor membrane component 1	H200010411	NM_006667
-1.18120026	DENR	Density-regulated protein	H200003141	AB014731
-1.184356802	ADAR	Adenosine deaminase, R-specific	H200001539	NM_001111
-1.185303327	G	Neuroblastoma-amplified protein	H200002477	NM_015909
-1.185484485	CHS1	Chediak-Higashi syndrome 1	H200004327	NM_000081
-1.185491238	NDUFB8	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	H200014797	NM_005004
-1.186293928	MDH1	Malate dehydrogenase 1, D (soluble)	H200006089	NM_005917
-1.1866068	RECQL	RecQ protein-like (D helicase Q1-like)	H200015537	NM_002907
-1.186705579	C9orf99	Chromosome 9 open reading frame 99	H200004860	NM_032303
-1.186959873	LOC90580	Hypothetical protein BC011833	H200007583	BC011833
-1.187151561	ESD	Esterase D/formylglutathione hydrolase	H200006903	AF112219
-1.188800105	SMYD2	SET and MYND domain containing 2	H200005602	NM_020197
-1.188855368	GALC	Galactosylceramidase (Krabbe disease)	H200000073	NM_000153
-1.19080405	CGI-111	CGI-111 protein	H200001967	NM_016048
-1.190836968	FLJ10587	Hypothetical protein FLJ10587	H200001405	NM_018149
-1.191666962	WRB	Tryptophan rich basic protein	H200014808	NM_004627
-1.191827098	MAS1	MAS1 oncogene	H200011013	NM_002377
-1.192144828	MICAL-L2	MICAL-like 2	H200011729	NM_024723
-1.192174742	DUT	DUTP pyrophosphatase	H200006889	NM_001948
-1.192739701	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	H200010388	NM_001687
-1.193177993	NDUFB7	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	H200000163	NM_004146
-1.193415542	NIT2	Nitrilase family, member 2	H200002498	NM_020202
-1.194068134	ZCCHC9	Zinc finger, CCHC domain containing 9	H200002489	NM_032280
-1.194581088	MFAP1	Microfibrillar-associated protein 1	H200005432	NM_005926
-1.194717242	MGC2747	Hypothetical protein MGC2747	H200016245	NM_024104
-1.197213133	PPP1CA	Protein phosphatase 1, catalytic subunit, alpha isoform	H200014241	NM_002708
-1.198602329	DRG1	Developmentally regulated GTP binding protein 1	H200004456	AK055495
-1.198740817	SEC61G	Sec61 gamma subunit	H200001859	NM_014302
-1.199699199	NS3TP1	HCV NS3-transactivated protein 1	H200011119	NM_019048
-1.199786834	HSPCA	Heat shock 90kDa protein 1, alpha	H200009481	AK056446
-1.200567861	LOC348262	Hypothetical protein LOC348262	H200008816	AK000852
-1.200905252	UQCRFS1	Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	H200000819	NM_006003
-1.201084735	GFM2	G elongation factor, mitochondrial 2	H200019668	BC015712
-1.201312749	LYPLA1	Lysophospholipase I	H200002154	NM_006330
-1.202225673	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	H200014019	NM_001706
-1.202285525	TU12B1-TY	TU12B1-TY protein	H200001205	NM_016575
-1.202313871	SEC23IP	SEC23 interacting protein	H200009901	AK001135
-1.206532923	FLJ11342	Hypothetical protein FLJ11342	H200016572	NM_018394
-1.206713335	ACTG1	Actin, gamma 1	H200002375	NM_001614
-1.207136357	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	H200011103	M31523
-1.207537285	MGC33864	ADP-ribosylation-like factor 6-interacting protein 6	H200007711	AK023109
-1.207742458	FLJ32440	Hypothetical protein FLJ32440	H200020068	AK057002
-1.208832882	C4orf9	Chromosome 4 open reading frame 9	H200012055	AF040965
-1.209249583	TXN	Thioredoxin	H200019797	AF065241
-1.209741014	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	H200000027	NM_021127
-1.210326913	RTN4	Reticulon 4	H200005575	AF148537
-1.210725417	EIF2B2	Eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	H200007890	NM_014239
-1.213746604	CKN1	Cockayne syndrome 1 (classical)	H200004201	NM_000082
-1.214368172	ANXA11	Annexin A11	H200006119	NM_001157
-1.21501635	Bit1	Bcl-2 inhibitor of transcription	H200002165	AK057033
-1.215230349	BRD8	Bromodomain containing 8	H200001063	NM_006696
-1.216339465	POP4	Processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	H200006913	NM_006627
-1.21672941	ATP2A3	ATPase, Ca++ transporting, ubiquitous	H200001071	NM_005173
-1.217035804	EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1	H200009876	NM_004280
-1.217964149	PRDX4	Peroxiredoxin 4	H200007027	NM_006406
-1.218026802	DJC14	DnaJ (Hsp40) homolog, subfamily C, member 14	H200019780	AK055945
-1.218999296	PTPN2	Protein tyrosine phosphatase, non-receptor type 2	H200006978	NM_002828
-1.219606293	S100B	S100 calcium binding protein, beta (neural)	H200007028	NM_006272
-1.220097577	VMP1	Likely ortholog of rat vacuole membrane protein 1	H200007677	NM_030938
-1.220113372	CALR	Calreticulin	H200002581	NM_004343
-1.221309965	KIAA0690	KIAA0690	H200005393	NM_015179
-1.223193118	HNRPK	Heterogeneous nuclear ribonucleoprotein K	H200012819	NM_002140
-1.223211576	GMCL1L	Germ cell-less homolog 1 (Drosophila)-like	H200015798	NM_022471
-1.223710178	GNB4	Guanine nucleotide binding protein (G protein), beta polypeptide 4	H200008063	AK001890
-1.223813564	CHPPR	Likely ortholog of chicken chondrocyte protein with a poly-proline region	H200007918	NM_014637
-1.224038288	HNRPR	Heterogeneous nuclear ribonucleoprotein R	H200002464	NM_005826
-1.224044771	C6orf55	Chromosome 6 open reading frame 55	H200016594	AF271994
-1.225408726	DNMT3A	D (cytosine-5-)-methyltransferase 3 alpha	H200015773	NM_022552
-1.22602737	MNS1	Meiosis-specific nuclear structural protein 1	H200013043	NM_018365
-1.226247653	FLJ12571	Hypothetical protein FLJ12571	H200016861	NM_024926
-1.227192072	C1orf37	Chromosome 1 open reading frame 37	H200002655	BC013073
-1.227469347	OAZIN	Ornithine decarboxylase antizyme inhibitor	H200015251	NM_015878
-1.228500212	C13orf8	Chromosome 13 open reading frame 8	H200001453	AB058705
-1.229592115	STK6	Serine/threonine kinase 6	H200016261	NM_003600
-1.229698298	PKIA	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	H200006031	NM_006823
-1.231676842	HARSL	Histidyl-tR synthetase-like	H200017297	NM_012208
-1.232272236	SLC25A6	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	H200007591	BC008737
-1.232560988	DDOST	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	H200004275	NM_005216
-1.235287926	HAX1	HS1 binding protein	H200002469	NM_006118
-1.236268258	PCNT1	Pericentrin 1	H200014276	NM_024844
-1.238164012	ET	Hypothetical protein ET	H200009824	NM_024311
-1.241819565	PP	Pyrophosphatase (inorganic)	H200014242	NM_021129
-1.24207855	OAT	Ornithine aminotransferase (gyrate atrophy)	H200006115	NM_000274
-1.242425282	SNX2	Sorting nexin 2	H200001981	NM_003100
-1.242720232	LOC114984	Hypothetical protein BC014089	H200010670	BC014089
-1.243422414	MGC11134	TR splicing 2 phosphotransferase 1	H200019202	NM_031472
-1.243726588	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	H200011541	NM_005689
-1.244277755	GTF3C2	General transcription factor IIIC, polypeptide 2, beta 110kDa	H200006196	NM_001521
-1.24486329	SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	H200014267	NM_004252
-1.24564424	FLJ14451	Hypothetical protein FLJ14451	H200005456	NM_032786
-1.245781546	EXOSC1	Exosome component 1	H200002376	NM_016046
-1.246803445	BCOR	BCL6 co-repressor	H200017346	NM_017745
-1.246966799	MGC13017	Similar to RIKEN cD A430101B06 gene	H200009573	BC008293
-1.247838188	IQCB1	IQ motif containing B1	H200007819	NM_014642
-1.248603277	ABHD3	Abhydrolase domain containing 3	H200002264	AF007152
-1.249276899	CSNK1A1	Casein kinase 1, alpha 1	H200017797	NM_001892
-1.249667757	RNPS1	R binding protein S1, serine-rich domain	H200006003	NM_006711
-1.249967705	ACTL6A	Actin-like 6A	H200017067	NM_004301
-1.250428362	CDC10	CDC10 cell division cycle 10 homolog (S. cerevisiae)	H200014272	NM_001788
-1.252206452	TXNDC	Thioredoxin domain containing	H200003442	AL080080
-1.252903092	AK3L1	Adenylate kinase 3 like 1	H200004628	AK001553
-1.253705522	LSM6	LSM6 homolog, U6 small nuclear R associated (S. cerevisiae)	H200004576	NM_007080
-1.253746185	GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (Galc-T2)	H200012890	NM_004481
-1.255981883	LACE1	Lactation elevated 1	H200007593	BC018445
-1.256184096	FLJ37562	Hypothetical protein FLJ37562	H300000326	NM_152409
-1.257437274	IER5	Immediate early response 5	H200002501	NM_016545
-1.258773097	FLJ10350	Hypothetical protein FLJ10350	H200008278	AF218002
-1.258856966	MGC10198	Hypothetical protein MGC10198	H200003426	BC017472
-1.25918476	NIPSP3A	Nipsnap homolog 3A (C. elegans)	H300002111	NM_015469
-1.259540689	RPS3A	Ribosomal protein S3A	H200006353	NM_001006
-1.259711797	MRPS10	Mitochondrial ribosomal protein S10	H200003840	NM_018141
-1.259842931	TXNDC5	Thioredoxin domain containing 5	H200001151	NM_030810
-1.260405691	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	H200006069	NM_001628
-1.26295341	DKFZP564B1	DKFZP564B167 protein	H200006274	NM_015415
-1.263081208	PGM1	Phosphoglucomutase 1	H200000479	NM_002633
-1.264529998	COG2	Component of oligomeric golgi complex 2	H200006937	NM_007357
-1.265296885	NUP205	Nucleoporin 205kDa	H200007123	D86978
-1.265618942	PSMB7	Proteasome (prosome, macropain) subunit, beta type, 7	H200012081	NM_002799
-1.266234813	C14orf94	Chromosome 14 open reading frame 94	H200001701	NM_017815
-1.266777561	MCRS1	Microspherule protein 1	H200003509	NM_006337
-1.267626652	CGI-100	CGI-100 protein	H200020397	BC016556
-1.27126708	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	H200000399	NM_001681
-1.271583225	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	H200006359	NM_005916
-1.271711337	FIBP	Fibroblast growth factor (acidic) intracellular binding protein	H200001491	NM_004214
-1.27273284	FLJ14153	Hypothetical protein FLJ14153	H200001445	NM_022736
-1.273161856	MGC4083	Tubulin beta MGC4083	H200017078	NM_032525
-1.274872107	GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (Galc-T10)	H200011505	AK023815
-1.276643925	PTMA	Prothymosin, alpha (gene sequence 28)	H200016232	NM_002823
-1.278450817	IARS	Isoleucine-tR synthetase	H200008082	NM_013417
-1.279392231	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	H200008000	NM_004941
-1.279596752	NGFB	Nerve growth factor, beta polypeptide	H200000643	NM_002506
-1.280571394	LOC221710	Hypothetical protein LOC221710	H200004650	AK058186
-1.281132	KLHDC2	Kelch domain containing 2	H200002917	NM_014315
-1.281379667	GTF2H2	General transcription factor IIH, polypeptide 2, 44kDa	H200014474	NM_001515
-1.28138058	RAB10	RAB10, member RAS oncogene family	H200015567	NM_016131
-1.281720563	EPM2A	Epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)	H200003150	NM_005670
-1.283751139	C4orf16	Chromosome 4 open reading frame 16	H200013812	AL136628
-1.283987523	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	H200011710	NM_001046
-1.286056222	FLJ12587	Hypothetical protein FLJ12587	H200010006	NM_022480
-1.287009039	SDCCAG10	Serologically defined colon cancer antigen 10	H200003295	NM_005869
-1.287698037	RBAF600	Retinoblastoma-associated factor 600	H200009834	AB007931
-1.28838974	ZAP128	Peroxisomal long-chain acyl-coA thioesterase	H200009894	NM_006821
-1.288492563	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	H200002054	NM_002940
-1.289238844	SIMP	Source of immunodominant MHC-associated peptides	H200008669	AK027789
-1.289614592	GBAS	Glioblastoma amplified sequence	H200013827	NM_001483
-1.290069448	KIAA0052	KIAA0052	H200017323	D29641
-1.290340739	KIAA0355	KIAA0355	H200014361	NM_014686
-1.290413131	CDS2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	H200003446	Y16521
-1.291149605	CDYL	Chromodomain protein, Y-like	H200002536	NM_004824
-1.291233979	FLJ13291	Hypothetical protein FLJ13291	H200019706	NM_032178
-1.291357617	PARP1	Poly (ADP-ribose) polymerase family, member 1	H200008289	NM_001618
-1.291424945	TCP1	T-complex 1	H200000875	NM_030752
-1.291921066	FLJ21144	Hypothetical protein FLJ21144	H200005376	NM_022774
-1.292890765	BIN3	Bridging integrator 3	H200005645	NM_018688
-1.292923105	CLNS1A	Chloride channel, nucleotide-sensitive, 1A	H200007127	NM_001293
-1.294611964	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	H200002387	NM_004589
-1.295431709	XPMC2H	XPMC2 prevents mitotic catastrophe 2 homolog (Xenopus laevis)	H200015542	NM_020385
-1.295435611	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	H200014108	NM_004889
-1.296772735	SLC25A3	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	H200006544	AK057575
-1.296888312	PSMD4	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	H200013632	NM_002810
-1.297319418	MTCBP-1	Membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1	H200005546	NM_018269
-1.298423059	CC2	Cyclin A2	H200007139	NM_001237
-1.298600618	GEMIN4	Gem (nuclear organelle) associated protein 4	H200018119	AF177341
-1.299110809	MEA	Male-enhanced antigen	H200017262	NM_014623
-1.299347662	KIAA0196	KIAA0196 gene product	H200001632	NM_014846
-1.299409826	SREBF2	Sterol regulatory element binding transcription factor 2	H200011589	NM_004599
-1.300752966	RER1	RER1 homolog (S. cerevisiae)	H200004488	NM_007033
-1.302115	FKBP3	FK506 binding protein 3, 25kDa	H200020519	NM_002013
-1.302146872	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	H200003000	NM_003115
-1.302306361	SLC39A8	Solute carrier family 39 (zinc transporter), member 8	H200008754	NM_022154
-1.303006517	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	H200011641	AB037836
-1.303123044	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	H200006529	NM_004939
-1.303345934	ZNF505	Zinc finger protein 505	H200009957	NM_031218
-1.304033166	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	H200009661	NM_014456
-1.304160183	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	H200006945	NM_005901
-1.304729467	HPRT1	Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	H200006927	NM_000194
-1.305896965	PIGN	Phosphatidylinositol glycan, class N	H200011595	NM_012327
-1.305906374	SEC24C	FLJ44715 gene product	H200006866	NM_004922
-1.306486055	DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	H200002183	NM_003587
-1.306885224	HMGB1	High-mobility group box 1	H200019846	AK057120
-1.307822446	C14orf129	Chromosome 14 open reading frame 129	H200000874	AK000796
-1.309739876	CYFIP2	Cytoplasmic FMR1 interacting protein 2	H200016453	BC011762
-1.311565484	TKT	Transketolase (Wernicke-Korsakoff syndrome)	H200010370	NM_001064
-1.311712616	ZSCAN5	Zinc finger protein 495	H200008285	NM_024303
-1.313685316	PIGO	Phosphatidylinositol glycan, class O	H200019123	NM_032634
-1.314724147	CDA08	T-cell immunomodulatory protein	H200003233	NM_030790
-1.316132717	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	H200008873	NM_013230
-1.31726357	AP3B1	Adaptor-related protein complex 3, beta 1 subunit	H200014038	NM_003664
-1.318253008	LBR	Lamin B receptor	H200013838	NM_002296
-1.31836024	IGFBP7	Insulin-like growth factor binding protein 7	H200012191	NM_001553
-1.318893377	PDXP	Pyridoxal (pyridoxine, vitamin B6) phosphatase	H200001102	BC000320
-1.319537371	RASSF5	Ras association (RalGDS/AF-6) domain family 5	H200015628	NM_031437
-1.320736643	MLL	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	H200014844	L04731
-1.320799926	LAP3	Leucine aminopeptidase 3	H200008605	NM_015907
-1.321232379	PTPLA	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	H200011904	NM_014241
-1.321471632	GTF3C5	General transcription factor IIIC, polypeptide 5, 63kDa	H200008871	NM_012087
-1.322749793	PSMA3	Proteasome (prosome, macropain) subunit, alpha type, 3	H200020107	NM_002788
-1.323302053	ACADM	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	H200006640	NM_000016
-1.323817678	CTNL1	Catenin (cadherin-associated protein), alpha-like 1	H200005326	NM_003798
-1.324526107	MGC4562	Hypothetical protein MGC4562	H200016675	BC014124
-1.324816034	BZW1	Basic leucine zipper and W2 domains 1	H200014054	NM_014670
-1.325707111	CYB5-M	Hypothetical protein LOC283852	H200006629	NM_030579
-1.326233847	TIMM8B	Translocase of inner mitochondrial membrane 8 homolog B (yeast)	H200017549	NM_012459
-1.327160177	TFB2M	Transcription factor B2, mitochondrial	H200001430	NM_022366
-1.328353644	RNF130	Ring finger protein 130	H200011196	NM_018434
-1.328513662	C9orf80	Chromosome 9 open reading frame 80	H200004781	AK000637
-1.331740013	TMEM5	Transmembrane protein 5	H200011852	NM_014254
-1.332009953	CKAP2	Cytoskeleton associated protein 2	H200003422	AK022982
-1.332264128	TBP	TATA box binding protein	H200000285	NM_003194
-1.332750442	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	H200006957	NM_003092
-1.333681806	ECH1	Enoyl Coenzyme A hydratase 1, peroxisomal	H200014729	NM_001398
-1.337623302	WDR43	WD repeat domain 43	H200010426	D26488
-1.337840311	DLSTP	Dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	H200009675	S72422
-1.340054121	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	H200011552	NM_014034
-1.342200213	HAT1	Histone acetyltransferase 1	H200002258	NM_003642
-1.342995095	CTHRC1	Collagen triple helix repeat containing 1	H200017786	BC014245
-1.343022899	SARA2	SAR1a gene homolog 2 (S. cerevisiae)	H200017447	AK056821
-1.344117058	FLN29	FLN29 gene product	H200001002	NM_006700
-1.345106569	GTPBP6	GTP binding protein 6 (putative)	H200021078	NM_012227
-1.346107759	MGC14327	Hypothetical protein MGC14327	H200015429	NM_053045
-1.346276007	C18orf10	Chromosome 18 open reading frame 10	H200003222	BC015178
-1.346425714	MKI67	Antigen identified by monoclonal antibody Ki-67	H200006808	X65550
-1.346747634	SMBP	SM-11044 binding protein	H200001619	NM_020123
-1.34690421	TRIM35	Tripartite motif-containing 35	H200013274	AB029021
-1.348876734	TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7	H200011012	NM_001252
-1.350884439	UBXD3	UBX domain containing 3	H200015194	AK058158
-1.351514171	ERCC1	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	H200005373	NM_001983
-1.352255601	PAI-RBP1	PAI-1 mR-binding protein	H200007642	NM_015640
-1.352429369	RNF135	Ring finger protein 135	H200003962	NM_032322
-1.353020129	THOC3	THO complex 3	H200002839	NM_032361
-1.359729347	SFRS2	Splicing factor, arginine/serine-rich 2	H200010178	NM_003016
-1.360318984	CCT8	Chaperonin containing TCP1, subunit 8 (theta)	H200002439	NM_006585
-1.36143675	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	H200000449	NM_012089
-1.362285271	HDAC2	Histone deacetylase 2	H200000774	NM_001527
-1.362372453	SEC63	SEC63-like (S. cerevisiae)	H200004103	NM_007214
-1.365530252	GTF2F2	General transcription factor IIF, polypeptide 2, 30kDa	H200005333	NM_004128
-1.36646703	CGI-94	Comparative gene identification transcript 94	H200011754	NM_016037
-1.366961151	CNOT8	CCR4-NOT transcription complex, subunit 8	H200003673	NM_004779
-1.367825506	MGC40397	Hypothetical protein MGC40397	H300000911	NM_152318
-1.367883618	RHEB	Ras homolog enriched in brain	H200017539	NM_005614
-1.369630286	NKAP	NF-kappaB activating protein	H200001076	NM_024528
-1.371226479	GNPT1	Glucosamine-phosphate N-acetyltransferase 1	H200003803	AK001469
-1.371579062	LOC151121	Hypothetical protein LOC151121	H200021181	AK056598
-1.371672604	CUL2	Cullin 2	H200006986	NM_003591
-1.372566289	LOC91137	Hypothetical protein BC017169	H200006157	BC017169
-1.373221842	ASK	Activator of S phase kinase	H200013831	NM_006716
-1.374527961	TFAM	Transcription factor A, mitochondrial	H200006012	NM_003201
-1.376293212	QSCN6	Quiescin Q6	H200006373	NM_002826
-1.376770077	EIF2S2	Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	H200002079	NM_003908
-1.3784159	VAMP8	Vesicle-associated membrane protein 8 (endobrevin)	H200008068	NM_003761
-1.379078062	PGK1	Phosphoglycerate kinase 1	H200006551	NM_000291
