#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAC8076	HAGH	Hs.155482		1.48		0.565
hAA0036	TSC2	Hs.90303	1.712	1.056	0.776	0.078
hAD1349	RAB26	Hs.3797		0.841		-0.25
hAB5067	DKFZp586I021	Hs.181077		1.391		0.476
hAA9026	DCI	Hs.89466		0.994		-0.008
hAA1559	NK4	Hs.943	1.183	2.854	0.242	1.513
hAA7424	-	Hs.94875		0.749		-0.417
hAC0996	SRRM2	Hs.197114		2.018		1.013
hAA9053	CCNF	Hs.1973	0.921	0.671	-0.119	-0.575
hAA1356	ATP6L	Hs.76159	0.932	4.41	-0.102	2.141
hAA1641	TRAP1	Hs.182366	1.484	1.987	0.569	0.991
hAA5404	CREBBP	Hs.23598	1.082	0.563	0.114	-0.829
hAA0814	CREBBP	Hs.23598		0.851		-0.234
hAA3608	ADCY9	Hs.20196	1.075	1.06	0.104	0.084
hAA8373	NUBP1	Hs.81469		2.078		1.055
hAA9518	FLJ10509	Hs.274319	1.143	1.201	0.193	0.264
hAA8519	SULT1A3	Hs.274614	1.329	0.887	0.41	-0.173
hAA3536	-	Hs.284295	1.481	0	0.567
hAB9839	-	Hs.284295		3.439		1.782
hAA1615	IL4R	Hs.75545	1.207	1.942	0.271	0.958
hAA1648	EIF3S8	Hs.4835	1.06	2.973	0.084	1.572
hAA5422	NDUFAB1	Hs.5556	1.566	5.752	0.647	2.524
hAB7922	MGC3248	Hs.111429	1.418	2.411	0.504	1.27
hAA8686	PLK	Hs.77597	1.432	12.464	0.518	3.64
hAA5275	RBBP6	Hs.85273		0.727		-0.461
hAC6359	LOC51333	Hs.116056	1.53	0.854	0.614	-0.228
hAA0302	ITGAL	Hs.174103	1.47	0.805	0.556	-0.312
hAB9976	IMAGE3455200	Hs.324844	1.602	2.698	0.68	1.432
hAE0241	ASC	Hs.71869	1.598	1.325	0.676	0.406
hAB6713	VPS35	Hs.264190		0.86		-0.217
hAC1406	DNAJA2	Hs.21189	1.015	0.966	0.021	-0.05
hAB6926	DNAJA2	Hs.21189		0.506		-0.983
hAC4440	TRF4-2	Hs.294030	0.975	1.643	-0.037	0.716
hAB6487	TRF4-2	Hs.294030		0.382		-1.389
hAA1856	ADCY7	Hs.172199	1.05	0.43	0.07	-1.219
hAA0140	RBL2	Hs.79362	0.89	0.09	-0.168	-3.481
hAB7244	MMP2	Hs.111301	1.163	0.713	0.218	-0.488
hAC8787	-	Hs.111301	1.246	0	0.317
hAA7628	FLJ20481	Hs.102500	0.87	0.298	-0.201	-1.747
hAA1288	AMFR	Hs.80731	1.137	0.786	0.185	-0.348
hAA4892	CPSF5	Hs.9605	1.442	1.197	0.528	0.26
hAC8531	MT3	Hs.73133	1.288	2.085	0.365	1.06
hAD9955	MT2A	Hs.118786		14.34		3.842
hAA3481	MT1E	Hs.74170	1.052		0.073
hAA2392	MT1L	Hs.94360	0.818	8.367	-0.29	3.065
hAA8692	CDIPT	Hs.227107	1.517	2.333	0.601	1.222
hAB7145	MAZ	Hs.7647	1.727	7.915	0.788	2.985
hAA8410	CORO1A	Hs.109606	1.3	1.549	0.379	0.632
hAA1159	MAPK3	Hs.861	1.418	1.595	0.504	0.673
hAA1484	PPP4C	Hs.2903	1.274	1.928	0.349	0.947
hAB7212	ALDOA	Hs.273415	1.664	15.046	0.735	3.911
hAC8352	HIRIP3	Hs.26484	1.248	1.843	0.32	0.882
hAA2612	-	Hs.181161	1.2	0.624	0.263	-0.681
hAC9346	-	Hs.181161	1.216	0.34	0.282	-1.555
hAA2746	BART1	Hs.9552	1.267	1.211	0.341	0.276
hAA8643	SCYD1	Hs.80420	1.234	1.148	0.303	0.199
hAA0135	POLR2C	Hs.79402	1.215	0.882	0.281	-0.181
hAC6060	FLJ13154	Hs.25303	1.187	1.619	0.247	0.695
hAA8239	MMP15	Hs.80343	1.379	1.802	0.464	0.849
hAB0121	AF093680	Hs.279818	0.916	1.411	-0.127	0.497
hAA5237	NDRG4	Hs.322430	1.214	0.721	0.28	-0.472
hAE0055	CDH8	Hs.79133		0
hAA5360	CDH11	Hs.75929	1.03	0.489	0.043	-1.033
hAA1245	CDH11	Hs.75929	1.262	0.486	0.336	-1.041
hAA2345	CDH5	Hs.76206	1.27	0.698	0.345	-0.518
hAC9434	CDH5	Hs.76206	1.435	0.914	0.521	-0.13
hAD9944	TAX1BP2	Hs.287365	1.409	0.589	0.495	-0.765
hAA0653	GLG1	Hs.78979	1.617	1.258	0.693	0.331
hAC2275	LLPL	Hs.6770	1.35	0.649	0.433	-0.625
hAA9622	FLJ21918	Hs.282093		4.81		2.266
hAA0349	NFATC3	Hs.172674	1.383	0.937	0.468	-0.094
hAA2000	SLC12A4	Hs.10094	1.741	1.164	0.8	0.219
hAA0209	PSMB10	Hs.9661	1.531	5.485	0.614	2.456
hAA1952	RCD-8	Hs.75682	1.334	2.277	0.416	1.187
hAA0227	PP15	Hs.151734	1.16	4.436	0.214	2.149
hAA9401	KIAA1464	Hs.6343	1.242	2.2	0.313	1.138
hAB9990	BCAR1	Hs.273219	1.075	1.363	0.104	0.447
hAA1849	KARS	Hs.3100	1.165	1.837	0.22	0.877
hAE0249	WWP2	Hs.333382		0.93		-0.104
hAA8803	TERF2	Hs.100030	1.289		0.366
hAD9472	TERF2	Hs.100030	1.454	0.831	0.54	-0.266
hAD1778	CDH1	Hs.194657	1.232	0.454	0.301	-1.138
hAA1032	CDH1	Hs.194657	1.437	1.296	0.523	0.374
hAA2346	CDH3	Hs.2877	1.701	1.115	0.766	0.158
hAA1654	TK2	Hs.274701	1.26	1.094	0.333	0.13
hAB0839	TK2	Hs.274701	1.331	1.066	0.413	0.093
hAB7529	TK2	Hs.274701		0.521		-0.94
hAE0095	CKLF1	Hs.15159	1.472		0.558
hAC6048	CDH16	Hs.115418	0.987	0.791	-0.019	-0.339
hAC6653	CDH16	Hs.115418	1.5	1.53	0.585	0.614
hAC5424	CDH16	Hs.115418	1.67	2.606	0.74	1.382
hAA0750	RRAD	Hs.1027	1.004	0	0.006
hAA9055	CBFB	Hs.179881	1.258	1.196	0.331	0.258
hAC9244	CBFB	Hs.179881		0.932		-0.102
hAB7243	TRADD	Hs.89862	1.158	0.654	0.212	-0.612
hAC1075	HSF4	Hs.75486	1.346	1.447	0.429	0.533
hAC5652	NOL3	Hs.278439		0.498		-1.007
hAA2266	E2F4	Hs.108371	1.563	1.493	0.644	0.578
hAE0040	FBXL9	Hs.22193	1.134	1.493	0.181	0.578
hAA9183	ATP6D	Hs.106876	1.349	0	0.432
hAA5895	KIAA1694	Hs.19597	1.302	1.939	0.381	0.955
hAA0187	PLCG2	Hs.75648	1.794	1.962	0.843	0.973
hAE0897	-	Hs.328822	0.953	0.501	-0.069	-0.998
hAA8043	MAF	Hs.30250	1.081	0.324	0.112	-1.628
hAB8785	MAF	Hs.30250		0.074		-3.752
hAB1473	DC13	Hs.6879	0.783	4.22	-0.353	2.077
hAA5961	DKFZP434B044	Hs.262958	1.702	0.591	0.767	-0.759
hAC6487	-	Hs.302743		0.377		-1.407
hAA0784	CDH13	Hs.63984	1.239		0.309
hAC9492	HSBP1	Hs.250899		2.634		1.397
hAA1837	MBTPS1	Hs.75890	1.417	1.011	0.503	0.015
hAB0868	NOC4	Hs.173162	1.139	4.869	0.188	2.284
hAA3239	ICSBP1	Hs.14453	1.426	0.487	0.512	-1.039
hAE0008	IL17C	Hs.278911	1.612	1.702	0.689	0.767
hAA2043	APRT	Hs.28914	1.381	5.613	0.466	2.489
hAC0756	CBFA2T3	Hs.110099	1.446	1.923	0.532	0.943
hAD1680	CDH15	Hs.148090	1.488	1.303	0.573	0.382
hAA0247	PCOLN3	Hs.183138	1.215	1.653	0.281	0.725
hAB6967	CDK10	Hs.77313	1.254	1.913	0.327	0.936
hAE0030	TUBB4	Hs.159154		7.634		2.932
hAD1538	GAS11	Hs.54877	1.378	0.912	0.463	-0.133
hAA8665	YWHAE	Hs.79474	0.888	9.91	-0.171	3.309
hAC0230	Crk	Hs.343220	1.124	0.653	0.169	-0.615
hAA1622	ITGAE	Hs.851	0.891	2.082	-0.167	1.058
hAC8495	KIAA0664	Hs.22616	1.489	2.223	0.574	1.152
hAC8066	ATP2A3	Hs.5541	1.533	3.159	0.616	1.66
hAA6079	MNT	Hs.25497	1.618	0.666	0.694	-0.585
hAB0526	SRR	Hs.27335	1.129	2.511	0.175	1.328
hAC8895	SRR	Hs.27335	1.342	1.894	0.424	0.922
hAE0244	HIC1	Hs.72956		0.202		-2.305
hAC0853	RPA1	Hs.84318		2.309		1.207
hAA8397	UBE2G1	Hs.78563	1.471	0.876	0.557	-0.191
hAD9948	LOC51031	Hs.279061		0
hAA1224	MINK	Hs.112028	1.435	1.054	0.521	0.076
hAA0169	PSMB6	Hs.77060	1.389	0.879	0.474	-0.187
hAB1537	MYBBP1A	Hs.22824	1.083	1.96	0.115	0.971
hAE0005	GP1BA	Hs.1472		0.868		-0.204
hAA2275	PFN1	Hs.75721	1.43	7.81	0.516	2.965
hAD9932	ENO3	Hs.118804		6.446		2.688
hAE0223	USP6	Hs.111065	1.606	0.297	0.683	-1.751
hAA1329	ACADVL	Hs.82208	1.149	1.187	0.2	0.247
hAA3860	DVL2	Hs.118640	1.514	1.896	0.598	0.923
hAA2083	DVL2	Hs.118640		1.669		0.739
hAB6969	DVL2	Hs.118640		1.375		0.459
hAA5379	GABARAP	Hs.7719	1.144	1.078	0.194	0.109
hAD1502	HSXIAPAF1	Hs.139262	1.262	0.852	0.336	-0.231
hAB8501	MGC2488	Hs.267194	1.16		0.214
hAE0017	FGF11	Hs.31339	1.461		0.547
hAB1610	TNFSF12	Hs.26401	1.272	0.811	0.347	-0.302
hAA6877	TNFSF13	Hs.54673	1.236	0.886	0.306	-0.175
hAA7777	TNFSF13	Hs.54673	1.365	0.606	0.449	-0.721
hAA0102	SHBG	Hs.46319	1.325	1.312	0.406	0.392
hAA1339	ATP1B2	Hs.78854	1.374	0.564	0.458	-0.827
hAA1375	TP53	Hs.1846	1.469	0.455	0.555	-1.135
hAB7108	CHD3	Hs.25601	1.486	0.668	0.571	-0.581
hAB5835	CHD3	Hs.25601		0.634		-0.657
hAD2908	PLSCR3	Hs.103382		1.094		0.13
hAD1830	USP22	Hs.12064	1.386	2.923	0.471	1.547
hAC7986	MAP2K3	Hs.180533	1.414	2.061	0.5	1.043
hAA2279	MAP2K3	Hs.180533	1.418	2.418	0.504	1.274
hAE0113	TOP3A	Hs.91175	1.808	0.652	0.854	-0.617
hAB7223	GAS7	Hs.226133	1.321	3.755	0.402	1.909
hAA1614	MAP2K4	Hs.75217	0.715	1.49	-0.484	0.576
hAA6563	-	Hs.77513	1.362	2.215	0.446	1.147
hAA5888	HS3ST3B1	Hs.159572	1.008	1.694	0.011	0.76
hAA0195	PMP22	Hs.103724	1.377	0.471	0.462	-1.087
hAB8618	VRL	Hs.279746	1.302	1.06	0.381	0.084
hAC7303	LOC51655	Hs.25829	1.082	1.124	0.114	0.169
hAA0821	MAPK7	Hs.3080	1.349	2.427	0.432	1.279
hAA9156	ALDH3A2	Hs.159608		0
hAD1818	ALDH3A1	Hs.575		0.436		-1.198
hAA6234	KIAA0623	Hs.151406	1.385	0.513	0.47	-0.962
hAA8494	KSR	Hs.152094	1.542	1.481	0.625	0.566
hAB6982	NOS2A	Hs.193788	1.21	0.496	0.275	-1.011
hAA0823	TNFAIP1	Hs.76090	1.274	1.609	0.349	0.686
hAB0965	DKFZP586F1524	Hs.241543		1.11		0.151
hAA1805	TIAF1	Hs.75822	1.466	1.241	0.552	0.312
hAA0723	ALDOC	Hs.155247	1.421	2.031	0.507	1.022
hAB4210	SUPT6H	Hs.12303	1.742	2.819	0.801	1.495
hAA1818	SUPT6H	Hs.12303		0.43		-1.217
hAA2201	TRAF4	Hs.8375	1.709	2.687	0.773	1.426
hAA2261	EVI2A	Hs.70499		0.315		-1.667
hAC5734	MGC13061	Hs.29874	1.391	0.558	0.476	-0.843
hAA0099	SCYA2	Hs.303649		0.319		-1.649
hAD9975	SCYA7	Hs.251526		0.31		-1.689
hAC8372	SCYA8	Hs.271387	1.329	1.029	0.41	0.041
hAA0435	SCYA13	Hs.11383	1.397	0.847	0.482	-0.239
hAC0931	SCYA1	Hs.72918	1.191	1.203	0.252	0.267
hAB6968	CCT6B	Hs.73072	1.532	1.421	0.615	0.506
hAB7167	LIG3	Hs.100299	1.099	0.724	0.136	-0.465
hAA6479	LIG3	Hs.100299	1.23	1.104	0.299	0.142
hAE0038	-	Hs.172694	1.689	0.804	0.756	-0.315
hAC1087	FLJ10458	Hs.85570	1.293	3.98	0.371	1.993
hAA0194	PEX12	Hs.25913	1.305	0.247	0.384	-2.018
hAA8620	SCYA16	Hs.10458	1.257	1.389	0.33	0.474
hAE0083	SCYA14	Hs.20144	1.125	0.765	0.17	-0.387
hAA1007	SCYA15	Hs.20144	1.258	1.117	0.331	0.16
hAC8708	SCYA23	Hs.169191	1.134	0.528	0.181	-0.921
hAA0883	SCYA18	Hs.16530	1.421	1.235	0.507	0.304
hAA8118	SCYA3	Hs.73817	1.448	0.893	0.534	-0.163
hAA8096	SCYA3	Hs.73817	1.563	1.121	0.644	0.164
hAA0098	SCYA4	Hs.75703	1.319	0.479	0.399	-1.061
hAD1221	CSF3	Hs.2233		1.121		0.165
hAA3523	PRO2521	Hs.19054		0.938		-0.092
hAA1183	ZNF144	Hs.184669	1.282	0.954	0.358	-0.069
hAA2405	PSMB3	Hs.82793	1.794	3.874	0.843	1.954
hAB4716	FLJ20291	Hs.8928	0.953	0.614	-0.069	-0.703
hAE0266	MGC15482	Hs.194498	1.576	1.252	0.656	0.324
hAB8786	FLJ20940	Hs.286192	1.42	0.655	0.506	-0.61
hAA1361	ERBB2	Hs.323910	1.506	0.96	0.591	-0.058
hAA8326	GRB7	Hs.86859	1.087	0.839	0.12	-0.253
hAA4995	NR1D1	Hs.276916	1.474	0.653	0.56	-0.615
hAA0812	CDC6	Hs.69563	1.415	2.497	0.501	1.32
hAB6930	RARA	Hs.250505	1.745	1.41	0.803	0.496
hAA1383	TOP2A	Hs.156346	1.134	2.478	0.181	1.309
hAA5399	TOP2A	Hs.156346		10.713		3.421
hAD9997	CCR7	Hs.1652	1.526	0.498	0.61	-1.006
hAB2360	SMARCE1	Hs.332848		0.755		-0.406
hAE0455	KRT20	Hs.84905	1.197	1.731	0.259	0.791
hAB7041	-	Hs.117729	1.209	1.064	0.274	0.09
hAA0290	KRT13	Hs.74070	1.298	1.337	0.376	0.419
hAA1607	KRT19	Hs.182265		3.194		1.675
hAD1449	KRT16	Hs.115947	1.253	0.868	0.325	-0.204
hAA2061	TRIP3	Hs.2210		1.843		0.882
hAC9077	TRIP3	Hs.2210		1.298		0.376
hAA5563	MGC4172	Hs.8949	1.567	1.64	0.648	0.714
hAC8447	LHX1	Hs.157449	1.198	0.437	0.261	-1.195
hAD1952	DED	Hs.16178	1.251	1.978	0.323	0.984
hAB8171	AP1GBP1	Hs.15384	1.699	0.51	0.765	-0.971
hAA4950	ROK1	Hs.99423	1.728	0.79	0.789	-0.34
hAA5318	NSF	Hs.108802	1.369	0.538	0.453	-0.894
hAA7111	CDC27	Hs.356640	0.997	1.039	-0.004	0.055
hAA1231	CDC27	Hs.356640	1.573	0.681	0.654	-0.553
hAA2075	KPNB1	Hs.180446	1.193	3.557	0.255	1.831
hAA2383	SP2	Hs.77031	1.595	0.825	0.674	-0.277
hAB9871	FLJ13660	Hs.20157	1.954	0.781	0.966	-0.357
hAC7696	ARHGAP1	Hs.138860	1.369	3.141	0.453	1.651
hAA1230	ARHGAP1	Hs.138860	1.571	1.643	0.652	0.717
hAA6601	CREME9	Hs.7120	1.292	0.21	0.37	-2.251
hAB7378	ARF4L	Hs.183153	1.437	0.969	0.523	-0.046
hAC7988	ARF4L	Hs.183153	1.458	0.878	0.544	-0.188
hAA1274	BRCA1	Hs.194143	1.492	1.388	0.577	0.473
hAE0215	RHO7	Hs.99034	1.36	1.107	0.444	0.147
hAB7010	IFI35	Hs.50842		1.856		0.892
hAA0353	-	Hs.5542	1.567	1.078	0.648	0.109
hAA3692	KBRAS2	Hs.22937	1.225	1.032	0.293	0.045
hAB7195	RAB5C	Hs.479	1.526	1.369	0.61	0.453
hAA1999	PSME3	Hs.152978	1.635	3.979	0.709	1.992
hAA1705	AOC3	Hs.198241	1.538	0.747	0.621	-0.42
hAB0260	TUBG1	Hs.21635	1.362	3.494	0.446	1.805
hAB7190	TCFL4	Hs.78185	1.237	0.993	0.307	-0.01
hAE0136	TCFL4	Hs.78185	1.38	1.129	0.465	0.175
hAA0686	ATP6N1A	Hs.267871	1.347	1.052	0.43	0.074
hAA5322	TUBG2	Hs.279669	0.842	3.973	-0.248	1.99
hAB5553	MGC4251	Hs.74266	1.551	0.911	0.633	-0.135
hAD1629	HDAC5	Hs.9028	1.218	0.921	0.285	-0.119
hAC6209	LOC84514	Hs.38039	1.575	1.061	0.655	0.085
hAA1652	STAT5B	Hs.244613	1.733	1.211	0.793	0.276
hAE0052	STAT5A	Hs.167503	1.335	1.212	0.417	0.277
hAC3505	DKFZp761G2113	Hs.181391	1.481	0.905	0.567	-0.144
hAA0226	UBTF	Hs.89781	1.383	0.879	0.468	-0.186
hAB8537	LOC51629	Hs.237924		3.297		1.721
hAA2224	GFAP	Hs.1447	1.003	0.874	0.004	-0.195
hAB0365	MAP3K14	Hs.47007	1.495	0.72	0.58	-0.474
hAA1248	CRHR1	Hs.79117	1.284	0.826	0.361	-0.276
hAB1375	TRAP240	Hs.11861	1.657	0.798	0.729	-0.326
hAC7953	DLX4	Hs.172648	1.312	0	0.392
hAC6311	ACE	Hs.298469	1.453	1.301	0.539	0.38
hAA0476	UGTREL1	Hs.154073	1.726	2.341	0.787	1.227
hAA0615	SPOP	Hs.129951	1.702	0.991	0.767	-0.013
hAA8219	NGFR	Hs.1827	1.764	1.412	0.819	0.498
hAA1499	PHB	Hs.75323	1.522	4.234	0.606	2.082
hAB0922	PHB	Hs.75323	1.562	5.686	0.643	2.507
hAC3400	CYB561	Hs.355264	1.645	0.866	0.718	-0.207
hAC8589	PSMC5	Hs.79387		2.087		1.061
hAA0745	SMARCD2	Hs.250581	2.252		1.171
hAE0232	CSH1	Hs.347963	1.393	0.738	0.478	-0.439
hAE0166	CSH1	Hs.347963	1.459	1.011	0.545	0.016
hAE0054	ICAM2	Hs.347326	1.45	1.292	0.536	0.37
hAB3761	LOC51174	Hs.270847	1.341	0.497	0.423	-1.009
hAC7882	TOM1L1	Hs.153504	1.359	1.389	0.443	0.474
hAA2835	FLJ13855	Hs.168232	1.438	1.085	0.524	0.117
hAB7316	HOXB13	Hs.66731	1.708	0.684	0.772	-0.548
hAB6827	HOXB7	Hs.819	1.338	1.722	0.42	0.784
hAC6779	HOXB7	Hs.819	1.387	1.322	0.472	0.403
hAC4583	HOXB6	Hs.98428	1.747	1.671	0.805	0.741
hAA8872	HOXB6	Hs.98428		2.794		1.483
hAA0948	HOXB5	Hs.22554	1.351	1.86	0.434	0.896
hAC0905	HOXB2	Hs.2733		0.673		-0.572
hAA3833	MTMR4	Hs.141727	1.097	1.453	0.134	0.539
hAA9882	RAD51C	Hs.11393	1.062	2.061	0.087	1.044
hAA8289	ITGA3	Hs.265829	1.6	0.849	0.678	-0.237
hAA0850	PDK2	Hs.92261	1.694	1.429	0.76	0.515
hAB1248	FLJ11164	Hs.8033	0.898	0.753	-0.155	-0.41
hAA8381	ABCC3	Hs.90786	1.478	0.678	0.564	-0.56
hAA0477	TOB1	Hs.178137	1.204		0.268
hAB0283	NME1	Hs.118638	1.173	11.069	0.23	3.469
hAA0456	PSMD12	Hs.4295		1.913		0.936
hAA0167	PRKCA	Hs.169449	1.45	1.448	0.536	0.534
hAC7676	PRKCA	Hs.169449	1.53	0.715	0.614	-0.483
hAB8252	RGS9	Hs.117149	1.716	0.555	0.779	-0.849
hAD5054	-	Hs.135265	1.472	0.66	0.558	-0.6
hAA8615	MAP2K6	Hs.118825	1.522	1.183	0.606	0.242
hAA8761	SLC9A3R1	Hs.184276	1.316	3.818	0.396	1.933
hAD1802	FDXR	Hs.69745	1.722	2.125	0.784	1.088
hAA2217	GRB2	Hs.296381	1.651	4.464	0.723	2.158
hAB1329	SSI-3	Hs.345728	1.174	1.068	0.231	0.095
hAB7050	SSI-3	Hs.345728	1.282	1.366	0.358	0.45
hAA1153	EVPL	Hs.25482	1.095	1.313	0.131	0.393
hAB3400	-	Hs.72660	1.411		0.497
hAA0084	SFRS2	Hs.73965	1.415	1.3	0.501	0.379
hAA9205	BIRC5	Hs.1578	1.285	3.967	0.362	1.988
hAB7109	TK1	Hs.105097	1.565	2.861	0.646	1.516
hAA1384	TIMP2	Hs.325495	1.72	4.087	0.782	2.031
hAD1791	SECTM1	Hs.95655	1.887	1.069	0.916	0.096
hAA8793	MAFG	Hs.252229	1.282		0.358
hAC4487	MAFG	Hs.252229	1.46	4.432	0.546	2.148
hAA9293	MAFG	Hs.252229	1.571	2.621	0.652	1.39
hAC3538	P4HB	Hs.75655	1.327	2.202	0.408	1.139
hAB7062	P4HB	Hs.75655	1.648	2.52	0.721	1.334
hAC7646	ARHGDIA	Hs.159161	1.276	13.608	0.352	3.766
hAB7068	ARHGDIA	Hs.159161	1.65	13.911	0.722	3.798
hAC7722	ILF1	Hs.296281	1.218	2.967	0.285	1.569
hAA0319	ILF1	Hs.296281	1.754	3.146	0.811	1.653
hAD1831	TBCD	Hs.12570	1.74	1.411	0.799	0.496
hAA1657	USP14	Hs.75981	1.223	0.862	0.29	-0.215
hAC7841	YES1	Hs.194148	1.3	1.118	0.379	0.161
hAA0702	YES1	Hs.194148	1.453	1.224	0.539	0.291
hAA5017	YES1	Hs.194148	1.583	0.648	0.663	-0.627
hAB7099	HEC	Hs.58169	1.325		0.406
hAC6509	MLC-B	Hs.180224	1.099	1.164	0.136	0.219
hAA1721	MLC-B	Hs.180224	1.593	1.976	0.672	0.982
hAA1013	TGIF	Hs.90077	1.401	0.324	0.486	-1.628
hAB5774	EPB41L3	Hs.103839		0.896		-0.158
hAA8156	PTPRM	Hs.154151	1.159	0.365	0.213	-1.456
hAA6149	KIAA0802	Hs.27657	1.22	0.812	0.287	-0.3
hAB5795	KIAA0874	Hs.27973	1.247	0.235	0.318	-2.088
hAA1928	PPP4R1	Hs.3382	1.214	0.791	0.28	-0.338
hAD1019	RAB31	Hs.223025	1.123	0.776	0.167	-0.366
hAA0602	RAB31	Hs.223025	1.287	0.548	0.364	-0.867
hAB6129	RAB31	Hs.223025	1.36	0.592	0.444	-0.756
hAA0894	NAPG	Hs.60415	1.226	1.204	0.294	0.268
hAB8624		Hs.355965	1.475	0.71	0.561	-0.494
hAA0906	C18orf1	Hs.153498		0.857		-0.223
hAA7167	SEC13L	Hs.301048	1.659	2.368	0.73	1.243
hAC4929	MDS003	Hs.3726	1.363	1.637	0.447	0.711
hAA8593	ROCK1	Hs.17820	1.198	0.513	0.261	-0.962
hAC0469	ROCK1	Hs.17820	1.24	0.317	0.31	-1.657
hAC9624	-	Hs.17820		0.946		-0.08
hAA0809	RBBP8	Hs.29287	0.785		-0.349
hAA7868	SS18	Hs.153221	1.358	0.311	0.441	-1.686
hAE0341	MIC1	Hs.289080		0.878		-0.187
hAA8264	LAMA3	Hs.83450	1.378	1.096	0.463	0.133
hAB0719	DKFZP564D0764	Hs.26799	1.082	0.868	0.114	-0.205
hAB0471	STRIN	Hs.180403	1.077	0.957	0.107	-0.063
hAD1285	TTR	Hs.194366		0.268		-1.899
hAA6466	DSG2	Hs.348710		0.25		-1.998
hAD1523	DSG1	Hs.2633		0.971		-0.043
hAD1226	DSC1	Hs.69752	1.586	0.482	0.665	-1.054
hAA0992	PIK3C3	Hs.32971	1.012	0.285	0.017	-1.813
hAC4584	-	Hs.184164	0.782	1.5	-0.355	0.585
hAA6256	PIASX-BETA	Hs.111323	0.524	0.305	-0.932	-1.714
hAC8197	PIASX-BETA	Hs.111323		2.641		1.401
hAB1347	DKFZP564D1378	Hs.318401	0.952	0.399	-0.071	-1.324
hAA8547	MADH2	Hs.82483	1.102	0.379	0.14	-1.4
hAA8816	MADH7	Hs.100602		0.366		-1.45
hAA1158	MAPK4	Hs.269222		0.597		-0.745
hAB0070	MADH4	Hs.75862	0.904	0.804	-0.146	-0.314
hAA2417	MADH4	Hs.75862		0.9		-0.152
hAA9501	LIPG	Hs.65370	1.318	0.788	0.398	-0.344
hAC9543	DCC	Hs.211567		0.861		-0.217
hAB3221	MBD2	Hs.25674		0.436		-1.199
hAE0357	RAB27B	Hs.97189	1.14	1.09	0.189	0.125
hAA8592	TCF4	Hs.326198	1.192	2.907	0.253	1.54
hAB4041	NEDD4L	Hs.12017	1.116	1.11	0.158	0.151
hAC4901	MALT1	Hs.180566	1.044	1.078	0.062	0.109
hAC9667	MALT1	Hs.180566	1.312		0.392
hAC2656	LOC90701	Hs.68644	0.911	2.365	-0.134	1.242
hAE0188	TNFRSF11A	Hs.114676	1.081	0.794	0.112	-0.333
hAA5011	BCL2	Hs.79241	0.787	0.269	-0.346	-1.897
hAA9134	BCL2	Hs.79241		0.122		-3.033
hAB4963	SERPINB3	Hs.227948	0.732	0.339	-0.45	-1.559
hAA1509	SERPINB2	Hs.75716	2.358	3.767	1.238	1.913
hAD1512	CDH19	Hs.129887		0.237		-2.079
hAC8489	DNAM-1	Hs.57699	0.907	0.838	-0.141	-0.255
hAB1694	DKFZP434G145	Hs.31931		3.112		1.638
hAE0128	CIS4	Hs.44439	1.245	0.44	0.316	-1.184
hAA8609	NFATC1	Hs.96149	1.163		0.218
hAE0147	PPAP2C	Hs.24879	1.31	1.317	0.39	0.397
hAA8382	MADCAM1	Hs.102598	1.512	1.753	0.596	0.809
hAC7709	-	Hs.102598	1.663	7.103	0.734	2.828
hAA0030	CDC34	Hs.76932	1.26	2.116	0.333	1.081
hAA0438	POLRMT	Hs.153880	1.388	1.731	0.473	0.792
hAB5701	TRAP95	Hs.31659	1.137	0.874	0.185	-0.195
hAA6057	TRAP95	Hs.31659	1.399	1.361	0.484	0.445
hAC3048	TRAP95	Hs.31659	1.429	0.969	0.515	-0.045
hAB7056	STK11	Hs.301772	1.364	0.614	0.448	-0.703
hAC0259	DAZAP1	Hs.65588	1.309	2.609	0.388	1.384
hAC5588	APCL	Hs.20912	1.611	1.494	0.688	0.579
hAA3145	UQCR	Hs.8372	2.046	2.916	1.033	1.544
hAA0048	TCF3	Hs.101047	1.629	2.253	0.704	1.172
hAD1235	GADD45B	Hs.110571	1.549	1.909	0.631	0.933
hAB8438	GADD45B	Hs.110571		0.442		-1.178
hAB9886	GADD45B	Hs.110571		0.659		-0.603
hAA8501	HBOA	Hs.244	1.383		0.468
hAD9956	EDG6	Hs.159543	1.61	1.855	0.687	0.891
hAB8511	LOC56926	Hs.24983	1.215	1.336	0.281	0.418
hAD9719	FLJ14009	Hs.128417	1.392	1.494	0.477	0.579
hAB6768	TLE2	Hs.332173		0.536		-0.899
hAC6599	PP3501	Hs.301406	1.673	2.027	0.742	1.019
hAC8444	MATK	Hs.274	1.216	0.966	0.282	-0.05
hAC0954	DAPK3	Hs.25619	1.444	2.213	0.53	1.146
hAA1146	EEF2	Hs.75309	1.575	1.675	0.655	0.744
hAA2096	-	Hs.104640	1.436	2.613	0.522	1.386
hAA1181	-	Hs.3446	1.359	2.374	0.443	1.248
hAA0652	EBI3	Hs.185705	1.376	1.797	0.46	0.846
hAC2202	FLJ20234	Hs.194385	1.755	1.667	0.811	0.737
hAB1361	UBXD1	Hs.11081		0.473		-1.079
hAA6041	KIAA0876	Hs.301011	1.243	1.999	0.314	0.999
