ProbeID	Ratio	REF.MACS	WT.MACS	p-value	qvalue	Accession	Symbol	geneID	UniGene	Name	Chr	Pathway
1449523_at	-1.38E+00	8.4069	9.7909	1.52E-05	8.45E-04	NM_009746	Bcl7c	12055	Mm.89667	B-cell CLL/lymphoma 7C	chr7 F4	---
1434400_at	-1.13E+00	8.09	9.2207	1.53E-05	8.46E-04	AW556273	Tgif2	228839	Mm.315625	TGFB-induced factor 2	chr2 H1	---
1439066_at	-2.40E+00	6.3907	8.7946	1.53E-05	8.46E-04	BB453314	Angpt1	11600	Mm.309336	angiopoietin 1	chr15 B3.1|15 14.3 cM	---
1452009_at	1.28E+00	8.4656	7.1871	1.58E-05	8.67E-04	AK018685	9130422G05Rik	66819	Mm.389571	RIKEN cDNA 9130422G05 gene	chr4 C3	---
1434339_at	1.82E+00	9.475	7.6533	1.60E-05	8.77E-04	AW548221	Fnbp1l	214459	Mm.209491	formin binding protein 1-like	chr3 G1	---
1452050_at	2.25E+00	8.2327	5.9832	1.63E-05	8.89E-04	BG071931	Camk1d	227541	Mm.191949	calcium/calmodulin-dependent protein kinase ID	chr2 A1	---
1437886_at	1.47E+00	11.0767	9.6018	1.64E-05	8.92E-04	BM247104	Klhl6	239743	Mm.86699	kelch-like 6 (Drosophila)	chr16 A3	---
1429144_at	1.56E+00	10.7441	9.1889	1.64E-05	8.93E-04	AV291259	Prei4	74182	Mm.211211	preimplantation protein 4	chr2 F3	---
1448929_at	-2.39E+00	6.3872	8.7754	1.64E-05	8.93E-04	NM_028784	F13a1	74145	Mm.235105	coagulation factor XIII, A1 subunit	chr13 A3.3	---
1428669_at	-2.21E+00	5.6564	7.8637	1.66E-05	8.98E-04	AK012810	Bmyc	107771	Mm.330057	brain expressed myelocytomatosis oncogene	chr2 A3	---
1451117_a_at	1.03E+00	11.0019	9.969	1.67E-05	9.00E-04	BC004710	Tom1l1	71943	Mm.167868	target of myb1-like 1 (chicken)	chr11 D|11 53.0 cM	---
1456377_x_at	-2.56E+00	7.6106	10.1737	1.67E-05	9.00E-04	AV010467	Limd2 /// LOC632329	632329 /// 67803	Mm.21687	LIM domain containing 2 /// similar to epithelial	chr11 E1	---
1429759_at	-2.49E+00	5.2757	7.7635	1.70E-05	9.12E-04	BB449218	Rps6ka6	67071	Mm.37617	ribosomal protein S6 kinase polypeptide 6	chrX E1	---
1420772_a_at	1.80E+00	8.2087	6.41	1.72E-05	9.19E-04	NM_010286	Tsc22d3	14605	Mm.22216	TSC22 domain family 3	chrX F1	---
1443349_at	-1.80E+00	5.9464	7.7425	1.73E-05	9.23E-04	BB211894	Dock10	210293	Mm.133473	Dedicator of cytokinesis 10	chr1 C4	---
1446688_at	1.80E+00	8.7533	6.9577	1.73E-05	9.23E-04	BI076801	Gnaq	14682	Mm.391165	Guanine nucleotide binding protein, alpha q polype	chr19 A|19 9.0 cM	G_Protein_Signaling // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1434378_a_at	1.29E+00	9.2784	7.992	1.74E-05	9.25E-04	BG868949	Mxd4	17122	Mm.391777	Max dimerization protein 4	chr5 B2|5 20.0 cM	---
1416335_at	-1.10E+00	12.4844	13.5829	1.75E-05	9.28E-04	NM_010798	Mif	17319	Mm.2326	macrophage migration inhibitory factor	chr10 C1|10 40.9 cM	---
1429859_a_at	1.48E+00	11.9431	10.4597	1.77E-05	9.37E-04	AK006418	Arl2bp	107566	Mm.139700	ADP-ribosylation factor-like 2 binding protein	chr8 C5	---
1437700_at	2.19E+00	8.7659	6.5713	1.80E-05	9.47E-04	BB137599	Schip1	30953	Mm.331064	Schwannomin interacting protein 1	chr3 E2	---
1456735_x_at	-1.88E+00	5.8012	7.6776	1.80E-05	9.47E-04	BB458645	Acpl2	235534	Mm.233031	acid phosphatase-like 2	chr9 E3.3	---
1458438_at	-2.01E+00	5.8097	7.8165	1.81E-05	9.49E-04	AW554226	4933415L06Rik	108811	Mm.102168	RIKEN cDNA 4933415L06 gene	chr14 D3	---
1447640_s_at	1.27E+00	11.2018	9.932	1.82E-05	9.55E-04	BB554874	Pbx3	18516	Mm.239941	pre B-cell leukemia transcription factor 3	chr2 B|2 22.0 cM	---
1431383_at	1.48E+00	8.1016	6.6202	1.83E-05	9.57E-04	AK003943	1110028F11Rik	68690	---	RIKEN cDNA 1110028F11 gene	---	---
1427903_at	-1.42E+00	9.7269	11.1464	1.90E-05	9.91E-04	BB650419	Phpt1	75454	Mm.177990	phosphohistidine phosphatase 1	chr2 A3	---
1424182_at	1.08E+00	10.1916	9.1124	1.91E-05	9.97E-04	BG070487	Acat1	110446	Mm.293233	acetyl-Coenzyme A acetyltransferase 1	chr9 30.0 cM	Fatty acid metabolism // KEGG /// Synthesis and degradation of ketone bodies // KEGG /// Valine, leucine and isoleucine degradation // KEGG /// Lysine degradation // KEGG /// Tryptophan metabolism // KEGG /// Pyruvate metabolism // KEGG /// Benzoate degradation via CoA ligation // KEGG /// Propanoate metabolism // KEGG /// Butanoate metabolism // KEGG /// Two-component system - General // KEGG
1459894_at	-2.56E+00	6.8784	9.4381	1.94E-05	1.01E-03	BE631962	Iqgap2	544963	Mm.38878	IQ motif containing GTPase activating protein 2	chr13 D1	GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// GPCRDB_Class_A_Rhodopsin-like // GenMAPP
1428676_at	2.50E+00	8.4313	5.9358	1.95E-05	1.01E-03	AK004939	Tmprss6	71753	Mm.34056	transmembrane serine protease 6	chr15 E2	---
1447340_at	1.45E+00	7.6751	6.2291	1.96E-05	1.01E-03	BB748429	---	---	Mm.235511	Adult male kidney cDNA, RIKEN full-length enriched	---	---
1435879_at	1.32E+00	9.033	7.7126	2.03E-05	1.05E-03	BB521695	Akt3	23797	Mm.235194	thymoma viral proto-oncogene 3	chr1 H4-H6	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// S1P_Signaling // GenMAPP
1426663_s_at	1.90E+00	9.969	8.0675	2.05E-05	1.05E-03	BC024519	Slc45a3	212980	Mm.200307	solute carrier family 45, member 3	chr1 E4	---
1455161_at	-2.56E+00	6.2314	8.7939	2.05E-05	1.05E-03	BB202185	AI504432	229694	Mm.347584	expressed sequence AI504432	chr3 F2.3	---
1459919_a_at	1.85E+00	8.1187	6.2642	2.06E-05	1.05E-03	BE288498	Mobkl2c	100465	Mm.35571	MOB1, Mps One Binder kinase activator-like 2C (yea	chr4 D1	---
1423065_at	-1.82E+00	5.4356	7.2537	2.11E-05	1.07E-03	BB795491	Dnmt3a	13435	Mm.5001	DNA methyltransferase 3A	chr12 A2-A3	---
1454717_at	1.37E+00	11.3716	10.0005	2.11E-05	1.07E-03	BB401190	Ankrd27	245886	Mm.272620	Ankyrin repeat domain 27 (VPS9 domain)	chr7 B2	---
1456150_at	1.06E+00	10.4218	9.3634	2.12E-05	1.07E-03	BM238680	A630082K20Rik	338523	---	RIKEN cDNA A630082K20 gene	chr6 B1	---
1419063_at	2.26E+00	10.3903	8.1347	2.18E-05	1.10E-03	NM_011674	Ugt8a	22239	Mm.306021	UDP galactosyltransferase 8A	chr3 E3-F1	---
1429673_at	-2.03E+00	6.5334	8.5629	2.24E-05	1.12E-03	BB234837	5830407E08Rik	76013	---	RIKEN cDNA 5830407E08 gene	---	---
1439790_at	1.40E+00	8.326	6.9288	2.26E-05	1.13E-03	BE686716	Serpinb9	20723	Mm.272569	serine (or cysteine) peptidase inhibitor, clade B,	chr13 A3.2|13 12.4 cM	---
1440192_at	1.55E+00	8.7344	7.1844	2.28E-05	1.14E-03	BB259628	1810054D07Rik	69863	Mm.5540	RIKEN cDNA 1810054D07 gene	chr4 C3	---
1428854_at	1.00E+00	10.3632	9.3586	2.29E-05	1.14E-03	AK018286	Tmed8	382620	Mm.374912	transmembrane emp24 domain containing 8	chr12 D2	---
1448862_at	1.42E+00	11.8521	10.4352	2.30E-05	1.14E-03	NM_010494	Icam2	15896	Mm.394	intercellular adhesion molecule 2	chr11 E1|11 63.0 cM	---
1419155_a_at	-2.58E+00	5.8555	8.4372	2.36E-05	1.17E-03	AI428101	Sox4 /// LOC672274	20677 /// 672274	Mm.240627	SRY-box containing gene 4 /// similar to Transcrip	chr13 A3-A5|13 20.0 cM	---
1436199_at	-1.56E+00	5.8115	7.372	2.36E-05	1.17E-03	AU042532	---	---	---	---	---	---
1455038_at	-2.88E+00	5.5166	8.3953	2.40E-05	1.18E-03	AV299818	LOC632764	632764	Mm.330721	similar to melanoma antigen	---	---
1428643_at	1.75E+00	9.8788	8.1338	2.46E-05	1.21E-03	AK015544	Mgat5	107895	Mm.391592	mannoside acetylglucosaminyltransferase 5	chr1 E3	---
1422817_at	2.54E+00	11.7223	9.1786	2.49E-05	1.22E-03	NM_008148	Gp5	14729	Mm.3519	glycoprotein 5 (platelet)	chr16 B2	---
1417741_at	1.59E+00	10.9231	9.3316	2.50E-05	1.22E-03	NM_133198	Pygl	110095	Mm.256926	liver glycogen phosphorylase	chr12 C2|12 30.0 cM	Glycogen_Metabolism // GenMAPP /// Glycogen_Metabolism // GenMAPP /// Glycogen_Metabolism // GenMAPP
1417215_at	1.99E+00	8.849	6.8625	2.51E-05	1.23E-03	BB121269	Rab27b	80718	Mm.246753	RAB27b, member RAS oncogene family	chr18 E2|18 45.0 cM	---
1420981_a_at	-2.21E+00	6.4035	8.6164	2.53E-05	1.24E-03	NM_010723	Lmo4	16911	Mm.29187	LIM domain only 4	chr3 H2|3 73.1 cM	---
1455721_at	1.60E+00	7.4553	5.8559	2.54E-05	1.24E-03	BB441361	Gspt2	14853	Mm.20826	G1 to S phase transition 2	chrX B1	---
1453144_at	1.86E+00	7.3622	5.5031	2.55E-05	1.24E-03	AK007420	4933439C20Rik	236604	---	RIKEN cDNA 4933439C20 gene	chr11 A1	---
1416868_at	1.19E+00	10.5927	9.3987	2.57E-05	1.24E-03	BC027026	Cdkn2c	12580	Mm.1912	cyclin-dependent kinase inhibitor 2C (p18, inhibit	chr4 C7|4 24.7 cM	G1_to_S_cell_cycle_Reactome // GenMAPP /// G1_to_S_cell_cycle_Reactome // GenMAPP
1455037_at	-1.93E+00	5.7063	7.6344	2.59E-05	1.25E-03	BB002869	Plxna2	18845	Mm.392736	plexin A2	---	---
1423271_at	-2.46E+00	6.2508	8.7127	2.61E-05	1.26E-03	AV239646	Gjb2	14619	Mm.390683	gap junction membrane channel protein beta 2	chr14 D1-E1|14 21.0 cM	Calcium_regulation_in_cardiac_cells // GenMAPP
1457904_at	2.76E+00	7.8212	5.0607	2.61E-05	1.26E-03	BB125515	Car8	12319	Mm.119320	carbonic anhydrase 8	chr4 A1|4 7.7 cM	---
1443158_at	-1.41E+00	6.3933	7.7983	2.65E-05	1.27E-03	BB035643	Scmh1	29871	Mm.388903	Sex comb on midleg homolog 1	chr4 D1-D2|4 56.5 cM	---
1438673_at	-1.27E+00	9.3595	10.6271	2.67E-05	1.28E-03	AW555750	---	---	Mm.405786	Transcribed locus	---	---
1447774_x_at	1.95E+00	11.2351	9.2899	2.70E-05	1.29E-03	AV332575	5730469M10Rik	70564	Mm.27227	RIKEN cDNA 5730469M10 gene	chr14 B	---
1417624_at	-2.38E+00	7.7047	10.089	2.72E-05	1.30E-03	NM_008667	Nab1	17936	Mm.25903	Ngfi-A binding protein 1	chr1 C1.1|1 27.0 cM	---
1422611_s_at	-1.75E+00	6.7387	8.4921	2.71E-05	1.30E-03	NM_023670	Igf2bp3	140488	Mm.281018	insulin-like growth factor 2 mRNA binding protein	chr6 B2.3|6 20.3 cM	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1427140_at	1.65E+00	9.0944	7.441	2.74E-05	1.30E-03	BE956863	Pvt1	19296	Mm.4608	plasmacytoma variant translocation 1	chr15 D2-D3|15 32.0 cM	---
1451566_at	-2.03E+00	6.1933	8.223	2.76E-05	1.31E-03	BC005471	BC005471	235050	Mm.306038	cDNA sequence BC005471	chr9 A3	---
1459497_at	1.32E+00	9.0447	7.7275	2.76E-05	1.31E-03	AU019852	Fdft1	14137	Mm.386760	Farnesyl diphosphate farnesyl transferase 1	chr14 D1|14 3.0 cM	Cholesterol_Biosynthesis // GenMAPP /// Cholesterol_Biosynthesis // GenMAPP
1438840_x_at	1.77E+00	6.8053	5.0367	2.78E-05	1.31E-03	AI527359	Apoa1	11806	Mm.26743	apolipoprotein A-I	chr9 A2-A4|9 27.0 cM	Statin_Pathway_PharmGKB // GenMAPP /// Statin_Pathway_PharmGKB // GenMAPP
1417978_at	-2.11E+00	5.7481	7.8572	2.81E-05	1.32E-03	BC027014	Eif4e3	66892	Mm.32889	eukaryotic translation initiation factor 4E member	chr6 D3	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1419298_at	1.73E+00	10.1007	8.3664	2.82E-05	1.32E-03	NM_008897	Pon3	269823	Mm.9122	paraoxonase 3	chr6 A1|6 0.5 cM	gamma-Hexachlorocyclohexane degradation // KEGG
1451803_a_at	-1.40E+00	7.6106	9.0144	2.82E-05	1.32E-03	U48800	Vegfb	22340	Mm.15607	vascular endothelial growth factor B	chr19 B	---
1417090_at	-3.11E+00	6.4098	9.5187	2.83E-05	1.33E-03	NM_009037	Rcn1	19672	Mm.4876	reticulocalbin 1	chr2 E3|2 58.0 cM	---
1448489_at	1.92E+00	10.1429	8.2242	2.93E-05	1.37E-03	NM_133880	Pafah2	100163	Mm.22116	platelet-activating factor acetylhydrolase 2	chr4 D3	Glycerophospholipid metabolism // KEGG
1419985_s_at	-2.24E+00	5.1502	7.3854	2.98E-05	1.39E-03	C87579	Ccdc69	52570	Mm.22361	coiled-coil domain containing 69	chr11 B1.3|11 28.5 cM	---
1421231_at	1.75E+00	6.7813	5.0266	3.02E-05	1.41E-03	BI696168	Msi2	76626	---	Musashi homolog 2 (Drosophila)	chr11 B5-C	---
1423895_a_at	-2.05E+00	5.6975	7.7508	3.04E-05	1.41E-03	BB644164	Cugbp2	14007	Mm.147091	CUG triplet repeat, RNA binding protein 2	chr2 A2-A3	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_Reactome // GenMAPP
1438317_a_at	-1.16E+00	8.6761	9.8387	3.04E-05	1.41E-03	AV104666	Endog	13804	Mm.371558	endonuclease G	chr2 B	---
1449983_a_at	-1.06E+00	8.8552	9.9146	3.04E-05	1.41E-03	NM_020282	Nqo2	18105	Mm.264036	NAD(P)H dehydrogenase, quinone 2	chr13 A4|13 13.8 cM	---
1422293_a_at	-1.57E+00	6.3194	7.8886	3.11E-05	1.43E-03	NM_134112	Kctd1	106931	Mm.329299	potassium channel tetramerisation domain containin	chr18 A1	---
1438061_at	1.66E+00	9.2729	7.6167	3.13E-05	1.44E-03	AV272196	4930523C07Rik	67647	Mm.392311	RIKEN cDNA 4930523C07 gene	chr1 H2.1	---
1424719_a_at	2.80E+00	10.0519	7.2535	3.20E-05	1.47E-03	M18775	Mapt	17762	Mm.1287	microtubule-associated protein tau	chr11 E1|11 64.0 cM	---
1428615_at	2.27E+00	10.4729	8.2035	3.20E-05	1.47E-03	AK008952	P2ry5	67168	Mm.390681	purinergic receptor P2Y, G-protein coupled, 5	chr14 D2	Nucleotide_GPCRs // GenMAPP
1428952_at	-1.40E+00	8.8623	10.2648	3.22E-05	1.47E-03	AK007743	Pdia2	69191	Mm.32631	protein disulfide isomerase associated 2	chr17 A3.3	---
1426906_at	-2.96E+00	7.0882	10.0437	3.24E-05	1.48E-03	M74124	Ifi203	15950	Mm.261270	interferon activated gene 203	chr1 H3|1 95.31 cM	---
1442655_at	-2.31E+00	5.7422	8.0548	3.28E-05	1.49E-03	BB202790	Dnmt3b	13436	Mm.89772	DNA methyltransferase 3B	chr2 A2-A3	---
1452389_at	-1.35E+00	5.2414	6.5939	3.29E-05	1.50E-03	L24495	Tnfrsf7	21940	Mm.367714	tumor necrosis factor receptor superfamily, member	chr6 F3|6 60.35 cM	---
1416441_at	-2.50E+00	6.3279	8.8241	3.31E-05	1.50E-03	BB468025	Pgcp	54381	Mm.158251	plasma glutamate carboxypeptidase	chr15 B3.2	---
1458985_at	1.86E+00	8.1868	6.3309	3.32E-05	1.50E-03	BG067701	Fry	320365	Mm.216590	furry homolog (Drosophila)	chr5 G3	---
1448724_at	2.27E+00	9.8799	7.6075	3.38E-05	1.53E-03	NM_009895	Cish	12700	Mm.4592	cytokine inducible SH2-containing protein	chr9 F1|9 59.0 cM	---
1418592_at	1.91E+00	9.3411	7.4286	3.42E-05	1.54E-03	NM_021422	Dnaja4	58233	Mm.52319	DnaJ (Hsp40) homolog, subfamily A, member 4	chr9 A5.3	---
1436998_at	1.37E+00	9.3426	7.971	3.46E-05	1.56E-03	BB428991	Ankrd43	237761	Mm.390413	ankyrin repeat domain 43	chr11 B1.3	---
1457635_s_at	-1.22E+00	8.6411	9.862	3.48E-05	1.56E-03	BB096079	Nr3c1	14815	Mm.129481	nuclear receptor subfamily 3, group C, member 1	chr18 B3|18 20.0 cM	Apoptosis_KEGG // GenMAPP /// Nuclear_Receptors // GenMAPP
1445966_at	-1.75E+00	6.5492	8.3038	3.50E-05	1.57E-03	BG075586	Igf2r	16004	Mm.26553	Insulin-like growth factor 2 receptor	chr17 A-C|17 7.35 cM	---
1417500_a_at	-2.67E+00	6.9202	9.5932	3.52E-05	1.57E-03	BC016492	Tgm2	21817	Mm.330731	transglutaminase 2, C polypeptide	chr2 H1|2 89.0 cM	---
1431597_a_at	3.47E+00	8.272	4.8047	3.52E-05	1.57E-03	AK020731	Nrip3	78593	Mm.275374	nuclear receptor interacting protein 3	chr7 E3	---
1450410_a_at	1.51E+00	11.8752	10.3635	3.53E-05	1.57E-03	BC022913	4930570C03Rik	67739	Mm.28955	RIKEN cDNA 4930570C03 gene	chr15 F2	---
1437935_at	-1.50E+00	5.1012	6.6046	3.56E-05	1.57E-03	BB821151	4930486G11Rik	75033	---	RIKEN cDNA 4930486G11 gene	chr9 E1	---
1447275_at	-1.03E+00	8.5595	9.5885	3.55E-05	1.57E-03	AI449447	Gm1805	241950	---	gene model 1805, (NCBI)	chr3 B	---
1458039_at	2.29E+00	7.9788	5.6882	3.54E-05	1.57E-03	BM210032	Ncoa3	17979	Mm.1011	Nuclear receptor coactivator 3	chr2 H2-H4	---
1423214_at	-1.96E+00	6.3639	8.3258	3.61E-05	1.59E-03	BB476707	Plxnc1	54712	Mm.256712	plexin C1	chr10 C3	---
1458341_x_at	-1.84E+00	5.3281	7.173	3.65E-05	1.60E-03	BB397841	---	---	---	---	---	---
1416383_a_at	1.55E+00	9.0763	7.5295	3.67E-05	1.61E-03	NM_008797	Pcx	18563	Mm.1845	pyruvate carboxylase	chr19 A|19 0.0 cM	Fatty_Acid_Synthesis // GenMAPP /// Glycolysis_and_Gluconeogenesis // GenMAPP /// Krebs-TCA_Cycle // GenMAPP /// Fatty_Acid_Synthesis // GenMAPP /// Fatty_Acid_Synthesis // GenMAPP /// Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis_and_Gluconeogenesis // GenMAPP /// Krebs-TCA_Cycle // GenMAPP /// Krebs-TCA_Cycle // GenMAPP /// Citrate cycle (TCA cycle) // KEGG /// Alanine and aspartate metabolism // KEGG /// Pyruvate metabolism // KEGG
1452166_a_at	-1.98E+00	6.2758	8.2549	3.71E-05	1.62E-03	AK014360	Krt1-10	16661	Mm.22662	keratin complex 1, acidic, gene 10	chr11 D|11 57.95 cM	---
1417267_s_at	-1.72E+00	6.3136	8.0374	3.72E-05	1.62E-03	NM_024169	Fkbp11	66120	Mm.30729	FK506 binding protein 11	chr15 F2	Calcium signaling pathway // KEGG
1415892_at	-2.78E+00	5.3243	8.0995	3.73E-05	1.62E-03	NM_009163	Sgpl1	20397	Mm.200373	sphingosine phosphate lyase 1	chr10 B4|10 32.0 cM	---
1416824_at	-2.37E+00	8.227	10.5936	3.76E-05	1.63E-03	NM_026592	B230118H07Rik	68170	Mm.31263	RIKEN cDNA B230118H07 gene	chr2 E2|2 56.0 cM	---
1447421_at	-1.76E+00	5.6445	7.4019	3.77E-05	1.63E-03	BI499978	---	---	Mm.365751	Transcribed locus	---	---
1423269_a_at	-1.69E+00	6.1461	7.8404	3.79E-05	1.64E-03	BB663717	Nedd4l	83814	Mm.98668	neural precursor cell expressed, developmentally d	chr18 E1	---
1460541_at	-2.28E+00	5.872	8.15	3.79E-05	1.64E-03	BB547620	Slc7a6	330836	Mm.46749	solute carrier family 7 (cationic amino acid trans	chr8 D3	---
1457161_at	1.20E+00	12.4979	11.3005	3.82E-05	1.65E-03	BB111383	9530029O12Rik	399629	---	RIKEN cDNA 9530029O12 gene	---	---
1416390_at	1.43E+00	8.1604	6.7296	3.83E-05	1.65E-03	NM_134083	Rcbtb2	105670	Mm.280068	regulator of chromosome condensation (RCC1) and BT	chr14 D2	---
1419082_at	4.19E+00	10.1814	5.9931	3.87E-05	1.66E-03	NM_011111	Serpinb2	18788	Mm.271870	serine (or cysteine) peptidase inhibitor, clade B,	chr1 E2.1|1 61.1 cM	Blood_Clotting_Cascade // GenMAPP
1433506_at	-2.80E+00	5.4583	8.2614	3.90E-05	1.67E-03	BB315861	Lrrc8d	231549	Mm.23837	leucine rich repeat containing 8D	chr5 E5	---
1448698_at	-2.11E+00	7.1538	9.262	3.90E-05	1.67E-03	NM_007631	Ccnd1	12443	Mm.273049	cyclin D1	chr7 F5|7 72.3 cM	G1_to_S_cell_cycle_Reactome // GenMAPP /// Wnt_Signaling // GenMAPP
1444028_s_at	-2.21E+00	5.8633	8.0753	3.93E-05	1.68E-03	AA410148	Dock9 /// LOC670309	105445 /// 670309	Mm.373976	dedicator of cytokinesis 9 /// similar to Dedicato	chr14 E5|14 67.0 cM	---
1451680_at	2.03E+00	8.496	6.4657	3.94E-05	1.68E-03	BC011325	Srxn1	76650	Mm.218639	sulfiredoxin 1 homolog (S. cerevisiae)	chr2 H1	---
1428737_s_at	3.55E+00	9.1116	5.5585	3.95E-05	1.68E-03	AV259880	Gramd3	107022	Mm.24356	GRAM domain containing 3	chr18 D2	---
1415943_at	-2.28E+00	5.2999	7.5818	3.99E-05	1.69E-03	BI788645	Sdc1	20969	Mm.2580	syndecan 1	chr12 A1.1|12 1.0 cM	---
1416689_at	-2.20E+00	5.7835	7.9849	3.99E-05	1.69E-03	NM_011656	Tuft1	22156	Mm.10214	tuftelin 1	chr3 F2	---
1437868_at	1.63E+00	11.2444	9.6125	4.07E-05	1.72E-03	BE687858	BC023892	212943	Mm.74610	cDNA sequence BC023892	chr9 E3.1	---
1415793_at	-1.25E+00	9.3611	10.6126	4.11E-05	1.74E-03	NM_134021	Pnpo	103711	Mm.254704	pyridoxine 5-phosphate oxidase	chr11 D	Vitamin B6 metabolism // KEGG
1424443_at	-2.14E+00	5.8085	7.9485	4.12E-05	1.74E-03	AV378394	Hdgfrp3 /// Tm6sf1	107769 /// 29877	Mm.221412	hepatoma-derived growth factor, related protein 3	chr7 D3 /// chr7 D1	---
1425760_a_at	1.78E+00	8.4141	6.6308	4.17E-05	1.76E-03	AF006467	Pitpnm1	18739	Mm.1860	phosphatidylinositol membrane-associated 1	chr19 B1|19 2.0 cM	---
1430820_a_at	1.35E+00	10.1745	8.8291	4.24E-05	1.78E-03	BC024449	Bbx	70508	Mm.28940	bobby sox homolog (Drosophila)	chr16 B5	---
1457528_at	-1.57E+00	8.4077	9.9798	4.26E-05	1.79E-03	BB454531	Slc4a7	218756	Mm.258893	solute carrier family 4, sodium bicarbonate cotran	chr14 A1	---
1419125_at	-1.09E+00	8.0067	9.0923	4.30E-05	1.80E-03	NM_011206	Ptpn18	19253	Mm.361	protein tyrosine phosphatase, non-receptor type 18	chr1 B|1 17.3 cM	Cell adhesion molecules (CAMs) // KEGG /// Adherens junction // KEGG /// Jak-STAT signaling pathway // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Leukocyte transendothelial migration // KEGG /// Insulin signaling pathway // KEGG /// Adipocytokine signaling pathway // KEGG /// Type I diabetes mellitus // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG
1433964_s_at	1.19E+00	11.7234	10.5356	4.37E-05	1.83E-03	BG066664	BC032204	108101	Mm.157591	cDNA sequence BC032204	chr19 A	---
1423812_s_at	1.16E+00	10.8366	9.6769	4.42E-05	1.84E-03	BC024822	AW146242	232023	Mm.24642	expressed sequence AW146242	chr6 B3	---
1433914_at	-2.30E+00	5.7157	8.011	4.41E-05	1.84E-03	BM246193	AI747699	381236	Mm.329814	expressed sequence AI747699	chr19 C1	---
1455452_x_at	-2.43E+00	7.8676	10.2959	4.42E-05	1.84E-03	AW552116	AI449310	101584	---	expressed sequence AI449310	---	---
1433826_at	-1.37E+00	6.597	7.9662	4.46E-05	1.85E-03	AV325152	Tspyl3	241732	Mm.277243	TSPY-like 3	chr2 H1	---
1424902_at	1.63E+00	10.0711	8.4435	4.49E-05	1.86E-03	AF378760	Plxdc1	72324	Mm.39617	plexin domain containing 1	chr11 D	---
1421441_at	-2.08E+00	5.6246	7.7028	4.52E-05	1.87E-03	NM_009640	Angpt1	11600	Mm.309336	angiopoietin 1	chr15 B3.1|15 14.3 cM	---
1419456_at	1.15E+00	8.802	7.6521	4.56E-05	1.89E-03	BC012247	Dcxr	67880	Mm.231091	dicarbonyl L-xylulose reductase	chr11 E2	---
1423917_a_at	1.33E+00	11.7511	10.4199	4.59E-05	1.89E-03	BC011434	Cttn	13043	Mm.205601	cortactin	chr7 F5	---
1440154_at	1.63E+00	7.6224	5.9971	4.59E-05	1.89E-03	BB333077	Pbx3	18516	Mm.239941	Pre B-cell leukemia transcription factor 3	chr2 B|2 22.0 cM	---
1449124_at	1.88E+00	7.2164	5.3337	4.62E-05	1.90E-03	NM_016846	Rgl1	19731	Mm.245270	ral guanine nucleotide dissociation stimulator,-li	chr1 G2	---
1434881_s_at	-1.97E+00	6.1283	8.0971	4.63E-05	1.90E-03	BM220945	Kctd12	239217	Mm.246466	potassium channel tetramerisation domain containin	chr14 E2.3	---
1456478_at	1.41E+00	11.5588	10.1477	4.82E-05	1.97E-03	BB183423	Pgm2l1	70974	Mm.57225	phosphoglucomutase 2-like 1	chr7 F1	---
1434058_at	1.00E+00	10.3248	9.3202	4.85E-05	1.98E-03	BB667459	Mtmr12	268783	Mm.54460	Vmyotubularin related protein 12	chr15 A1	---
1448781_at	-2.20E+00	5.8676	8.068	4.86E-05	1.98E-03	NM_008667	Nab1	17936	Mm.25903	Ngfi-A binding protein 1	chr1 C1.1|1 27.0 cM	---
1457883_at	-1.89E+00	5.0145	6.906	4.91E-05	2.00E-03	BB225963	---	---	Mm.372465	Adult male aorta and vein cDNA, RIKEN full-length	---	---
1453006_at	-1.58E+00	7.4401	9.018	4.98E-05	2.02E-03	AI506568	2610306H15Rik	72514	Mm.41674	RIKEN cDNA 2610306H15 gene	chr19 C2	---
1435560_at	-1.10E+00	6.7422	7.8395	5.04E-05	2.04E-03	BI554446	Itgal /// LOC671163	16408 /// 671163	Mm.1618	integrin alpha L /// similar to Integrin alpha-L p	chr7 F3|7 60.0 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1429830_a_at	2.04E+00	11.1637	9.1211	5.22E-05	2.11E-03	AK005507	Cd59a	12509	Mm.247265	CD59a antigen	chr2 E2-E4|2 55.0 cM	---
1424062_at	-2.01E+00	6.4167	8.4301	5.24E-05	2.11E-03	BC019464	Ube2d1	216080	Mm.270530	ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog	chr10 B5.3	---
