Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Down	DNCI2	Dynein, cytoplasmic, intermediate polypeptide 2	H200005629	AK055491	-0.219715363
Down	RNF20	Ring finger protein 20	H200007753	NM_019592	-0.219307394
Up	RPS23	Ribosomal protein S23	H200000793	NM_001025	0.218909419
Up	NS5ATP13TP	NS5ATP13TP2 protein	H200003178	AK021720	0.218529497
Up	ZNF281	Zinc finger protein 281	H200005384	NM_012482	0.218520592
Up	LOC51234	Hypothetical protein LOC51234	H300014151	NM_016454	0.218240579
Up	RNF11	Ring finger protein 11	H200010737	NM_014372	0.218037983
Down	FLJ10569	Hypothetical protein FLJ10569	H200000997	NM_018142	-0.218030052
Up	RPS27L	Ribosomal protein S27-like	H200011614	NM_015920	0.217884194
Down	GC20	Translation factor sui1 homolog	H200003068	NM_005875	-0.217399825
Down	FLJ10159	Hypothetical protein FLJ10159	H200003154	NM_018013	-0.217320959
Up	LOC85865	Hypothetical protein BC004923	H200013252	BC004923	0.217054432
Up	USP8	Ubiquitin specific protease 8	H200013833	NM_005154	0.216913006
Down	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	H200001141	NM_016938	-0.21690202
Up	HEG	HEG homolog	H200008564	AK057074	0.216441651
Down	H63	H63 breast cancer expressed gene	H200019085	AK022565	-0.216400208
Up	TM9SF2	Transmembrane 9 superfamily member 2	H200003861	NM_004800	0.215663929
Down	MGC13024	Hypothetical protein MGC13024	H200019469	BC015555	-0.215386448
Down	CUL5	Cullin 5	H200011113	NM_003478	-0.215347731
Down	IGBP1	Immunoglobulin (CD79A) binding protein 1	H200000810	NM_001551	-0.214699862
Up	MDH1	Malate dehydrogenase 1, D (soluble)	H200006089	NM_005917	0.214482642
Down	MGC14560	Protein x 0004	H300007931	NM_016301	-0.213947977
Down	VIM	Vimentin	H200009840	NM_003380	-0.213571076
Down	NSUN4	NOL1/NOP2/Sun domain family 4	H200009373	AK057420	-0.212942706
Up	TMEM14C	Transmembrane protein 14C	H200004000	NM_016462	0.211899634
Down	SETBP1	SET binding protein 1	H200013788	NM_015559	-0.211830103
Down	ACOX3	Acyl-Coenzyme A oxidase 3, pristanoyl	H200002180	NM_003501	-0.211700273
Down	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	H200014446	NM_005767	-0.210397894
Up	SDCCAG3	Serologically defined colon cancer antigen 3	H200010638	NM_006643	0.210152792
Down	RUFY1	RUN and FYVE domain containing 1	H200009468	NM_025158	-0.210001732
Up	BLP1	BBP-like protein 1	H200001440	NM_031940	0.209826134
Up	ZNF469	Zinc finger protein 469	H200005130	AB058761	0.209549341
Up	PER2	Period homolog 2 (Drosophila)	H200013872	NM_022817	0.209285093
Down	DUSP1	Dual specificity phosphatase 1	H200007984	NM_004417	-0.208977249
Down	HIVEP2	Human immunodeficiency virus type I enhancer binding protein 2	H200005991	X65644	-0.208874937
Up	RER1	RER1 homolog (S. cerevisiae)	H200004488	NM_007033	0.208685607
Up	PON3	Paraoxonase 3	H200009662	L48516	0.207809504
Down	IGFBP1	Insulin-like growth factor binding protein 1	H200011156	NM_000596	-0.207525144
Up	PTTG3	Pituitary tumor-transforming 3	H300002397	NM_021000	0.207048741
Up	KLHL1AS	Kelch-like 1 antisense (Drosophila)	H200008869	AF126749	0.206952168
Down	MGC19604	Similar to RIKEN cD B230118G17 gene	H200019825	BC010155	-0.206927192
Down	C11orf15	Chromosome 11 open reading frame 15	H200012347	NM_020644	-0.206645456
Down	PIK4CB	Phosphatidylinositol 4-kinase, catalytic, beta polypeptide	H200021103	AK054691	-0.206565869
Up	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	H200002261	NM_006055	0.206558883
Down	BAZ2B	Bromodomain adjacent to zinc finger domain, 2B	H200001645	NM_013450	-0.206222721
Down	KIAA1201	KIAA1201 protein	H200016277	AB033027	-0.206220561
Up	MGC4399	Mitochondrial carrier protein	H200008637	NM_032315	0.205564049
Up	SIRT1	Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	H200004072	NM_012238	0.205533515
Up	LGTN	Ligatin	H200017010	NM_006893	0.204856934
Down	SPRY1	Sprouty homolog 1, antagonist of FGF signaling (Drosophila)	H200010265	AK026960	-0.204849977
Down	ARV1	Likely ortholog of yeast ARV1	H200003268	NM_022786	-0.204660804
Down	BCL3	B-cell CLL/lymphoma 3	H200004074	NM_005178	-0.204592353
Down	RDH13	Retinol dehydrogenase 13 (all-trans and 9-cis)	H200008330	BC009881	-0.204301771
Down	TBCA	Tubulin-specific chaperone a	H200003455	NM_004607	-0.204070921
Down	ASE-1	CD3-epsilon-associated protein; antisense to ERCC-1	H200015150	NM_012099	-0.203800216
Up	PPARBP	PPAR binding protein	H200002494	NM_004774	0.203583089
Up	FLJ32549	Hypothetical protein FLJ32549	H200005851	AK057111	0.203458667
Down	TRAF2	TNF receptor-associated factor 2	H200014887	NM_021138	-0.202755207
Down	DKFZP434F0	Hypothetical protein DKFZp434F0318	H200003272	NM_030817	-0.202565724
Down	FLJ20534	Hypothetical protein FLJ20534	H200004698	NM_017867	-0.201893666
Down	LOC90288	Hypothetical protein LOC90288	H200020707	AK057281	-0.201512238
Up	SSPN	Sarcospan (Kras oncogene-associated gene)	H200008665	NM_005086	0.201473297
Down	GSTA2	Glutathione S-transferase A2	H200010348	NM_000846	-0.201346909
Up	HLA-E	Major histocompatibility complex, class I, E	H200008541	NM_005516	0.201110724
Down	RAB33A	RAB33A, member RAS oncogene family	H200005219	NM_004794	-0.201082086
Down	FLJ20508	Hypothetical protein FLJ20508	H200016942	NM_017850	-0.200489717
Up	UBE2E1	Ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	H200008977	AK022062	0.200024471
Up	COL18A1	Collagen, type XVIII, alpha 1	H200006509	AF018081	0.199142345
Down	ASRGL1	Asparaginase like 1	H200001414	NM_025080	-0.19907806
Up	NOL7	Nucleolar protein 7, 27kDa	H200011443	NM_016167	0.198798176
Down	ZSWIM6	Zinc finger, SWIM domain containing 6	H200002335	AB046797	-0.198621224
Down	HS3ST3A1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	H200004874	NM_006042	-0.19855795
Down	LIPE	Lipase, hormone-sensitive	H200010696	NM_005357	-0.197348915
Down	PSMD8	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	H200006517	NM_002812	-0.197271367
Up	RNF144	Ring finger protein 144	H200006576	NM_014746	0.197195775
Up	FLJ11021	Similar to splicing factor, arginine/serine-rich 4	H200006847	NM_023012	0.197132913
Up	PFDN4	Prefoldin 4	H200010475	NM_002623	0.196371986
Up	SEZ6L2	Seizure related 6 homolog (mouse)-like 2	H200001200	NM_012410	0.196103241
Up	POLR2D	Polymerase (R) II (D directed) polypeptide D	H200014636	NM_004805	0.195978597
Up	OAT	Ornithine aminotransferase (gyrate atrophy)	H200006115	NM_000274	0.19566179
Down	HSPC152	Hypothetical protein HSPC152	H200006653	NM_016404	-0.195610953
Down	CAMLG	Calcium modulating ligand	H200002306	NM_001745	-0.195541018
Down	USP11	Ubiquitin specific protease 11	H200007972	NM_004651	-0.195472628
Up	THRA	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	H200000178	NM_003250	0.195391019
Down	D2L	D2 D replication helicase 2-like (yeast)	H200014642	D42046	-0.195353392
Down	CD86	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	H200003805	NM_006889	-0.195016932
Up	FLJ22649	Hypothetical protein FLJ22649 similar to signal peptidase SPC22/23	H200004559	NM_021928	0.19490841
Up	TMEM30A	Transmembrane protein 30A	H200011577	NM_018247	0.194810676
Down	RPA2	Replication protein A2, 32kDa	H200006696	NM_002946	-0.194579899
Down	NKRF	NF-kappa B-repressing factor	H200012179	NM_017544	-0.194565303
Up	NOLA2	Nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)	H200003353	NM_017838	0.194383648
Up	RILP	Rab interacting lysosomal protein	H200002686	NM_031430	0.194371893
Up	ITGB6	Integrin, beta 6	H200005253	AK026736	0.194299469
Down	SLC27A3	Solute carrier family 27 (fatty acid transporter), member 3	H200011634	NM_024330	-0.194000865
Down	NINJ1	Ninjurin 1	H200001991	NM_004148	-0.193347098
Up	NUDT1	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	H200000103	NM_002452	0.192923555
Down	NME7	Non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	H200017110	NM_013330	-0.192644483
Down	ZNF137	Zinc finger protein 137 (clone pHZ-30)	H200013785	NM_003438	-0.192631071
Down	CD5L	CD5 antigen-like (scavenger receptor cysteine rich family)	H200005040	NM_005894	-0.192513903
Up	KRTHB2	Keratin, hair, basic, 2	H200013121	NM_033033	0.192461752
Up	APEX1	APEX nuclease (multifunctional D repair enzyme) 1	H200005856	NM_001641	0.192261229
Up	ACYP1	Acylphosphatase 1, erythrocyte (common) type	H200002740	NM_001107	0.192127999
Up	HSPC051	Ubiquinol-cytochrome c reductase complex (7.2 kD)	H200008793	NM_013387	0.191897314
Down	FLJ14566	Hypothetical protein FLJ14566	H200002104	NM_032806	-0.191298807
Up	HSPC138	Hypothetical protein HSPC138	H200017724	NM_016401	0.191116611
Up	TXNDC9	Thioredoxin domain containing 9	H200013915	NM_005783	0.19098704
Up	NEK6	NIMA (never in mitosis gene a)-related kinase 6	H200001805	BC012761	0.190783354
Up	ZNF559	Zinc finger protein 559	H200003187	BC006436	0.190426905
Down	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	H200010451	NM_020038	-0.189817665
Down	PARP1	Poly (ADP-ribose) polymerase family, member 1	H200008289	NM_001618	-0.189541967
Up	PTBP2	Polypyrimidine tract binding protein 2	H200004284	NM_021190	0.189177965
Down	SH3BGR	SH3 domain binding glutamic acid-rich protein	H200004843	NM_007341	-0.188196956
Down	FLJ12644	Hypothetical protein FLJ12644	H200007241	NM_023074	-0.187857837
Up	JDP2	Jun dimerization protein 2	H300006943	NM_130469	0.187557887
Up	EDF1	Endothelial differentiation-related factor 1	H200008197	NM_003792	0.18726932
Up	RNF6	Ring finger protein (C3H2C3 type) 6	H200004174	NM_005977	0.187218178
Up	TSG101	Tumor susceptibility gene 101	H200012164	NM_006292	0.187184241
Down	SIP	Siah-interacting protein	H200003749	NM_014412	-0.187177477
Down	PIP5K1C	Phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	H200017195	AB011161	-0.186991805
Up	TRIB3	Tribbles homolog 3 (Drosophila)	H200003690	NM_021158	0.186847652
Down	ZBED3	Zinc finger, BED domain containing 3	H200013801	NM_032367	-0.186817623
Up	ZNF161	Zinc finger protein 161	H200001252	NM_007146	0.186076043
Up	SERAC1	Serine active site containing 1	H200013991	BC001705	0.185626596
Down	TATDN1	TatD DNase domain containing 1	H200002035	NM_032026	-0.183905081
Up	F12	Coagulation factor XII (Hageman factor)	H200000345	NM_000505	0.183877261
Down	RUFY2	RUN and FYVE domain containing 2	H200013936	NM_017987	-0.183682416
Up	PPP2R1B	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	H200009162	AK026914	0.183106388
Up	PSMA7	Proteasome (prosome, macropain) subunit, alpha type, 7	H200021333	NM_002792	0.183062454
Up	FLJ13984	Hypothetical protein FLJ13984	H200013149	NM_024770	0.183049136
Down	GBP3	Guanylate binding protein 3	H200010538	AL136680	-0.182400712
Down	LRRN1	Leucine rich repeat neuronal 1	H200012598	AB040930	-0.182139297
Down	ADAM12	A disintegrin and metalloproteinase domain 12 (meltrin alpha)	H200021135	AK022196	-0.18183058
Up	PTPN2	Protein tyrosine phosphatase, non-receptor type 2	H200006978	NM_002828	0.181110018
Up	PRKR	Protein kinase, interferon-inducible double stranded R dependent	H200017076	NM_002759	0.180882863
Down	MGC10471	Hypothetical protein MGC10471	H200003470	NM_030818	-0.180615342
Up	HDCMA18P	HDCMA18P protein	H200017330	NM_016648	0.180514676
Up	WDR13	WD repeat domain 13	H200002074	NM_017883	0.180458933
Down	ABT1	Activator of basal transcription 1	H200011644	NM_013375	-0.180225036
Down	INPP5F	Inositol polyphosphate-5-phosphatase F	H200005045	NM_014937	-0.179871554
Down	KIAA0433	KIAA0433 protein	H200003607	NM_015216	-0.179665653
Down	MEST	Mesoderm specific transcript homolog (mouse)	H200006657	NM_002402	-0.179511346
Up	MAGEH1	Melanoma antigen, family H, 1	H200017501	NM_014061	0.179297993
Up	MTB	More than blood homolog	H200002746	NM_017760	0.178802386
Up	KRT19	Keratin 19	H200008573	NM_002276	0.178579283
Down	FLJ22729	Hypothetical protein FLJ22729	H200010671	NM_024683	-0.178451412
Down	NDUFC1	DH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	H200007113	NM_002494	-0.177842323
Down	MYADM	Myeloid-associated differentiation marker	H200016241	AK027693	-0.177535356
Up	SF3B5	Splicing factor 3b, subunit 5, 10kDa	H200011705	NM_031287	0.177353869
Down	CFDP1	Craniofacial development protein 1	H200009690	NM_006324	-0.177312881
Down	IRF2BP1	Interferon regulatory factor 2 binding protein 1	H200013988	BC005834	-0.176136395
Down	PURA	Purine-rich element binding protein A	H200003891	NM_005859	-0.176047648
Up	VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)	H200005618	BC007050	0.175979
Down	C14orf94	Chromosome 14 open reading frame 94	H200001701	NM_017815	-0.175805062
Down	YPEL1	Yippee-like 1 (Drosophila)	H200005756	NM_013313	-0.175775131
Up	PSMD12	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	H200000907	NM_002816	0.175765538
Up	SCML2	Sex comb on midleg-like 2 (Drosophila)	H200007975	NM_006089	0.174768468
Down	ARL4A	ADP-ribosylation factor-like 4A	H200014917	NM_005738	-0.17466437
Down	ZNF77	Zinc finger protein 77 (pT1)	H200004416	AL365370	-0.174637237
Up	FOXA1	Forkhead box A1	H200009895	NM_004496	0.17461583
Up	MEGF10	MEGF10 protein	H200008941	NM_032446	0.174335862
Up	TA-KRP	T-cell activation kelch repeat protein	H200012017	AB058745	0.174226395
Down	BLVRA	Biliverdin reductase A	H200006813	NM_000712	-0.174140604
Up	SPATA13	Spermatogenesis associated 13	H200003754	AK025586	0.173852895
Up	FLJ30726	Hypothetical protein FLJ30726	H200004905	AK055288	0.173818183
Up	FLJ13220	Hypothetical protein FLJ13220	H200004506	NM_021927	0.173712722
Down	ESD	Esterase D/formylglutathione hydrolase	H200006903	AF112219	-0.173335172
Up	DJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	H200017321	NM_016306	0.172547555
Up	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	H200000047	NM_000597	0.172162746
Up	PBX2	Pre-B-cell leukemia transcription factor 2	H200010599	NM_002586	0.171954805
Up	SLC15A3	Solute carrier family 15, member 3	H200015605	NM_016582	0.171640371
Down	PLAGL2	Pleiomorphic adenoma gene-like 2	H200013939	NM_002657	-0.171441427
Down	LASS2	LAG1 longevity assurance homolog 2 (S. cerevisiae)	H200008861	NM_013384	-0.171340104
Down	RAB40A	RAB40A, member RAS oncogene family	H200003770	AK056859	-0.171257359
Up	CCS	Copper chaperone for superoxide dismutase	H200000971	NM_005125	0.170649026
Up	GPR160	G protein-coupled receptor 160	H200010772	NM_014373	0.170580961
Down	KRTAP4-14	Keratin associated protein 4-14	H200018719	NM_033059	-0.170570285
Down	B3GNT5	UDP-Glcc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	H200013211	NM_032047	-0.170547832
Up	LOC51244	Hypothetical protein LOC51244	H300011692	NM_016474	0.170457099
Down	DKFZp434N0	Hypothetical protein DKFZp434N035	H200011513	NM_032262	-0.169776139
Up	HSA9947	Putative ATPase	H200012787	NM_022089	0.169528329
Up	ZNF565	Zinc finger protein 565	H200010117	AK057290	0.16912421
Up	STRA13	Stimulated by retinoic acid 13	H200004400	BC009571	0.16848011
Up	USP25	Ubiquitin specific protease 25	H200014365	AF170562	0.167460854
Up	C10orf47	Chromosome 10 open reading frame 47	H300009957	NM_153256	0.16737791
Up	MGC4308	Hypothetical protein MGC4308	H200004459	NM_032359	0.167247929
Down	ANXA3	Annexin A3	H200000361	NM_005139	-0.167134914
Down	SNCG	Synuclein, gamma (breast cancer-specific protein 1)	H200020441	NM_003087	-0.166507637
Up	CPVL	Carboxypeptidase, vitellogenic-like	H200010704	NM_031311	0.166334202
Down	ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	H200011939	NM_016653	-0.16631198
Down	RPS17	Ribosomal protein S17	H200001008	NM_001021	-0.165666018
Up	CREB5	CAMP responsive element binding protein 5	H200000042	NM_004904	0.165225958
Up	CDC10	CDC10 cell division cycle 10 homolog (S. cerevisiae)	H200014272	NM_001788	0.165041723
Up	PTP4A2	Protein tyrosine phosphatase type IVA, member 2	H200006984	AF208850	0.163953194
Up	TOMM34	Translocase of outer mitochondrial membrane 34	H200006345	NM_006809	0.16386754
Up	CHST7	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	H200013275	NM_019886	0.163799008
Up	LM	Lamin A/C	H200006462	NM_005572	0.163757235
Up	ZNF23	Zinc finger protein 19 (KOX 12)	H200005177	BC007256	0.163709464
Down	TLE1	Transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	H200017102	AK000144	-0.163052765
Down	SMAD6	SMAD, mothers against DPP homolog 6 (Drosophila)	H200013912	AF035528	-0.162800413
Up	TOP2B	Topoisomerase (D) II beta 180kDa	H200006043	NM_001068	0.16276167
Up	ACBD5	Acyl-Coenzyme A binding domain containing 5	H200002345	AL133064	0.162754837
Down	CFL2	Cofilin 2 (muscle)	H200008407	AF134802	-0.162336424
Down	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	H200012498	NM_022899	-0.162244546
Down	PLEC1	Plectin 1, intermediate filament binding protein 500kDa	H200006713	NM_000445	-0.161317556
Down	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	H200005564	NM_017895	-0.16109884
Up	HIG1	Likely ortholog of mouse hypoxia induced gene 1	H200001526	NM_014056	0.160559647
Up	GCSH	Glycine cleavage system protein H (aminomethyl carrier)	H200006428	NM_004483	0.160490893
Down	GRCC10	Likely ortholog of mouse gene rich cluster, C10 gene	H300008556	NM_138425	-0.159955461
Down	OIP5	Opa-interacting protein 5	H200011999	BC015050	-0.159690778
Up	RPL7	Ribosomal protein L7	H200000043	NM_000971	0.159455272
Up	DYRK3	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	H200004417	NM_003582	0.159424692
Up	IRS2	Insulin receptor substrate 2	H200013414	AF073310	0.159018204
Up	FLJ22875	Hypothetical protein FLJ22875	H200011739	NM_032231	0.1589286
Down	SYPL	Synaptophysin-like protein	H200006804	NM_006754	-0.157544604
Down	CYB5-M	Hypothetical protein LOC283852	H200006629	NM_030579	-0.157042266
Down	NME2	Non-metastatic cells 2, protein (NM23B) expressed in	H200017194	NM_002512	-0.156988781
Up	MGC33889	Hypothetical protein MGC33889	H200020690	AK057361	0.156860879
Down	SEC24B	SEC24 related gene family, member B (S. cerevisiae)	H200001394	NM_006323	-0.156599229
Down	FLJ10326	Mitochondrial isoleucine tR synthetase	H200016521	NM_018060	-0.156523013
Down	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	H200004636	NM_024635	-0.156479216
Up	C5orf13	Chromosome 5 open reading frame 13	H200013366	NM_004772	0.156067479
Up	KCMF1	Potassium channel modulatory factor 1	H200001050	NM_020122	0.155944098
Down	FIBCD1	Fibrinogen C domain containing 1	H200013483	NM_032843	-0.155794698
Down	FBXW9	F-box and WD-40 domain protein 9	H200017623	NM_032301	-0.155034606
Down	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	H200007155	NM_007100	-0.154999403
Down	CD3G	CD3G antigen, gamma polypeptide (TiT3 complex)	H200000577	NM_000073	-0.154805665
Down	APOC4	Apolipoprotein C-IV	H200011704	NM_001646	-0.154567679
Down	FLJ20530	Hypothetical protein FLJ20530	H200017434	NM_017864	-0.154104855
Down	PHACTR1	Phosphatase and actin regulator 1	H200014492	AB051520	-0.153796126
Down	FLJ10081	Hypothetical protein FLJ10081	H200001511	AY050169	-0.153083853
Down	FLCN	Hypothetical protein MGC13008	H200008074	BC015687	-0.152781963
Up	TUFT1	Tuftelin 1	H200017631	NM_020127	0.152610818
Up	Spc25	Kinetochore protein Spc25	H200002977	NM_020675	0.152576113
Up	MAP3K7IP1	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1	H200004119	AY007145	0.152427697
Up	GADD45B	Growth arrest and D-damage-inducible, beta	H200011699	NM_015675	0.152244182
Up	SDBCAG84	Serologically defined breast cancer antigen 84	H200007887	NM_015966	0.152144837
Up	TKT	Transketolase (Wernicke-Korsakoff syndrome)	H200010370	NM_001064	0.151919674
Down	C21orf91	Chromosome 21 open reading frame 91	H200004933	AK023825	-0.151917447
Down	TIF1	Transcriptional intermediary factor 1	H200014229	NM_003852	-0.151688237
Down	LOC87769	Hypothetical protein BC004360	H200009885	BC001077	-0.15143054
Down	FLJ14007	Hypothetical protein FLJ14007	H200010974	NM_024699	-0.151330818
Up	HRPT2	Hyperparathyroidism 2 (with jaw tumor)	H200018110	AF038194	0.151221475
Up	SP192	Hypothetical protein SP192	H200007870	NM_021639	0.150644288
Up	LOC221710	Hypothetical protein LOC221710	H200004650	AK058186	0.150261407
Down	SC65	Synaptonemal complex protein SC65	H200015019	NM_006455	-0.150024452
Up	NUDT8	Nudix (nucleoside diphosphate linked moiety X)-type motif 8	H200019980	BC018644	0.149865837
Up	G10	Maternal G10 transcript	H200020255	NM_003910	0.149358405
Down	JAM3	Junctional adhesion molecule 3	H200019657	BC010690	-0.149289333
Up	TMEM15	Transmembrane protein 15	H200007517	NM_014908	0.148679118
Up	UBE2E2	Ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	H200011567	AK057886	0.148208358
Up	MORF4L1	Mortality factor 4 like 1	H200001210	NM_006791	0.148061519
Down	AP4B1	Adaptor-related protein complex 4, beta 1 subunit	H200020658	AK057567	-0.147750785
Up	CHSY1	Carbohydrate (chondroitin) synthase 1	H200011698	NM_014918	0.147697305
Down	PARD6A	Par-6 partitioning defective 6 homolog alpha (C.elegans)	H200011849	NM_016948	-0.147491268
Up	NDST3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	H200002866	NM_004784	0.147453274
Down	PPP2R5E	Protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	H200008130	NM_006246	-0.147226747
Down	PTPN3	Protein tyrosine phosphatase, non-receptor type 3	H200013917	NM_002829	-0.146663704
Up	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	H200006659	NM_003350	0.146663571
Down	EGR3	Early growth response 3	H200005916	NM_004430	-0.146501326
Up	ZNF256	Zinc finger protein 256	H200007529	NM_005773	0.146424755
Down	C21orf25	Chromosome 21 open reading frame 25	H200002526	AL050173	-0.146057119
Down	CRAT	Carnitine acetyltransferase	H200002061	NM_004003	-0.145978617
Down	A4GALT	Alpha 1,4-galactosyltransferase	H200011416	NM_017436	-0.14575413
Up	FLJ20793	FLJ20793 protein	H200010758	AB058733	0.145314587
Up	HBD	Hemoglobin, delta	H200004352	NM_000519	0.14435532
Up	BENE	BENE protein	H200014337	U17077	0.144200062
Down	PLCB4	Phospholipase C, beta 4	H200020364	AK057634	-0.143794882
Up	RABGGTB	Rab geranylgeranyltransferase, beta subunit	H200006589	NM_004582	0.143792566
Up	SUI1	Putative translation initiation factor	H200013712	AL050005	0.142832852
Down	ZNF627	Zinc finger protein 627	H200002414	BC006279	-0.142655549
Down	HSU79303	Protein predicted by clone 23882	H200006944	NM_013301	-0.14263882
Down	TTYH2	Tweety homolog 2 (Drosophila)	H200003804	NM_032646	-0.142622467
Up	IDH1	Isocitrate dehydrogenase 1 (DP+), soluble	H200001985	NM_005896	0.142577499
Down	FOXJ2	Forkhead box J2	H200012264	NM_018416	-0.142018971
Up	LOC253981	Hypothetical protein LOC253981	H200017729	AK025431	0.141944606
Down	DRF1	Dbf4-related factor 1	H200009312	NM_025104	-0.141689242
Down	USF2	Upstream transcription factor 2, c-fos interacting	H200010593	NM_003367	-0.141215396
Down	CYSLTR1	Cysteinyl leukotriene receptor 1	H200012503	NM_006639	-0.140893878
Down	KIAA0649	KIAA0649	H200003605	NM_014811	-0.140793356
Up	ALG1	Asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase)	H200004717	NM_019109	0.140646521
Down	NFIB	Nuclear factor I/B	H200014405	AK022095	-0.140583063
Up	ERBP	Estrogen receptor binding protein	H200007164	NM_014597	0.140359635
Down	SULF2	Sulfatase 2	H200004653	AB033073	-0.140025752
Down	HIS1	HMBA-inducible	H200002466	NM_006460	-0.13963494
Up	MFN2	Mitofusin 2	H200000777	NM_014874	0.139289
Up	WBSCR19	Williams Beuren syndrome chromosome region 19	H200019331	AL137266	0.139014274
Down	IL10RB	Interleukin 10 receptor, beta	H200008183	Z17227	-0.13847366
Up	NS	Nucleostemin	H200017556	NM_014366	0.138359344
Up	ARF5	ADP-ribosylation factor 5	H200006414	NM_001662	0.138166362
Up	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	H200010645	NM_020326	0.138051321
Down	C1orf41	Chromosome 1 open reading frame 41	H200004818	NM_016126	-0.137788467
Up	ACRC	Acidic repeat containing	H200013152	NM_052957	0.137370386
Down	TNFAIP1	Tumor necrosis factor, alpha-induced protein 1 (endothelial)	H200006250	NM_021137	-0.137190143
Up	LOC137392	Similar to CG6405 gene product	H200010548	BC014598	0.136813817
Down	PIP3-E	Phosphoinositide-binding protein PIP3-E	H200014340	AB007863	-0.136711096
Up	H2AFY2	H2A histone family, member Y2	H200010525	NM_018649	0.136693266
Up	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	H200016204	AL136939	0.136612437
Down	NDUFB1	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	H200008667	AK055348	-0.135952727
Up	LUZP1	Leucine zipper protein 1	H200019640	BC002428	0.135457864
Down	CPSF5	Cleavage and polyadenylation specific factor 5, 25 kDa	H200001801	NM_007006	-0.135361736
Up	G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2	H200001290	AB014560	0.134658081
Down	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	H200005982	NM_003217	-0.134618281
Down	MTHFR	5,10-methylenetetrahydrofolate reductase (DPH)	H200009620	BC011614	-0.134527053
Up	SSBP1	Single-stranded D binding protein 1	H200000243	NM_003143	0.133828005
Up	PIGF	Phosphatidylinositol glycan, class F	H200020246	NM_002643	0.133810888
Down	SS18L1	Synovial sarcoma translocation gene on chromosome 18-like 1	H200013969	AB014593	-0.133780989
Up	NPC1	Niemann-Pick disease, type C1	H200006343	NM_000271	0.133715356
Down	IFR2	Interferon (alpha, beta and omega) receptor 2	H200010207	L41944	-0.133655778
Up	CCL8	Chemokine (C-C motif) ligand 8	H200016737	Y16645	0.133525393
Down	PIGA	Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	H200000016	NM_002641	-0.133275172
Up	NSEP1	Nuclease sensitive element binding protein 1	H200005948	NM_004559	0.133189424
Down	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	H200002054	NM_002940	-0.133129397
Down	ASGR1	Asialoglycoprotein receptor 1	H200002058	NM_001671	-0.131715621
Down	KIAA1217	KIAA1217	H200014547	AK022045	-0.131146773
Up	PFKL	Phosphofructokinase, liver	H200014072	NM_002626	0.131114609
Down	NUBP2	Nucleotide binding protein 2 (MinD homolog, E. coli)	H200016411	NM_012225	-0.130739146
